CED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED138,1295,1180,1089,964,270,46,5683,24,329,595,636,681,647,151,31,3091,561,4057,5003,4326,3301,2937,1015,233,21434,437,1808,2561,2736,2962,2387,1003,286,14182,1775,3796,4355,4792,5190,3754,1675,516,25863,254,221,231,265,313,257,68,21,1626,131,251,389,485,715,757,353,116,3195,2153,4270,4978,5548,6216,4763,2091,656,30687,47,91,109,125,187,241,145,80,1019,1385,1729,1921,1892,2083,2209,1888,1452,14567,4630,13094,16450,16439,16527,14158,6573,2785,90658
CED139,776,642,537,376,120,28,3223,47,365,413,456,401,317,88,9,2098,774,3466,3195,2527,1746,1402,539,139,13787,437,1451,1725,1974,1928,1498,618,196,9822,2751,5477,4736,4560,4577,2986,1158,274,26513,373,425,303,285,355,231,71,13,2051,148,248,277,465,631,581,239,69,2660,3262,6146,5315,5309,5564,3802,1470,360,31224,45,96,77,92,137,143,105,36,741,1820,1745,1664,1695,1925,2013,1653,880,13393,6424,13985,13164,12695,12234,9553,4583,1650,74285
CED140,1499,1274,1077,816,307,50,6079,69,291,476,548,573,536,155,24,2668,881,3871,4654,3728,2820,2356,965,249,19522,515,1571,2392,3024,2686,1959,985,234,13376,1896,3647,4089,4452,4617,2987,1610,447,23755,244,210,220,259,296,272,110,21,1631,145,213,315,534,710,791,435,111,3258,2280,4070,4622,5248,5623,4050,2157,586,28640,47,84,115,155,192,259,183,51,1090,823,979,1057,1121,1307,1556,1573,1285,9699,4660,11892,14815,15087,14274,11539,6327,2484,81083
CED141,1171,949,698,549,184,40,4378,41,278,484,488,477,444,93,14,2322,731,3629,4049,3132,2164,1757,754,144,16371,388,1561,2176,2550,2401,1706,807,198,11785,2306,4852,4806,5096,5060,3523,1861,543,28055,327,264,241,261,277,225,85,14,1694,169,206,297,493,712,718,383,103,3087,2802,5317,5349,5848,6051,4472,2327,661,32828,42,59,95,90,174,174,128,50,814,775,929,957,969,1042,1357,1397,763,8192,4816,12528,14280,14027,13016,10464,5684,1868,76689
CED142,8498,4051,2633,1583,527,87,30510,123,1693,1320,871,695,449,137,7,5297,6882,28149,13934,6419,4171,2381,863,214,63022,1877,5999,4044,2559,1830,1089,459,125,17991,1163,3778,2279,1643,1353,771,327,84,11398,177,283,203,147,134,107,17,5,1076,167,482,378,423,409,288,118,32,2307,1501,4544,2866,2204,1901,1163,471,123,14784,204,495,322,201,162,147,91,28,1641,2336,5431,2994,1804,1485,1173,702,298,16225,13579,58786,33970,18113,12884,7989,3251,887,149461
CED143,4318,3984,2564,1413,705,116,15869,46,537,862,979,811,580,214,27,4054,1925,9387,9107,8359,5464,3186,1533,487,39443,476,1772,2387,2974,2365,1694,1024,305,13003,720,1938,1797,1894,1776,1074,645,256,10101,103,85,102,174,192,152,66,24,894,86,165,282,491,588,516,350,125,2607,911,2192,2182,2556,2553,1746,1058,395,13602,27,161,169,201,185,163,182,47,1133,516,984,993,931,797,766,816,674,6480,3980,17738,20026,19978,14739,9552,5537,2043,93588
CED144,3246,1630,1017,477,122,33,10722,78,491,528,432,305,198,66,16,2109,2662,9089,6358,3817,2679,1315,509,174,26603,1228,2890,3267,2770,1907,910,322,138,13440,1282,2724,2722,2794,2225,1183,644,219,13790,200,189,214,246,200,93,25,8,1185,194,339,431,576,584,309,128,43,2606,1677,3258,3363,3617,3008,1589,801,269,17583,87,270,281,201,206,143,66,35,1289,1825,2840,2379,1850,1631,1251,1023,810,13608,7755,22835,19427,14323,10749,5888,2906,1472,85355
CED145,4916,3804,2517,1727,777,163,18296,38,718,765,808,653,509,179,44,3710,2365,14925,9779,7240,4873,3339,1589,503,44608,487,2177,2079,2080,1672,1365,758,284,10900,443,1765,1287,1142,1014,789,552,202,7196,42,109,100,102,119,89,40,6,615,84,276,233,346,387,374,223,92,2006,565,2152,1621,1587,1522,1257,810,307,9814,40,266,204,153,176,198,161,58,1251,798,2185,1529,1092,857,918,1109,1226,9714,4396,26698,20891,16761,12270,9317,5379,2575,98292
CED146,2664,1265,667,278,56,9,7099,86,397,492,321,227,115,22,9,1669,2286,6905,5709,3464,2208,1189,286,44,22087,1043,2906,3678,3074,2056,853,265,56,13934,2006,4065,4216,4011,3201,1590,650,124,19865,272,285,357,326,255,103,26,3,1630,208,359,559,711,622,307,108,28,2908,2488,4709,5134,5054,4083,2005,779,153,24402,76,160,226,206,196,120,33,11,1032,1720,1998,2184,1708,1603,1192,936,608,11962,7843,19092,20085,15089,11040,5760,2389,891,82193
CED147,1167,940,758,722,308,82,4964,66,405,480,406,428,433,125,14,2367,838,3595,3384,2713,2039,1860,847,196,15470,621,2151,2582,2791,2311,1797,815,209,13274,2890,6059,5610,5459,5111,3311,1607,429,30488,325,330,319,318,354,223,86,21,1975,208,292,357,657,785,728,373,62,3453,3433,6688,6289,6437,6245,4258,2062,511,35920,46,69,101,129,162,212,128,48,898,1036,1108,1150,1178,1240,1421,1553,1073,9768,6080,14966,15156,14599,13191,10714,5846,2122,82673
CED194,73,47,50,36,6,0,327,3,24,22,18,19,18,0,0,109,51,361,166,157,120,90,21,0,969,39,125,105,108,138,83,15,0,614,111,276,223,220,279,167,31,6,1326,30,30,17,12,19,9,0,0,127,11,24,27,22,45,34,16,0,176,153,327,268,253,347,211,51,6,1621,3,10,3,8,11,13,7,0,56,461,784,802,685,483,232,73,22,3543,718,1736,1449,1281,1165,680,173,28,7237
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,3057,1569,1097,529,156,31,8778,93,569,850,738,617,385,121,21,3394,1682,6235,6604,4437,2992,1916,670,178,24720,814,2280,2981,3110,2546,1717,738,214,14406,1660,3711,3566,4163,3823,2432,1225,337,20917,257,212,225,195,169,139,44,12,1246,99,202,321,406,507,380,190,61,2161,2017,4132,4111,4765,4500,2956,1450,409,24327,32,100,131,106,137,152,84,41,793,672,950,939,847,864,905,1004,709,6886,5449,16479,18677,15574,12753,8560,4228,1607,83315
CED202,1364,1211,1040,767,255,35,6014,47,549,830,866,805,723,171,29,4026,897,4085,4220,3341,2403,1966,718,154,17793,501,1816,2249,2387,2172,1769,694,160,11734,2100,5012,4479,4333,3886,2514,1024,273,23614,325,334,270,215,192,163,39,11,1548,108,195,246,315,366,324,152,43,1747,2531,5543,4991,4863,4445,2996,1216,329,26914,35,76,78,97,90,115,65,28,580,1183,1223,1092,1312,1344,1582,1280,779,9795,5279,14543,14826,14079,12300,9914,4405,1512,76859
CED203,1179,1053,900,777,276,36,5364,67,559,891,921,852,686,163,19,4158,784,3802,4017,3243,2375,2124,825,190,17358,466,1703,2019,2223,2223,1954,896,177,11665,1852,4859,4306,4344,4169,2707,1199,309,23746,305,283,282,218,247,184,38,11,1571,117,178,235,337,409,349,162,59,1850,2275,5320,4825,4904,4824,3241,1408,378,27165,12,94,52,77,92,91,78,43,551,1102,1308,1239,1390,1540,1670,1540,1067,10856,4796,13834,14226,13813,12809,10545,5189,1906,77122
CED204,2517,1219,697,367,110,19,7446,96,548,603,542,406,236,74,10,2509,1714,6477,5316,3210,2248,1297,427,90,20765,1055,3044,3459,3049,2351,1280,439,136,14812,2005,4073,3853,4248,3798,2211,888,247,21323,321,287,264,248,220,121,43,7,1509,139,307,402,530,525,296,131,28,2362,2464,4668,4521,5021,4542,2630,1060,283,25191,72,169,195,138,147,157,73,31,975,1475,2263,1847,1561,1423,1302,993,509,11380,7020,19538,18455,14739,11815,7262,3170,1079,83082
CED205,3166,920,429,192,34,0,7904,136,735,677,422,226,114,23,4,2337,1842,7320,5874,2475,1471,665,150,32,19831,1105,4139,4156,2441,1513,635,157,27,14179,2079,4751,3939,3165,2613,1102,409,78,18137,321,365,302,227,149,65,16,6,1438,216,446,492,439,366,142,55,16,2168,2609,5566,4735,3830,3123,1304,477,92,21746,79,200,261,146,107,70,31,4,907,1790,2653,2310,1538,1270,838,527,218,11153,7781,23552,21181,11776,8142,3820,1403,393,78054
CED206,1479,1103,780,580,210,26,5283,67,539,825,829,736,576,164,14,3738,898,4327,4402,3505,2495,1948,740,137,18442,681,2349,2956,3019,2526,1827,764,159,14286,2206,5596,5202,5373,4762,2836,1220,279,27474,308,230,258,217,221,145,60,9,1437,133,231,337,429,493,402,183,45,2261,2656,6054,5795,6024,5474,3383,1467,328,31175,29,83,66,97,105,128,100,31,632,803,925,974,1144,1157,1109,923,491,7534,5179,15323,16501,15717,13274,9550,4359,1191,81090
CED207,6008,3691,2341,1250,569,115,20558,88,692,989,1126,1000,684,282,56,4921,3797,9658,8899,7383,4988,3145,1585,572,40019,1381,2168,2452,2829,2508,1974,1334,480,15136,1207,1796,1495,2187,2016,1308,1104,485,11603,208,147,107,143,143,103,58,20,938,124,153,221,405,431,394,308,144,2178,1540,2100,1821,2733,2590,1809,1472,641,14714,97,141,195,161,168,199,168,85,1208,1355,1790,1211,1034,892,963,1169,1112,9530,8743,22648,21581,18960,14496,10017,6575,3055,106085
CED208,4508,2722,1562,680,162,25,14951,76,1109,1512,1413,954,495,82,10,5650,2150,11290,8738,5573,2817,1361,383,104,32417,905,2756,2748,2462,1645,792,255,84,11651,1161,2957,2490,2415,1905,1046,503,192,12672,196,199,169,163,121,69,14,3,938,84,213,270,397,368,182,79,34,1632,1444,3374,2934,2977,2392,1302,596,234,15247,45,143,157,119,88,85,41,22,702,918,1670,1314,1132,937,915,845,702,8437,5795,25370,21912,16394,10396,5626,2373,1186,89062
CED209,1601,1105,943,785,261,30,6439,63,661,936,815,776,742,206,22,4230,1182,5122,5416,3737,2711,2445,955,204,21773,659,2102,2723,2704,2426,2299,1055,257,14229,1785,4445,4676,4220,3831,2775,1219,347,23295,213,177,244,189,170,159,44,10,1203,125,196,292,333,342,417,210,67,1978,2121,4818,5203,4741,4344,3351,1473,423,26476,36,72,88,68,95,130,139,38,672,922,893,953,915,1039,1446,1375,914,8464,5094,15274,16929,14094,12340,11192,5464,1887,82273
CED210,1726,1194,830,488,201,16,7071,77,779,862,787,628,456,118,15,3728,1495,6015,5001,3452,2422,1783,584,141,20898,762,2333,2384,2527,2062,1610,697,174,12552,2151,5056,4183,4078,3799,2335,1000,334,22929,304,276,242,214,166,131,44,3,1383,134,219,254,321,357,304,148,38,1780,2586,5546,4684,4617,4317,2771,1200,379,26101,56,86,102,90,95,109,87,42,664,1227,1566,1341,1252,1184,1306,1194,673,9733,6388,18765,16090,13922,11544,8525,4079,1438,80746
CED211,3867,2148,1224,769,302,56,11418,66,714,1147,1120,900,698,237,42,4923,1674,6844,8031,5514,3315,2368,1053,284,29083,853,2140,2870,3158,2552,1937,1078,367,14954,1552,3200,3147,3663,3425,1933,1161,402,18500,197,185,203,186,153,131,43,8,1103,133,170,286,435,519,402,288,120,2353,1886,3563,3636,4283,4095,2462,1492,528,21950,28,98,148,108,130,156,128,60,856,582,905,922,895,834,981,1166,1145,7440,5204,17183,20628,17235,13057,9372,5458,2478,90618
CED212,1328,1073,723,462,144,34,4886,66,539,834,772,575,425,117,13,3334,888,4271,4597,3569,2262,1608,721,169,18091,677,2567,3338,3106,2351,1609,704,182,14529,1823,5212,5056,4935,4121,2458,1196,307,25106,271,257,280,216,210,148,38,12,1439,129,262,382,442,454,385,197,50,2294,2235,5725,5711,5592,4786,2986,1430,368,28837,41,89,108,101,118,117,105,49,726,1019,1329,1360,1414,1220,1180,1159,812,9497,4975,15588,17275,15632,12028,8385,4378,1630,79900
CED213,779,863,895,846,363,65,4454,41,293,562,672,760,718,249,30,3334,591,2893,3323,3326,2790,2814,1404,345,17486,521,1619,2238,2787,2629,2544,1378,370,14090,1544,3967,4039,4574,4551,3290,1718,518,24200,231,187,197,212,239,188,72,21,1349,90,211,271,400,445,501,324,102,2354,1870,4364,4513,5189,5234,3982,2114,638,27902,29,57,62,83,123,180,157,78,767,992,902,1075,1428,1522,2010,1988,1205,11116,4080,10743,12558,14345,13955,13091,7654,2725,79147
CED214,3193,1440,722,321,59,5,11353,88,987,1050,777,463,205,34,7,3609,2381,10984,7726,3962,1864,1015,309,58,28292,1109,3469,3057,2151,1409,734,199,59,12192,1385,3433,2982,2597,2160,1293,554,179,14574,218,291,260,225,177,80,17,0,1267,123,329,360,459,388,218,83,21,1985,1725,4046,3597,3278,2734,1595,653,202,17833,73,257,170,84,106,79,28,4,811,1603,3165,2142,1602,1431,1241,1038,797,13023,7381,28110,20938,13301,8736,5198,2323,1128,87116
CED215,6746,2540,1178,542,135,18,15661,93,822,1405,1066,667,329,75,12,4468,1687,8732,11959,5694,2778,1396,419,77,32741,856,3148,4217,3277,1868,986,340,74,14764,1380,3552,3715,3337,2580,1451,579,217,16794,175,198,194,186,140,86,24,6,1003,120,267,433,502,378,228,63,19,2009,1674,4011,4339,4018,3098,1759,671,244,19802,56,212,285,142,118,103,49,7,958,1237,2234,2161,1328,975,812,603,364,9721,5810,23457,31106,18056,10685,5930,2287,800,98118
CED216,643,506,505,432,141,23,2945,50,378,478,503,557,499,135,12,2606,584,2726,2401,1973,1908,1700,658,106,12051,320,1612,1803,2111,2272,1969,836,167,11091,1999,5209,4784,4830,5314,3898,1617,333,27987,254,313,320,261,278,206,52,10,1692,82,197,264,298,412,430,159,47,1884,2330,5714,5372,5385,6007,4534,1828,395,31561,27,61,69,75,110,134,105,28,618,1484,1576,1610,1680,2123,2453,1800,1014,13746,4847,12717,12371,12231,13487,11726,5497,1746,74614
CED217,3727,3753,2522,1380,538,139,14573,53,516,955,1445,1251,857,278,63,5430,2038,6203,8032,8819,6037,3813,1657,511,37119,591,1353,2043,2903,2577,2134,1162,430,13188,652,1437,1346,1932,2011,1247,758,323,9711,119,79,101,112,140,92,45,16,710,88,121,242,423,466,447,305,107,2197,862,1640,1690,2463,2618,1785,1109,446,12613,22,88,136,176,162,185,124,77,965,563,809,915,1001,824,996,1015,885,7002,4253,13002,17490,20563,15995,11146,5887,2550,90886
CED218,2603,1064,478,221,59,7,6777,85,631,772,584,321,131,35,4,2564,2058,6903,6684,4045,1982,1053,274,61,23049,904,3097,3690,2787,1693,762,258,43,13230,1680,3782,4160,3882,2946,1609,653,135,18837,244,230,287,263,195,97,15,0,1329,158,349,486,583,473,271,80,24,2426,2077,4356,4931,4726,3615,1974,745,164,22588,49,150,186,140,116,97,39,11,792,1345,2065,1857,1360,1067,952,579,270,9496,6708,19357,20716,14706,9286,5187,1993,555,78503
CED219,1620,707,431,243,68,9,4619,100,632,724,522,344,281,56,9,2664,996,4530,4478,2509,1381,931,277,56,15163,786,3116,3383,2443,1768,1086,387,73,13050,2219,6234,5560,4789,3776,2235,780,174,25764,299,357,335,265,213,123,15,7,1611,188,316,455,462,376,269,98,26,2198,2709,6908,6349,5523,4358,2626,896,205,29574,30,131,146,100,96,79,36,25,643,1300,1837,1688,1360,1166,1090,771,274,9490,6002,18619,18395,13155,9544,6335,2493,655,75201
CED220,4996,3236,2303,1458,664,137,19610,81,1147,1146,1303,1088,754,231,38,5790,3676,14220,9204,7228,5169,3516,1674,485,45179,845,2363,1986,2098,1947,1620,966,331,12153,778,2008,1291,1302,1240,771,469,182,8039,120,144,114,99,94,64,32,14,675,81,186,221,332,350,316,191,83,1758,979,2334,1626,1725,1681,1150,692,277,10469,59,194,157,139,135,153,117,51,1017,804,1749,1141,954,811,894,904,687,7944,6812,28472,20261,16683,13134,9540,5244,2007,102163
CED221,3114,982,353,161,44,9,7023,100,614,754,419,256,105,36,3,2296,1400,6259,6391,2899,1360,712,215,46,19270,1172,4227,4796,2829,1632,803,262,62,15788,2457,6108,5640,4503,3256,1594,611,143,24304,376,395,330,267,189,64,24,4,1648,188,417,501,472,370,207,83,18,2255,3021,6915,6468,5242,3821,1865,722,160,28216,68,167,225,124,104,73,39,14,807,1370,2159,1872,1337,1110,830,566,262,9504,7235,22585,23623,13826,8629,4551,1880,554,82890
CED222,4143,1869,904,425,135,39,14544,102,735,871,770,499,307,70,9,3361,3211,10563,7982,4869,2679,1597,553,182,31623,1355,3434,3278,2790,1949,1149,471,151,14578,1533,3003,2744,3004,2684,1800,968,313,16049,199,215,204,204,177,109,34,3,1149,157,328,378,481,472,260,171,61,2304,1888,3548,3330,3689,3327,2175,1175,374,19507,107,269,263,153,134,120,77,37,1149,1511,2541,1609,1240,1191,1142,1047,730,11015,8698,27587,21473,15381,10677,6910,3529,1523,95769
CED223,795,741,730,590,139,23,3758,47,455,668,770,793,674,197,16,3621,448,2866,3271,2736,2370,2201,746,176,14808,436,1638,2259,2550,2696,2234,916,212,12946,2226,5049,4991,5111,5281,3421,1330,325,27735,293,289,264,252,288,208,56,13,1669,146,185,221,392,448,438,221,61,2112,2667,5530,5477,5752,6018,4067,1613,396,31519,26,56,64,83,106,148,98,47,622,1433,1274,1372,1592,1984,2188,1787,876,12495,5082,12521,13901,14225,14684,12103,5503,1740,79766
CED224,3054,1889,1011,575,204,35,8945,62,561,1003,1059,741,442,127,32,4037,1525,6704,7479,5421,3039,1792,686,197,26844,706,2180,3183,3485,2335,1569,667,236,14365,1281,2993,3233,3692,3199,1945,1000,371,17705,185,171,203,207,191,139,40,7,1144,96,196,375,503,507,386,161,82,2296,1561,3360,3809,4399,3894,2464,1199,460,21142,40,106,146,151,131,144,102,61,882,597,1085,1082,934,878,1011,986,671,7239,4607,16065,19752,17341,12021,8001,3963,1688,83445
CED225,3795,2540,1700,1182,475,71,12721,53,771,1219,1404,1108,809,231,33,5636,1837,6704,7851,5952,4010,2812,1001,273,30444,627,1849,2430,2903,2392,1909,848,236,13197,1342,2756,2759,3214,3013,1916,1093,336,16429,195,152,153,157,142,123,32,8,968,109,164,247,425,514,441,220,84,2204,1652,3074,3154,3800,3672,2489,1339,423,19595,43,91,135,116,122,144,102,35,782,637,837,905,840,841,937,834,499,6331,5000,16122,19488,17548,13846,10279,4837,1583,88700
CED226,4889,4554,3352,2118,983,254,20862,68,763,1095,1581,1469,1011,365,88,6438,3467,9312,8458,8873,6746,4496,2149,801,44294,844,1527,1572,2365,2264,2051,1165,515,12298,805,1410,983,1203,1309,812,559,242,7332,139,109,86,91,114,81,43,16,672,77,117,183,321,365,361,210,118,1758,1021,1628,1247,1611,1789,1260,812,375,9757,62,126,144,150,145,179,133,78,1017,715,906,825,850,774,807,814,649,6341,6496,18657,18233,19987,16551,11916,6427,2748,101008
CED227,2798,1118,542,294,95,4,7010,85,633,824,632,368,248,87,16,2887,1197,5519,6090,3290,1595,1075,384,90,19229,882,3631,4233,2923,1824,1056,461,99,15103,2070,6310,5290,4680,3398,1797,844,190,24576,359,295,290,193,168,99,26,6,1420,166,321,401,451,347,246,117,34,2097,2592,6929,5987,5324,3916,2144,981,227,28097,46,169,214,115,79,73,49,11,759,1168,1598,1450,1221,997,930,862,451,8679,6055,20544,21594,14608,9321,5822,2914,898,81766
CED228,6460,1493,578,288,78,8,14368,105,777,1127,569,355,188,42,0,3171,1815,8886,9508,3373,1657,977,226,33,26472,1151,4317,4601,2580,1771,862,265,44,15592,2321,5145,4580,3907,2985,1534,551,116,21142,312,339,290,214,187,94,17,0,1462,196,367,539,432,373,224,60,18,2212,2831,5856,5405,4557,3548,1852,636,131,24814,79,313,363,143,119,93,50,6,1168,1772,3026,2515,1417,1071,923,600,350,11684,8021,28381,29979,14140,9096,5187,1901,579,97277
CED229,5829,3475,2453,1613,644,93,22328,97,1352,1279,1290,1067,752,196,29,6061,3247,16700,10674,6932,4746,3300,1252,335,47188,1079,3390,2893,2397,2024,1603,695,200,14281,925,3065,1983,1632,1450,838,425,153,10486,152,202,137,128,91,66,32,7,806,101,285,315,375,368,293,154,53,1940,1176,3557,2438,2135,1904,1199,612,216,13234,78,325,213,147,123,140,82,34,1141,1035,2919,2095,1526,1284,1165,963,735,11716,7170,35992,25421,17901,13607,9768,4442,1633,115944
CED230,534,402,338,242,67,15,2324,41,405,436,512,493,368,102,8,2364,546,3049,2546,2053,1656,1323,500,123,11797,440,1639,1863,2170,2183,1660,635,155,10747,2168,5353,4663,4788,5101,3199,1165,267,26701,335,398,317,269,284,174,63,7,1840,131,218,304,374,399,328,118,38,1898,2637,5969,5279,5429,5788,3700,1346,309,30439,24,92,78,75,81,116,83,36,574,1723,1797,1793,1999,2413,2706,2173,1274,15874,5479,13614,12523,12635,12951,10119,4897,1917,74129
CED231,3363,1909,1274,733,156,22,11350,77,875,1124,1072,837,529,130,18,4662,2384,8526,7608,5398,3217,1873,517,127,29643,777,2270,2461,2575,1946,1263,521,150,11961,1042,2991,2636,2866,2352,1547,918,306,14657,153,210,168,163,158,90,35,4,973,114,233,312,462,396,291,150,55,2014,1307,3436,3113,3488,2906,1930,1103,364,17644,21,119,128,110,100,98,69,20,666,762,1390,1157,1034,928,953,918,496,7643,5531,20309,18959,15578,11203,7377,3419,1193,83571
CED232,2161,1261,791,520,173,18,6577,64,584,975,892,693,422,89,17,3731,995,4618,5616,3646,2157,1508,522,93,19159,729,2664,3494,2963,2102,1448,518,87,14007,2046,5189,5301,4889,3814,2089,825,155,24303,277,248,242,218,176,96,31,3,1295,146,268,391,475,380,316,125,34,2130,2459,5705,5934,5574,4365,2499,983,192,27728,24,90,146,120,110,102,69,25,698,1036,1123,1207,1179,1112,1016,722,302,7699,5389,16358,19544,15639,11335,7524,3074,738,79592
CED233,7058,3311,2399,1576,649,104,32132,229,2227,1450,1085,906,640,181,12,6730,9478,28347,11397,5231,3468,2304,977,238,61442,2274,4767,2887,1735,1320,975,410,110,14475,1529,3454,1845,1283,1060,505,236,78,9992,254,275,142,117,99,56,22,0,972,171,381,272,271,261,154,83,28,1620,1958,4112,2258,1674,1423,713,336,111,12584,232,454,215,121,86,76,54,23,1259,2749,5095,2524,1477,1237,892,558,284,14818,18216,60722,27788,14630,10840,7179,3167,880,143435
CED234,4668,2744,1845,1098,438,81,15272,61,594,997,1127,982,674,266,45,4743,2647,7708,8884,7155,4870,3128,1453,406,36254,842,1977,2541,3031,2707,1997,1233,361,14688,1198,1759,1776,2747,2543,1440,1221,441,13131,153,101,145,163,162,100,72,12,913,132,133,243,463,504,448,270,99,2291,1484,1997,2164,3377,3218,1984,1558,557,16339,56,130,158,172,196,157,136,48,1049,695,1044,1033,1012,897,961,1129,886,7654,6068,17577,20438,18612,14705,10002,6216,2386,95998
CED235,639,654,706,555,206,26,3370,53,376,521,559,628,637,167,20,2962,489,2641,2615,2162,2181,2095,803,146,13141,344,1562,2020,2048,2248,2116,849,206,11400,1794,5004,4519,4688,4921,3481,1468,377,26253,262,267,270,229,260,212,52,19,1567,116,199,244,326,423,454,203,54,2011,2171,5468,5027,5243,5604,4145,1729,449,29833,25,60,75,75,99,160,121,34,643,1116,1174,1300,1407,1785,2103,1614,742,11235,4224,11825,12205,12155,13257,11813,5482,1622,72584
CED236,635,494,365,235,78,12,2682,41,426,525,528,475,325,98,18,2435,579,3053,2643,2044,1624,1304,448,106,11794,501,1781,2036,2138,2101,1547,664,137,10911,2300,4933,4493,4866,4656,3042,1204,275,25762,335,311,283,251,217,159,44,8,1623,123,219,267,371,379,305,138,33,1835,2761,5467,5039,5490,5252,3501,1391,313,29218,37,85,90,60,90,97,64,24,544,1588,1691,1580,1764,2062,2146,1986,1178,13984,5570,13278,12546,12519,11980,9157,4727,1787,71565
CED237,3135,1006,474,220,51,5,8467,76,700,774,506,304,140,41,0,2540,1855,6662,6147,2860,1638,939,238,42,20380,1010,3249,3835,2641,1663,808,261,42,13505,1825,4266,3858,3592,2837,1558,621,148,18699,232,247,245,200,191,87,21,3,1230,168,304,436,506,451,251,64,15,2203,2225,4820,4547,4299,3479,1896,708,169,22136,81,188,212,130,117,78,38,3,855,1229,1729,1550,1155,1063,981,875,587,9162,6779,20609,20208,12589,8732,5057,2208,854,77042
CED238,728,665,695,579,175,24,3606,53,382,558,601,645,550,136,20,2948,499,3053,3026,2618,2302,2124,741,150,14511,349,1563,1875,2172,2385,2075,816,193,11429,2146,4804,4473,4839,4899,2944,1051,267,25417,323,292,269,228,254,167,47,14,1598,107,189,222,348,390,368,153,43,1815,2575,5287,4960,5419,5538,3474,1250,321,28823,16,61,56,63,82,120,83,33,515,1293,1298,1410,1577,1904,2196,1752,1020,12451,4825,12347,12611,13114,13561,11116,4951,1767,74292
