CED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
CED101,7,10,12,5,4,3,4,208,0,0,9,9,4,79,68,26,4,4,0,0,0,0,0,215,4,14,38,45,64,40,78,67,5,3,12,0,0,5,8,385,40,272,340,105,34,12,37,46,4,0,3,5,0,0,43,953,0,0,3,17,47,69,98,40,9,11,3,5,9,0,7,320,0,0,5,47,97,105,159,54,10,0,13,9,0,0,4,501,10,68,344,718,625,348,359,157,30,43,26,39,19,5,98,2887,0,13,41,120,325,193,254,150,34,61,50,30,13,15,32,1336,0,0,0,0,13,101,863,803,398,779,1176,956,228,13,72,5393,11,28,13,3,14,4,19,7,0,0,4,0,0,0,4,111,3,21,83,237,412,519,516,263,45,45,38,34,16,17,68,2315,0,16,488,434,230,186,109,56,13,13,6,8,3,0,30,1579,0,0,3,7,34,48,103,132,31,41,50,38,30,3,10,528
CED102,14,9,9,9,4,3,5,275,0,0,5,11,15,55,48,38,6,7,6,7,4,0,5,193,0,8,26,26,77,65,138,138,7,13,21,21,8,0,10,566,40,559,729,122,38,54,95,146,29,15,23,13,0,4,150,2015,0,0,0,14,66,119,137,83,26,12,25,21,6,5,13,530,0,0,0,48,109,128,220,121,28,15,38,22,5,4,17,757,3,99,496,1178,983,560,454,214,34,47,59,46,39,24,139,4372,0,7,38,122,310,150,291,203,70,96,86,88,28,4,36,1529,0,0,0,3,4,86,1216,1200,645,1179,1972,1739,388,23,166,8618,9,19,17,7,11,8,20,10,0,3,0,3,4,0,6,115,3,15,65,221,438,544,516,255,42,40,44,39,9,23,94,2357,0,63,1107,929,363,282,202,68,19,9,13,18,10,0,121,3213,0,0,5,8,34,40,73,107,22,28,38,42,23,7,5,437
CED103,123,125,129,140,78,43,47,2597,0,0,22,22,23,75,73,33,4,9,7,3,0,4,7,269,5,12,33,37,101,74,109,74,9,4,12,3,0,0,14,492,94,521,626,111,51,36,74,138,28,20,18,18,10,0,56,1795,0,9,9,22,87,192,219,105,24,27,32,25,5,5,18,772,4,0,3,279,1221,1605,2989,1335,275,249,239,224,96,14,167,8709,16,66,235,336,232,132,77,43,3,13,9,17,10,6,30,1217,3,16,92,296,712,308,597,346,104,142,97,129,34,5,42,2914,0,0,0,0,0,29,154,169,73,175,180,152,24,4,12,980,7,53,21,20,15,23,32,12,3,5,3,8,0,0,3,208,14,30,87,260,358,402,441,229,32,29,44,53,36,14,36,2062,0,6,39,23,11,8,5,10,3,0,0,0,0,0,0,123,0,0,0,16,34,65,127,261,116,132,110,147,85,44,18,1158
CED104,55,56,52,50,11,8,25,1600,0,0,0,8,8,22,20,14,0,0,4,0,0,0,0,75,0,12,44,55,106,85,89,33,7,15,7,3,0,7,3,470,42,324,315,74,27,25,36,24,4,0,0,0,0,0,50,911,0,0,14,19,54,116,105,50,6,13,3,4,5,0,9,391,0,0,0,82,399,492,771,223,33,42,49,33,26,3,44,2201,16,95,225,167,149,103,60,16,0,6,0,10,13,0,15,868,3,18,98,225,544,253,328,220,36,37,17,29,12,3,28,1851,0,0,0,0,3,54,212,78,16,34,26,46,7,3,0,476,26,105,48,34,30,43,63,15,0,4,3,5,0,3,13,389,13,36,175,317,410,419,392,150,26,13,22,31,18,5,47,2074,0,0,8,3,3,3,0,0,0,0,0,0,0,0,0,25,0,0,3,32,55,94,100,125,43,29,25,21,10,0,9,546
CED105,15,22,6,25,13,0,53,635,0,0,3,18,24,679,578,460,29,49,55,29,11,8,54,2006,0,6,29,33,20,9,23,7,0,0,0,0,0,0,14,129,25,351,396,100,24,14,20,24,3,0,3,9,4,0,74,1034,0,0,4,6,14,29,33,11,0,7,8,5,0,0,0,120,0,0,0,91,267,342,585,215,68,40,38,28,17,0,60,1745,16,100,1039,2640,2042,1684,1865,875,149,188,178,164,79,31,436,11487,0,5,14,61,169,102,138,146,114,137,130,117,12,4,40,1194,0,0,0,0,0,41,560,554,388,878,1604,1413,358,8,154,5957,5,15,12,4,4,3,3,6,3,0,0,0,0,0,19,68,0,9,29,117,232,364,360,281,28,29,53,40,10,0,139,1696,0,25,363,373,152,155,85,19,5,0,0,3,0,0,24,1202,0,0,0,25,139,313,782,1149,268,278,305,339,161,46,79,3878
CED106,100,110,69,124,58,18,31,2273,0,0,3,10,3,22,16,6,0,0,0,0,0,0,0,56,7,13,33,41,113,92,127,63,3,6,4,5,3,0,9,506,36,171,148,41,19,26,48,39,5,10,5,3,6,0,39,578,0,4,14,52,206,272,301,147,56,41,74,98,67,49,41,1422,0,0,0,138,632,813,1370,490,82,69,101,88,78,35,70,3966,6,25,58,65,41,25,16,10,3,0,7,4,0,3,3,268,13,21,131,326,560,260,493,188,51,55,67,47,27,6,25,2258,0,0,0,0,0,31,261,215,106,195,295,236,46,0,42,1423,16,86,26,36,42,26,80,24,4,7,10,10,0,0,9,374,31,65,258,324,418,554,550,232,26,45,22,43,22,10,39,2649,0,0,3,12,0,8,3,0,0,0,0,0,3,0,0,38,0,0,9,23,27,40,45,102,32,45,23,21,9,6,6,388
CED107,3,0,5,4,4,0,20,75,0,0,0,0,0,10,10,12,7,0,0,0,0,0,4,49,0,21,40,38,27,21,45,23,0,0,0,3,0,0,16,231,12,69,88,14,5,0,10,8,4,0,3,7,0,0,17,247,0,3,6,0,11,16,22,11,0,9,5,0,0,0,3,75,0,0,0,4,14,5,34,45,4,4,10,8,4,0,7,135,4,6,26,14,13,11,7,0,0,0,0,0,0,0,25,106,0,3,20,28,36,3,27,23,3,14,3,10,3,0,9,188,0,0,0,0,4,7,103,96,60,104,79,42,8,0,13,504,33,161,60,33,30,15,6,4,0,0,3,5,0,0,10,356,10,25,151,313,363,248,247,108,18,13,14,13,10,7,120,1659,0,0,0,9,3,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,6,27,66,7,13,15,26,10,3,11,181
CED108,14,17,25,32,8,0,6,601,0,0,0,13,28,376,469,376,84,124,69,144,28,10,18,1742,0,9,40,44,35,17,30,29,0,3,4,0,4,0,3,216,9,121,228,58,27,11,26,20,4,3,0,5,0,0,22,538,0,0,0,3,4,9,13,13,3,0,8,0,3,0,3,77,0,0,0,21,129,176,271,109,15,12,8,3,4,0,19,764,0,9,95,226,208,186,150,73,10,20,6,32,8,0,27,1061,0,4,22,41,107,78,115,69,21,20,29,20,10,10,3,539,0,0,0,0,5,59,814,385,74,70,100,90,51,0,9,1650,5,110,35,16,8,0,15,7,0,0,0,0,0,0,5,207,0,10,45,210,608,1259,1161,813,166,153,158,130,46,26,226,5013,0,0,29,36,24,13,16,0,0,0,0,0,0,0,7,136,0,0,0,22,210,483,1047,1101,260,218,270,217,80,25,39,3967
CED109,8,4,0,0,0,0,0,153,0,0,6,3,13,41,25,3,0,0,0,0,0,0,0,97,0,16,56,54,108,55,173,110,15,17,16,11,5,4,6,637,37,354,322,78,39,23,44,65,11,3,3,8,0,0,50,1048,0,4,0,13,32,51,54,34,4,4,7,4,0,0,3,212,0,0,0,12,42,27,62,22,0,0,0,0,0,0,3,180,6,46,138,185,148,59,61,32,3,0,4,3,10,6,24,720,0,6,33,85,144,54,71,34,9,11,7,9,4,0,8,476,0,0,0,0,0,8,51,34,5,12,10,8,0,0,6,126,13,101,31,14,13,11,21,13,4,3,4,3,0,0,11,255,14,30,130,280,356,420,439,215,62,27,33,26,26,26,67,2157,0,11,229,215,115,86,68,38,10,6,11,0,0,0,19,814,0,0,7,8,12,7,10,18,11,0,3,6,0,0,0,77
CED110,5,0,0,0,0,0,0,43,0,0,3,3,0,6,10,11,9,82,144,111,20,4,14,409,4,8,44,49,36,29,57,56,4,0,3,0,0,0,10,301,9,88,57,13,5,12,14,17,5,0,0,4,0,0,17,245,0,0,0,6,7,22,50,14,5,12,8,9,3,4,6,141,0,0,0,5,10,12,24,23,6,0,0,0,0,0,4,89,0,4,19,0,0,4,5,6,0,0,0,0,0,0,6,50,0,8,29,27,21,9,25,40,24,25,24,59,13,3,25,336,0,0,0,0,4,0,24,28,27,56,48,55,20,0,5,268,39,243,83,34,47,20,39,8,0,0,0,7,7,0,17,542,14,59,252,505,522,277,304,123,14,13,15,11,6,7,114,2239,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,10,25,9,0,9,7,5,0,0,68
