CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED101,1706,1457,3159,4313,3970,8286,1518,1423,2943,572,618,1190,6412,6030,12438,3182,2854,6038,1376,1531,2908,701,754,1454,5269,5134,10406,378,284,661,380,559,942,599,269,864,695,971,1663,21,7,24,2069,2081,4152,2463,2847,5314,776,901,1676,308,383,691,559,892,1453,12,3,17,4121,5026,9149,6220,7123,13335,367,358,726,395,532,919,13,13,22,768,899,1669,3551,3899,7452,23927,24532,48459
CED102,1691,1567,3258,4081,3746,7829,1316,1327,2647,520,510,1034,5931,5595,11526,2805,2521,5330,1392,1423,2816,641,646,1285,4854,4597,9447,575,393,968,757,913,1664,608,321,930,1114,1582,2692,10,13,28,3061,3226,6291,2977,3138,6121,1435,1435,2870,403,396,804,784,1161,1950,15,18,26,5615,6157,11768,8700,9399,18096,746,657,1409,808,991,1797,9,13,23,1565,1660,3230,5092,4919,10017,27831,27737,55571
CED103,2040,1793,3837,5881,5447,11327,1262,1317,2579,590,541,1137,7744,7322,15064,3536,3329,6866,1451,1242,2700,816,828,1642,5815,5409,11224,268,287,551,488,749,1245,419,224,635,965,1670,2639,3,5,14,2145,2940,5084,3731,3877,7604,1483,1666,3151,447,435,880,1106,1490,2593,20,18,39,6784,7478,14259,8940,10429,19370,348,386,734,601,788,1384,5,4,16,951,1180,2131,3545,3634,7183,29031,29768,58796
CED104,1653,1532,3182,5896,5237,11134,825,778,1602,880,770,1652,7612,6796,14406,3808,3501,7303,1260,1433,2691,1500,1394,2897,6580,6333,12907,188,222,410,161,244,407,692,260,947,523,959,1484,3,9,12,1569,1694,3265,2579,2719,5302,445,612,1053,373,370,745,676,1091,1768,11,14,21,4087,4806,8891,5659,6506,12160,156,145,300,296,366,661,3,8,12,453,525,974,1996,2221,4215,23945,23913,47857
CED105,1909,1657,3571,4842,4541,9383,1575,1572,3138,1591,1637,3229,8041,7771,15813,3782,3756,7540,1435,1288,2723,1219,1294,2512,6463,6354,12821,646,533,1180,696,855,1554,662,283,945,744,1081,1824,14,20,31,2764,2771,5541,3096,3389,6484,1171,1071,2241,444,418,861,512,655,1165,14,20,32,5233,5554,10789,8029,8353,16378,871,653,1526,696,774,1474,22,18,38,1588,1443,3032,8590,7406,15995,34624,32986,67607
CED106,1952,1787,3739,5628,5273,10899,768,767,1530,1869,1859,3726,8277,7896,16182,2979,2458,5439,1020,1208,2232,3287,3351,6639,7295,7026,14315,176,178,349,248,382,628,300,173,471,590,1204,1793,4,0,5,1312,1935,3249,3380,3508,6888,668,861,1527,379,363,746,854,1244,2102,8,12,19,5292,5992,11283,6614,7929,14545,215,248,462,382,595,976,8,7,14,600,848,1448,2122,2380,4502,26861,27865,54732
CED107,1908,1722,3631,5154,4749,9903,1797,1741,3535,554,561,1114,7516,7062,14576,3348,3049,6396,1322,1557,2882,1038,948,1985,5715,5557,11272,171,224,396,122,285,407,848,582,1424,773,1301,2073,12,13,23,1921,2412,4330,551,993,1544,244,434,680,144,251,391,594,1167,1764,5,4,6,1531,2850,4385,3464,5267,8729,105,124,232,178,364,545,3,7,11,291,499,790,7766,5571,13337,26662,25680,52336
CED108,2341,2045,4383,6744,6301,13045,2156,2229,4385,1219,1269,2493,10137,9824,19966,3972,4012,7982,2128,1934,4059,1055,979,2031,7168,6935,14102,411,402,813,471,795,1268,563,389,951,849,1386,2240,10,10,26,2304,2992,5291,2138,2651,4784,695,941,1629,322,354,677,622,921,1548,10,21,31,3780,4889,8673,6100,7906,14007,569,480,1053,494,679,1173,16,17,34,1076,1175,2253,6826,6872,13701,33648,34757,68406
CED109,1697,1520,3222,4211,3749,7958,1289,1274,2561,442,436,879,5950,5462,11414,2933,2734,5673,1245,1303,2556,695,746,1444,4886,4794,9680,168,203,374,172,267,435,858,285,1146,594,892,1492,9,9,16,1804,1651,3456,1535,2044,3577,326,456,778,255,314,568,562,924,1490,5,7,12,2687,3744,6430,4495,5402,9898,105,124,230,247,444,692,5,6,9,358,573,932,3110,3336,6445,20492,21090,41583
CED110,1611,1521,3126,3903,3787,7691,1483,1499,2984,977,985,1960,6373,6271,12647,2782,2819,5607,1418,1432,2854,975,903,1878,5185,5173,10353,226,258,483,198,364,563,634,452,1089,766,1358,2121,16,14,25,1836,2448,4283,514,1031,1546,264,546,809,103,210,315,486,1062,1553,3,9,17,1365,2869,4235,3206,5322,8530,108,130,238,185,387,579,15,7,23,307,529,834,6309,5911,12219,22994,24723,47711
CED111,1866,1764,3633,4614,4210,8825,1172,1197,2371,469,511,980,6261,5928,12192,2991,2968,5963,1478,1439,2919,557,547,1106,5035,4970,9997,248,306,554,268,386,652,858,502,1361,736,1154,1896,9,14,22,2117,2357,4473,2652,3377,6029,1084,1076,2165,380,438,824,751,1356,2117,5,9,19,4881,6260,11146,7010,8629,15639,182,173,355,240,385,626,3,6,6,427,557,990,3601,3826,7416,24201,25666,49865
CED112,2056,1910,3966,4998,4641,9641,1190,1238,2427,839,762,1600,7036,6650,13691,3660,3453,7115,1035,1035,2072,784,816,1601,5494,5305,10800,195,294,490,142,298,439,887,512,1407,703,1247,1954,8,12,24,1942,2372,4308,781,1213,1993,297,543,847,198,297,501,421,1017,1443,0,7,7,1703,3084,4787,3646,5457,9106,135,170,303,235,380,611,0,5,8,370,552,924,4306,4810,9115,22908,24688,47603
CED113,1558,1454,3015,4608,4174,8784,1476,1260,2737,583,628,1211,6681,6069,12747,3034,2837,5872,1367,1313,2678,659,706,1368,5064,4853,9920,206,179,380,170,226,395,744,461,1202,709,1216,1919,9,7,18,1841,2088,3921,509,846,1352,301,471,768,142,252,398,683,1380,2065,4,14,21,1646,2956,4600,3488,5042,8529,180,161,338,278,501,770,9,6,20,465,669,1133,5383,4805,10187,22638,22892,45527
CED114,1838,1723,3564,4713,4361,9077,1624,1674,3300,722,690,1412,7071,6730,13802,3194,3260,6457,1438,1450,2892,719,818,1537,5357,5542,10897,197,249,440,187,330,524,783,502,1286,626,1270,1896,12,10,23,1807,2357,4168,384,830,1209,179,376,555,124,225,354,384,921,1307,5,9,11,1074,2361,3431,2887,4726,7612,169,146,315,236,445,672,12,9,24,416,598,1013,7082,6664,13740,24644,25981,50628
CED115,1345,1140,2484,4892,4499,9387,1451,1382,2834,480,468,945,6856,6360,13218,4605,4372,8978,1132,1190,2325,444,493,933,6194,6070,12266,398,430,829,526,858,1381,481,233,718,639,1018,1658,13,20,31,2050,2553,4606,2334,2982,5312,651,712,1366,310,355,667,355,511,868,10,15,24,3656,4578,8236,5735,7165,12898,408,502,913,450,772,1223,28,16,45,885,1298,2179,6149,6148,12298,27158,28189,55348
CED116,1679,1423,3103,4492,4298,8792,731,732,1463,491,494,988,5731,5528,11261,2969,2862,5831,804,851,1655,642,659,1302,4425,4375,8800,179,198,376,115,221,337,736,409,1144,584,1111,1694,18,16,33,1632,1952,3585,419,681,1099,213,454,669,85,161,253,396,895,1295,3,4,7,1118,2200,3317,2752,4155,6905,128,101,233,179,379,556,12,5,19,316,487,802,6010,5185,11201,20920,21155,42074
CED117,1462,1332,2796,3855,3606,7462,739,811,1556,451,428,883,5048,4859,9906,1872,1667,3535,873,1098,1970,1145,908,2052,3899,3677,7574,234,255,488,395,447,836,303,185,489,765,1064,1832,7,3,13,1698,1960,3657,1931,2368,4294,1002,1269,2266,309,369,675,1255,1918,3170,5,10,18,4501,5929,10428,6205,7890,14098,254,242,492,408,601,1011,8,6,12,666,844,1517,3458,3143,6606,20739,21753,42492
CED118,2573,2414,4990,7872,7394,15267,1917,1911,3833,833,821,1656,10644,10136,20776,4754,4391,9148,1789,1807,3596,838,797,1638,7393,7010,14407,426,367,790,404,600,1008,706,394,1096,827,1436,2261,10,3,15,2371,2796,5172,2573,2991,5563,789,1114,1906,360,442,795,778,1144,1924,12,10,21,4501,5704,10205,6886,8519,15412,601,439,1041,574,689,1263,13,10,25,1188,1139,2327,5649,4126,9777,34335,33353,67686
CED119,2034,1839,3867,4955,4598,9554,1736,1681,3408,510,514,1025,7215,6790,14003,3438,3340,6777,1538,1564,3102,696,669,1363,5676,5581,11260,191,283,477,144,220,366,1050,389,1439,543,917,1461,8,10,15,1940,1822,3758,1548,2092,3641,307,451,758,252,313,563,648,1062,1709,10,11,18,2769,3920,6693,4712,5751,10458,119,120,238,255,365,626,3,6,7,378,486,871,2442,2497,4941,22459,22942,45404
CED120,2327,2156,4488,5777,5249,11023,1493,1539,3030,852,881,1734,8134,7678,15814,3434,3270,6704,1547,1553,3101,927,1026,1952,5921,5853,11772,216,273,491,123,210,334,1174,613,1782,610,1119,1730,17,11,25,2139,2225,4371,810,1403,2217,235,455,691,148,307,454,468,1056,1528,4,5,7,1674,3223,4896,3820,5463,9284,171,161,326,220,381,605,0,7,6,395,544,940,4712,4246,8956,25305,25949,51252
CED121,2081,1950,4035,5162,4880,10042,1358,1278,2636,1048,1067,2116,7578,7243,14820,3450,3369,6821,979,987,1962,916,939,1854,5347,5302,10652,219,273,489,132,315,448,970,601,1573,679,1346,2027,15,7,27,2014,2553,4565,641,1071,1709,281,495,782,165,288,448,484,1104,1584,5,5,6,1574,2959,4531,3587,5517,9107,171,146,322,248,432,679,3,7,12,421,588,1009,6189,4155,10349,25215,24755,49973
CED122,1736,1570,3300,3276,3125,6397,1748,1757,3504,965,899,1861,5989,5788,11782,1641,1587,3227,1980,1892,3870,1206,1139,2343,4832,4620,9454,305,352,652,478,711,1187,560,329,888,1143,1560,2702,6,10,17,2490,2958,5442,3821,4049,7870,1644,1619,3267,332,422,755,1012,1497,2507,24,14,32,6834,7594,14431,9337,10564,19906,474,460,932,765,950,1716,11,8,23,1257,1418,2673,5938,4916,10854,29090,28878,57963
CED123,2440,2139,4582,6363,5960,12321,1536,1589,3126,926,854,1788,8834,8419,17255,3357,3426,6789,1942,1967,3908,906,823,1731,6219,6225,12439,297,429,730,238,508,746,1010,546,1552,719,1313,2029,12,11,17,2275,2804,5083,1233,1830,3058,471,701,1173,247,385,631,577,1182,1759,7,4,16,2526,4102,6627,4813,6919,11728,233,220,447,336,499,837,8,10,15,577,727,1301,6050,5938,11986,28932,30362,59297
CED124,1423,1310,2726,4336,4131,8467,865,798,1660,581,527,1104,5783,5459,11242,2954,2831,5785,932,973,1905,601,620,1220,4486,4432,8917,178,255,426,108,268,378,656,473,1131,452,1004,1457,11,11,17,1404,2003,3412,328,561,890,120,348,469,72,174,241,288,791,1080,3,6,10,810,1876,2683,2215,3886,6097,75,103,174,137,281,418,6,6,17,218,391,607,5058,5205,10268,19180,20685,39869
CED125,2747,2395,5135,7148,6862,14014,1680,1750,3427,1409,1392,2804,10270,10020,20285,4346,4113,8462,1970,1933,3902,971,1012,1982,7300,7074,14369,315,380,693,321,598,922,848,422,1272,824,1308,2140,12,8,21,2329,2723,5049,1637,2304,3943,557,940,1501,271,365,635,648,1114,1759,14,18,28,3126,4744,7866,5462,7482,12950,272,342,613,398,634,1037,11,7,17,682,983,1662,5307,5324,10629,31760,33273,65029
CED126,1847,1738,3586,5071,4759,9830,897,790,1693,881,788,1668,6862,6343,13204,3190,3038,6231,1390,1380,2769,1458,1341,2803,6047,5767,11809,232,211,445,170,222,388,877,364,1247,634,953,1586,7,5,16,1923,1757,3686,1746,2073,3823,300,465,763,269,353,621,544,1042,1581,4,12,11,2865,3935,6801,4792,5703,10495,137,156,290,314,452,766,3,0,3,452,611,1063,2631,2990,5625,22636,23150,45788
CED127,1661,1531,3192,4448,4217,8669,826,845,1673,875,776,1653,6167,5847,12010,2845,2765,5605,1122,1049,2169,1077,1017,2100,5052,4836,9890,219,263,481,164,285,452,939,446,1380,558,1086,1652,6,5,10,1895,2090,3982,849,1260,2112,291,610,903,223,253,479,585,1252,1840,0,10,15,1954,3393,5348,3855,5492,9345,139,161,304,202,381,588,0,9,7,343,551,897,2847,2837,5688,19927,21097,41018
CED128,1686,1513,3200,5102,4840,9942,2008,1998,4000,642,632,1278,7774,7486,15254,4053,3746,7801,1908,2066,3978,559,621,1181,6536,6443,12980,400,393,789,402,714,1115,673,282,951,691,1065,1757,9,9,14,2169,2467,4631,2009,2565,4573,500,619,1119,251,318,567,373,608,978,12,11,24,3154,4117,7268,5344,6605,11951,409,426,839,511,690,1201,24,23,46,948,1142,2083,5821,5599,11423,28108,28784,56894
CED129,2405,2321,4726,7240,6691,13931,1901,1839,3744,1133,1118,2253,10290,9652,19944,4021,3704,7716,2055,2143,4198,1736,1618,3351,7811,7474,15286,254,344,594,228,433,655,703,319,1025,682,1279,1960,3,0,11,1869,2374,4242,2827,3321,6148,640,740,1372,431,423,848,911,1221,2132,12,13,19,4813,5710,10522,6699,8090,14788,224,221,450,381,550,930,0,10,10,605,779,1386,2325,2350,4678,30138,30667,60808
CED130,1650,1488,3140,4463,4236,8699,1406,1364,2771,655,677,1333,6538,6282,12818,3602,3136,6736,851,995,1849,797,1070,1873,5254,5204,10458,184,193,372,130,313,442,605,480,1088,615,1242,1855,8,9,19,1540,2237,3776,537,1012,1555,343,502,845,152,275,423,448,1025,1470,4,6,9,1480,2810,4294,3027,5049,8077,120,131,250,146,311,464,6,4,9,274,448,725,6881,6762,13643,23610,25243,48854
CED131,1817,1625,3442,4546,4139,8682,1250,1196,2445,637,571,1209,6432,5906,12342,3143,3094,6234,861,898,1753,782,751,1531,4787,4747,9532,304,296,600,287,374,658,642,477,1115,811,1130,1937,7,5,9,2052,2273,4324,2939,3777,6718,1186,1425,2612,403,519,922,1169,1803,2970,8,7,17,5706,7539,13242,7767,9822,17588,173,183,353,307,487,794,0,6,9,483,673,1154,3946,3875,7823,25237,26644,51883
CED132,1871,1624,3500,4440,4286,8731,1197,1093,2286,853,806,1652,6496,6199,12695,1726,1967,3693,1688,1195,2880,1869,1721,3590,5287,4886,10175,167,157,325,233,435,664,280,158,436,652,1221,1878,4,5,9,1338,1970,3307,2579,2516,5088,747,1008,1755,325,351,683,1164,1651,2819,10,9,19,4816,5542,10355,6161,7514,13679,204,254,462,514,712,1225,8,3,13,730,976,1705,3026,3503,6529,23574,24705,48283
CED133,1633,1504,3132,4487,4176,8661,1367,1360,2729,751,677,1430,6619,6216,12834,3213,3068,6286,1279,1319,2603,610,541,1155,5109,4938,10048,199,258,453,168,395,567,637,453,1089,625,1177,1804,8,7,17,1642,2288,3929,342,567,910,239,461,701,143,250,392,479,1118,1597,10,11,19,1214,2408,3615,2853,4702,7556,118,123,239,193,345,542,10,13,16,321,480,795,7156,6207,13364,23687,24038,47726
CED134,1803,1691,3498,4266,4023,8280,1776,1808,3584,545,480,1022,6587,6322,12908,2990,2951,5941,744,818,1560,530,602,1130,4270,4372,8642,136,149,289,127,223,347,570,438,1006,505,1167,1672,8,9,22,1353,1986,3336,216,455,664,123,301,423,60,187,247,300,966,1264,3,9,11,703,1914,2618,2062,3905,5962,125,115,237,169,281,449,7,6,15,293,403,700,9272,9207,18479,24292,25894,50183
CED135,2171,2044,4209,6453,5976,12426,1518,1482,2995,558,580,1140,8540,8045,16589,3371,3158,6527,1477,1485,2958,672,568,1237,5530,5214,10743,609,463,1074,762,979,1741,509,307,819,987,1694,2676,12,18,25,2877,3453,6331,3357,3383,6736,1723,1687,3404,416,439,855,861,1174,2033,29,15,45,6381,6694,13071,9279,10171,19449,1120,776,1891,716,851,1564,16,12,30,1848,1639,3490,6962,6189,13154,34338,33305,67634
CED136,2078,1999,4078,5366,5128,10495,1624,1527,3146,781,756,1540,7779,7413,15191,3736,3564,7296,1146,1252,2393,769,722,1492,5652,5536,11191,276,311,591,196,332,528,858,561,1424,751,1373,2128,17,16,26,2093,2602,4690,679,1114,1790,320,572,887,156,300,457,582,1191,1779,0,8,10,1739,3187,4921,3834,5788,9620,161,160,323,259,418,683,16,9,22,441,589,1024,4189,4143,8332,23968,25473,49442
CED137,1753,1625,3373,3869,3784,7655,1563,1535,3102,709,845,1545,6152,6173,12326,2135,2297,4432,1530,1463,2991,1152,1281,2434,4822,5045,9865,646,506,1150,817,1078,1897,542,328,868,1030,1474,2506,16,9,26,3047,3394,6443,3936,4145,8081,1846,1904,3749,578,513,1090,1131,1487,2614,33,22,54,7518,8077,15595,10590,11490,22077,947,905,1852,1061,1190,2251,16,12,31,2023,2117,4137,5944,4812,10755,31281,31265,62545
CED138,1529,1414,2944,3868,3511,7382,1447,1404,2846,933,937,1865,6254,5866,12119,2569,2387,4951,1256,1311,2564,1040,1024,2060,4866,4727,9597,190,238,428,225,432,656,563,380,944,697,1176,1872,20,13,30,1689,2232,3924,458,855,1314,332,705,1034,144,262,405,493,1226,1725,9,11,18,1430,3062,4497,3129,5303,8431,102,164,265,301,570,868,12,6,16,408,746,1157,6209,6512,12717,22399,24563,46964
CED139,1869,1742,3613,4600,4240,8842,1763,1824,3591,570,541,1111,6938,6610,13550,2881,2810,5688,1542,1667,3205,685,711,1396,5107,5185,10296,252,226,478,164,268,431,798,569,1372,647,1185,1828,13,8,22,1879,2256,4135,576,1289,1867,226,433,650,133,298,427,443,1054,1500,5,4,12,1378,3078,4459,3261,5337,8602,175,159,332,193,310,508,3,9,11,373,472,850,6383,5417,11799,23944,24770,48711
CED140,1835,1605,3441,4375,3994,8370,930,822,1750,870,778,1648,6189,5612,11801,3008,2997,5996,752,689,1441,931,984,1912,4696,4671,9374,203,233,440,170,287,462,756,397,1154,601,1129,1735,12,5,18,1752,2061,3806,974,1338,2317,331,559,889,187,297,480,542,1101,1642,3,13,15,2035,3309,5344,3793,5367,9158,109,126,232,223,379,604,5,0,11,340,502,840,3694,4139,7836,20541,21899,42442
CED141,1856,1704,3564,5031,4522,9559,1018,993,2006,453,424,874,6505,5946,12455,3431,3227,6656,890,928,1818,517,541,1062,4839,4705,9538,165,235,403,138,233,373,846,388,1240,633,938,1574,9,7,14,1794,1800,3598,932,1235,2173,311,503,805,170,258,432,495,1002,1494,6,4,8,1914,2994,4915,3715,4800,8514,107,99,202,232,375,607,5,3,8,346,479,820,3181,3282,6462,20442,20912,41359
CED142,1118,988,2103,2017,1961,3981,410,396,806,412,419,837,2843,2779,5622,1031,959,1990,353,455,806,559,511,1069,1946,1931,3876,373,473,847,1223,1663,2891,367,326,697,1633,2012,3647,9,16,20,3613,4484,8094,5082,6066,11151,2924,3029,5958,460,506,967,2187,2375,4557,26,15,42,10681,11990,22666,14306,16490,30801,1154,1528,2684,1454,1826,3283,24,7,28,2633,3359,5999,7838,6321,14163,30683,31871,62557
CED143,1779,1650,3425,4383,4260,8649,969,931,1902,1001,933,1931,6369,6131,12496,2303,2128,4429,1446,1256,2703,1832,1899,3737,5594,5285,10884,150,164,321,169,306,478,422,233,652,669,974,1646,8,5,8,1418,1685,3104,2025,2247,4278,432,642,1073,297,338,638,787,1292,2076,7,9,15,3548,4539,8082,4968,6231,11196,112,141,254,342,541,882,0,0,0,454,679,1137,2387,2490,4878,21552,22466,44016
CED144,1763,1604,3365,4520,4006,8528,1722,1668,3393,1449,1474,2921,7705,7167,14872,3348,3149,6497,1637,1551,3194,1138,1132,2270,6140,5853,11990,475,387,861,872,780,1645,551,259,814,817,1152,1978,10,15,31,2731,2598,5326,2941,3148,6084,1370,1135,2511,358,379,738,703,878,1577,20,20,36,5389,5556,10941,8142,8174,16314,851,550,1406,637,746,1380,17,13,34,1509,1314,2820,6666,6036,12698,31914,30143,62057
CED145,1444,1377,2819,2414,2351,4765,547,602,1154,1873,1725,3595,4840,4684,9527,727,687,1420,593,840,1431,2715,2510,5220,4044,4039,8083,104,125,228,235,399,634,180,150,329,770,1086,1857,7,3,9,1294,1766,3058,1780,2146,3924,630,913,1538,217,269,483,881,1395,2278,17,14,26,3521,4729,8252,4823,6504,11328,132,187,318,507,770,1279,10,4,16,649,963,1611,3986,4364,8354,19790,21931,41719
CED146,2117,1932,4048,6400,5779,12180,2098,2068,4162,1642,1642,3284,10175,9517,19689,5037,4602,9641,1999,2021,4020,1368,1435,2806,8424,8075,16499,384,417,806,360,672,1030,763,291,1058,642,1120,1753,9,12,23,2162,2510,4671,2568,3441,6008,574,777,1347,399,452,853,521,875,1397,9,21,24,4065,5572,9636,6254,8112,14361,336,401,740,401,590,992,6,15,22,750,1007,1752,5770,5924,11694,33484,34564,68046
CED147,2043,1878,3925,5240,4744,9985,1235,1227,2461,758,767,1522,7235,6749,13981,3540,3302,6842,1244,1345,2587,789,936,1720,5571,5592,11163,212,276,483,168,342,511,980,572,1557,683,1222,1909,13,11,20,2062,2425,4481,749,1292,2041,253,458,703,179,306,482,443,911,1358,0,5,14,1621,2973,4593,3688,5409,9095,123,157,279,210,377,583,11,5,15,342,538,883,3961,4075,8039,22838,24248,47090
CED194,37,31,72,109,126,237,14,12,30,20,17,36,146,161,310,73,93,167,15,15,34,19,8,29,107,124,229,13,16,31,11,34,46,16,20,31,38,54,96,0,0,0,84,123,205,37,60,96,25,50,74,10,7,17,23,44,67,0,0,3,97,158,254,176,286,459,14,19,31,14,24,37,0,0,0,28,43,68,2245,1516,3758,2746,2157,4898
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,1756,1566,3324,4954,4516,9467,935,900,1830,575,532,1104,6465,5957,12413,3289,3192,6474,1270,1067,2334,871,814,1686,5432,5075,10510,305,331,638,206,370,575,632,261,893,616,944,1563,7,4,10,1766,1912,3677,1878,2215,4089,484,666,1156,258,317,570,589,923,1520,5,10,9,3208,4127,7333,4989,6048,11037,233,249,481,421,582,1001,13,3,13,669,836,1501,2524,2622,5147,21829,22103,43933
CED202,1682,1575,3253,4074,3687,7757,1706,1682,3390,701,719,1414,6488,6090,12582,2436,2471,4903,1597,1548,3145,1046,1147,2191,5083,5168,10256,225,215,441,173,279,458,533,297,826,587,836,1423,9,9,9,1512,1635,3156,935,1514,2454,422,754,1175,145,225,367,561,1209,1773,6,9,16,2069,3713,5780,3585,5359,8947,186,168,353,282,491,778,8,11,17,481,672,1151,4231,4244,8478,21560,23105,44666
CED203,1615,1495,3101,4139,3837,7975,1698,1610,3303,491,486,979,6338,5934,12268,2929,2750,5683,1176,1214,2393,671,727,1398,4780,4702,9481,260,341,600,222,395,617,531,306,841,553,787,1340,8,6,16,1569,1836,3413,713,1255,1966,276,555,835,108,175,286,428,1088,1516,9,9,10,1531,3083,4612,3109,4930,8040,194,178,374,260,437,699,8,9,21,463,623,1089,5102,4825,9924,21404,22507,43909
CED204,1835,1699,3532,5478,5006,10489,1153,1085,2237,856,857,1709,7499,6953,14455,4278,4004,8285,1088,1126,2220,949,1029,1975,6335,6168,12505,529,546,1073,468,701,1167,661,279,944,702,1131,1835,16,11,27,2376,2675,5048,2058,2448,4507,673,907,1577,230,315,545,551,813,1362,15,10,26,3518,4489,8012,5913,7188,13102,483,474,960,587,861,1454,4,13,23,1084,1346,2429,5250,4794,10052,27916,28153,56068
CED205,2500,2238,4742,6173,5622,11796,1941,1933,3874,1599,1646,3251,9749,9217,18962,4054,3782,7833,1375,1391,2765,1497,1675,3173,6943,6865,13801,760,576,1338,656,859,1520,568,265,835,776,1152,1926,14,7,25,2781,2854,5632,2034,2823,4856,723,950,1671,243,300,541,440,788,1230,8,10,17,3447,4873,8314,6242,7740,13987,821,888,1707,684,1151,1839,18,21,34,1528,2058,3582,5803,5321,11121,32762,33436,66198
CED206,1932,1800,3728,5188,4697,9886,940,918,1856,737,732,1471,6868,6359,13230,3335,3132,6466,1025,1085,2110,1109,1059,2172,5474,5287,10763,250,332,587,154,267,417,875,389,1263,643,898,1537,13,8,18,1931,1888,3818,914,1380,2288,262,527,789,182,257,439,494,1112,1606,3,9,20,1860,3287,5142,3792,5177,8970,144,141,288,309,550,860,5,3,12,459,700,1155,3045,2802,5851,21571,22128,43699
CED207,1729,1555,3282,5293,4909,10206,876,874,1747,650,812,1466,6828,6603,13427,3835,3201,7035,1183,1256,2440,1411,1702,3111,6435,6164,12603,488,321,808,567,626,1191,428,178,605,760,1035,1789,8,3,10,2243,2161,4407,5150,5217,10373,1680,1622,3301,409,431,837,865,1123,1990,15,17,32,8115,8414,16527,10367,10583,20949,523,378,901,565,773,1330,6,9,16,1094,1155,2249,3709,3597,7308,30163,29660,59819
CED208,1641,1517,3154,3796,3613,7404,1065,993,2060,343,374,711,5214,4979,10200,2630,2312,4939,1002,1103,2108,584,588,1172,4225,4010,8234,385,315,699,530,572,1106,380,188,564,716,879,1597,6,5,9,2015,1957,3973,2074,2592,4669,1368,1625,2990,253,339,592,1021,1921,2941,11,14,26,4724,6493,11220,6748,8450,15204,301,288,594,424,561,989,6,5,8,735,855,1591,3494,3424,6922,22054,23248,45300
