CED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
CED101,0,0,10,34,23,34,10,6,0,118,3,9,0,80,41,23,26,12,8,221,0,3,10,61,40,77,110,126,78,499,0,0,0,29,22,14,9,0,0,82,0,7,19,58,36,32,27,15,3,198,0,20,41,358,286,316,247,139,35,1443,3,15,55,248,97,89,108,33,5,654,0,0,0,4,4,17,48,29,15,108,0,0,0,17,20,10,14,6,3,77,0,0,6,21,14,16,4,4,5,70,3,23,892,1965,114,15,13,4,0,3030,0,0,0,7,13,7,9,13,9,55,4,50,150,413,207,218,93,29,6,1174,0,5,9,124,125,207,197,94,27,787,3,30,56,184,28,36,10,0,0,349,0,0,0,3,9,12,0,3,0,32,8,67,117,508,198,125,53,20,5,1106,0,0,0,59,17,22,22,11,5,134,3,0,6,25,15,15,8,4,3,75,0,3,0,17,24,36,31,18,7,138
CED102,0,0,0,54,25,13,9,3,0,112,0,17,4,190,52,34,17,11,0,326,0,6,15,173,51,119,202,249,171,984,3,5,12,61,39,16,7,0,0,144,0,10,10,137,44,44,17,12,0,283,6,38,70,436,494,543,375,196,50,2207,5,11,71,407,83,92,85,37,0,785,0,0,0,0,7,22,51,47,17,153,0,0,3,28,11,15,16,5,6,81,0,0,3,22,3,12,4,3,0,65,4,44,1684,3079,133,19,10,3,0,4972,0,0,0,22,3,8,12,13,3,57,4,26,125,437,277,230,117,20,4,1240,0,13,24,173,168,298,493,300,75,1538,0,0,40,211,21,14,7,0,0,299,0,0,0,14,12,6,4,0,3,43,8,62,114,810,188,165,100,30,7,1489,0,0,0,93,17,20,28,3,3,168,0,0,0,16,10,9,12,0,0,47,0,0,5,45,25,33,29,11,11,155
CED103,4,6,6,46,36,27,11,11,0,142,0,4,8,104,56,59,28,22,10,275,0,11,12,148,48,105,226,208,150,914,5,20,26,76,50,28,19,10,0,234,18,151,344,1778,814,501,291,141,24,4060,3,9,7,90,91,138,140,88,35,603,3,44,113,539,203,165,185,103,13,1350,0,0,0,0,0,11,25,22,3,70,0,0,4,27,7,12,18,5,0,74,0,0,8,37,26,16,25,10,0,119,0,4,130,350,22,9,0,0,0,512,0,0,10,21,22,16,17,17,15,105,11,75,124,349,197,204,102,54,12,1122,0,0,0,12,7,7,12,7,0,49,17,93,52,407,44,21,16,0,0,660,0,0,4,21,22,20,12,4,4,76,18,96,120,834,179,123,89,18,3,1479,0,0,0,71,21,30,33,8,0,166,0,0,0,3,3,0,0,0,0,12,3,3,0,28,32,44,40,34,7,200
CED104,0,0,0,15,9,8,6,0,0,40,0,14,13,54,63,52,42,29,3,263,4,0,6,16,35,81,158,133,70,493,0,14,16,21,31,13,10,6,0,107,3,72,106,290,271,146,91,44,4,1034,0,0,8,58,75,116,78,76,18,435,0,33,69,161,151,139,185,85,12,849,0,0,0,6,4,19,29,21,3,80,0,0,3,11,8,15,4,0,0,53,0,0,8,18,13,13,14,4,3,70,0,8,35,146,46,3,4,0,0,237,0,9,14,13,41,33,30,44,15,209,4,49,94,211,242,219,132,62,22,1030,0,0,0,0,3,4,4,0,0,10,0,23,30,113,47,36,25,9,4,274,0,0,4,5,18,17,11,0,0,61,3,33,49,220,120,85,69,19,0,598,0,0,0,26,32,37,63,17,0,183,0,0,0,13,0,5,0,0,0,19,0,14,17,38,56,62,56,53,17,312
CED105,0,38,83,397,272,194,50,17,0,1056,0,0,3,14,13,14,18,9,8,82,0,0,5,24,31,72,99,163,123,511,0,0,4,15,7,4,3,5,3,33,0,11,58,343,138,153,69,58,19,849,20,80,249,1698,1275,1207,947,450,79,6006,13,23,76,364,76,50,56,18,5,669,0,0,0,0,0,9,37,41,10,103,0,0,0,20,9,29,24,16,4,98,0,8,19,116,70,53,29,9,5,307,5,16,1367,1918,43,20,6,0,0,3375,0,0,6,10,0,0,8,8,9,39,7,93,156,341,96,110,62,11,0,877,0,8,11,54,79,145,186,91,24,597,26,193,361,1390,264,118,48,9,0,2394,0,0,0,5,4,0,9,0,0,19,0,41,83,398,133,153,104,30,5,941,0,0,0,20,14,25,30,12,16,118,0,4,19,49,29,44,20,5,0,167,0,4,0,4,6,15,25,12,5,66
CED106,0,0,0,6,7,6,5,0,0,27,0,12,18,77,66,45,33,20,6,276,0,3,8,44,24,32,79,79,46,309,25,74,53,128,111,61,39,15,0,511,10,125,187,592,408,226,145,70,16,1767,0,5,0,24,26,38,35,11,10,141,4,39,60,312,206,158,132,96,25,1025,0,0,0,3,4,7,6,9,0,22,0,0,0,19,6,10,4,7,4,48,0,0,6,14,14,9,6,6,3,58,0,6,182,512,35,5,0,0,0,739,0,16,19,18,35,30,23,24,16,182,7,59,155,252,269,277,153,108,41,1328,0,0,0,6,7,3,0,0,0,20,0,28,8,116,25,12,17,5,0,212,0,0,0,11,58,47,29,29,3,181,6,49,49,364,124,58,31,11,3,698,0,3,5,46,23,28,43,9,12,165,0,0,0,3,5,0,0,0,0,12,0,14,14,34,58,76,50,46,22,313
CED107,0,0,3,10,11,3,0,0,0,30,0,7,8,26,29,15,25,20,3,133,0,0,0,18,4,31,47,22,15,141,0,0,3,0,0,6,6,0,0,20,0,5,3,45,3,6,0,0,0,60,0,0,0,21,16,16,12,7,0,73,0,0,13,31,18,20,3,0,0,90,0,0,0,5,3,9,22,7,0,46,0,0,0,7,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,7,6,0,24,213,13,3,3,0,0,255,0,0,0,13,14,20,69,45,12,172,3,22,47,218,174,184,145,58,7,860,0,0,0,0,0,0,0,4,0,11,0,11,3,78,4,0,3,0,0,101,0,0,0,4,9,8,3,4,0,32,8,46,48,159,48,21,8,0,0,338,0,0,0,3,3,6,14,8,3,40,0,0,6,11,5,0,0,0,0,16,0,6,9,24,26,36,68,47,11,229
CED108,0,51,115,332,161,129,65,17,6,875,0,10,5,32,15,20,24,24,6,124,0,0,7,27,18,50,71,68,22,269,0,6,8,9,0,0,0,0,0,21,0,7,28,125,66,68,39,24,0,361,3,12,11,149,110,109,104,33,5,537,4,15,10,97,27,33,32,14,5,240,0,0,0,13,14,83,245,148,48,543,0,0,13,27,18,32,40,23,3,152,0,9,11,83,51,46,20,9,0,224,0,22,86,629,58,21,14,0,0,830,0,0,6,7,8,11,31,20,9,97,33,282,475,1021,340,213,105,31,3,2493,0,0,0,7,4,9,13,9,5,55,26,249,235,1015,289,182,83,8,7,2094,0,5,7,9,9,4,3,0,0,44,29,292,741,2790,1460,1414,904,221,35,7894,0,0,0,26,19,30,58,26,28,198,6,59,110,245,210,209,115,31,4,998,0,0,5,6,27,55,47,32,8,173
CED109,0,0,6,26,9,5,9,0,0,47,0,13,12,120,65,32,34,23,8,313,0,4,0,77,33,82,119,136,84,538,0,11,5,11,13,11,6,0,0,61,0,5,7,21,12,6,3,0,6,65,0,3,7,66,85,103,68,42,11,386,0,5,13,37,33,31,45,19,8,190,0,0,0,8,6,12,42,40,12,123,0,0,0,8,3,9,8,3,0,35,0,0,0,5,3,6,0,0,0,21,0,0,13,40,10,3,0,0,0,66,0,0,6,12,10,14,29,32,10,121,9,39,83,363,230,183,121,48,11,1085,0,6,5,68,65,101,88,45,14,394,0,8,5,20,0,12,4,0,0,45,0,0,0,9,18,10,4,6,3,50,0,18,40,142,45,41,15,5,3,310,0,5,0,51,33,14,21,10,5,137,0,0,0,9,0,0,5,0,0,18,0,8,6,44,46,48,46,47,22,269
CED110,3,80,25,69,4,3,4,0,0,198,0,10,4,38,31,19,27,27,0,151,0,6,0,19,5,18,53,32,11,147,0,8,0,12,9,0,4,3,0,41,0,0,0,22,4,4,0,0,0,39,0,0,0,7,4,9,0,9,0,34,8,36,16,51,23,27,6,3,0,175,0,0,0,0,0,3,26,16,6,52,0,0,0,0,3,0,0,0,0,8,0,11,40,112,35,11,9,0,4,223,0,0,20,121,5,0,0,0,0,143,0,0,5,17,5,27,84,79,23,242,7,24,32,201,181,234,209,120,37,1041,0,0,0,0,0,0,3,0,0,8,0,3,11,26,0,5,0,0,0,46,0,5,5,9,25,13,8,0,0,61,7,25,44,111,25,12,4,0,0,232,0,0,0,0,6,0,17,9,5,40,0,0,0,6,0,0,0,0,0,8,0,5,14,21,26,74,99,63,20,332
CED111,0,32,30,58,15,22,6,4,0,173,0,13,18,49,57,26,24,22,10,209,0,5,11,39,34,113,244,233,188,873,0,0,15,22,6,4,3,0,0,58,0,9,16,56,11,15,0,0,0,113,3,5,3,44,35,53,36,21,9,208,3,3,30,53,19,22,13,10,0,151,0,0,0,3,5,16,30,23,17,100,0,0,0,0,3,3,3,3,0,18,0,5,5,52,22,13,7,7,0,106,0,0,23,131,6,0,0,0,0,166,0,3,4,14,18,24,79,87,28,262,5,42,86,268,174,170,101,43,9,904,0,0,3,45,114,259,327,211,69,1029,9,12,38,198,14,9,5,0,0,287,0,0,0,11,7,4,6,0,0,34,3,26,36,151,46,21,9,8,0,302,0,0,0,15,7,18,41,16,5,102,0,0,3,4,0,0,0,0,0,13,0,7,10,43,58,126,105,81,24,448
CED112,0,0,0,0,9,4,0,0,0,17,0,20,8,47,37,32,57,64,4,271,0,3,6,14,18,36,87,67,28,254,0,10,3,4,9,3,8,0,0,34,0,8,14,41,30,22,27,5,4,154,0,0,0,9,17,25,12,6,3,73,0,0,13,30,12,23,15,6,0,101,0,0,3,8,7,17,75,61,9,182,0,0,0,3,7,4,12,3,7,35,0,0,0,0,0,0,0,6,0,9,0,5,9,83,8,0,0,0,0,111,0,0,3,4,10,21,64,56,21,179,9,53,67,327,285,264,205,70,12,1292,0,0,0,0,4,3,4,0,0,11,0,4,9,37,4,5,3,0,0,57,0,0,8,10,21,20,6,0,0,55,0,21,41,184,53,41,24,7,0,373,0,0,0,18,12,5,22,13,0,66,0,0,0,11,0,3,0,0,0,19,0,14,14,33,53,96,80,77,26,384
CED113,0,0,3,7,10,0,3,0,0,20,0,7,8,44,18,15,25,19,3,135,3,0,0,33,18,50,90,80,57,327,0,3,0,8,0,4,7,0,0,27,0,0,0,31,8,0,0,0,0,50,0,0,0,5,3,11,5,7,0,35,0,0,4,34,35,31,7,0,0,121,0,0,0,0,3,8,28,30,3,71,0,0,0,5,0,0,4,0,0,17,0,0,0,3,6,4,0,0,0,17,3,7,28,285,4,6,0,0,0,337,0,0,5,15,33,28,72,61,23,232,3,25,76,267,207,224,189,57,9,1057,0,5,5,53,48,73,77,32,13,311,7,9,13,101,12,5,4,0,0,143,0,0,0,12,22,26,4,0,0,67,8,44,57,147,70,24,5,3,0,367,0,0,0,15,10,9,20,5,0,63,0,0,0,8,5,3,5,0,0,23,0,0,4,22,37,83,90,66,16,315
CED114,0,0,0,8,4,0,0,0,0,16,0,0,3,42,8,9,10,12,0,93,0,9,3,49,13,66,202,198,112,642,0,8,4,4,3,0,0,0,0,15,0,4,4,44,0,0,0,0,0,54,0,0,0,6,4,0,3,4,0,16,7,16,46,190,44,28,4,0,0,331,0,0,0,3,0,3,15,8,0,33,0,0,0,10,5,0,4,0,0,12,0,0,0,9,0,0,0,0,0,9,0,20,63,119,8,5,0,0,0,217,0,0,3,12,7,22,87,70,7,212,6,55,88,250,140,149,123,42,6,866,0,0,0,0,0,0,3,0,0,0,0,13,20,92,34,8,3,6,0,175,0,0,0,11,7,9,5,0,0,34,7,59,71,269,80,25,9,0,0,530,0,0,0,4,0,4,12,0,0,18,0,3,20,28,25,17,8,5,0,100,0,0,0,18,20,35,62,38,15,202
CED115,13,659,914,2544,1298,1051,597,268,85,7433,0,0,4,20,4,7,13,11,0,64,4,3,9,35,47,147,284,312,212,1043,0,5,4,13,0,0,3,0,0,25,0,0,7,25,16,7,6,6,0,69,24,63,47,291,242,205,172,55,17,1113,4,16,46,209,56,47,45,15,0,431,0,0,0,3,5,42,85,62,21,219,0,0,10,17,6,20,22,4,0,86,0,0,8,64,24,17,12,0,0,134,0,0,62,193,15,0,0,0,0,286,0,0,4,4,0,5,24,9,4,40,10,114,214,413,102,85,63,11,6,1007,0,8,4,79,54,84,122,46,10,408,11,28,47,286,45,18,13,0,0,445,0,0,0,4,3,0,0,0,0,7,9,37,85,357,144,135,140,52,5,970,0,0,3,30,36,39,69,23,8,198,0,21,30,99,81,87,42,8,0,369,0,0,0,6,6,19,26,16,4,78
CED116,0,0,0,11,0,3,4,0,0,23,0,4,7,28,27,32,40,34,3,174,0,0,0,10,18,45,111,89,28,301,0,3,3,3,3,5,3,0,0,24,0,5,8,31,5,0,0,0,0,50,0,0,0,9,5,12,12,0,0,33,0,0,0,10,9,24,15,3,0,60,0,0,0,5,0,27,74,39,18,162,0,0,0,4,3,9,12,17,3,43,0,0,0,0,0,0,0,0,0,10,0,0,7,93,3,4,0,0,0,114,0,0,4,8,14,23,128,96,28,297,0,27,45,188,191,208,248,113,16,1027,0,0,0,0,5,8,16,11,0,41,0,11,3,19,0,0,0,0,0,34,0,0,0,4,18,20,6,0,0,55,5,28,24,93,22,7,9,0,0,187,0,3,0,3,7,16,27,8,0,68,0,0,0,8,4,3,0,0,0,18,0,5,3,27,30,100,140,98,35,435
CED117,0,3,0,18,4,13,3,0,0,43,5,9,11,329,156,83,46,19,11,670,3,9,20,233,85,129,206,252,205,1146,0,9,14,64,40,22,6,0,0,159,0,8,24,95,41,23,9,21,7,221,0,3,0,54,42,56,80,75,30,324,0,5,34,207,70,49,57,13,0,443,0,0,0,3,10,15,25,29,15,93,0,0,5,24,6,18,4,3,0,54,0,0,4,13,3,10,3,7,0,42,0,8,346,577,29,4,5,0,0,977,0,7,9,51,29,20,19,12,7,153,4,20,67,611,402,313,177,45,10,1647,0,0,0,24,15,9,23,12,11,92,0,3,15,57,10,9,4,0,0,96,0,0,0,14,24,11,10,0,0,52,7,27,46,324,109,45,59,15,0,636,0,0,0,55,23,24,24,12,6,139,0,0,0,4,0,10,5,0,0,17,0,3,10,136,107,89,65,27,0,449
CED118,3,9,17,72,47,28,16,4,4,198,0,13,16,86,24,33,25,17,6,224,0,0,5,35,24,70,101,99,42,374,0,9,6,8,4,0,0,4,0,43,0,24,76,233,166,104,68,28,5,703,0,6,7,134,112,122,92,49,7,529,0,31,49,186,97,77,85,29,5,561,0,0,0,17,27,65,204,165,50,517,0,5,5,39,20,38,27,14,3,159,0,0,10,65,59,39,35,15,9,232,0,31,125,776,138,25,14,7,0,1120,0,0,0,10,12,18,38,32,9,124,24,156,323,610,312,195,104,24,8,1749,0,0,0,6,9,10,9,4,0,36,11,139,110,635,134,91,45,19,0,1188,0,5,6,12,8,9,0,0,0,41,21,129,279,1215,631,522,347,59,16,3220,0,3,3,27,32,44,51,17,3,173,0,9,15,58,29,22,22,3,0,164,0,0,13,22,32,37,35,23,14,182
CED119,0,3,3,40,15,15,9,3,0,85,0,11,14,129,76,46,23,16,4,314,0,6,0,50,32,58,114,74,44,372,0,0,6,12,7,9,0,0,0,43,0,5,7,37,14,10,8,0,0,85,8,3,0,83,86,103,88,36,9,414,0,5,14,48,31,53,39,9,3,211,0,0,0,6,4,22,46,35,10,117,0,0,0,10,12,24,26,11,0,90,0,0,0,6,4,3,5,0,0,25,0,4,31,121,29,4,5,0,0,187,0,5,3,18,12,26,30,31,18,143,7,31,84,300,239,207,100,42,7,1019,0,0,0,44,46,68,75,33,5,265,0,12,7,37,20,13,8,5,0,96,0,0,4,6,16,9,8,0,0,43,6,16,35,175,72,83,59,13,3,463,0,0,3,36,16,24,49,8,7,140,0,4,4,21,10,19,4,0,0,61,0,4,6,48,54,59,68,58,9,316
CED120,0,3,15,56,29,14,11,5,0,136,0,11,4,74,47,52,36,28,0,259,0,0,6,20,23,70,135,71,37,368,0,0,0,3,0,0,3,0,0,16,0,0,10,24,8,0,3,0,0,53,0,3,4,43,55,48,29,11,3,199,0,0,5,22,15,17,17,6,0,78,0,0,0,11,7,44,106,60,10,234,0,0,0,16,5,24,8,6,0,67,0,0,0,9,3,3,4,0,0,20,0,0,21,93,5,0,0,0,0,117,0,0,0,15,13,26,70,45,9,194,6,29,64,260,201,180,136,63,7,941,0,0,0,7,8,23,10,0,0,51,0,8,5,46,13,9,5,3,0,86,0,0,0,4,18,6,8,0,0,39,0,20,38,142,34,25,17,0,0,272,0,0,0,25,18,10,26,12,8,94,0,0,5,21,14,11,9,0,0,57,0,3,12,36,58,81,118,66,16,383
CED121,0,0,0,14,3,0,0,0,0,22,0,9,11,55,18,19,26,19,7,161,0,3,0,7,7,16,40,33,16,121,0,0,0,3,3,0,3,0,0,11,0,0,4,35,3,5,3,0,0,55,0,0,0,9,18,5,9,9,0,50,4,0,6,32,13,16,11,3,0,87,0,0,0,0,0,9,28,21,4,62,0,0,0,3,9,9,5,3,0,26,0,0,0,3,0,4,0,3,0,8,0,0,13,71,5,0,0,0,0,99,0,5,0,13,18,30,74,52,12,199,5,50,83,308,231,290,186,108,22,1284,0,0,0,0,3,4,6,4,0,21,0,8,3,38,13,0,3,0,0,65,0,0,3,9,18,15,11,0,0,58,8,42,47,118,50,18,11,3,0,291,0,0,0,7,8,9,19,7,6,60,0,0,4,12,7,3,3,3,0,39,0,9,6,15,38,69,84,50,15,285
CED122,0,13,10,77,63,73,39,11,0,284,8,19,79,1728,189,94,47,30,8,2199,0,13,19,332,79,72,110,129,68,819,0,9,21,70,35,25,7,3,0,172,3,7,36,133,35,28,9,9,0,273,0,7,3,46,39,57,51,38,20,263,3,7,171,356,111,127,149,65,8,997,0,0,0,0,5,17,63,60,20,165,0,0,0,41,10,24,18,9,0,95,0,0,26,22,3,10,4,0,0,63,3,4,60,114,6,3,0,0,0,193,3,8,10,64,23,24,19,15,3,166,15,45,145,699,358,305,183,44,17,1800,0,0,0,18,9,11,16,4,6,67,5,16,38,153,5,12,4,6,0,241,0,3,0,7,18,13,6,4,0,52,6,29,78,451,157,109,48,30,3,911,0,6,4,119,35,40,81,23,16,320,0,0,0,16,12,16,3,3,0,47,0,6,13,215,76,101,62,35,3,503
CED123,0,6,5,77,46,27,20,12,0,206,0,24,5,82,43,48,52,42,8,302,0,0,5,33,23,65,101,106,32,363,0,10,5,6,8,0,3,0,0,24,0,4,18,102,43,27,17,6,4,219,0,5,7,101,88,83,43,24,4,361,0,8,9,52,33,25,29,7,0,174,0,0,8,26,23,77,230,143,32,527,0,0,0,20,13,21,22,8,0,90,4,0,0,24,12,14,7,5,0,63,0,15,59,266,37,15,15,0,0,401,0,0,7,6,10,38,74,41,11,190,20,169,218,675,319,230,120,33,3,1788,0,0,0,11,8,15,15,4,3,56,7,54,57,230,55,45,20,6,0,463,0,0,6,14,15,0,4,0,0,32,6,108,188,711,317,232,123,38,4,1728,0,5,0,25,21,14,31,10,11,120,0,18,44,95,60,54,26,11,0,295,0,4,7,37,52,106,100,56,11,363
CED124,0,0,0,8,3,8,0,0,0,18,0,0,0,20,13,12,30,30,12,120,0,0,0,3,0,15,51,31,8,124,0,0,0,3,0,0,3,0,0,10,0,0,0,15,0,0,0,0,0,21,0,0,0,3,6,0,11,3,0,19,0,0,6,8,9,16,12,7,0,52,0,0,0,0,5,11,33,22,3,75,0,0,0,3,0,5,9,0,0,15,0,0,0,0,4,0,0,4,0,8,0,0,7,56,0,0,0,0,0,66,0,0,0,6,13,24,92,89,20,254,0,12,16,108,144,170,226,103,23,807,0,0,0,0,5,5,0,0,0,11,0,0,3,15,0,0,0,0,0,26,0,0,0,3,16,7,9,0,0,41,7,12,9,63,10,10,5,3,0,119,0,4,0,0,0,13,21,12,5,50,0,0,0,0,0,0,0,0,0,7,0,11,5,14,13,51,105,78,19,294
CED125,0,30,106,546,222,155,68,26,5,1159,0,11,7,84,39,28,41,23,7,241,0,0,5,42,51,104,141,103,47,495,0,0,6,3,4,5,3,0,0,22,0,4,9,44,12,12,4,3,0,81,5,9,25,258,172,182,108,42,8,810,0,8,11,80,30,41,38,18,3,229,0,0,0,10,6,26,90,53,22,206,0,0,10,44,35,56,63,23,0,231,0,0,4,27,11,9,3,5,5,65,5,45,166,1098,152,41,17,4,0,1527,0,0,0,8,12,19,57,13,8,114,20,241,377,854,327,242,120,42,0,2232,0,0,3,41,33,42,31,12,0,154,4,117,120,494,164,94,34,10,0,1038,3,4,4,14,7,3,9,0,0,49,12,92,215,889,385,298,205,46,8,2148,0,0,0,51,31,36,58,20,3,198,4,42,87,248,171,206,95,25,0,879,0,5,8,43,47,80,118,63,10,380
CED126,0,0,0,0,9,11,3,0,0,19,0,12,18,94,106,55,41,33,9,364,0,0,13,90,53,107,188,169,57,682,0,14,17,29,32,19,23,3,0,137,0,9,14,50,31,22,27,5,4,152,0,0,0,12,16,38,4,8,3,85,3,0,10,23,30,30,23,19,4,138,0,0,0,0,0,11,10,7,5,30,0,3,0,8,5,5,11,5,0,30,0,0,0,4,4,0,4,0,0,11,0,3,134,269,9,0,0,0,0,414,0,10,10,28,49,43,60,78,40,317,7,39,88,447,366,317,218,83,21,1586,0,0,0,3,0,8,9,4,0,16,0,0,8,15,9,3,0,0,0,36,0,0,0,4,25,22,7,3,3,55,0,25,44,163,69,54,30,4,0,394,0,3,0,29,26,18,35,10,0,124,0,0,0,6,7,0,0,0,0,16,0,18,18,58,98,99,93,70,22,476
CED127,0,0,0,13,0,3,0,0,0,24,0,10,5,88,55,57,57,30,8,304,0,0,0,17,19,42,78,40,20,203,0,0,8,3,9,4,3,0,0,33,0,3,3,14,8,14,6,3,0,57,0,0,6,19,24,30,14,9,0,101,0,0,0,26,36,19,21,4,3,106,0,0,0,12,18,65,139,68,15,315,0,0,0,9,3,10,11,0,0,34,0,0,0,0,0,0,3,0,0,15,0,0,12,65,3,0,0,0,0,73,0,4,4,15,19,45,110,67,22,287,0,27,32,211,215,240,160,56,12,946,0,0,0,4,7,19,12,8,5,48,0,0,4,22,4,15,3,0,0,49,0,0,0,8,10,11,11,0,3,47,0,11,10,96,32,14,14,4,0,200,0,0,0,26,12,24,30,6,0,108,0,0,0,12,7,6,0,0,0,20,0,7,9,36,54,96,121,56,19,398
CED128,10,648,935,2413,1182,1039,589,289,64,7170,0,0,6,24,19,23,36,26,8,136,0,0,0,25,41,144,274,277,164,934,0,0,0,7,0,5,0,0,0,8,0,3,10,41,24,28,13,9,6,138,34,91,121,868,674,709,459,206,35,3212,0,9,18,89,35,26,27,11,3,224,0,5,4,12,21,85,262,274,71,729,0,0,0,17,14,23,30,15,10,98,0,0,0,51,28,34,18,11,0,147,0,0,108,307,22,4,3,0,0,455,0,0,4,3,4,4,26,14,9,68,13,115,243,430,192,147,83,23,3,1245,0,0,0,16,18,33,43,18,5,140,21,87,170,596,70,52,30,10,0,1031,0,0,0,3,4,7,0,0,0,20,10,47,112,471,276,253,209,51,9,1422,0,0,0,19,25,18,39,19,6,131,0,13,25,60,74,60,37,3,0,276,0,0,0,5,13,39,33,32,7,132
