CED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED101,3112,3449,1745,1100,1576,1206,754,12949,812,829,518,311,430,256,125,3285,862,813,431,290,345,208,102,3047,2856,2777,1729,1166,1541,803,396,11266,29,29,6,10,0,3,0,83,7676,7898,4434,2874,3900,2478,1377,30635,229,402,302,267,377,305,217,2094,111,194,151,102,123,60,50,784,86,141,104,84,104,44,22,589,331,456,316,253,323,168,95,1951,28,31,25,12,10,9,0,115,787,1224,900,719,938,591,387,5534,8459,9121,5336,3589,4839,3070,1761,36169
CED102,4061,3375,1665,1096,1422,1128,710,13459,941,825,528,341,402,239,89,3363,1043,862,464,241,331,169,74,3179,2390,2207,1397,878,1121,671,274,8948,36,51,14,6,13,5,0,124,8470,7316,4069,2565,3284,2218,1148,29069,272,449,327,233,410,340,238,2271,132,197,153,128,136,83,41,873,96,137,124,82,100,49,26,616,313,402,246,216,263,135,83,1655,50,45,23,9,10,4,6,134,857,1236,873,666,927,615,390,5554,9328,8545,4941,3236,4209,2833,1534,34625
CED103,5697,6350,3103,1754,2004,1548,1019,21476,741,666,381,288,393,222,97,2785,960,867,491,301,346,184,113,3248,2069,2052,1327,936,1338,827,409,8962,38,53,21,6,7,3,0,128,9502,9991,5321,3291,4085,2782,1632,36600,305,655,425,313,499,367,285,2851,79,103,77,51,95,42,27,479,69,114,82,66,66,51,19,471,156,277,227,185,228,129,77,1286,33,17,16,13,16,6,3,96,641,1172,819,629,906,593,413,5181,10146,11158,6143,3919,4989,3378,2043,41781
CED104,2412,4037,2402,1511,1963,1401,874,14597,632,801,564,387,518,304,144,3349,791,986,561,370,483,248,159,3591,2577,3387,2407,1752,2255,1284,654,14312,26,22,12,6,5,0,3,82,6434,9232,5947,4022,5235,3236,1838,35941,79,258,215,163,261,165,130,1278,48,86,66,61,111,52,34,453,46,72,63,55,69,41,28,378,182,334,331,236,355,161,86,1685,8,13,10,5,5,5,0,44,363,763,688,517,807,424,280,3838,6795,9990,6638,4544,6037,3660,2112,39785
CED105,5909,5768,3242,2058,2841,2176,1320,23321,1385,1363,842,521,628,315,111,5167,849,740,412,252,287,99,52,2690,2342,1831,904,554,631,243,102,6613,117,113,55,22,9,11,6,335,10603,9817,5462,3407,4409,2833,1589,38123,623,945,706,481,786,585,375,4504,274,401,238,186,210,88,51,1456,152,169,108,68,120,38,26,680,592,572,313,196,239,67,43,2021,69,87,53,38,33,13,4,289,1712,2162,1421,972,1383,791,500,8945,12322,11980,6881,4380,5790,3626,2088,47071
CED106,4099,5874,3274,1917,2348,1561,926,20004,678,871,623,457,628,396,196,3849,867,1131,766,467,589,342,200,4354,1826,2343,1752,1303,1988,1405,648,11260,25,34,15,3,3,3,8,92,7494,10256,6433,4146,5552,3702,1977,39559,193,569,472,340,556,375,245,2757,48,96,89,80,95,65,51,522,45,97,88,71,124,76,41,539,120,197,194,196,273,182,90,1245,6,16,5,8,4,0,5,50,412,970,851,696,1045,704,434,5119,7914,11231,7280,4844,6600,4409,2412,44680
CED107,569,504,235,170,191,72,22,1762,298,357,248,165,210,53,13,1333,339,363,231,150,183,39,21,1328,6359,6683,4041,2669,2975,645,169,23541,18,44,20,17,11,4,0,120,7588,7942,4780,3175,3563,805,225,28080,22,45,39,19,40,10,4,176,83,119,101,77,76,19,0,475,45,71,50,39,60,19,0,285,1459,2093,1326,939,982,166,42,7004,55,70,42,35,16,5,4,227,1662,2399,1553,1108,1168,217,55,8162,9249,10344,6330,4285,4728,1016,285,36245
CED108,7855,8302,4448,2568,3279,2148,1260,29859,923,757,390,237,279,101,43,2735,747,660,305,192,216,94,30,2238,2631,2250,1274,814,857,300,114,8240,83,59,37,34,12,4,3,227,12231,12030,6453,3843,4647,2648,1443,43296,526,714,617,426,572,328,228,3400,328,356,215,158,153,48,22,1275,130,198,106,80,98,38,13,665,1412,1577,898,653,618,131,65,5350,99,98,62,45,38,5,3,348,2491,2939,1889,1356,1474,554,331,11032,14722,14976,8342,5200,6121,3199,1777,54329
CED109,1266,1354,728,457,644,441,284,5176,748,828,480,325,450,232,113,3178,892,820,451,311,386,203,78,3136,4335,4196,2513,1731,2255,1222,556,16821,22,19,9,10,6,0,0,69,7263,7221,4177,2827,3747,2090,1036,28373,85,148,118,101,151,92,55,754,100,159,108,94,130,74,49,718,45,93,87,71,104,47,25,475,289,554,451,338,464,201,116,2419,20,31,12,7,7,6,0,72,538,982,775,612,867,418,245,4443,7806,8210,4957,3442,4612,2510,1285,32818
CED110,577,657,376,222,313,79,32,2260,397,494,327,201,255,55,17,1739,433,468,321,194,210,37,6,1677,4303,4678,3081,2076,2394,521,166,17215,31,32,22,11,14,0,0,111,5741,6325,4129,2700,3185,697,224,23003,47,99,65,60,88,34,16,420,118,189,138,104,123,22,11,707,46,106,73,53,89,14,5,385,1428,1882,1372,1021,1096,174,55,7024,74,83,51,30,28,8,0,271,1726,2354,1692,1267,1417,253,91,8809,7464,8680,5816,3969,4609,951,316,31817
CED111,1038,1175,617,367,495,313,162,4155,675,739,449,296,381,190,99,2839,714,734,451,279,388,150,71,2783,4961,4567,2740,1872,2319,996,468,17928,14,37,12,11,3,0,0,79,7402,7254,4270,2831,3581,1651,805,27787,71,131,103,99,131,79,48,669,107,158,136,104,129,61,42,729,49,105,84,84,90,28,20,474,632,993,679,541,621,238,105,3811,36,36,26,11,13,4,4,134,899,1429,1032,841,983,411,217,5820,8300,8682,5304,3672,4563,2069,1022,33609
CED112,642,738,452,270,363,147,80,2689,601,689,421,265,314,106,47,2440,606,623,361,237,271,103,42,2248,5494,5233,3206,2081,2539,813,337,19704,23,40,21,13,8,0,0,113,7370,7317,4467,2874,3496,1170,501,27188,45,85,73,59,65,27,9,369,155,233,175,125,143,41,25,896,64,122,111,76,106,38,18,530,1513,1887,1282,901,1040,267,113,7011,52,57,43,25,17,6,0,199,1835,2388,1680,1190,1376,371,167,9003,9199,9704,6152,4063,4869,1540,664,36191
CED113,764,708,344,222,285,115,35,2481,495,504,348,216,265,83,30,1942,547,576,347,217,277,85,32,2073,5369,5535,3533,2238,2660,664,245,20250,25,33,17,21,18,0,0,109,7198,7352,4591,2914,3501,950,337,26851,34,61,53,24,48,10,7,236,94,138,93,62,100,21,5,511,37,90,62,65,66,16,11,342,801,1217,883,619,696,132,60,4410,37,46,30,18,5,3,0,139,1001,1555,1127,783,916,179,84,5641,8199,8903,5718,3698,4419,1132,424,32493
CED114,973,851,442,244,339,119,28,2995,354,328,198,127,172,35,9,1219,389,374,178,129,130,35,6,1252,5970,6126,3692,2392,2855,601,191,21823,45,29,9,9,15,6,0,120,7733,7718,4517,2897,3510,800,243,27411,61,93,72,51,60,32,5,385,105,124,76,58,76,20,6,469,26,51,43,38,42,3,3,204,1364,1767,1160,832,953,167,43,6270,57,64,53,26,17,4,0,218,1613,2095,1399,998,1144,233,58,7547,9341,9809,5913,3902,4662,1029,299,34955
CED115,4873,5334,3170,2276,3107,2182,1364,22304,627,516,285,177,247,119,53,2018,664,546,263,167,188,98,45,1968,1189,1063,573,366,457,218,112,3986,41,74,34,14,10,8,5,184,7393,7537,4327,2991,4010,2625,1573,30458,795,1323,975,788,1111,778,469,6232,158,249,126,94,103,38,26,792,140,167,92,46,72,36,17,575,396,430,235,149,169,69,34,1489,116,124,48,33,55,29,8,410,1604,2297,1474,1112,1513,951,549,9493,8991,9832,5803,4108,5520,3575,2124,39953
CED116,354,384,205,126,195,61,28,1345,318,383,272,186,220,68,16,1455,461,451,253,183,199,55,26,1626,4758,4875,2904,1952,2287,580,192,17552,21,22,12,8,3,0,4,76,5919,6120,3641,2451,2909,765,258,22059,20,37,27,29,40,21,3,178,84,112,117,67,98,27,13,512,41,85,64,52,67,14,4,326,1136,1550,1092,803,827,160,47,5612,46,40,28,20,9,6,4,152,1316,1830,1330,969,1039,225,73,6786,7244,7949,4976,3421,3950,990,329,28847
CED117,1566,1514,815,450,549,333,160,5388,1140,1044,633,378,453,245,92,3980,1042,902,528,288,359,194,65,3394,3066,2674,1571,1001,1273,648,258,10480,23,38,14,3,3,3,0,84,6835,6173,3556,2122,2638,1420,575,23327,89,189,178,114,164,112,76,919,88,147,127,95,142,85,42,731,37,121,88,73,95,58,32,504,185,349,288,225,303,168,78,1594,29,15,11,5,6,3,3,65,423,814,686,513,719,420,236,3816,7262,6993,4247,2639,3360,1841,812,27143
CED118,7850,8855,4703,2618,3134,2065,1149,30362,946,812,464,307,358,154,86,3120,837,713,410,232,269,139,49,2636,3294,3306,1844,1243,1573,675,269,12207,31,44,29,11,5,3,6,140,12963,13733,7446,4412,5341,3029,1551,48466,247,481,363,277,395,292,177,2230,148,216,120,113,115,46,28,787,85,121,90,73,75,39,25,511,552,763,589,418,471,160,93,3061,40,50,34,21,14,8,0,162,1079,1632,1201,906,1077,551,316,6750,14038,15361,8637,5319,6414,3581,1871,55222
CED119,1435,1718,929,600,747,520,348,6288,770,934,585,378,490,280,126,3561,932,935,538,316,356,205,98,3371,5187,5270,3263,2168,2741,1313,583,20525,19,20,12,11,6,8,0,70,8339,8877,5325,3464,4335,2322,1151,33818,59,150,139,84,125,88,61,705,88,166,118,88,117,51,23,661,45,115,74,71,68,47,23,444,402,686,493,371,496,235,116,2796,13,26,8,12,5,0,0,74,607,1143,831,626,818,426,230,4682,8949,10015,6162,4091,5151,2743,1381,38497
CED120,711,794,467,302,388,242,120,3020,604,667,416,270,336,162,59,2523,576,652,392,270,317,115,39,2373,7939,7263,4190,2727,3125,1027,342,26619,32,58,22,12,13,5,0,146,9870,9431,5491,3579,4181,1555,573,34676,39,77,73,49,79,30,20,369,138,200,143,100,114,35,18,741,43,85,82,55,66,23,17,379,1125,1533,1039,755,783,218,105,5561,31,40,24,13,15,0,0,124,1373,1936,1358,970,1055,313,166,7173,11246,11367,6847,4552,5235,1869,733,41851
CED121,514,538,295,183,245,102,42,1921,422,449,268,169,182,63,27,1579,470,415,232,156,175,60,28,1535,6545,6625,3723,2516,2854,752,335,23350,36,44,17,13,13,0,4,126,7980,8078,4533,3034,3464,983,433,28507,13,41,36,22,43,23,9,184,93,134,87,80,84,24,6,506,50,77,67,42,50,6,9,304,1710,2386,1470,980,1021,229,93,7880,58,62,41,23,20,0,0,207,1924,2702,1696,1149,1214,284,115,9083,9903,10776,6227,4185,4681,1270,549,37594
CED122,3590,2893,1517,904,1215,785,497,11401,985,929,591,353,458,227,103,3641,1090,1013,556,358,408,190,99,3718,2604,2481,1511,993,1337,737,364,10021,21,28,10,4,3,0,0,73,8294,7338,4185,2611,3421,1946,1064,28858,167,288,229,172,265,187,130,1442,114,195,169,112,147,75,26,843,86,158,111,66,108,56,27,612,324,478,357,249,382,192,79,2058,34,36,25,19,12,3,3,129,718,1152,884,623,921,520,268,5082,9013,8496,5067,3231,4342,2461,1336,33946
CED123,2814,2954,1513,905,1137,662,352,10329,839,748,441,328,346,147,65,2917,731,650,395,257,268,128,46,2479,6209,5475,3087,1992,2319,808,338,20231,47,39,18,15,3,0,0,129,10634,9866,5462,3497,4075,1751,799,36076,214,298,209,152,205,111,76,1252,259,277,187,146,143,58,31,1090,87,167,133,91,87,30,19,605,1637,2001,1250,769,931,267,96,6958,69,87,48,21,8,4,3,233,2262,2817,1824,1176,1371,470,222,10144,12901,12685,7280,4674,5446,2219,1024,46224
CED124,182,204,147,101,98,31,9,778,255,297,189,132,156,33,14,1074,271,311,203,139,142,37,16,1120,4206,4863,3250,2184,2431,542,201,17668,20,35,26,18,14,0,0,117,4945,5712,3813,2577,2838,641,240,20760,17,23,23,16,21,8,0,113,81,105,91,74,59,20,0,431,28,57,59,31,51,11,8,239,1176,1703,1175,861,882,180,47,6027,63,78,55,39,18,7,0,249,1364,1972,1402,1012,1027,225,60,7060,6309,7683,5211,3590,3863,858,297,27816
CED125,5554,5672,2912,1796,2157,1322,759,20176,1277,1072,560,399,462,156,67,3983,1124,909,480,291,315,137,65,3321,5719,4478,2421,1553,1722,598,249,16741,75,84,43,23,19,6,0,244,13752,12210,6420,4056,4677,2221,1133,44468,276,534,363,273,348,203,136,2128,332,397,220,161,192,67,36,1400,154,212,135,96,112,54,20,783,1523,1825,1148,763,855,219,102,6441,74,95,60,37,26,3,0,303,2370,3062,1926,1335,1531,539,297,11059,16113,15272,8346,5386,6207,2760,1433,55527
CED126,1512,1916,1190,795,992,595,301,7305,967,1146,709,534,680,315,149,4494,1071,1218,727,472,592,257,125,4461,3724,3983,2573,1772,2315,1184,540,16084,27,19,3,7,8,0,0,67,7300,8278,5199,3578,4585,2353,1111,32407,54,107,134,124,169,84,65,738,89,174,151,132,163,58,34,809,65,132,124,94,126,59,32,637,207,418,369,324,423,232,128,2104,15,15,4,7,0,3,0,48,429,853,784,682,883,437,264,4335,7731,9129,5989,4254,5473,2791,1376,36745
CED127,387,400,313,227,282,135,73,1821,533,691,499,322,437,156,86,2717,558,627,383,245,336,134,63,2341,5292,5240,3213,2071,2583,920,405,19723,22,23,12,17,3,0,0,85,6785,6982,4417,2887,3639,1346,620,26691,24,53,37,31,42,20,20,233,65,151,117,100,122,54,25,638,43,99,82,65,89,34,17,435,709,1145,737,529,703,203,96,4125,12,33,13,12,12,0,0,87,862,1477,990,743,972,316,163,5514,7652,8459,5408,3634,4611,1660,780,32204
CED128,4611,4993,3112,2086,2707,1791,1143,20448,1066,1025,618,374,477,247,102,3904,816,743,390,217,278,131,69,2642,2749,2386,1368,910,1005,443,177,9049,67,61,33,23,7,7,4,198,9314,9203,5521,3609,4466,2619,1500,36232,470,758,573,473,679,458,299,3699,220,317,181,153,173,67,33,1153,83,139,113,69,104,41,8,563,592,640,420,270,336,134,47,2441,68,63,43,23,20,14,4,232,1431,1924,1328,986,1324,711,392,8096,10746,11131,6848,4598,5789,3328,1892,44329
CED129,5290,7526,3969,2247,2746,1927,1223,24931,816,949,604,401,554,291,131,3752,954,1023,594,356,428,263,100,3716,3484,3764,2521,1792,2391,1215,530,15701,52,57,16,8,11,4,6,152,10595,13316,7709,4809,6124,3706,1992,48249,165,367,293,221,317,261,171,1791,75,138,102,101,111,69,29,622,57,104,79,58,77,42,29,443,273,470,360,288,441,213,89,2123,19,20,15,10,7,3,0,79,586,1099,849,682,945,583,316,5057,11187,14413,8553,5486,7072,4293,2307,53308
CED130,581,584,325,165,245,74,34,2003,220,249,157,109,111,19,4,869,337,332,156,89,154,24,11,1098,4944,5462,3445,2402,2683,462,128,19526,18,41,30,28,14,3,0,126,6096,6662,4115,2794,3202,592,172,23629,22,55,47,31,46,15,7,226,76,122,92,58,56,6,4,420,36,56,38,28,45,3,6,215,1660,2078,1317,916,1010,138,27,7148,53,74,40,32,21,7,0,220,1844,2389,1533,1076,1173,172,41,8226,7936,9050,5639,3864,4377,762,217,31851
CED131,988,1053,580,317,401,199,103,3641,591,577,324,215,285,121,35,2151,597,663,361,200,237,92,45,2193,5015,4826,2868,1794,2327,1000,443,18271,18,23,13,5,6,0,0,56,7209,7138,4145,2532,3253,1416,621,26319,72,102,97,63,91,40,32,496,94,156,124,81,126,39,28,648,45,81,81,57,73,28,7,372,776,1212,873,666,796,255,147,4733,29,20,13,11,6,7,0,83,1021,1579,1176,876,1095,366,215,6334,8232,8724,5321,3410,4347,1782,835,32649
CED132,3046,3528,1693,962,1101,721,420,11467,988,941,572,382,539,285,166,3861,1182,1108,602,380,497,271,127,4173,2682,2563,1632,1173,1582,971,442,11047,26,27,15,0,5,0,0,81,7926,8169,4505,2896,3730,2250,1163,30630,130,413,300,195,325,249,155,1763,93,130,86,89,110,85,46,637,66,113,100,72,89,65,39,536,135,270,246,185,310,189,103,1446,26,25,11,9,9,5,0,74,449,960,746,542,837,595,334,4462,8378,9127,5249,3442,4564,2840,1498,35091
CED133,361,383,248,162,147,48,26,1372,359,385,252,199,221,40,12,1471,438,477,252,170,195,43,7,1582,4732,5276,3479,2288,2556,521,141,18989,28,42,20,20,9,3,0,112,5917,6561,4252,2831,3119,653,179,23522,26,50,37,30,50,16,3,206,94,125,109,99,120,27,3,577,54,98,96,52,65,5,6,378,1430,1902,1430,972,1040,162,47,6975,62,60,46,31,22,0,0,212,1668,2235,1722,1181,1287,207,60,8360,7584,8794,5977,4011,4412,860,243,31878
CED134,602,466,188,119,117,33,11,1536,187,171,94,73,63,17,4,609,342,259,130,61,68,13,3,881,5751,5763,3501,2089,2262,422,109,19904,31,37,27,14,0,0,0,112,6915,6700,3940,2355,2514,491,132,23046,24,38,30,17,13,7,0,125,61,69,51,29,39,10,4,258,36,43,39,33,25,4,5,175,1776,2241,1436,947,861,107,15,7384,77,57,40,37,11,0,0,227,1965,2450,1589,1068,950,127,24,8170,8879,9149,5531,3420,3467,618,153,31214
CED135,8583,8298,3868,1964,2403,1708,1073,27903,785,711,390,253,341,144,76,2694,775,630,333,179,227,133,55,2324,1775,1497,918,591,719,345,171,6019,58,65,18,15,5,5,0,166,11968,11205,5523,2997,3698,2344,1374,39112,451,776,501,378,548,434,326,3413,162,208,110,86,97,51,25,742,93,162,76,74,68,44,32,537,340,379,214,188,246,98,57,1524,53,50,28,16,12,4,3,169,1094,1572,935,737,972,628,439,6384,13060,12782,6452,3739,4672,2972,1809,45488
CED136,601,629,341,185,261,113,48,2180,452,470,265,200,208,58,36,1680,477,459,225,161,183,65,23,1596,6627,6499,3962,2596,2787,788,366,23632,32,32,18,14,10,0,0,107,8186,8092,4810,3166,3440,1020,478,29194,41,58,38,39,54,24,13,267,108,182,98,73,93,25,18,598,58,92,72,50,69,18,8,359,1780,2469,1536,1134,1127,238,102,8392,39,52,37,28,21,0,0,181,2031,2852,1777,1328,1363,305,134,9793,10215,10945,6586,4491,4803,1332,611,38989
CED137,5179,4333,2053,1236,1505,1206,807,16317,836,749,430,258,394,194,117,2980,980,773,461,259,343,215,106,3135,2483,2161,1451,937,1266,735,379,9423,46,33,11,9,12,0,0,112,9534,8051,4407,2694,3521,2355,1411,31968,285,549,397,256,436,390,277,2586,77,131,98,82,114,65,32,594,77,100,99,50,80,38,26,475,192,290,236,167,222,132,59,1298,22,27,14,9,9,7,0,78,643,1090,833,564,866,636,396,5033,10175,9142,5240,3260,4387,2990,1807,36999
CED138,605,666,407,254,301,95,35,2358,686,779,468,287,332,82,38,2670,788,791,450,297,290,57,18,2704,4149,4489,2764,1800,2053,564,191,16014,31,39,19,22,3,0,0,117,6262,6769,4108,2659,2984,801,282,23868,36,90,77,79,94,19,9,415,125,246,209,145,197,36,12,974,78,176,133,103,113,20,9,627,775,1207,901,732,823,188,79,4704,60,56,30,21,5,7,0,182,1075,1770,1352,1085,1233,268,116,6900,7336,8537,5463,3742,4220,1069,401,30768
CED139,745,769,389,225,292,144,50,2606,275,264,161,125,132,25,6,988,277,270,160,103,108,31,7,957,6139,6029,3824,2507,2774,625,168,22062,28,30,19,9,10,0,0,96,7456,7357,4550,2975,3313,818,236,26708,51,87,62,36,55,15,5,311,83,120,75,50,54,7,8,394,19,45,45,31,34,9,4,186,1541,1998,1246,934,932,164,39,6847,63,53,39,23,16,0,0,194,1759,2301,1469,1064,1087,200,49,7930,9217,9662,6022,4041,4397,1020,288,34638
CED140,952,1086,618,386,448,207,99,3801,713,781,438,319,387,167,67,2866,811,738,424,257,319,118,56,2718,3977,4166,2407,1656,2048,803,383,15445,28,21,15,8,7,0,0,81,6489,6791,3904,2629,3207,1292,609,24918,43,108,86,71,112,43,27,483,131,223,151,100,156,56,23,844,69,173,107,88,98,42,22,599,771,1116,840,604,750,215,99,4395,20,32,24,20,10,8,0,106,1028,1646,1211,874,1128,360,174,6430,7513,8444,5114,3506,4336,1653,781,31348
CED141,353,387,247,145,183,88,37,1445,436,465,299,214,235,80,42,1760,530,523,310,191,205,83,36,1881,5211,5500,3152,2094,2477,946,462,19844,19,16,17,6,3,0,0,64,6543,6892,4027,2655,3110,1197,576,24991,18,32,54,29,47,20,11,204,130,173,104,78,77,33,14,612,40,102,76,50,66,22,16,376,1074,1611,1103,848,890,279,121,5931,35,35,18,16,16,0,0,121,1291,1954,1351,1028,1093,356,160,7239,7840,8840,5381,3685,4201,1550,741,32233
CED142,2731,1563,617,319,380,269,143,6033,783,451,217,118,158,75,38,1848,957,534,226,124,144,70,39,2083,1629,917,503,338,405,226,106,4123,33,10,4,3,5,0,0,55,6139,3469,1569,901,1089,643,330,14147,231,255,177,138,206,213,161,1381,85,123,85,56,89,34,25,491,79,89,72,39,67,39,30,415,212,307,200,129,165,98,52,1150,25,26,11,12,8,0,0,92,621,801,537,368,543,387,263,3527,6758,4274,2102,1274,1631,1029,592,17670
CED143,2236,2481,1578,960,1154,635,315,9361,1017,1094,775,470,619,293,148,4418,1091,1187,741,491,570,293,147,4516,2868,2849,1941,1353,1791,1073,511,12386,19,32,9,3,0,3,0,76,7245,7641,5044,3274,4135,2294,1119,30757,100,215,172,152,217,122,72,1044,76,168,130,101,137,67,43,716,56,126,92,88,87,47,41,541,164,304,257,208,348,194,109,1588,20,19,9,5,5,0,4,59,412,836,664,551,782,433,270,3949,7654,8474,5712,3826,4920,2730,1391,34700
CED144,5209,5318,2909,1803,2377,1770,1190,20578,1016,1057,693,469,588,308,132,4268,864,795,496,297,327,168,72,3024,2489,2060,1210,738,937,479,220,8121,71,68,22,18,8,5,5,198,9643,9305,5324,3323,4238,2731,1620,36191,395,627,482,384,573,451,337,3245,192,309,199,120,185,99,45,1149,103,138,109,89,105,52,32,619,471,492,321,223,268,124,53,1960,46,73,34,18,19,5,0,199,1213,1640,1139,827,1156,730,471,7172,10855,10939,6467,4157,5394,3462,2094,43364
CED145,1773,1686,1013,636,744,509,294,6653,1087,907,557,358,458,232,129,3728,1036,949,563,333,445,234,117,3676,2532,2175,1368,892,1202,636,361,9171,22,19,10,10,7,3,0,71,6450,5729,3520,2232,2852,1610,899,23301,80,208,168,143,194,111,79,979,70,171,126,95,139,64,44,702,47,120,106,76,90,49,33,518,132,272,228,198,267,167,82,1344,16,28,7,0,5,4,0,72,341,798,636,511,696,393,238,3612,6796,6532,4158,2742,3547,2003,1143,26913
CED146,6054,7254,4442,2916,3910,2579,1539,28690,1368,1241,656,452,561,285,136,4699,1016,913,476,297,347,151,74,3268,2774,2320,1306,850,1115,454,227,9040,88,86,50,26,22,6,9,291,11303,11807,6931,4531,5948,3478,1986,45987,532,940,720,612,852,512,316,4484,301,396,250,177,208,65,31,1429,160,214,143,102,129,59,14,814,904,955,584,382,454,129,49,3457,85,109,54,48,22,14,7,341,1992,2624,1744,1313,1664,772,418,10525,13294,14432,8677,5845,7612,4246,2408,56515
CED147,672,729,485,310,364,188,98,2852,576,650,466,304,381,156,70,2605,595,608,347,240,296,127,48,2254,5890,5755,3415,2235,2620,805,330,21062,26,24,16,11,0,0,0,84,7763,7779,4727,3088,3668,1283,545,28857,30,63,47,48,65,38,24,322,129,216,134,114,155,50,23,821,40,95,90,58,77,35,21,410,1218,1678,1177,834,935,229,106,6168,55,57,42,28,22,3,4,205,1471,2101,1494,1079,1249,356,181,7930,9230,9878,6218,4165,4920,1632,727,36787
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,2765,3219,1588,989,1418,1159,729,11878,503,520,348,229,308,159,103,2163,706,674,342,247,281,168,90,2506,3389,3380,2112,1435,1891,1007,471,13685,21,25,18,12,11,4,3,89,7388,7819,4403,2905,3913,2492,1398,30324,130,231,165,121,214,170,127,1151,92,132,101,80,120,59,29,620,51,83,73,55,90,38,28,420,461,774,559,438,661,274,148,3316,23,19,17,6,4,4,0,77,749,1244,918,707,1087,543,340,5586,8140,9066,5327,3617,5001,3033,1734,35910
