CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED205,94756,93729,188482,8088,7502,15586,15025,14077,29099,6156,5868,12026,6921,6423,13349,15946,16294,32238,15078,14649,29729,10505,10941,21444,8984,8934,17912,5122,5535,10657,2339,2609,4948,580,901,1482,93325,92386,185710,1433,1342,2778,601,590,1191,28,30,55,11,12,25,639,630,1271,46655,46632,93284,42966,42281,85251,33486,32857,66341,55002,54825,109831,72580,72758,145344,1997,1843,3842,13744,12869,26617,4730,4945,9674,2793,2990,5780,3631,5418,9049,40252,41998,82253,6515,6066,12578,8718,7126,15846,4386,3911,8295,4888,5602,10489,2080,3039,5120,89764,89177,178943,4840,4381,9221
CED206,77906,79535,157444,4900,4473,9368,10349,9568,19916,4981,4578,9563,4532,4227,8754,9543,9727,19271,9954,10610,20562,10587,11120,21712,9948,10537,20483,7844,8648,16491,4168,4451,8622,1095,1599,2699,75191,77026,152218,2717,2510,5226,804,803,1606,37,31,70,23,15,38,866,851,1716,62210,62913,125122,12690,13789,26480,68920,70199,139114,5954,6539,12500,70674,72074,142751,1499,1433,2932,9863,9136,19002,3907,3737,7644,1483,1703,3188,1757,3277,5038,30054,37279,67337,10141,9376,19515,11828,9537,21368,4911,3744,8655,2415,2319,4733,365,332,700,73769,75553,149327,2921,2968,5889
CED207,90099,93552,183655,3795,3664,7454,10575,10030,20601,5761,5557,11321,8295,7176,15469,13741,12312,26052,11753,12505,24258,11141,12293,23436,9511,10334,19846,7450,8859,16313,5505,6996,12503,2583,3826,6401,88092,91424,179517,2006,2132,4136,228,211,438,8,9,16,10,12,22,237,227,470,42581,42910,85493,44017,47275,91288,42171,42215,84386,44285,47772,92059,66051,68804,134855,1377,1307,2684,10099,9614,19716,5201,5165,10369,5122,4600,9721,4627,5345,9974,54878,56824,111700,5598,5682,11284,5444,5891,11337,2703,2940,5645,2477,3497,5973,768,1087,1850,84418,87563,171980,5430,5623,11050
CED208,75990,80287,156279,4282,4078,8354,7904,7407,15317,3557,3526,7078,4988,4858,9849,14509,15305,29817,12381,12931,25311,10504,11015,21520,7781,8417,16198,5166,5953,11117,3340,4310,7645,1582,2486,4071,73752,77737,151494,2236,2551,4790,663,739,1401,30,18,47,21,29,46,717,780,1499,49221,51800,101021,23421,25232,48652,48690,50906,99594,23835,26026,49861,63300,67711,131011,1321,1267,2584,7506,7067,14570,3033,3083,6115,2495,2658,5156,4176,5727,9905,43271,47670,90944,5043,4449,9496,5161,4516,9680,2333,2370,4702,3482,4793,8277,965,1431,2396,71471,75525,146998,3898,3881,7780
CED209,74092,78661,152752,4701,4466,9176,10229,9539,19775,4278,4195,8476,4366,4152,8523,8983,9334,18315,9459,10463,19922,8885,9645,18524,8305,9722,18027,8765,9605,18371,4636,5172,9805,1477,2362,3841,70533,75362,145895,3551,3304,6857,683,715,1402,15,10,34,18,20,40,720,748,1467,59966,64046,124014,10768,11238,22011,65565,69747,135313,5230,5448,10675,66672,71324,137995,1478,1387,2861,9718,9039,18764,3376,3472,6845,1793,2014,3805,2083,3464,5552,31519,37807,69334,9280,8985,18265,9321,8652,17977,3642,3493,7135,1974,2049,4028,185,145,332,68410,72675,141088,4256,5068,9327
CED210,77971,81268,159242,4588,4336,8927,9520,9123,18638,4681,4384,9064,5299,5103,10402,12069,11713,23778,10028,10485,20514,9760,10375,20133,9128,9860,18988,7424,8487,15914,4026,5086,9111,1443,2330,3776,75194,78614,153807,2785,2651,5437,1143,1118,2262,41,35,78,31,31,60,1211,1180,2396,58985,61898,120885,15025,15442,30472,61699,65782,127478,11200,11584,22788,66528,71283,137815,1398,1293,2691,8892,8555,17445,3574,3525,7096,1858,2218,4082,2591,3841,6434,31805,36972,68776,9316,8702,18024,10496,9178,19675,4295,4397,8692,3253,3798,7044,616,705,1321,71631,75797,147425,5876,4942,10812
CED211,80822,86289,167110,4829,4552,9379,10493,9986,20478,5045,4525,9568,4951,4485,9432,10160,10537,20697,11585,12488,24068,10795,11659,22458,9302,10236,19537,7316,8845,16157,4570,5914,10489,1785,3066,4847,78661,83986,162653,2156,2299,4454,414,421,836,22,12,26,13,15,25,453,444,889,55263,57692,112961,23168,26110,49276,58136,60867,118998,19950,22439,42387,68985,73059,142046,1713,1546,3259,10120,9639,19761,4349,4014,8363,2287,2164,4446,2589,3987,6580,40731,46052,86787,8061,7821,15887,7997,7738,15738,3257,3327,6584,2254,2940,5189,577,779,1349,77055,81810,158867,3039,3690,6731
CED212,77143,80871,158012,4775,4672,9453,10389,9840,20233,4825,4384,9215,4323,4242,8568,9771,10217,19993,10535,11301,21835,10763,11209,21967,9384,10020,19405,7077,8033,15113,3959,4724,8681,1337,2215,3550,74772,78576,153349,2375,2291,4663,881,886,1765,36,41,74,24,25,48,944,950,1897,57277,59307,116583,16072,17901,33981,65484,67899,133390,7758,9155,16921,67842,70976,138815,1530,1461,2990,9775,9273,19045,3746,3565,7315,1445,1767,3208,1880,3490,5368,31272,37493,68772,9269,8469,17737,10837,9664,20503,4348,3899,8247,2238,2551,4795,269,290,559,72321,75849,148164,4208,4515,8723
CED213,72638,77714,150355,3695,3388,7080,8525,8080,16601,4328,3900,8232,3620,3213,6826,6707,6944,13646,7424,8298,15714,9238,10404,19647,9763,10995,20756,10310,11638,21953,6704,7697,14401,2332,3161,5492,68705,73875,142587,3932,3835,7768,802,709,1508,40,32,76,21,27,46,862,768,1634,56050,59451,115498,12139,13550,25687,64730,69071,133808,3768,4238,8011,65206,69721,134924,1169,1076,2247,7941,7512,15455,3173,3021,6195,1191,1213,2407,1271,2648,3921,28808,34725,63533,9296,9387,18684,11122,10147,21266,4320,4264,8582,2471,2811,5283,239,250,488,65744,70969,136716,6315,6428,12745
CED214,88791,87592,176388,5167,4876,10043,9444,8681,18128,4224,4128,8354,6407,5938,12347,18315,17067,35377,13996,13541,27544,10792,10976,21769,9141,9081,18224,6545,7083,13633,3480,4074,7554,1267,2148,3419,86706,85554,172260,2089,2042,4126,481,458,938,18,18,28,12,15,23,512,485,991,41953,40279,82238,41031,42175,83211,36443,34376,70818,46161,47735,93895,66349,67281,133631,1328,1310,2634,8637,7953,16587,3430,3516,6950,3061,2999,6061,4892,5746,10638,46166,45794,91959,5555,4680,10237,6756,5897,12652,3084,3204,6288,4392,6081,10476,2174,2930,5098,82450,81634,164081,6082,5513,11599
CED215,95075,94911,189984,7748,7170,14914,14818,14016,28832,4956,4611,9572,5302,4509,9810,14064,14639,28701,18407,17954,36362,12098,12142,24236,8386,8759,17137,5628,6207,11831,2728,3347,6068,952,1573,2518,93092,93052,186144,1985,1858,3847,653,494,1150,19,22,47,18,25,44,693,538,1238,51724,51257,102974,38964,39642,78611,51450,51167,102615,37871,39302,77173,72203,73136,145337,2348,2146,4489,13838,13128,26964,4064,3930,7993,2389,2233,4623,3532,5228,8762,47563,50542,98108,6474,5743,12222,7999,6305,14302,2955,2892,5839,2508,3261,5767,782,1081,1871,89288,90317,179605,5198,4066,9269
CED216,76298,78058,154357,4080,3905,7985,9277,8687,17961,4263,3991,8251,3782,3587,7366,8511,8700,17215,8185,8565,16748,8818,9611,18427,10923,11735,22658,11138,10956,22098,5727,5982,11705,1598,2340,3939,72321,74635,146951,3976,3426,7406,1831,1831,3663,53,50,98,27,32,57,1906,1912,3820,61254,62344,123600,8846,9563,18410,66182,68197,134378,3637,4244,7887,66884,69067,135949,1121,1066,2187,8404,7892,16295,2831,2827,5659,674,1000,1670,1259,2919,4180,21566,27908,49471,10788,10465,21249,14784,12123,26900,5945,5261,11207,3729,3563,7295,278,281,557,68034,70838,138873,7906,6965,14872
CED217,74264,80469,154736,3567,3553,7117,10216,9773,19988,5299,4928,10235,4432,3915,8344,7287,7680,14967,9156,10378,19531,11328,12790,24118,9700,10487,20184,7352,8502,15854,4238,5344,9578,1690,3131,4822,71818,77813,149631,2445,2657,5101,199,171,373,8,4,8,0,4,0,204,181,386,49708,52772,102484,22205,25088,47290,57166,60657,117819,14569,17015,31584,64205,69322,133524,1309,1323,2630,9763,9388,19155,4834,4568,9402,2642,2404,5042,2034,3234,5267,44868,49190,94048,5197,5844,11043,4465,5045,9510,1964,2004,3968,1379,1811,3194,248,333,584,70463,75816,146274,2673,3500,6173
CED218,89201,88900,178100,6026,5690,11713,13225,12495,25720,5854,5680,11541,6151,5374,11527,13183,12960,26143,14070,14122,28195,11571,12050,23619,9051,9556,18609,6413,6828,13241,2937,3013,5950,717,1133,1848,87822,87574,175397,1372,1328,2698,622,389,1015,15,5,23,16,15,29,649,416,1069,48266,46607,94875,37098,38675,75777,39726,38644,78373,43218,45620,88841,72194,73131,145325,1674,1601,3277,12337,11692,24032,4782,4900,9680,2570,2620,5193,2597,3852,6457,40801,43896,84699,6800,6059,12863,9619,7187,16804,3417,3208,6629,3823,4809,8636,1360,1894,3255,83602,84837,168441,5411,3853,9264
CED219,81404,83986,165389,6298,6081,12384,12508,12049,24559,5089,4878,9964,5072,4785,9861,12042,12908,24951,12052,12369,24424,10093,10535,20627,8247,8961,17203,6456,7077,13532,2845,3130,5974,701,1205,1909,79442,82103,161544,1965,1882,3846,1149,1157,2303,38,27,65,33,47,77,1218,1233,2454,57561,59149,116711,19421,20469,39891,59701,61475,121179,17115,17985,35100,69435,71280,140712,1663,1772,3436,11547,11101,22650,3733,3849,7588,1573,1697,3267,1960,3809,5770,30159,35722,65883,8999,8547,17548,11573,9872,21441,4733,4076,8809,2782,3051,5829,537,686,1222,76850,79254,156103,4019,4289,8304
CED220,74497,80562,155062,3343,3117,6462,7113,6774,13888,3615,3700,7314,5446,6252,11701,15321,16309,31632,11103,11258,22358,9355,10165,19519,7898,8617,16521,6009,7177,13192,3842,4763,8606,1441,2428,3870,71486,77260,148749,3015,3304,6314,262,211,474,16,9,23,5,3,13,279,227,507,47997,50444,98440,23540,26911,50446,54000,56418,110412,17402,20795,38194,60956,65194,126154,1185,1029,2215,6811,6499,13309,3282,3409,6694,3201,3653,6857,3721,4964,8685,50736,55586,106322,3851,4346,8198,3339,3601,6943,1447,1448,2898,1292,1703,2997,281,448,730,69529,74917,144447,3862,4482,8348
CED221,93534,93721,187255,8138,7744,15881,15429,14343,29772,5837,5709,11548,6361,6183,12543,14710,15965,30666,15878,15419,31300,11009,11011,22019,8268,8289,16563,4991,5434,10430,2302,2591,4887,609,1031,1644,91739,92162,183899,1798,1557,3355,714,685,1398,28,22,51,21,16,43,767,725,1491,50087,49755,99847,39084,39814,78897,49178,49012,98187,39281,39594,78879,74042,73416,147454,2140,1913,4053,14306,13339,27639,4545,4713,9255,2273,2595,4873,3133,5066,8200,38347,42049,80392,7819,7199,15021,10826,9197,20021,4440,3886,8329,3040,3419,6455,1616,2055,3677,89068,89383,178446,3898,4029,7925
CED222,98421,97169,195590,5539,5169,10710,10834,10099,20925,5202,5019,10219,8288,7114,15407,18457,15973,34431,13998,13903,27900,11700,12155,23858,10047,10420,20465,7583,8668,16254,4806,5704,10506,1972,2941,4915,96442,95140,191581,1976,2032,4006,297,270,562,14,21,38,6,13,16,315,296,615,43330,40884,84215,50901,52528,103430,38935,36524,75459,54735,56218,110949,71647,72011,143656,1615,1474,3084,10164,9495,19663,4466,4448,8914,4500,4048,8547,4933,5533,10470,53015,52247,105262,6300,5331,11636,7546,6774,14313,3439,3520,6960,4606,6452,11060,2497,3270,5769,93169,92118,185283,5013,4831,9843
CED223,77010,79610,156620,3945,3932,7875,9685,9253,18935,4642,4273,8916,3660,3398,7052,8032,8246,16281,8342,9130,17472,9564,10324,19886,11115,11910,23021,10761,10640,21401,5591,5933,11529,1673,2575,4247,73024,76032,149053,3983,3577,7561,1497,1625,3130,55,58,108,34,51,89,1594,1734,3325,63545,65544,129088,7806,8562,16367,68002,70387,138386,3686,4140,7822,69055,71621,140676,1151,1180,2335,8865,8542,17407,3232,3205,6433,845,1081,1924,1534,3155,4684,24595,31453,56048,10525,10096,20625,14070,11857,25929,5390,4476,9862,3309,3033,6339,270,272,538,69066,72175,141238,8979,8803,17787
CED224,77828,82689,160526,4688,4528,9217,10315,9864,20180,4634,4478,9111,4365,4115,8485,9724,10021,19743,11466,12380,23851,11255,12143,23399,9203,9793,19002,6737,7836,14574,3925,4912,8841,1507,2620,4126,75871,80670,156540,1961,2024,3986,335,334,668,24,20,47,5,8,19,361,369,732,50905,53222,104131,24395,26925,51321,54322,57046,111369,20640,22731,43368,67384,71700,139081,1489,1519,3007,9882,9464,19346,3977,3950,7934,2106,2146,4251,2273,3532,5802,39239,44257,83492,7193,6832,14028,7466,7026,14491,2940,3028,5964,2433,3192,5625,853,999,1857,74421,78876,153298,2822,3190,6016
CED225,77412,81452,158869,4476,4270,8750,10065,9756,19820,4822,4341,9163,4603,4212,8816,9331,9618,18952,10785,11482,22268,10654,11333,21990,9282,10305,19590,7668,8707,16381,4249,5018,9268,1467,2403,3870,75207,79225,154436,2202,2232,4433,494,487,981,15,13,30,17,12,30,530,510,1039,57443,59765,117204,17614,19390,37006,60262,62391,122659,14668,16668,31331,69171,72509,141679,1574,1482,3058,9693,9424,19120,4148,3873,8027,2213,2314,4532,2514,3700,6213,40992,45463,86447,7107,6761,13866,6782,6379,13162,3005,2949,5957,2113,2896,5010,453,532,989,73632,77556,151182,3370,3539,6911
CED226,78044,85306,163354,3209,3095,6299,9857,9492,19347,5870,5657,11534,6089,5977,12067,10321,10543,20867,9190,10684,19873,10554,12363,22915,9586,10519,20099,7299,8461,15755,4256,5347,9605,1821,3168,4987,75367,82375,157743,2679,2937,5614,216,179,395,12,7,24,8,3,9,231,194,425,50928,53627,104559,24807,29226,54034,53671,56468,110140,21972,26278,48247,65965,71133,137099,1189,1166,2348,9508,9202,18715,5474,5338,10816,3892,3815,7702,3295,4252,7550,51359,56601,107955,4193,5001,9196,3559,4054,7616,1849,1973,3818,1334,1909,3242,340,464,803,73516,79999,153521,3453,4032,7491
CED227,83354,86111,169469,6804,6513,13317,13370,12951,26323,5536,5061,10598,5115,4964,10078,12406,13663,26068,13221,13482,26702,10272,10612,20885,7559,8044,15597,5278,6162,11444,2977,3402,6381,809,1271,2079,81361,84187,165546,1995,1931,3923,597,679,1276,35,17,53,14,12,28,649,715,1362,55069,56926,111990,24541,25352,49896,58470,60395,118865,20956,21615,42571,70241,72219,142457,1958,1845,3800,12542,12155,24694,4362,4188,8551,1778,2073,3853,2380,4316,6694,33651,39769,73422,8473,7833,16310,10746,9006,19751,4294,3634,7932,2250,2384,4634,428,510,938,79331,81919,161250,3450,3825,7264
CED228,100992,100333,201323,9037,8459,17497,16071,15399,31471,5868,5420,11294,7043,6088,13134,17204,18757,35954,18796,17623,36421,10709,10575,21287,8100,8693,16791,5335,5721,11050,2270,2555,4825,566,1038,1603,99255,98764,198021,1735,1563,3305,887,1015,1897,14,16,31,24,19,37,922,1042,1965,49694,49719,99417,45682,45251,90932,47234,47106,94342,47456,47115,94570,73842,73000,146844,2342,2108,4456,14683,14113,28796,4605,4443,9050,2995,2754,5749,4006,6045,10059,46200,47766,93968,7347,6946,14289,9666,8566,18226,3918,3679,7593,2659,3267,5922,1082,1398,2478,95441,95043,190485,5317,5155,10468
CED229,82107,85969,168080,3594,3474,7075,6357,6213,12568,2896,2989,5881,5371,5998,11363,19644,20964,40606,14237,14287,28521,10536,10935,21470,8543,8802,17343,6516,6911,13427,3311,3650,6958,1101,1757,2862,78846,82254,161095,3267,3721,6980,350,339,694,11,13,26,20,10,26,381,366,747,47018,48487,95504,30239,32714,62953,56687,57829,114513,20316,23131,43454,61432,64095,125526,1126,1115,2240,5980,5815,11798,2532,2627,5157,2847,3264,6108,5108,6873,11981,55437,59812,115249,4667,4635,9307,4029,3667,7696,1526,1379,2906,1125,1330,2463,323,391,713,74840,78427,153269,6975,6386,13361
CED230,83340,84301,167639,4399,4440,8831,10268,9623,19893,4701,4283,8984,4333,3902,8235,9688,9873,19562,8713,9092,17807,9910,10412,20319,12130,12097,24230,10974,10641,21612,6099,6596,12696,2129,3339,5466,79478,81131,160613,3859,3166,7025,2389,2595,4987,83,72,152,67,84,153,2541,2748,5295,66969,68177,135141,9053,9300,18348,69519,71112,140635,7063,6891,13953,71819,73280,145100,1179,1230,2413,9236,8714,17951,3082,3057,6142,728,995,1721,1230,2787,4011,22548,28504,51051,11553,11267,22818,14658,12609,27269,6946,5857,12807,5322,4727,10051,716,634,1346,75191,76391,151586,7965,7765,15730
CED231,74746,78659,153408,4107,3840,7953,8541,8130,16672,4092,3790,7886,4882,4692,9572,11811,12153,23961,10951,11574,22522,10114,10688,20803,8317,9057,17371,6444,7522,13963,3965,4889,8855,1526,2332,3856,72570,76426,148997,2173,2234,4411,338,319,658,19,14,40,14,16,33,377,355,729,51205,52443,103645,20631,23262,43891,51237,52192,103430,20512,23427,43935,64890,68174,133063,1272,1289,2558,8167,7778,15945,3540,3390,6932,2399,2362,4768,2826,4031,6856,40532,44130,84664,6245,5804,12049,6090,5655,11748,2636,2692,5331,2912,4090,7004,664,1136,1795,70740,74491,145233,3513,3415,6927
CED232,79087,80801,159894,6024,5637,11657,12544,11859,24400,5316,4956,10275,4479,4030,8507,9796,10739,20536,11704,12340,24045,10448,11141,21585,8598,9004,17607,6364,6954,13314,3138,3069,6201,679,1076,1750,76824,78701,155529,2262,2103,4359,943,896,1836,27,32,66,21,16,38,994,952,1943,60577,61984,122561,15057,15367,30423,63156,64400,127556,12444,12895,25340,70368,71599,141972,1886,1680,3575,11870,11196,23063,4230,4082,8316,1621,1675,3299,1857,3584,5436,32014,38590,70601,8824,7975,16798,10111,7962,18077,4189,3320,7506,2075,2143,4216,248,287,541,74956,76594,151544,3220,3394,6610
CED233,98410,101559,199964,3252,3189,6437,4892,4797,9687,3449,4326,7776,12923,15054,27976,33351,33977,67326,16397,14783,31175,9062,8916,17975,7144,7154,14302,4835,5380,10215,2358,2731,5089,751,1255,2004,94334,97176,191509,4072,4387,8460,534,496,1030,23,14,36,22,14,34,580,520,1105,49613,48668,98288,42044,46391,88437,58095,56102,114188,33221,38799,72018,64179,64913,129088,869,833,1701,4446,4359,8810,2897,3736,6639,7957,9567,17528,9479,11770,21250,72451,75714,148166,4174,3830,8004,3617,3148,6765,1310,1310,2619,1240,1954,3193,637,1043,1678,86179,89368,175548,13952,13059,27009
CED234,83846,89005,172855,4056,3994,8048,10500,9805,20298,5343,4818,10157,5683,5085,10771,10218,10392,20607,11052,12194,23247,11196,12220,23420,10045,11134,21181,7694,9097,16789,5658,6895,12559,2391,3383,5775,81869,86901,168770,1979,2105,4083,238,213,451,9,7,17,9,4,9,248,226,481,46562,47211,93770,34721,39014,73741,44955,45451,90405,36228,40647,76877,67652,71043,138694,1420,1363,2787,10100,9451,19553,4823,4376,9196,3168,3030,6195,3150,4359,7507,48208,51721,99930,6139,6176,12320,5771,6031,11801,2753,3087,5836,2844,3954,6801,735,1047,1785,80373,84787,165160,3057,3753,6818
CED235,71468,74883,146349,3894,3774,7667,9007,8395,17399,3852,3798,7650,3287,3084,6375,7410,8088,15497,7582,8175,15754,8496,9232,17726,10239,11269,21510,10509,10893,21404,5567,5811,11374,1618,2375,3987,67801,71405,139205,3663,3479,7143,949,914,1861,44,36,84,22,30,51,1016,980,1995,57366,59721,117092,9000,9948,18953,63595,66392,129986,3276,3817,7095,64054,66999,131057,1097,994,2090,8268,7685,15952,2743,2929,5672,741,962,1710,1124,2689,3818,22052,28714,50761,10119,9865,19980,12803,11021,23823,5461,4762,10222,3281,3278,6552,266,266,536,65141,68376,133515,5310,5649,10958
CED236,79509,80000,159507,4467,4142,8608,10260,9620,19881,4919,4293,9207,4317,3977,8291,9049,9310,18361,8498,9023,17517,9868,10082,19953,10768,11072,21840,9871,9904,19778,5707,5888,11593,1784,2694,4479,75946,76876,152825,3560,3125,6682,2355,2437,4789,64,65,128,73,67,143,2491,2561,5063,63234,63748,126983,9865,10202,20069,65305,66234,131544,8051,8157,16208,68671,69554,138224,1221,1115,2342,9309,8757,18069,3339,3237,6580,896,1169,2069,1334,2965,4297,21965,28202,50160,10715,10258,20976,14201,11908,26117,6637,5354,11997,4609,4052,8663,665,593,1260,71832,73014,144847,7347,6485,13831
CED237,84897,85498,170399,5818,5400,11216,11490,10743,22237,4988,4611,9602,5961,5358,11325,13284,13158,26442,13294,13132,26426,10304,10603,20910,8739,9501,18236,6427,7206,13637,3422,4030,7448,1160,1762,2925,83377,84039,167415,1522,1461,2983,672,753,1425,16,19,41,24,24,46,718,799,1513,46359,46275,92633,34840,35634,70471,37891,37400,75286,42882,43905,86788,68823,69991,138818,1692,1572,3263,10779,10060,20837,4023,4006,8031,2537,2597,5138,3187,4355,7541,39577,41376,80961,6719,6131,12851,8182,7112,15295,3629,3496,7125,4329,5652,9983,1443,1914,3362,81224,81665,162888,3647,3853,7504
CED238,76844,77714,154555,3960,3728,7683,9351,8680,18029,4488,4123,8601,3713,3364,7078,8478,8280,16759,8215,8556,16776,9679,10016,19697,11192,11711,22905,10653,10494,21143,5409,5927,11334,1708,2849,4556,72989,74117,147106,3857,3595,7452,1420,1350,2769,36,28,62,37,20,59,1493,1392,2889,64378,65291,129664,6967,7131,14101,67740,69727,137470,3038,3123,6161,67755,69795,137555,1118,1078,2200,8574,7992,16563,3088,3095,6180,703,944,1650,1342,2656,3996,23372,30540,53908,11179,10848,22026,13574,10403,23975,5994,4757,10750,3863,3454,7321,313,235,554,68846,70907,139756,7644,6605,14247
CED239,77216,81096,158319,4604,4432,9031,7815,7639,15455,3359,3197,6556,5821,5846,11671,16831,17440,34271,13140,13111,26247,9371,9634,19003,7099,7560,14656,4524,5333,9855,2957,4127,7085,1711,2776,4486,75133,78729,153863,2090,2371,4456,452,480,930,16,14,25,23,22,44,483,516,1000,48177,50655,98820,25677,27125,52799,46788,48741,95531,26891,28754,55638,62559,66834,129396,1373,1290,2665,7408,7190,14600,2784,2786,5569,2900,3128,6027,4467,6029,10491,44661,48418,93078,5039,4296,9330,5097,4382,9480,2233,2181,4417,3239,4719,7963,944,1458,2400,72910,76299,149208,3737,3886,7619
CED294,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
CED297,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
CED301,93989,95955,189948,6813,6348,13158,14789,13984,28769,6243,6050,12294,6163,6038,12202,13473,14344,27817,12739,12944,25687,11277,11972,23248,10192,10573,20761,7534,7885,15418,3769,4265,8034,991,1565,2551,90411,93183,183594,3582,2772,6354,4843,4955,9798,190,195,388,249,249,496,5280,5398,10682,72791,74018,146810,15719,16816,32538,79008,81000,160014,8508,9559,18069,80612,83088,163698,1733,1622,3350,13622,12955,26585,4059,4309,8374,1064,1638,2704,2198,4615,6809,34196,39033,73237,6065,5788,11852,18569,17891,36461,4565,4082,8642,3499,3535,7038,383,420,803,86525,90197,176725,6762,5653,12417
CED302,79425,83459,162883,4877,4588,9464,11305,10924,22223,5323,4962,10283,5092,4705,9801,9841,10352,20196,11680,12793,24475,11171,11785,22957,8766,9443,18209,6468,7302,13766,3659,4463,8122,1254,2137,3392,76987,81392,158377,2439,2071,4510,1410,1437,2856,96,111,208,117,114,236,1628,1666,3295,53412,55289,108700,23352,25598,48959,59742,61525,121271,16785,19110,35899,67576,70862,138438,1576,1471,3046,10842,10497,21339,4330,4260,8590,2102,2197,4304,2510,4119,6625,41728,45036,86770,4170,3724,7898,10005,11137,21148,2313,2389,4705,1915,2492,4408,313,364,670,75881,80092,155973,2831,2995,5828
