CED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED697,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,19
CED701,286,3456,600,4343,342,3481,767,4593,764,7922,1953,10633,759,6747,1576,9081,706,5844,1240,7786,539,4982,911,6430,287,2967,512,3763,82,949,179,1210,14,167,20,198,3769,36517,7758,48043,316,3135,481,3929,427,3233,421,4074,1090,8408,1175,10676,1178,6841,1003,9022,1056,5795,847,7699,891,4652,686,6227,390,2501,412,3300,106,803,125,1038,18,225,34,274,5466,35597,5183,46241,600,6586,1079,8269,765,6717,1185,8667,1855,16332,3128,21315,1934,13585,2577,18101,1760,11641,2083,15487,1429,9631,1595,12661,678,5463,919,7067,186,1751,304,2251,26,390,62,475,9237,72108,12941,94284
CED702,137,2554,290,2978,143,3086,475,3706,510,8558,1171,10236,673,6897,877,8447,732,5619,759,7111,539,4642,530,5712,345,3069,348,3760,133,1165,143,1434,25,224,46,303,3230,35804,4646,43683,186,2431,294,2906,151,2843,338,3334,790,9191,1069,11046,1062,7153,815,9025,1079,5416,581,7079,902,4211,457,5579,545,2769,280,3594,150,1175,170,1488,22,291,74,389,4888,35485,4082,44458,320,4982,576,5886,296,5931,816,7041,1300,17752,2241,21288,1733,14051,1694,17478,1812,11036,1349,14186,1439,8857,994,11290,885,5834,627,7353,284,2336,311,2927,49,524,121,696,8117,71291,8726,88143
CED794,0,11,15,30,0,35,48,84,10,181,104,292,9,167,129,305,12,156,150,311,6,178,115,300,9,141,53,205,0,24,11,33,0,4,0,6,41,891,636,1567,0,29,31,64,5,59,38,99,15,215,137,364,17,143,103,268,14,144,122,280,17,158,108,279,4,81,33,114,0,13,0,17,0,0,0,4,72,836,571,1486,4,44,43,95,9,89,87,183,23,395,242,661,26,309,236,573,17,295,276,591,23,332,226,579,9,219,88,318,0,32,16,49,0,4,0,7,115,1724,1209,3052
CED797,0,5,0,4,0,6,0,6,0,12,3,16,0,13,4,22,6,9,5,18,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,5,60,22,83,0,0,0,0,0,3,0,3,0,3,0,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,5,0,4,0,6,0,6,0,15,6,23,0,13,4,22,6,12,5,19,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,4,65,28,94
CED801,222,4041,191,4455,281,3995,225,4499,686,9651,681,11016,1053,9196,534,10782,1385,7808,403,9592,1526,6762,301,8586,930,5465,264,6654,505,2749,220,3475,156,790,121,1071,6734,50450,2941,60122,227,3558,144,3939,338,3812,181,4321,947,9875,479,11299,1641,9106,405,11153,2116,7650,315,10085,2340,6893,254,9486,1423,5806,284,7512,589,3302,281,4174,94,1239,219,1547,9732,51227,2558,63515,454,7607,335,8395,615,7803,407,8820,1640,19522,1157,22319,2692,18301,940,21933,3508,15452,719,19674,3863,13658,556,18075,2354,11265,548,14171,1097,6051,502,7647,248,2029,337,2617,16469,101678,5497,123643
CED802,208,4021,325,4554,295,6347,636,7283,646,12098,896,13639,852,8554,568,9981,1215,6795,429,8437,1261,5460,404,7127,787,4459,301,5548,477,2448,200,3122,126,985,110,1223,5875,51172,3873,60917,232,4160,384,4775,341,6707,596,7639,816,11857,777,13449,1224,8526,458,10210,1767,6505,332,8603,1887,5209,291,7392,1189,4684,310,6187,570,3018,240,3827,121,1643,203,1970,8153,52308,3584,64056,443,8173,705,9325,636,13057,1228,14923,1464,23958,1673,27091,2079,17082,1022,20191,2982,13297,763,17042,3151,10666,693,14515,1975,9142,615,11733,1047,5474,439,6954,249,2628,318,3198,14027,103483,7460,124971
CED803,210,4051,184,4442,271,4754,286,5307,762,12533,772,14066,1306,11780,563,13647,1377,8171,380,9924,985,5172,213,6370,608,3819,143,4581,345,1823,103,2268,75,481,43,593,5941,52584,2690,61208,228,3872,151,4251,331,4653,248,5231,1094,12577,674,14345,1859,11461,483,13794,1881,7638,319,9833,1415,5206,197,6818,966,4359,179,5508,378,2157,126,2661,71,685,72,821,8216,52603,2447,63262,441,7915,337,8696,602,9405,533,10540,1855,25110,1455,28413,3168,23234,1047,27449,3249,15811,697,19759,2398,10377,408,13189,1576,8184,321,10079,724,3980,224,4928,139,1159,116,1420,14153,105183,5135,124469
CED894,3,16,4,23,5,31,7,44,10,40,10,60,4,34,30,62,5,29,19,53,3,19,16,38,0,14,9,21,0,0,4,6,0,0,0,0,33,182,100,315,3,34,0,37,4,38,4,40,7,35,5,53,7,23,7,33,0,23,7,30,4,26,8,35,5,4,4,10,0,4,0,8,0,0,0,0,28,184,34,249,6,47,4,58,8,71,7,82,15,80,21,108,10,58,35,104,6,49,29,77,7,45,22,78,4,20,10,34,0,5,5,10,0,0,0,4,62,372,131,560
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,11
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
