region_id,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED101,204,3967,572,4743,254,4676,417,5347,639,9150,748,10537,904,8090,560,9554,1251,8226,657,10134,1082,6233,537,7852,539,4144,494,5177,365,2581,489,3435,114,934,214,1262,5352,48001,4688,58041,254,3714,445,4413,313,4588,332,5233,1018,9470,619,11107,1638,8475,603,10716,2025,8157,644,10826,1702,6143,520,8365,817,4234,547,5598,436,3405,649,4490,82,2009,397,2488,8285,50195,4756,63236,458,7681,1017,9156,567,9264,749,10580,1657,18620,1367,21644,2542,16565,1163,20270,3276,16383,1301,20960,2784,12376,1057,16217,1356,8378,1041,10775,801,5986,1138,7925,196,2943,611,3750,13637,98196,9444,121277
CED102,160,3192,505,3857,269,3948,489,4706,694,9844,1019,11557,1044,8766,824,10634,1208,7147,682,9037,970,5870,577,7417,590,3995,516,5101,399,2733,519,3651,106,922,194,1222,5440,46417,5325,57182,175,3053,451,3679,292,3810,378,4480,1116,9376,865,11357,1601,8548,753,10902,1849,6931,587,9367,1529,5720,552,7801,879,4298,574,5751,447,3162,600,4209,98,1849,389,2336,7986,46747,5149,59882,335,6245,956,7536,561,7758,867,9186,1810,19220,1884,22914,2645,17314,1577,21536,3057,14078,1269,18404,2499,11590,1129,15218,1469,8293,1090,10852,846,5895,1119,7860,204,2771,583,3558,13426,93164,10474,117064
CED103,209,3901,433,4543,266,5376,453,6095,598,9872,667,11137,917,8765,527,10209,1361,8285,485,10131,1106,6391,408,7905,530,3866,339,4735,392,2573,374,3339,103,894,183,1180,5482,49923,3869,59274,208,3798,322,4328,314,5588,419,6321,820,9818,574,11212,1537,9188,483,11208,2027,8245,468,10740,1740,6169,399,8308,877,4192,382,5451,432,3376,552,4360,82,1797,397,2276,8037,52171,3996,64204,417,7699,755,8871,580,10964,872,12416,1418,19690,1241,22349,2454,17953,1010,21417,3388,16530,953,20871,2846,12560,807,16213,1407,8058,721,10186,824,5949,926,7699,185,2691,580,3456,13519,102094,7865,123478
CED104,211,4709,348,5268,189,4007,184,4380,308,5124,204,5636,760,7455,282,8497,1296,8633,388,10317,1238,7179,306,8723,653,4373,280,5306,264,1969,196,2429,77,604,98,779,4996,44053,2286,51335,201,4393,312,4906,229,3656,124,4009,529,5099,171,5799,1272,8202,286,9760,2098,8715,324,11137,2053,6478,308,8839,850,4096,267,5213,296,2195,299,2790,72,1192,190,1454,7600,44026,2281,53907,412,9102,660,10174,418,7663,308,8389,837,10223,375,11435,2032,15657,568,18257,3394,17348,712,21454,3291,13657,614,17562,1503,8469,547,10519,560,4164,495,5219,149,1796,288,2233,12596,88079,4567,105242
CED105,294,4632,871,5797,373,4694,656,5723,886,9281,1260,11427,1028,8134,1087,10249,1201,7883,1011,10095,998,6198,835,8031,517,3739,619,4875,315,2282,466,3063,78,779,198,1055,5690,47622,7003,60315,343,4327,665,5335,561,4748,556,5865,1646,9340,1157,12143,1776,7768,1052,10596,1848,7336,870,10054,1517,5591,689,7797,682,3499,601,4782,324,2996,633,3953,68,1610,315,1993,8765,47215,6538,62518,637,8959,1536,11132,934,9442,1212,11588,2532,18621,2417,23570,2804,15902,2139,20845,3049,15219,1881,20149,2515,11789,1524,15828,1199,7238,1220,9657,639,5278,1099,7016,146,2389,513,3048,14455,94837,13541,122833
CED106,190,4578,486,5254,145,3812,233,4190,339,5761,396,6496,724,8054,432,9210,1228,8708,433,10369,1210,6311,364,7885,693,4379,294,5366,391,2793,316,3500,149,1099,242,1490,5069,45495,3196,53760,205,4784,390,5379,256,3693,183,4132,574,6230,340,7144,1296,8924,444,10664,2120,8872,416,11408,1980,6095,343,8418,1050,4476,333,5859,491,3457,529,4477,140,2270,581,2991,8112,48801,3559,60472,395,9362,876,10633,401,7505,416,8322,913,11991,736,13640,2020,16978,876,19874,3348,17580,849,21777,3190,12406,707,16303,1743,8855,627,11225,882,6250,845,7977,289,3369,823,4481,13181,94296,6755,114232
CED107,220,4331,665,5216,216,3915,596,4727,511,6460,932,7903,898,7284,857,9039,1201,7899,758,9858,1193,7225,713,9131,656,4979,686,6321,289,2633,574,3496,71,632,162,865,5255,45358,5943,56556,232,4225,553,5010,324,3798,281,4403,930,6620,445,7995,1483,7298,533,9314,1951,7404,505,9860,1856,6386,603,8845,901,4742,673,6316,362,3115,766,4243,63,1575,328,1966,8102,45163,4687,57952,452,8556,1218,10226,540,7713,877,9130,1441,13080,1377,15898,2381,14582,1390,18353,3152,15303,1263,19718,3049,13611,1316,17976,1557,9721,1359,12637,651,5748,1340,7739,134,2207,490,2831,13357,90521,10630,114508
CED108,193,3996,522,4711,192,3606,224,4022,488,6244,339,7071,825,7069,404,8298,1190,7125,413,8728,1263,6528,404,8195,716,4478,468,5662,341,2419,473,3233,107,881,188,1176,5315,42346,3435,51096,231,3759,347,4337,273,3409,187,3869,881,6350,285,7516,1462,6954,344,8760,2020,6853,399,9272,2238,6114,419,8771,964,4498,587,6049,394,3092,640,4126,78,1697,366,2141,8541,42726,3574,54841,424,7755,869,9048,465,7015,411,7891,1369,12594,624,14587,2287,14023,748,17058,3210,13978,812,18000,3501,12642,823,16966,1680,8976,1055,11711,735,5511,1113,7359,185,2578,554,3317,13856,85072,7009,105937
CED109,307,5532,955,6794,335,5100,578,6013,854,9742,876,11472,1152,9152,883,11187,1163,8754,793,10710,928,6497,689,8114,451,3459,549,4459,192,1420,346,1958,27,375,104,506,5409,50031,5773,61213,367,5296,815,6478,508,4943,478,5929,1550,10000,817,12367,1997,9171,840,12008,1868,8422,786,11076,1517,6291,713,8521,604,3584,629,4817,200,2007,452,2659,16,951,199,1166,8627,50665,5729,65021,674,10828,1770,13272,843,10043,1056,11942,2404,19742,1693,23839,3149,18323,1723,23195,3031,17176,1579,21786,2445,12788,1402,16635,1055,7043,1178,9276,392,3427,798,4617,43,1326,303,1672,14036,100696,11502,126234
CED110,130,3374,368,3872,191,3726,262,4179,455,8013,610,9078,845,8479,561,9885,1231,7419,511,9161,1215,6194,436,7845,637,4219,378,5234,385,2701,429,3515,131,844,263,1238,5220,44969,3818,54007,176,3397,329,3902,246,3759,215,4220,752,8056,492,9300,1471,8449,415,10335,1989,7139,417,9545,1986,5747,371,8104,960,4451,463,5874,487,3546,718,4751,104,1803,486,2393,8171,46347,3906,58424,306,6771,697,7774,437,7485,477,8399,1207,16069,1102,18378,2316,16928,976,20220,3220,14558,928,18706,3201,11941,807,15949,1597,8670,841,11108,872,6247,1147,8266,235,2647,749,3631,13391,91316,7724,112431
CED111,201,3821,560,4582,193,2517,299,3009,438,4618,558,5614,770,5985,628,7383,1290,7495,652,9437,1449,8130,633,10212,778,5725,697,7200,395,2989,651,4035,119,939,268,1326,5633,42219,4946,52798,229,3617,465,4311,224,2569,213,3006,800,4907,311,6018,1440,6425,455,8320,2119,7842,524,10485,2262,7264,532,10058,1121,5423,759,7303,466,3255,838,4559,84,1697,476,2257,8745,42999,4573,56317,430,7438,1025,8893,417,5086,512,6015,1238,9525,869,11632,2210,12410,1083,15703,3409,15337,1176,19922,3711,15394,1165,20270,1899,11148,1456,14503,861,6244,1489,8594,203,2636,744,3583,14378,85218,9519,109115
CED112,216,4315,485,5016,302,5349,432,6083,576,8177,624,9377,942,8109,559,9610,1467,7837,564,9868,1316,6231,503,8050,680,4270,464,5414,365,2519,542,3426,113,886,215,1214,5977,47693,4388,58058,266,4082,388,4736,355,4900,313,5568,875,7716,423,9014,1609,7957,438,10004,2314,7275,449,10038,2139,5797,455,8391,966,4380,503,5849,419,3288,776,4483,95,1795,342,2232,9038,47190,4087,60315,482,8397,873,9752,657,10249,745,11651,1451,15893,1047,18391,2551,16066,997,19614,3781,15112,1013,19906,3455,12028,958,16441,1646,8650,967,11263,784,5807,1318,7909,208,2681,557,3446,15015,94883,8475,118373
CED113,187,4255,575,5017,173,3487,256,3916,469,6228,471,7168,848,7266,565,8679,1051,7275,563,8889,1076,6253,564,7893,654,4395,574,5623,374,2586,599,3559,97,918,304,1319,4929,42663,4471,52063,255,4064,486,4805,285,3268,234,3787,888,6482,410,7780,1544,7533,506,9583,1865,7234,529,9628,1988,5921,479,8388,927,4603,741,6271,370,3384,921,4675,84,1856,563,2503,8206,44345,4869,57420,442,8319,1061,9822,458,6755,490,7703,1357,12710,881,14948,2392,14799,1071,18262,2916,14509,1092,18517,3064,12174,1043,16281,1581,8998,1315,11894,744,5970,1520,8234,181,2774,867,3822,13135,87008,9340,109483
CED114,217,3681,582,4480,164,2774,295,3233,447,5441,553,6441,788,7219,699,8706,1211,8155,768,10134,1406,7877,738,10021,705,5587,672,6964,359,2637,584,3580,81,726,216,1023,5378,44097,5107,54582,196,3390,461,4047,221,2536,195,2952,699,5684,471,6854,1274,7265,540,9079,1983,7801,571,10355,2058,7188,620,9866,943,5119,661,6723,390,2807,753,3950,72,1404,377,1853,7836,43194,4649,55679,413,7071,1043,8527,385,5310,490,6185,1146,11125,1024,13295,2062,14484,1239,17785,3194,15956,1339,20489,3464,15065,1358,19887,1648,10706,1333,13687,749,5444,1337,7530,153,2130,593,2876,13214,87291,9756,110261
CED115,179,3943,603,4725,183,3071,333,3587,479,5749,539,6767,751,6645,569,7965,1125,7590,653,9368,1233,7514,718,9465,671,5241,789,6701,376,2848,725,3949,72,779,256,1107,5069,43380,5185,53634,223,3660,496,4379,262,3169,244,3675,822,5776,395,6993,1276,6634,464,8374,1975,7186,540,9701,1973,6488,591,9052,922,5008,824,6754,406,3224,921,4551,67,1512,483,2062,7926,42657,4958,55541,402,7603,1099,9104,445,6240,577,7262,1301,11525,934,13760,2027,13279,1033,16339,3100,14776,1193,19069,3206,14002,1309,18517,1593,10249,1613,13455,782,6072,1646,8500,139,2291,739,3169,12995,86037,10143,109175
CED116,337,5041,864,6242,332,4528,499,5359,749,7981,879,9609,938,7812,907,9657,1172,8712,989,10873,848,6074,723,7645,420,3270,518,4208,216,1744,391,2351,38,410,140,588,5050,45572,5910,56532,373,4674,699,5746,481,4441,437,5359,1268,8306,869,10443,1717,8303,975,10995,1991,8253,878,11122,1409,5787,713,7909,613,3322,587,4522,235,2285,492,3012,37,796,202,1035,8124,46167,5852,60143,710,9715,1563,11988,813,8969,936,10718,2017,16287,1748,20052,2655,16115,1882,20652,3163,16965,1867,21995,2257,11861,1436,15554,1033,6592,1105,8730,451,4029,883,5363,75,1206,342,1623,13174,91739,11762,116675
CED117,206,3738,590,4534,199,2781,341,3321,400,4810,599,5809,774,6230,562,7566,1266,7141,699,9106,1419,7209,600,9228,896,6028,715,7639,477,3285,726,4488,108,890,274,1272,5745,42112,5106,52963,214,3520,467,4201,230,2567,200,2997,725,4863,323,5911,1288,6482,414,8184,2184,6995,528,9707,2295,6855,585,9735,1155,5858,765,7778,494,3659,921,5074,77,1568,427,2072,8662,42367,4630,55659,420,7258,1057,8735,429,5348,541,6318,1125,9673,922,11720,2062,12712,976,15750,3450,14136,1227,18813,3714,14064,1185,18963,2051,11886,1480,15417,971,6944,1647,9562,185,2458,701,3344,14407,84479,9736,108622
CED118,138,2551,379,3068,227,4281,579,5087,676,12116,1341,14133,1029,11157,1057,13243,1160,7937,812,9909,908,5458,618,6984,421,3218,527,4166,289,2111,461,2861,60,633,168,861,4908,49462,5942,60312,119,2446,330,2895,257,4753,435,5445,1054,12916,1105,15075,1658,11198,943,13799,1807,7600,655,10062,1466,5301,576,7343,654,3369,499,4522,304,2514,508,3326,32,1385,354,1771,7351,51482,5405,64238,257,4997,709,5963,484,9034,1014,10532,1730,25032,2446,29208,2687,22355,2000,27042,2967,15537,1467,19971,2374,10759,1194,14327,1075,6587,1026,8688,593,4625,969,6187,92,2018,522,2632,12259,100944,11347,124550
CED119,229,4132,592,4953,242,4392,448,5082,755,10973,978,12706,1140,10597,840,12577,1085,8087,658,9830,901,6002,471,7374,432,3257,398,4087,186,1498,335,2019,24,325,104,453,4994,49263,4824,59081,256,3998,446,4700,322,4160,264,4746,1293,11369,694,13356,1695,10072,554,12321,1671,7582,507,9760,1481,5729,436,7646,545,3093,412,4050,187,1941,445,2573,35,790,242,1067,7485,48734,4000,60219,485,8130,1038,9653,564,8552,712,9828,2048,22342,1672,26062,2835,20669,1394,24898,2756,15669,1165,19590,2382,11731,907,15020,977,6350,810,8137,373,3439,780,4592,59,1115,346,1520,12479,97997,8824,119300
CED120,233,4589,490,5312,223,4541,304,5068,516,7776,607,8899,890,8487,513,9890,1255,8218,554,10027,1148,6714,479,8341,511,3766,364,4641,221,1678,289,2188,50,503,101,654,5047,46272,3701,55020,244,4260,430,4934,339,3999,232,4570,903,7751,538,9192,1538,8620,503,10661,2204,7881,495,10580,1959,6027,433,8419,679,3556,381,4616,251,2100,434,2785,40,987,151,1178,8157,45181,3597,56935,477,8849,920,10246,562,8540,536,9638,1419,15527,1145,18091,2428,17107,1016,20551,3459,16099,1049,20607,3107,12741,912,16760,1190,7322,745,9257,472,3778,723,4973,90,1490,252,1832,13204,91453,7298,111955
CED121,201,4054,583,4838,202,3002,342,3546,428,5340,591,6359,900,7398,741,9039,1292,8121,720,10133,1330,7605,694,9629,730,5362,678,6770,307,2441,567,3315,67,620,170,857,5457,43943,5086,54486,278,3683,537,4498,239,2872,195,3306,802,5527,388,6717,1577,7620,489,9686,2071,7459,489,10019,2141,6825,557,9523,890,4936,668,6494,324,2767,759,3850,71,1316,319,1706,8393,43005,4401,55799,479,7737,1120,9336,441,5874,537,6852,1230,10867,979,13076,2477,15018,1230,18725,3363,15580,1209,20152,3471,14430,1251,19152,1620,10298,1346,13264,631,5208,1326,7165,138,1936,489,2563,13850,86948,9487,110285
CED122,191,4059,627,4877,224,3794,399,4417,539,7602,839,8980,815,7837,837,9489,1133,7574,735,9442,1130,6560,673,8363,548,3935,560,5043,251,1845,441,2537,34,539,151,724,4865,43745,5262,53872,227,3954,519,4700,298,3636,230,4164,1025,7178,436,8639,1468,7541,532,9541,1851,6947,486,9284,1888,5705,543,8136,765,3686,565,5016,300,2456,679,3435,52,1260,230,1542,7874,42363,4220,54457,418,8013,1146,9577,522,7430,629,8581,1564,14780,1275,17619,2283,15378,1369,19030,2984,14521,1221,18726,3018,12265,1216,16499,1313,7621,1125,10059,551,4301,1120,5972,86,1799,381,2266,12739,86108,9482,108329
CED123,152,3694,617,4463,304,6545,938,7787,607,12047,1709,14363,883,9711,1316,11910,1205,7495,1017,9717,947,5728,834,7509,518,3862,683,5063,317,2359,529,3205,73,763,203,1039,5006,52204,7846,65056,152,3622,474,4248,338,6473,669,7480,1024,12335,1169,14528,1484,9838,943,12265,1843,7179,731,9753,1576,5656,681,7913,830,4115,706,5651,400,3012,721,4133,79,1568,317,1964,7726,53798,6411,67935,304,7316,1091,8711,642,13018,1607,15267,1631,24382,2878,28891,2367,19549,2259,24175,3048,14674,1748,19470,2523,11384,1515,15422,1348,7977,1389,10714,717,5371,1250,7338,152,2331,520,3003,12732,106002,14257,132991
CED124,219,4448,610,5277,246,4574,606,5426,743,9205,810,10758,947,8792,721,10460,1037,7734,686,9457,990,6745,587,8322,500,3555,502,4557,171,1418,364,1953,41,344,138,523,4894,46815,5024,56733,259,4430,542,5231,365,4653,378,5396,1286,9437,736,11459,1659,8518,674,10851,1819,7563,615,9997,1766,6275,556,8597,622,3437,523,4582,205,1832,502,2539,53,864,276,1193,8034,47009,4802,59845,478,8878,1152,10508,611,9227,984,10822,2029,18642,1546,22217,2606,17310,1395,21311,2856,15297,1301,19454,2756,13020,1143,16919,1122,6992,1025,9139,376,3250,866,4492,94,1208,414,1716,12928,93824,9826,116578
CED125,202,3416,470,4088,149,2191,218,2558,382,3989,316,4687,729,5664,421,6814,1186,6834,530,8550,1349,7325,617,9291,901,6257,711,7869,458,3488,769,4715,125,1006,306,1437,5481,40170,4358,50009,215,3185,414,3814,213,2136,131,2480,673,4285,207,5165,1328,6018,364,7710,1983,7058,431,9472,2259,6855,547,9661,1200,6275,774,8249,534,3894,992,5420,95,1854,508,2457,8500,41560,4368,54428,417,6601,884,7902,362,4327,349,5038,1055,8274,523,9852,2057,11682,785,14524,3169,13892,961,18022,3608,14180,1164,18952,2101,12532,1485,16118,992,7382,1761,10135,220,2860,814,3894,13981,81730,8726,104437
CED126,196,4662,692,5550,208,4239,340,4787,601,8054,603,9258,959,8291,596,9846,1033,7360,586,8979,941,6338,515,7794,489,3194,424,4107,174,1308,280,1762,35,367,90,492,4636,43813,4126,52575,293,4341,572,5206,357,4145,319,4821,1165,8130,549,9844,1744,8219,583,10546,1897,7244,576,9717,1631,5923,561,8115,602,3099,446,4147,178,1703,355,2236,26,852,148,1026,7893,43656,4109,55658,489,9003,1264,10756,565,8384,659,9608,1766,16184,1152,19102,2703,16510,1179,20392,2930,14604,1162,18696,2572,12261,1076,15909,1091,6293,870,8254,352,3011,635,3998,61,1219,238,1518,12529,87469,8235,108233
CED127,126,3719,462,4307,158,3285,231,3674,376,6391,430,7197,751,8836,523,10110,1156,8203,532,9891,1173,6614,459,8246,676,4888,414,5978,330,2495,369,3194,129,1081,221,1431,4875,45512,3641,54028,129,3400,349,3878,184,3018,174,3376,611,6427,373,7411,1269,9327,509,11105,1964,7991,414,10369,2017,6204,433,8654,1014,4803,465,6282,413,3225,586,4224,94,2057,501,2652,7695,46452,3804,57951,255,7119,811,8185,342,6303,405,7050,987,12818,803,14608,2020,18163,1032,21215,3120,16194,946,20260,3190,12818,892,16900,1690,9691,879,12260,743,5720,955,7418,223,3138,722,4083,12570,91964,7445,111979
CED128,215,4312,498,5025,196,3770,270,4236,464,6235,427,7126,844,7810,567,9221,1281,8075,652,10008,1282,7252,571,9105,618,4214,495,5327,239,1919,321,2479,64,545,161,770,5203,44132,3962,53297,227,3998,462,4687,282,3443,218,3943,815,6043,345,7203,1545,8002,536,10083,2181,8062,576,10819,2069,6863,542,9474,855,4381,510,5746,304,2355,497,3156,61,1262,328,1651,8339,44409,4014,56762,442,8310,960,9712,478,7213,488,8179,1279,12278,772,14329,2389,15812,1103,19304,3462,16137,1228,20827,3351,14115,1113,18579,1473,8595,1005,11073,543,4274,818,5635,125,1807,489,2421,13542,88541,7976,110059
CED129,263,4749,659,5671,317,4708,361,5386,746,8374,598,9718,979,7867,605,9451,1166,8090,593,9849,1018,6814,542,8374,521,3797,484,4802,224,1767,357,2348,40,404,95,539,5274,46570,4294,56138,312,4442,548,5302,463,4479,298,5240,1224,8177,594,9995,1688,7635,607,9930,2094,7951,540,10585,1722,6326,558,8606,639,3657,540,4836,232,2141,432,2805,31,693,201,925,8405,45501,4318,58224,575,9191,1207,10973,780,9187,659,10626,1970,16551,1192,19713,2667,15502,1212,19381,3260,16041,1133,20434,2740,13140,1100,16980,1160,7454,1024,9638,456,3908,789,5153,71,1097,296,1464,13679,92071,8612,114362
CED130,180,4400,439,5019,193,3855,185,4233,401,6540,344,7285,927,9134,426,10487,1077,8210,368,9655,1080,6385,304,7769,580,4026,288,4894,247,1551,237,2035,60,491,133,684,4745,44592,2724,52061,211,4075,328,4614,253,3736,159,4148,701,6967,314,7982,1486,9730,365,11581,1783,7845,331,9959,1748,6249,335,8332,807,3745,318,4870,233,1947,377,2557,41,1198,362,1601,7263,45492,2889,55644,391,8475,767,9633,446,7591,344,8381,1102,13507,658,15267,2413,18864,791,22068,2860,16055,699,19614,2828,12634,639,16101,1387,7771,606,9764,480,3498,614,4592,101,1689,495,2285,12008,90084,5613,107705
CED131,222,4302,670,5194,220,3678,343,4241,491,6110,595,7196,840,6788,660,8288,1277,7760,709,9746,1321,7597,702,9620,700,5487,726,6913,317,2733,673,3723,73,749,198,1020,5461,45204,5276,55941,270,4238,575,5083,269,3765,276,4310,914,6206,455,7575,1464,7038,542,9044,2059,7624,552,10235,2050,6827,571,9448,1006,5393,783,7182,390,3246,886,4522,63,1537,469,2069,8485,45874,5109,59468,492,8540,1245,10277,489,7443,619,8551,1405,12316,1050,14771,2304,13826,1202,17332,3336,15384,1261,19981,3371,14424,1273,19068,1706,10880,1509,14095,707,5979,1559,8245,136,2286,667,3089,13946,91078,10385,115409
CED132,174,3440,400,4014,254,5269,435,5958,582,8971,739,10292,828,7388,574,8790,1172,7052,627,8851,1132,5757,525,7414,579,3680,511,4770,305,2169,512,2986,91,785,226,1102,5117,44511,4549,54177,185,3361,326,3872,351,5274,324,5949,847,8326,530,9703,1271,7079,463,8813,1873,6405,489,8767,1784,5142,423,7349,802,3784,557,5143,400,3105,735,4240,79,1782,396,2257,7592,44258,4243,56093,359,6801,726,7886,605,10543,759,11907,1429,17297,1269,19995,2099,14467,1037,17603,3045,13457,1116,17618,2916,10899,948,14763,1381,7464,1068,9913,705,5274,1247,7226,170,2567,622,3359,12709,88769,8792,110270
CED133,127,3339,399,3865,173,3750,375,4298,526,11701,1016,13243,777,10444,838,12059,1032,7709,571,9312,1021,6074,477,7572,529,3855,350,4734,247,2075,318,2640,95,795,170,1060,4527,49742,4514,58783,128,2931,298,3357,238,4069,337,4644,804,12507,948,14259,1299,10726,717,12742,1783,7725,511,10019,1790,6263,471,8524,852,3949,438,5239,386,2658,482,3526,75,1927,345,2347,7355,52755,4547,64657,255,6270,697,7222,411,7819,712,8942,1330,24208,1964,27502,2076,21170,1555,24801,2815,15434,1082,19331,2811,12337,948,16096,1381,7804,788,9973,633,4733,800,6166,170,2722,515,3407,11882,102497,9061,123440
CED134,224,3671,543,4438,170,2983,276,3429,510,4823,475,5808,827,5983,499,7309,1361,7297,614,9272,1447,7593,572,9612,777,5240,606,6623,412,3060,670,4142,105,960,280,1345,5833,41610,4535,51978,250,3542,439,4231,318,2765,189,3272,829,5033,326,6188,1419,6267,415,8101,2208,7176,439,9823,2307,6921,508,9736,1136,5231,675,7042,520,3722,844,5086,83,1972,438,2493,9070,42629,4273,55972,474,7213,982,8669,488,5748,465,6701,1339,9856,801,11996,2246,12250,914,15410,3569,14473,1053,19095,3754,14514,1080,19348,1913,10471,1281,13665,932,6782,1514,9228,188,2932,718,3838,14903,84239,8808,107950
CED135,245,4112,820,5177,204,3398,447,4049,528,6529,861,7918,887,7653,879,9419,1191,8441,898,10530,1123,7766,886,9775,633,5606,902,7141,308,2702,705,3715,61,713,177,951,5180,46920,6575,58675,297,3697,694,4688,355,3391,315,4061,1032,6918,544,8494,1551,7499,720,9770,2050,7706,663,10419,1852,6549,687,9088,889,5017,855,6761,390,3059,753,4202,77,1422,320,1819,8493,45258,5551,59302,542,7809,1514,9865,559,6789,762,8110,1560,13447,1405,16412,2438,15152,1599,19189,3241,16147,1561,20949,2975,14315,1573,18863,1522,10623,1757,13902,698,5761,1458,7917,138,2135,497,2770,13673,92178,12126,117977
CED136,219,3947,697,4863,325,5312,819,6456,1069,14859,1906,17834,1082,10137,1137,12356,1129,7905,879,9913,925,5733,621,7279,465,3561,506,4532,265,2026,444,2735,50,605,203,858,5529,54085,7212,66826,245,3544,543,4332,457,5177,630,6264,1594,14066,1360,17020,1687,9256,906,11849,1717,7480,771,9968,1363,5484,611,7458,694,3633,509,4836,285,2586,611,3482,51,1246,488,1785,8093,52472,6429,66994,464,7491,1240,9195,782,10489,1449,12720,2663,28925,3266,34854,2769,19393,2043,24205,2846,15385,1650,19881,2288,11217,1232,14737,1159,7194,1015,9368,550,4612,1055,6217,101,1851,691,2643,13622,106557,13641,133820
CED137,178,3430,499,4107,148,2725,252,3125,409,4874,367,5650,755,6059,467,7281,1051,6931,556,8538,1241,6787,617,8645,822,6042,735,7599,390,3055,711,4156,91,787,300,1178,5085,40690,4504,50279,199,3446,422,4067,231,2561,191,2983,732,4943,337,6012,1347,6379,421,8147,1909,6609,462,8980,2210,6508,554,9272,1108,5697,739,7544,457,3208,884,4549,85,1401,540,2026,8278,40752,4550,53580,377,6876,921,8174,379,5286,443,6108,1141,9817,704,11662,2102,12438,888,15428,2960,13540,1018,17518,3451,13295,1171,17917,1930,11739,1474,15143,847,6263,1595,8705,176,2188,840,3204,13363,81442,9054,103859
