CED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED101,174,367,243,179,294,153,66,1480,14,3,10,3,12,10,5,55,3,11,9,11,16,10,4,71,353,678,539,438,734,428,215,3386,19,46,21,14,26,11,7,153,17,81,39,30,27,27,11,231,38,123,61,43,56,40,18,376,390,806,601,481,787,472,231,3766,470,458,277,200,262,177,85,1923,11,14,8,5,3,3,5,40,865,1274,887,679,1052,645,321,5729
CED102,165,299,237,161,242,155,66,1315,31,14,7,5,10,5,3,70,4,13,10,13,11,19,8,84,364,687,525,389,607,392,187,3141,11,20,30,21,23,16,11,127,19,58,33,34,35,19,4,195,31,79,61,52,56,32,9,320,396,763,581,435,660,429,193,3469,460,479,287,179,256,148,93,1900,8,13,12,4,3,3,0,40,863,1255,878,621,924,577,288,5401
CED103,129,285,179,159,189,113,82,1143,23,11,4,4,4,10,0,55,8,3,8,7,7,9,3,38,323,653,438,375,553,407,243,2998,11,14,11,8,17,10,5,78,20,32,26,11,15,11,4,117,31,47,32,23,32,16,10,192,349,699,471,400,585,426,257,3190,255,287,149,153,192,143,95,1281,0,4,3,4,7,0,3,18,608,995,624,556,786,569,358,4493
CED104,67,242,179,145,203,104,70,1009,9,18,9,8,12,0,3,60,0,4,6,9,9,3,3,42,175,527,477,388,583,344,204,2689,5,21,7,0,11,3,0,47,8,22,10,12,12,11,7,76,8,42,20,10,22,12,8,130,180,565,497,399,604,358,210,2822,144,163,108,84,125,91,54,766,3,6,0,0,3,0,0,19,328,733,607,489,730,448,263,3604
CED105,204,358,276,172,282,129,93,1519,30,10,6,9,16,6,3,79,17,21,14,15,20,5,12,106,458,711,563,391,632,364,235,3363,25,67,48,34,38,27,17,257,37,96,74,62,56,38,14,374,68,161,120,95,100,64,31,633,524,873,688,483,731,427,270,3993,1174,1102,623,414,558,259,184,4318,16,36,16,14,3,4,0,93,1716,2013,1327,916,1296,693,451,8400
CED106,96,222,201,155,218,159,76,1125,15,15,3,3,12,10,0,62,6,7,9,9,13,3,0,45,248,561,497,413,674,449,235,3071,4,13,9,11,12,13,8,68,23,19,10,14,25,7,4,107,27,30,23,22,36,24,14,174,274,591,515,434,716,473,251,3251,142,269,186,139,238,155,96,1218,3,3,0,0,0,0,0,11,413,861,698,574,954,626,347,4476
CED107,385,606,391,258,309,59,12,2009,51,34,28,6,15,0,0,133,11,27,14,6,7,0,0,66,645,1143,807,559,819,179,35,4180,44,102,61,53,54,15,4,332,89,140,57,35,36,9,0,368,133,243,122,91,88,20,6,705,776,1383,930,647,910,197,39,4884,1151,876,459,263,290,49,13,3106,28,20,13,13,5,0,0,71,1955,2279,1399,928,1200,244,53,8056
CED108,317,528,350,220,293,123,48,1876,49,33,14,13,20,6,8,145,11,21,23,13,25,9,4,106,664,1139,767,546,832,354,178,4473,61,126,76,63,77,23,9,440,110,180,96,78,68,9,11,552,173,306,170,138,147,31,17,988,839,1446,937,688,978,384,192,5465,1838,1619,907,597,579,168,89,5794,58,53,26,19,6,7,3,172,2730,3116,1872,1297,1568,557,289,11429
CED109,192,423,276,203,226,98,49,1470,23,7,6,0,10,10,0,64,11,10,9,3,5,3,0,44,371,747,565,419,624,276,142,3151,7,8,8,0,16,5,0,55,18,44,15,14,11,5,0,103,25,53,23,17,32,9,4,162,393,803,588,436,654,291,143,3304,248,255,159,104,139,42,50,985,0,3,0,3,4,4,0,15,639,1060,746,542,799,336,192,4315
CED110,413,809,500,353,477,71,25,2647,19,37,16,16,25,3,5,118,19,33,27,16,16,0,3,105,618,1283,915,697,989,157,50,4701,46,96,62,45,50,10,0,306,65,135,68,43,55,10,3,378,103,232,130,91,105,17,7,686,719,1513,1045,795,1092,174,53,5391,1132,1093,589,362,357,74,31,3634,20,27,20,15,12,0,0,98,1871,2632,1652,1161,1463,252,83,9123
CED111,214,455,294,222,285,117,57,1653,26,26,14,15,20,6,7,104,17,11,6,4,14,4,0,53,382,784,618,492,762,332,164,3528,23,47,38,36,37,12,11,201,52,78,36,25,32,15,8,237,77,124,78,59,69,25,13,442,456,907,695,545,830,355,180,3968,604,581,325,234,243,104,50,2141,10,15,8,4,3,0,0,42,1071,1506,1030,785,1075,457,233,6152
CED112,338,669,495,326,407,98,37,2368,49,41,31,14,21,7,7,165,15,25,14,21,12,3,0,82,580,1148,942,647,921,257,112,4611,43,85,53,27,52,6,0,265,99,150,64,34,40,9,0,390,140,240,113,62,88,11,7,662,721,1385,1057,701,1009,270,118,5271,1115,1016,540,318,349,83,33,3443,14,18,16,10,0,0,0,54,1853,2413,1606,1029,1361,356,151,8767
CED113,234,491,326,218,247,40,12,1557,36,27,9,10,18,3,0,105,12,15,9,7,8,0,0,54,448,898,665,495,669,155,53,3392,15,51,26,22,23,5,0,143,43,68,26,17,15,3,0,169,59,118,55,33,37,9,3,307,505,1017,723,530,704,166,55,3697,575,485,272,175,160,28,13,1713,17,15,7,3,4,0,0,46,1094,1521,999,704,876,195,72,5459
CED114,350,578,369,260,325,50,11,1950,34,33,28,13,6,5,0,124,17,12,20,9,14,3,0,79,560,999,782,542,739,131,41,3797,41,86,41,37,39,5,0,252,65,101,43,30,24,3,0,277,103,183,84,69,68,7,0,522,667,1189,865,615,802,144,41,4318,948,811,421,244,224,38,14,2700,28,28,26,17,4,0,3,108,1640,2031,1314,871,1033,182,56,7125
CED115,224,444,299,221,346,191,78,1800,36,18,7,8,8,8,8,91,13,33,11,13,21,10,8,108,530,884,635,488,747,438,222,3936,34,77,68,38,48,33,15,314,54,153,124,65,77,54,17,543,90,227,192,104,125,89,30,856,621,1112,822,591,869,528,254,4790,1267,1246,684,518,622,363,238,4948,29,29,23,14,8,10,0,110,1910,2383,1533,1124,1503,899,497,9844
