CED_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
CED138,0,0,0,0,4,3,6,10,6,34,0,0,3,8,3,5,7,0,0,37,0,4,0,13,3,0,0,0,0,18,3,19,23,10,4,3,0,0,0,66,0,0,0,3,0,0,0,0,0,7,0,0,0,6,5,3,0,0,0,14,3,27,32,79,54,57,92,12,5,368,0,4,0,12,7,6,0,0,0,28,0,3,5,23,13,22,27,15,8,113,0,3,3,15,6,17,13,0,0,53,11,50,43,347,155,132,156,92,37,1024,263,622,554,1485,1005,1224,972,540,292,6946,4021,8996,7452,15316,9824,11275,9600,5099,2173,73762,0,0,0,0,0,0,0,0,0,0,3452,7616,6054,12486,8003,9169,6766,4105,2296,59953,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,3,5,0,0,0,0,0,11,7,11,14,109,42,36,24,5,0,244,0,3,0,12,5,10,3,3,0,40
CED139,0,0,0,0,0,4,8,11,3,26,3,17,10,65,14,3,3,0,0,112,0,0,12,46,4,0,0,0,0,68,0,7,3,8,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,15,0,9,7,11,16,17,15,0,3,86,0,0,3,42,4,3,0,0,0,60,0,0,0,4,0,3,8,5,0,26,0,7,6,12,12,10,3,0,0,53,5,49,56,189,59,69,72,35,16,553,258,640,713,1360,905,994,899,567,180,6516,5004,10718,9939,17428,9717,10080,8292,4446,1535,77163,0,3,9,18,0,3,0,0,0,25,4366,9360,8503,14671,8236,8332,6592,4346,2167,66572,5,9,4,29,3,0,0,0,0,50,0,0,0,0,0,3,0,0,0,11,0,0,0,6,3,0,3,0,0,15,0,4,5,17,16,8,7,0,3,66,0,3,0,5,0,3,3,0,0,12
CED140,0,0,0,0,4,6,3,7,3,26,0,3,0,21,18,7,17,4,0,73,0,5,4,17,0,0,0,0,0,22,6,7,12,38,11,0,0,0,0,76,0,0,0,0,0,6,0,0,0,10,0,0,0,8,13,3,4,3,0,32,9,31,22,75,62,50,43,10,3,305,3,0,3,21,15,11,4,0,0,61,0,0,3,21,19,29,25,18,6,125,0,3,6,32,15,12,3,0,0,77,10,42,46,277,169,172,202,130,45,1096,167,357,404,952,572,673,567,367,238,4293,4184,8715,8144,15905,9390,9097,7858,4226,1786,69297,0,0,0,0,0,0,0,0,0,0,3635,7425,6792,12367,7282,7286,5896,3676,1887,56242,0,3,0,11,3,0,0,0,0,19,0,0,0,4,5,0,0,4,0,15,0,0,0,8,3,4,3,0,0,21,0,15,19,60,39,26,10,0,3,174,0,0,0,18,20,10,29,3,3,82
CED141,0,0,0,0,3,14,7,5,3,35,0,3,0,21,5,11,7,3,0,52,0,0,0,3,0,0,0,0,0,5,6,13,9,11,0,4,0,0,0,41,0,0,0,4,13,28,35,19,5,105,0,0,0,3,3,4,0,0,0,10,5,20,11,33,31,24,22,12,3,159,0,3,3,10,17,0,3,0,0,37,0,0,4,18,30,18,20,13,4,109,0,0,4,13,3,5,0,0,0,27,3,23,30,139,109,89,126,79,34,637,132,281,317,759,531,485,514,345,130,3488,4395,9214,8766,15800,9430,9165,7818,4500,1463,70552,0,0,0,0,0,0,0,0,0,0,3863,8062,7508,14309,8291,8067,6807,4063,1773,62751,0,0,0,8,0,0,0,0,0,14,0,0,0,0,3,3,0,3,0,13,0,0,0,12,4,0,0,0,0,20,0,3,10,43,21,13,10,0,0,96,0,0,0,7,13,11,10,0,0,39
CED142,0,0,0,32,13,13,19,10,3,96,0,0,35,151,28,12,8,4,0,235,7,0,87,398,21,11,15,3,0,548,17,22,301,2100,133,35,11,0,0,2610,0,0,0,28,7,18,3,7,0,69,0,3,18,147,45,22,21,7,0,267,22,45,182,711,174,101,63,18,4,1317,9,9,179,422,103,108,60,29,6,928,0,0,16,84,24,11,14,4,0,148,0,0,14,39,17,9,4,0,0,82,49,73,700,3580,518,387,385,236,69,5982,331,372,2380,6938,1640,1146,725,325,106,13970,3403,3471,16847,52470,11727,8038,5012,2128,599,103705,0,0,0,12,0,0,0,0,0,16,2813,2675,5631,15714,3844,2995,1900,779,332,36685,0,0,23,41,0,0,0,0,0,73,0,0,3,35,17,14,6,3,0,77,0,0,6,21,3,6,10,0,0,52,3,7,87,340,50,25,13,3,0,515,0,0,9,104,19,14,19,4,3,174
CED143,0,0,0,17,15,14,7,11,3,63,0,6,0,47,22,13,12,3,3,101,6,3,11,35,13,9,9,0,0,79,6,17,31,63,16,13,0,0,0,146,0,0,3,8,10,3,4,3,0,38,0,4,3,34,24,12,12,0,0,93,35,159,102,368,164,100,54,14,11,1010,0,0,24,43,25,20,6,4,3,120,0,4,9,84,48,24,26,13,0,208,0,0,0,41,40,27,6,0,0,122,38,165,173,1591,412,228,204,108,53,2981,228,389,429,1530,632,495,373,215,106,4402,4664,9627,7328,21714,10334,7526,5660,2890,1299,71036,0,0,3,5,3,10,0,0,0,22,3966,7315,5289,11729,5907,4621,3810,2197,1427,46269,0,0,4,17,0,0,0,0,0,23,0,0,0,18,15,9,3,0,0,45,0,0,0,10,4,3,3,0,0,16,3,23,25,229,91,44,32,9,3,451,0,6,4,57,19,11,15,3,3,121
CED144,0,0,0,7,17,16,14,8,6,70,0,4,15,117,41,73,46,15,8,323,0,5,13,86,5,8,8,0,0,136,4,12,26,134,18,19,7,4,0,223,0,0,3,25,32,41,49,13,8,169,3,0,7,56,52,29,31,7,3,183,4,26,18,55,18,11,3,3,0,136,10,48,193,701,579,573,207,77,35,2418,0,0,3,7,5,3,8,0,0,27,0,0,7,12,8,8,0,0,0,30,63,250,407,1612,962,711,498,269,91,4858,378,612,670,1703,708,582,449,277,123,5513,6460,11688,12375,27210,10752,8639,5765,3415,1317,87610,3,3,5,24,5,8,4,0,0,58,5310,8915,7328,9240,3145,1850,1175,889,752,38604,52,154,334,1825,188,70,10,3,3,2639,0,0,3,19,10,15,5,10,0,61,0,0,11,47,16,35,8,4,0,117,3,3,7,24,13,7,0,7,0,58,0,0,5,36,31,27,28,10,4,132
CED145,0,0,0,11,9,12,6,18,3,58,0,3,4,38,7,15,9,10,0,85,0,0,3,40,4,4,4,0,0,59,3,10,24,75,25,3,4,3,0,149,0,0,0,12,9,4,5,0,3,31,0,0,3,49,23,11,6,4,0,84,42,132,94,416,151,89,61,15,4,1006,0,0,13,53,30,9,6,0,5,114,0,0,3,81,17,9,15,4,3,136,0,0,5,36,22,21,8,6,0,93,40,112,372,2250,562,465,686,350,221,5059,323,480,609,2887,905,639,588,384,215,7035,4176,7205,6567,26178,9128,6733,5542,2891,1427,69848,0,0,0,3,0,0,0,0,0,3,3410,5636,4643,13517,4816,3740,2855,1591,1020,41220,3,0,3,17,3,0,0,0,0,24,0,0,0,22,3,6,0,0,0,32,0,0,0,7,0,0,0,0,0,11,4,7,31,242,43,38,13,10,0,386,4,3,19,156,22,22,17,6,0,243
CED146,0,0,7,78,81,74,66,31,3,349,0,13,9,76,53,47,28,4,6,242,0,4,9,9,8,8,3,0,0,38,0,5,27,165,27,25,9,0,0,251,0,0,22,102,104,100,86,11,4,419,5,5,34,85,105,34,18,8,0,296,3,26,22,47,22,3,0,0,0,132,13,56,153,1179,846,706,212,61,22,3253,0,3,0,7,0,7,5,0,0,19,0,16,36,48,35,5,4,0,0,141,26,212,382,1647,1285,1022,691,250,59,5584,359,765,813,1524,833,614,443,271,106,5727,6402,13601,13089,22730,11487,8950,5109,2308,641,84312,0,0,17,45,11,11,3,0,0,92,5481,10923,8934,10018,3595,2443,1340,893,304,43929,6,45,63,464,97,41,9,3,0,728,0,3,21,168,99,63,38,14,0,407,3,4,67,452,243,208,77,31,5,1101,0,7,14,15,10,5,5,0,0,59,0,0,11,150,175,142,108,31,14,636
CED147,0,0,0,8,25,26,24,22,10,116,0,3,3,15,6,15,0,3,0,41,0,0,3,9,0,0,3,3,0,22,0,6,14,19,6,5,0,0,0,58,0,3,16,89,182,186,244,69,11,804,0,3,3,42,44,16,21,9,0,141,4,9,26,40,32,16,36,7,0,171,3,4,7,36,27,31,12,4,3,123,0,0,0,12,32,59,43,32,4,184,0,0,3,13,9,3,3,0,0,38,9,70,63,251,280,382,318,211,92,1673,185,428,413,1012,651,653,619,400,132,4502,4736,10140,9387,16915,9682,9173,7999,4507,1400,73932,0,0,0,0,0,0,0,0,0,0,4169,9028,8262,14766,7390,6578,5233,2953,1338,59717,0,0,0,14,4,0,0,0,0,19,0,0,0,20,20,13,9,10,4,81,0,3,0,16,9,3,0,0,0,27,0,5,3,36,19,30,7,8,0,111,0,0,8,33,42,21,54,22,3,178
CED194,0,0,0,3,3,3,3,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,9,28,0,0,0,0,0,35,0,0,3,15,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,6,4,3,0,0,0,14,5,0,19,10,0,7,8,3,0,44,0,0,10,9,11,10,0,0,0,38,0,0,7,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,4,8,26,99,38,33,20,5,0,235,15,28,173,604,222,172,121,35,8,1379,188,202,1031,2882,1148,986,719,162,32,7351,0,0,0,0,0,0,0,0,0,0,110,139,407,848,383,470,287,59,27,2726,0,0,3,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,11,11,3,0,0,0,0,24,0,0,0,9,3,0,3,0,0,12
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,11,10,7,12,27,25,22,48,16,3,171,0,0,0,0,0,0,0,0,0,0,3,11,8,24,12,21,22,15,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED201,0,0,0,7,27,24,22,21,3,98,12,64,157,505,305,280,185,43,8,1568,4,7,7,61,8,20,7,0,0,108,3,6,18,58,3,0,0,0,0,95,0,0,0,5,8,4,6,4,0,29,0,0,3,15,18,16,9,6,0,64,7,24,21,47,34,15,14,3,3,161,3,11,19,158,163,145,42,7,6,552,0,3,3,9,21,12,14,7,6,66,0,0,4,23,7,6,6,4,0,51,12,46,104,386,246,267,217,179,84,1545,115,231,304,721,386,397,318,202,75,2742,3991,8289,9314,17687,9287,8467,5617,2771,936,66363,0,0,6,43,28,16,7,0,0,104,3609,6564,7036,10654,5869,4809,3166,1553,816,44075,0,0,0,16,13,6,0,0,0,36,0,0,0,27,18,11,7,3,0,61,0,0,8,99,80,54,20,15,8,286,4,4,6,27,13,13,4,0,5,79,0,0,0,20,30,20,20,5,3,98
CED202,0,0,0,0,8,18,16,16,3,53,4,7,3,37,15,5,9,3,0,88,0,0,3,25,0,0,0,0,0,29,3,10,14,14,7,3,0,0,0,48,0,0,0,4,8,7,14,3,0,34,0,0,0,9,6,0,0,0,0,19,4,21,13,42,30,38,34,3,0,187,3,3,5,31,13,3,0,0,0,64,0,0,0,12,10,14,17,16,3,68,0,0,4,15,3,3,7,0,0,31,10,55,81,191,127,114,92,69,27,747,245,477,607,1230,807,772,736,382,160,5407,4994,10103,10101,18009,9990,9442,7575,3531,1158,74900,0,0,0,0,0,0,0,0,0,0,4351,8949,8678,15906,8785,8116,5903,3089,1670,65442,0,3,3,18,3,0,0,0,0,29,0,0,0,0,0,3,3,5,0,14,0,3,0,0,0,0,0,0,0,14,0,3,5,33,16,11,5,0,0,75,0,4,0,7,10,0,3,0,0,28
CED203,0,0,0,9,13,10,14,10,3,70,3,17,51,275,49,49,42,11,0,496,3,0,12,89,4,3,0,0,0,114,7,10,36,59,7,6,0,0,0,131,0,6,9,81,89,134,158,105,24,612,0,0,7,36,39,19,17,11,3,126,9,32,32,146,50,23,11,0,3,303,20,34,214,445,256,223,79,37,8,1310,0,0,0,26,14,7,5,3,0,56,0,0,5,24,5,5,0,0,0,44,89,193,278,1271,344,279,201,131,59,2840,302,423,661,2165,759,583,430,386,176,5887,4922,8143,9920,27755,10116,7411,4970,3713,1482,78431,0,9,9,17,8,4,0,0,0,41,4155,6601,7153,16650,7034,4197,1976,1171,1019,49963,8,13,27,98,0,3,0,0,0,146,0,0,4,36,16,16,20,17,0,105,0,0,3,27,4,5,10,0,0,58,3,7,21,123,36,10,0,0,0,202,0,3,3,29,18,18,10,3,3,92
CED204,0,0,0,0,7,5,10,9,0,33,0,15,6,34,18,13,9,8,0,105,0,3,10,66,0,0,0,0,0,84,11,72,65,28,0,0,0,0,0,179,0,0,0,0,3,3,0,0,0,11,0,0,0,5,3,0,0,0,0,10,0,14,10,33,25,29,27,3,3,144,0,6,12,39,21,4,0,0,0,86,0,4,3,12,10,10,15,8,0,65,0,3,3,11,10,3,3,0,0,26,6,38,61,123,95,79,76,54,12,532,271,561,570,1228,888,891,771,451,193,5827,4641,9790,9260,16915,9712,9869,7864,3951,1365,73379,0,6,5,14,0,0,0,0,0,28,4159,8247,8110,14765,8534,8456,6374,3467,1798,63918,0,3,0,15,3,0,0,0,0,24,0,0,0,0,3,3,0,0,0,11,0,0,0,7,3,0,0,0,0,13,0,3,7,48,11,10,6,3,0,91,0,0,0,3,5,0,0,0,0,15
CED205,0,0,4,55,47,67,55,50,9,295,34,280,484,1872,614,508,330,128,54,4306,3,9,30,122,27,32,13,0,4,230,7,50,41,89,8,7,3,3,0,207,0,0,6,32,21,29,27,13,0,128,3,3,14,43,74,51,56,33,14,290,8,41,21,44,33,14,10,8,4,175,4,45,143,691,594,463,174,63,33,2204,0,0,3,0,9,5,12,12,3,38,0,0,10,41,6,6,5,0,0,67,48,200,352,994,537,479,412,263,76,3379,259,419,594,1307,594,512,435,341,152,4608,4714,8985,11713,23284,9722,8200,6700,4301,1436,79055,24,111,263,518,121,47,23,9,5,1115,3592,5594,4973,5840,2960,2707,2666,1765,931,31035,3,22,26,147,37,12,3,0,0,259,0,7,41,167,147,125,61,26,5,577,3,9,64,284,162,125,56,28,4,750,0,3,13,13,6,7,0,3,0,48,0,4,0,34,37,48,52,19,6,206
CED206,0,0,3,13,30,53,44,33,3,178,7,63,120,381,305,185,100,32,11,1207,0,0,7,13,0,4,3,0,0,26,3,17,15,44,4,3,0,0,0,90,0,7,11,72,116,166,143,49,11,576,11,48,138,782,852,528,263,94,10,2736,3,20,17,36,25,16,8,4,0,131,0,11,34,290,296,233,78,23,11,984,0,0,0,0,3,5,8,3,3,23,0,3,6,16,7,5,0,0,0,38,57,274,373,1195,790,716,465,211,61,4144,374,675,733,1557,804,672,509,255,84,5663,5627,11524,12994,22458,11450,9131,5935,2710,731,82569,0,6,15,31,8,0,0,0,0,59,4613,8799,8859,10975,5235,3603,1797,795,377,45054,0,8,11,71,17,3,0,0,0,115,0,0,10,66,50,41,25,19,4,215,0,0,0,10,6,6,5,4,0,30,0,4,13,17,10,9,3,0,0,61,0,5,3,26,29,24,30,9,4,132
CED207,0,0,0,0,6,14,11,4,0,31,0,3,7,67,22,31,19,11,5,164,0,3,0,9,3,0,0,0,0,21,3,19,23,31,5,0,0,0,0,82,0,0,0,3,0,5,4,0,0,21,0,0,0,7,5,0,3,5,0,18,5,11,19,52,46,32,31,3,0,191,0,3,15,26,23,10,0,0,0,71,0,0,4,10,19,24,15,10,5,94,0,0,6,13,12,12,0,0,0,43,11,19,47,189,132,148,136,89,27,807,209,345,407,969,618,574,491,257,117,3985,4714,9395,9124,17955,9745,8726,6654,2919,965,70203,0,0,0,0,0,0,0,0,0,0,4145,8151,7588,14984,7633,6515,4429,1831,851,56123,0,0,0,9,0,0,0,0,0,7,0,0,0,9,4,4,5,0,0,17,0,0,3,28,8,9,3,0,0,57,4,3,9,36,23,12,6,3,0,93,0,0,0,18,13,10,4,0,0,41
CED208,0,0,3,8,13,17,7,17,4,65,22,99,406,917,240,163,151,46,24,2065,4,16,53,210,28,27,14,3,3,349,6,10,41,93,19,6,11,3,0,193,0,0,0,4,6,9,3,3,0,32,0,0,6,17,17,4,6,3,0,51,21,22,68,68,40,21,24,6,0,266,13,19,171,334,189,221,87,29,13,1073,0,0,0,9,12,8,5,8,4,48,0,0,16,36,12,9,5,0,0,83,37,113,294,708,256,262,225,202,97,2191,207,293,663,1192,493,395,323,321,154,4039,4328,8487,15208,23437,9649,7493,5365,4108,1843,79930,0,0,11,33,11,7,3,0,0,60,3491,6334,6833,8339,5272,3907,2910,2561,1664,41312,7,15,27,128,18,11,4,0,0,212,0,0,0,16,4,3,4,0,0,39,0,3,20,58,21,38,19,10,0,168,0,8,15,49,14,23,10,0,3,125,0,3,0,33,22,13,15,7,0,99
CED209,0,0,0,3,20,15,17,8,3,62,0,10,37,46,17,9,9,4,0,134,0,6,3,14,0,0,0,0,0,17,4,4,11,12,3,0,0,0,0,38,0,0,3,5,4,14,3,11,0,39,0,0,0,7,6,4,4,0,0,20,9,27,13,55,35,28,29,5,3,204,4,3,17,37,13,7,3,0,0,81,0,3,3,22,16,16,14,15,3,85,0,4,7,32,5,12,0,0,0,60,17,56,110,240,90,102,103,66,34,819,211,421,481,1063,669,712,637,354,124,4670,5054,10389,9480,18033,9528,9533,7769,3727,1393,74915,0,6,6,9,0,0,0,0,0,21,4304,8855,7611,15326,8215,7931,6060,3196,1918,63405,0,4,0,20,3,0,0,0,0,28,0,0,0,0,7,4,0,0,0,18,0,0,0,11,0,0,0,0,0,11,8,13,9,65,17,10,6,0,3,133,0,0,0,4,3,3,3,0,0,18
CED210,0,0,0,15,36,51,57,50,4,211,0,4,6,60,12,9,7,3,0,104,0,4,3,4,3,0,0,0,0,17,9,81,56,37,3,3,0,0,0,187,0,0,0,24,49,85,77,39,3,286,0,3,4,13,26,7,8,9,0,68,3,18,20,52,27,25,25,5,0,178,0,5,22,87,52,32,6,5,0,210,0,0,0,24,16,17,25,6,4,88,0,3,0,22,4,5,3,0,0,39,19,65,91,291,139,207,200,182,75,1266,236,463,555,1222,756,757,674,420,201,5289,4559,8866,9575,18511,9525,9036,7279,3938,1497,72793,4,27,55,83,28,11,5,0,0,206,4035,7431,7947,14826,7755,7067,5017,2712,1395,58178,0,3,0,10,0,0,0,0,0,17,0,0,11,49,59,48,27,21,3,210,0,0,3,5,3,12,0,0,0,25,0,3,9,42,22,12,4,5,0,97,0,0,0,0,4,6,3,0,0,15
CED211,0,0,0,5,7,19,12,8,3,61,3,20,46,275,86,84,71,29,8,624,8,11,17,126,15,12,13,0,0,198,7,49,65,76,10,5,0,0,0,207,0,0,0,0,3,8,9,5,0,24,0,5,0,12,13,3,5,0,0,42,7,37,25,70,52,27,27,3,0,255,3,7,27,201,139,127,68,30,3,610,0,0,0,17,19,9,8,8,3,57,0,0,12,32,15,10,0,3,0,69,4,87,102,410,229,181,214,130,74,1430,161,269,282,863,419,357,315,264,150,3088,4711,9035,8690,20245,9377,7490,6011,3675,1528,70760,0,0,0,23,5,4,3,0,0,36,4136,7066,6162,11643,6313,4989,4412,2863,1738,49318,0,4,3,27,14,3,0,0,0,46,0,0,0,14,8,14,3,0,0,46,0,0,7,67,59,47,26,12,7,226,0,8,13,55,16,17,7,5,0,127,0,0,0,15,19,12,9,6,0,61
CED212,0,0,0,8,18,25,12,13,3,81,0,3,10,56,26,38,28,16,0,178,0,0,7,4,5,4,0,0,0,19,12,16,21,25,0,0,0,0,0,66,0,0,3,3,5,3,0,0,0,14,0,0,0,16,13,6,3,0,0,40,8,21,17,72,48,43,44,12,0,260,0,3,7,19,3,4,0,0,0,36,0,13,5,31,32,25,35,21,10,167,0,3,8,27,8,6,5,0,0,57,20,74,83,386,241,206,193,133,40,1376,248,474,492,1202,698,681,539,359,134,4823,4644,8979,8560,17639,9854,8650,7055,3910,1374,70672,0,0,3,12,4,7,0,3,0,27,3922,7386,7009,13786,7134,6150,5006,2595,1409,54401,0,0,0,3,0,0,0,0,0,4,0,0,6,23,17,25,9,9,4,93,0,0,5,16,4,4,6,0,0,36,3,11,12,58,23,19,13,3,0,147,0,0,3,20,12,19,15,4,0,72
CED213,0,0,0,3,12,13,10,14,0,52,0,0,3,24,13,15,18,13,3,92,0,0,0,0,0,0,0,0,0,0,5,6,11,13,3,3,3,0,0,40,0,0,0,7,6,11,3,3,0,31,0,0,0,12,6,6,11,4,0,34,0,13,20,39,34,18,35,12,4,185,0,3,0,8,5,0,0,0,0,20,4,7,10,22,31,24,30,23,6,140,0,0,8,13,3,8,5,0,0,35,0,24,38,132,122,150,196,123,43,832,212,459,489,1088,813,839,875,571,256,5607,4310,9382,8537,15455,10120,10306,9760,5306,1873,75055,0,0,0,3,0,0,0,0,0,6,3729,8219,6706,13612,7992,8058,6851,3404,1652,60234,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,13,0,0,5,21,8,0,0,0,0,44,3,6,4,36,19,24,8,7,3,124,0,0,0,5,16,10,6,0,0,38
CED214,0,0,3,21,38,59,36,41,13,211,3,15,112,398,52,22,15,7,0,614,0,0,11,53,3,3,0,0,0,73,12,19,28,75,14,3,0,0,0,159,0,0,8,74,122,139,209,99,20,676,0,0,9,70,38,35,14,3,4,166,12,28,28,120,48,31,12,0,0,285,39,92,351,1350,892,870,306,97,53,4055,0,3,0,24,11,14,6,0,0,55,0,0,3,33,11,0,0,0,0,50,37,136,348,1462,575,396,315,226,102,3602,347,456,616,1965,792,651,480,384,169,5865,5954,8674,10168,28889,10742,8309,5385,3272,1332,82718,0,10,7,27,7,0,0,0,0,52,4951,7117,6415,14902,6175,4005,2019,1211,864,47664,8,13,45,242,10,3,3,0,0,322,0,0,5,48,20,33,28,15,7,163,0,0,3,27,26,16,8,7,3,96,0,9,18,96,23,16,6,0,0,175,0,3,5,49,34,22,20,5,6,153
CED215,0,0,0,0,0,12,11,7,0,32,0,3,8,54,14,11,5,4,3,106,0,3,4,21,0,0,0,0,0,28,5,14,8,17,0,0,0,0,0,45,0,0,0,0,0,3,0,0,0,4,0,0,0,3,4,4,0,5,0,20,0,15,8,25,24,17,30,6,3,125,0,4,11,70,35,13,6,0,0,143,0,0,0,5,12,12,13,5,3,50,0,0,3,14,7,3,3,0,0,28,4,52,55,158,96,100,140,99,41,747,248,577,661,1336,898,1067,1012,537,202,6540,4145,8689,8042,15339,9057,10322,9235,4446,1409,70685,0,0,0,0,0,0,0,0,0,0,3594,7481,6596,12899,7724,8192,6073,3200,1448,57204,0,4,0,21,0,0,0,0,0,28,0,0,0,0,0,0,0,3,3,6,0,0,5,8,0,0,0,0,0,17,0,3,6,18,17,11,12,4,3,74,0,0,0,4,4,5,5,0,0,22
