CED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED101,7440,7702,15140,355,542,896,7,0,6,7,5,13,54,24,80,21891,15897,37783,935,1617,2553,590,7,596,233,20,250,136,22,160,208,110,312,633,844,1475,32479,26784,59268,897,1031,1926,17,4,21,54,60,108,679,585,1268,165,276,438,71,33,104,1876,1986,3864,0,0,0,0,0,0,29,21,49,17,44,57,4,8,12,46,74,127,174,106,278,2098,2164,4263,230,236,468,6,5,11,3,3,5,240,245,490,982,1392,2377,2104,3627,5729,320,278,599,38234,34496,72728
CED102,10289,10438,20724,756,1281,2039,10,7,19,60,59,120,116,39,157,22187,14159,36341,1068,2067,3134,567,12,578,430,51,480,404,108,515,285,153,439,1197,1542,2743,37373,29909,67279,1511,1760,3274,21,6,25,75,61,129,556,493,1050,143,274,416,122,63,180,2416,2662,5083,3,0,3,4,6,14,44,60,108,17,71,89,5,12,14,79,148,227,222,132,356,2714,2946,5663,279,284,562,8,7,17,11,8,19,295,297,596,1017,1360,2378,2317,3570,5893,512,362,876,44229,38446,82673
CED103,5624,5333,10951,3032,3537,6567,115,93,209,8,9,11,66,47,117,22931,17414,40346,866,1997,2865,402,8,410,524,42,572,398,52,446,220,136,360,1394,1411,2807,35578,30083,65664,1340,1366,2702,22,10,33,28,27,49,609,402,1018,151,304,453,87,34,120,2231,2145,4372,15,11,28,7,0,5,159,157,314,46,120,165,24,16,48,248,306,553,256,194,449,2732,2651,5379,304,263,567,23,20,44,7,3,9,337,284,620,1508,1957,3460,2344,3900,6248,331,278,608,42823,39154,81976
CED104,4045,3201,7243,1913,1630,3549,6,7,8,9,3,10,46,19,63,21280,18169,39448,850,1459,2310,616,10,624,333,34,365,161,30,191,210,118,324,670,648,1322,30131,25318,55449,776,607,1384,8,4,14,3,5,9,1082,754,1834,178,262,435,102,34,134,2149,1660,3810,0,0,0,0,0,0,201,150,346,34,83,117,10,3,19,246,236,482,223,131,353,2618,2030,4645,297,232,524,10,9,20,17,7,22,324,250,568,2191,2749,4941,2182,4021,6206,277,208,484,37734,34561,72293
CED105,4897,4320,9215,368,558,924,8,3,10,15,10,25,146,36,187,24092,13192,37282,1533,1984,3515,784,17,794,144,7,148,130,14,139,265,104,372,655,746,1403,33024,21001,54023,825,841,1671,5,5,11,25,29,52,520,331,843,129,206,330,50,25,70,1556,1427,2984,0,0,0,0,0,0,25,26,53,11,47,65,11,9,12,48,83,131,288,119,411,1892,1637,3529,212,207,419,6,6,14,7,3,11,225,224,444,508,1078,1580,1725,2208,3937,583,361,946,37961,26497,64461
CED106,8784,7182,15959,915,839,1751,0,9,9,11,9,23,85,36,121,18177,14925,33102,676,1543,2219,175,10,185,327,18,340,357,52,410,239,141,377,1284,1594,2872,31031,26340,57372,1042,914,1962,3,0,3,12,10,26,1253,851,2102,232,374,606,108,33,140,2662,2176,4843,0,0,0,0,0,0,71,43,119,15,25,42,8,0,8,105,73,175,177,122,298,2939,2371,5314,260,209,465,13,7,17,20,4,24,290,220,510,2532,3019,5549,2175,3847,6025,237,210,448,39207,36019,75220
CED107,70,44,116,114,94,205,18,0,15,3,0,3,56,79,130,24747,22032,46780,1752,1815,3570,866,35,905,243,18,267,209,39,251,246,108,352,1443,1249,2701,29770,25522,55291,12,8,21,0,0,0,0,0,0,16,9,30,0,0,3,0,0,0,33,20,56,0,0,0,0,0,0,8,10,14,10,6,22,4,3,9,20,23,43,244,121,368,301,162,464,9,12,23,9,3,12,25,7,33,42,23,62,1883,2117,4007,2812,4255,7067,447,406,852,35256,32487,67745
CED108,3652,3692,7343,489,729,1217,4,3,4,13,5,10,103,36,134,25559,17137,42696,1859,2367,4225,776,8,783,265,16,284,96,13,113,184,108,297,341,459,806,33343,24581,57922,1070,1344,2411,4,3,4,10,15,28,738,612,1346,165,409,579,49,31,81,2037,2415,4450,3,0,3,0,4,4,55,40,97,36,77,114,9,5,7,102,126,226,257,132,392,2394,2673,5063,332,412,748,4,3,7,7,6,14,349,418,764,494,931,1425,1909,2876,4790,510,365,873,38994,31842,70841
CED109,3300,3510,6807,236,375,616,4,3,11,7,4,9,49,47,95,23561,18828,42387,1011,1538,2540,565,13,577,310,23,333,220,48,272,205,95,302,745,1107,1844,30201,25587,55789,546,636,1179,6,0,5,14,19,31,612,584,1194,104,222,330,44,14,57,1322,1480,2799,0,0,0,0,0,0,28,24,54,10,17,28,8,3,8,42,51,89,221,112,334,1583,1635,3220,132,151,282,0,4,5,7,0,8,138,158,300,1221,1972,3192,2197,3832,6025,330,281,611,35664,33474,69136
CED110,15,14,25,138,127,264,9,6,12,0,3,3,40,48,86,20913,20023,40939,1403,1869,3271,693,24,716,385,49,435,331,87,419,235,145,374,1023,1044,2067,25189,23429,48618,0,5,13,0,0,0,0,0,0,6,6,15,3,0,9,3,0,3,18,14,28,0,0,0,0,0,0,10,9,16,11,18,26,3,3,5,18,26,51,255,130,384,291,171,463,8,0,12,4,0,8,13,5,19,25,8,35,1553,1914,3472,2411,3852,6262,401,392,792,29871,29769,59642
CED111,1501,1153,2653,602,747,1349,6,5,6,3,0,8,43,51,98,23835,20467,44304,1444,1836,3276,462,6,470,300,31,327,415,111,526,187,93,284,1163,1269,2430,29964,25767,55729,142,109,253,0,0,0,9,0,7,586,333,922,59,101,161,67,20,79,866,565,1427,0,0,0,0,0,0,25,33,60,26,47,70,19,15,32,71,93,163,257,144,401,1190,800,1989,79,81,160,11,9,22,13,4,16,102,94,196,1050,1573,2617,2865,4474,7335,322,251,574,35487,32955,68439
CED112,950,643,1593,288,401,692,6,3,9,3,3,4,15,21,36,23512,20740,44248,1599,1547,3143,755,16,771,242,22,261,139,29,171,179,100,277,482,474,954,28164,23995,52166,257,138,387,0,0,0,3,3,7,487,313,798,68,75,150,35,10,46,848,535,1387,0,0,0,0,0,0,19,7,28,19,49,68,5,4,6,43,61,106,277,110,395,1175,710,1881,129,77,210,3,9,11,11,0,16,151,85,236,1119,1813,2928,2564,4469,7032,352,357,707,33524,31434,64950
CED113,34,27,65,221,243,460,13,4,20,3,7,6,27,41,69,24899,21663,46556,1558,2106,3666,891,35,926,391,50,441,233,65,300,334,180,512,1391,1399,2787,29984,25822,55806,4,6,12,0,0,0,0,0,0,34,17,53,5,16,22,0,0,3,49,42,88,0,0,0,0,0,3,40,55,98,23,44,62,7,5,14,70,106,180,301,165,468,421,313,740,23,11,31,4,0,5,25,8,37,52,17,73,1950,2236,4185,2900,4326,7225,452,391,842,35758,33112,68868
CED114,23,17,40,145,122,271,7,4,14,3,12,15,32,35,74,26657,22922,49579,1813,1840,3655,703,20,722,261,30,294,363,105,470,382,159,542,1673,1498,3171,32072,26782,58846,3,0,3,0,0,0,0,0,0,6,9,12,0,0,0,4,0,4,15,12,26,0,0,0,0,0,0,13,3,17,8,11,15,0,3,4,22,13,36,277,122,402,310,148,460,9,3,8,0,0,0,18,6,25,23,15,35,2385,2234,4618,2441,4127,6569,505,467,969,37733,33772,71500
CED115,2615,2572,5186,411,603,1012,0,3,3,9,4,16,44,35,77,22900,14620,37516,1528,2385,3917,779,12,793,119,14,124,82,19,104,186,85,273,637,984,1627,29309,21335,50651,531,642,1171,3,0,3,11,8,17,631,425,1057,117,251,373,27,9,42,1319,1344,2663,3,0,3,0,0,0,31,42,72,21,46,72,7,5,15,65,99,158,251,149,403,1637,1587,3219,189,209,394,0,3,6,7,0,10,199,207,407,460,848,1310,1418,2112,3532,510,337,851,33535,26429,59969
CED116,122,96,219,121,92,210,6,0,5,3,9,9,30,34,56,20359,18046,38399,1240,1424,2660,705,17,718,259,20,273,281,80,364,263,104,362,905,856,1767,24278,20763,45041,23,18,38,0,0,0,3,0,3,54,43,93,9,8,20,8,5,15,100,74,176,0,0,0,0,0,0,8,4,11,7,9,19,4,3,6,18,18,37,180,90,273,303,183,483,20,13,39,0,3,3,14,0,14,33,19,53,1379,1947,3328,2560,4011,6568,370,353,718,28921,27281,56202
CED117,7248,7379,14632,3785,5229,9013,421,306,731,672,683,1349,160,174,336,15780,13364,29144,745,1428,2168,257,8,265,831,176,1009,1602,615,2221,284,182,464,1929,2341,4272,33713,31889,65598,1336,1573,2906,61,49,108,137,118,261,236,213,444,59,131,194,147,91,239,1976,2170,4149,75,67,140,70,69,141,66,95,166,33,86,115,73,60,130,314,382,691,313,190,495,2600,2736,5337,295,218,515,44,41,84,24,15,37,367,274,644,1732,2215,3944,2310,4030,6345,319,253,574,41042,41406,82447
CED118,3957,3450,7409,2096,2043,4141,4,0,4,7,4,14,125,35,157,28487,21058,49539,1381,2057,3439,659,4,660,310,25,336,153,34,185,253,103,355,471,500,972,37902,29305,67208,952,998,1948,0,6,3,8,13,22,912,621,1531,165,280,442,63,18,83,2103,1927,4037,0,0,0,0,0,0,193,145,336,47,108,155,14,11,23,246,271,517,276,132,412,2635,2329,4961,297,309,611,5,14,25,14,4,19,317,328,648,947,1535,2478,2196,3806,5996,418,317,742,44408,37620,82035
CED119,4462,4258,8719,181,234,411,3,7,12,5,3,6,43,30,71,24677,20537,45214,1030,1300,2330,693,6,702,276,17,295,229,37,265,198,90,294,582,589,1176,32382,27114,59499,552,497,1049,11,8,23,10,11,28,1359,1150,2512,140,328,465,83,39,122,2154,2036,4194,0,0,0,0,0,4,11,28,34,10,37,48,3,4,9,30,68,91,243,110,359,2426,2215,4644,232,212,441,0,7,3,8,0,13,239,214,459,1166,1910,3073,2467,4463,6931,268,210,474,38953,36120,75075
CED120,550,479,1029,154,184,335,11,4,13,0,3,6,44,23,67,27268,23113,50381,1558,1541,3104,1441,49,1491,255,21,273,85,25,114,232,105,338,741,659,1404,32342,26196,58546,113,99,215,0,0,0,0,0,0,665,530,1201,50,89,146,9,4,12,843,720,1566,0,0,0,0,0,0,8,16,25,9,26,38,0,0,0,16,51,69,276,111,387,1143,880,2021,96,69,166,0,4,12,14,5,20,115,87,196,1662,2357,4016,2685,4468,7151,414,345,759,38356,34332,72696
CED121,190,137,329,146,132,277,8,0,8,3,0,6,23,16,38,25435,21337,46769,1518,1415,2937,755,29,783,335,40,375,111,22,131,275,101,372,743,573,1316,29546,23798,53348,49,31,88,0,0,0,0,0,0,86,72,161,16,17,35,13,0,16,170,123,297,0,0,0,0,0,0,12,11,20,7,16,30,3,0,4,28,32,59,310,113,418,511,262,776,43,46,95,3,7,6,10,3,14,58,56,115,1063,1617,2682,3134,4471,7606,383,327,706,34697,30530,65233
CED122,1308,1338,2643,7165,9121,16284,7,3,7,6,4,9,148,103,258,21586,16458,38044,1152,2174,3328,443,3,450,1003,195,1198,1142,327,1464,337,183,522,2380,2787,5159,36667,32699,69367,1384,1354,2738,5,0,3,15,21,35,139,104,245,44,80,119,38,17,53,1618,1576,3192,13,11,19,35,42,81,215,275,482,84,173,259,116,73,195,461,576,1034,283,161,446,2367,2309,4674,192,168,359,52,45,97,16,10,22,256,224,482,1427,1944,3373,2510,4204,6714,392,368,755,43616,41743,85361
CED123,2393,2405,4797,231,410,643,5,0,5,6,0,9,50,34,84,28856,23306,52161,1912,1973,3888,1400,23,1416,350,30,378,139,32,173,196,103,301,602,605,1203,36143,28922,65062,587,599,1186,0,0,0,19,3,21,845,778,1621,132,231,363,68,19,85,1649,1629,3275,0,0,0,0,0,0,16,11,34,33,45,75,13,6,16,57,66,122,329,122,454,2039,1818,3854,249,226,475,0,0,0,14,4,15,264,233,493,834,1608,2445,2458,4428,6886,361,303,672,42090,37314,79401
CED124,30,29,59,129,76,208,7,0,9,0,0,3,23,27,48,18527,17000,35524,1127,1271,2403,822,22,842,254,18,269,168,36,204,209,102,310,873,869,1740,22162,19446,41609,5,3,12,0,0,0,3,0,3,14,19,32,0,0,0,3,3,5,29,27,51,0,0,0,0,0,0,7,5,13,11,9,19,7,0,7,18,17,34,210,78,292,261,120,376,5,11,19,3,3,3,7,5,17,16,17,40,1567,1891,3456,2375,3667,6044,381,373,752,26760,25515,52277
CED125,3158,2949,6110,276,390,661,3,0,0,3,6,11,62,31,93,26631,20460,47089,1693,1966,3659,911,11,922,266,22,283,91,17,109,188,93,282,433,448,877,33713,26389,60108,648,654,1302,6,3,10,13,13,24,956,800,1751,184,305,481,63,22,80,1863,1783,3647,0,0,0,0,0,0,9,23,33,31,57,91,4,4,9,46,81,131,245,126,373,2155,1990,4148,265,256,518,5,5,13,9,3,12,278,263,541,722,1288,2011,2344,3764,6111,480,362,844,39693,34065,73759
CED126,93,67,164,3610,3685,7297,23,27,51,3,4,9,80,41,121,24104,20751,44860,1116,1614,2725,654,9,665,707,71,784,385,79,462,268,141,409,990,1057,2050,32040,27556,59591,361,293,661,0,7,8,0,0,0,177,94,277,19,37,54,3,0,4,564,436,1001,27,24,52,0,0,0,248,230,478,83,129,212,43,31,75,402,417,822,403,178,579,1373,1028,2405,107,106,209,39,31,71,19,9,23,161,146,305,2338,3218,5549,2229,3991,6224,317,322,636,38460,36251,74712
CED127,1925,1704,3627,100,144,243,3,0,3,6,3,6,46,41,89,23449,20675,44122,1152,1346,2494,1232,21,1250,306,28,338,198,30,229,214,99,313,803,729,1529,29426,24812,54247,209,177,393,0,0,0,10,0,13,536,480,1015,100,114,214,90,20,107,944,797,1740,0,0,0,0,0,0,14,25,41,6,12,15,7,0,9,29,38,60,272,131,404,1243,959,2202,134,131,268,0,0,0,9,3,15,152,133,282,1730,2438,4167,2478,4219,6699,299,265,565,35325,32841,68160
CED128,2435,2400,4828,483,713,1195,6,0,7,8,8,18,79,30,110,25483,17885,43368,1646,1966,3615,1058,14,1073,194,21,211,119,15,132,240,114,357,358,439,801,32109,23606,55713,669,770,1436,0,0,0,13,13,25,653,517,1169,125,246,378,29,18,45,1490,1568,3055,0,0,0,0,0,0,34,50,79,17,60,81,3,8,13,54,120,171,258,105,363,1799,1788,3593,222,244,460,4,9,14,12,4,16,234,254,487,573,1208,1785,1786,2776,4559,453,319,777,36952,29961,66912
CED129,472,381,850,4712,4065,8780,4,6,6,3,4,9,55,25,74,26438,21754,48195,1025,1779,2803,552,5,555,305,20,322,168,23,191,204,120,323,453,502,952,34379,28680,63062,602,485,1087,0,0,0,0,0,3,431,256,688,38,68,104,19,0,19,1083,807,1890,0,0,3,0,0,0,483,402,881,62,179,246,30,10,40,576,596,1168,233,129,357,1891,1529,3416,191,181,375,29,18,51,10,4,15,233,203,434,1651,2409,4060,2088,3964,6059,244,229,476,40494,37014,77513
CED130,23,8,34,135,97,230,10,3,11,0,3,3,63,44,108,22187,20231,42414,1715,1816,3531,1044,60,1104,408,50,458,230,51,284,324,171,492,1620,1350,2963,27745,23890,51638,8,0,7,0,0,0,0,0,0,7,9,18,3,0,3,3,0,3,23,8,26,0,0,0,0,0,0,10,3,14,12,14,19,4,0,11,23,22,44,277,128,408,318,159,476,5,3,11,0,3,7,21,5,29,27,15,44,2618,2656,5273,2335,3736,6076,474,453,922,33526,30901,64424
CED131,243,171,409,751,916,1669,34,33,68,3,9,8,55,56,109,25723,23261,48986,1456,1925,3379,355,10,373,512,98,604,1021,345,1365,211,93,304,1346,1486,2831,31710,28404,60117,50,35,83,0,0,0,3,0,4,63,45,107,14,16,26,36,9,41,165,100,263,12,9,24,0,0,0,44,67,109,38,61,102,15,23,39,114,163,272,350,205,553,624,463,1090,42,19,62,14,23,42,20,9,25,79,54,129,1066,1509,2578,3003,5092,8091,281,261,547,36763,35791,72551
CED132,6673,6389,13069,6059,6320,12382,340,231,567,10,13,22,184,140,324,17431,14196,31630,760,1697,2451,150,11,162,707,80,788,775,118,895,287,199,486,3290,3549,6839,36673,32937,69614,1141,1310,2451,61,42,102,9,13,18,247,164,414,56,137,191,101,57,162,1626,1715,3341,44,24,68,0,0,3,128,115,245,47,93,144,88,67,153,306,304,613,277,168,448,2214,2185,4397,228,185,416,34,25,59,14,7,27,276,220,494,2387,2836,5219,2076,4123,6201,258,246,503,43882,42545,86432
CED133,22,10,34,153,128,275,7,4,9,5,3,5,20,32,55,21603,20140,41742,1455,1764,3221,850,22,875,318,27,351,287,116,398,290,129,420,1213,1041,2254,26220,23423,49642,0,3,3,0,0,0,3,0,3,6,8,10,3,0,3,0,3,3,14,10,22,0,0,0,0,0,0,4,9,14,19,19,41,6,4,6,24,29,53,244,124,371,282,164,449,5,0,10,4,0,5,13,3,18,31,4,38,1948,2074,4024,2365,3955,6318,417,348,767,31264,29966,61233
CED134,16,4,21,268,135,410,9,7,12,3,0,6,41,54,94,22412,19886,42301,1727,1828,3553,985,36,1020,357,60,413,209,73,277,383,175,564,1902,1761,3667,28307,24016,52320,3,3,8,0,0,0,0,0,0,8,0,7,0,0,0,0,0,3,12,9,16,0,0,0,0,0,0,38,7,49,3,6,13,6,4,5,54,18,69,250,108,358,306,130,439,3,4,12,3,0,3,37,8,51,49,13,62,2605,2428,5033,2269,3461,5731,483,417,903,34026,30472,64497
CED135,8223,6003,14234,1616,2096,3711,13,7,22,12,7,17,129,39,169,25751,15563,41312,1287,2170,3457,585,6,588,315,39,353,232,64,297,288,119,408,1655,1765,3415,40098,27885,67978,1965,1885,3856,8,4,12,53,36,90,597,358,953,116,265,379,82,50,129,2826,2594,5425,0,0,0,0,0,0,140,111,253,56,101,158,21,15,29,220,227,446,234,122,356,3281,2948,6230,336,349,688,8,9,15,5,0,5,356,358,718,943,1391,2331,2280,3248,5527,521,305,828,47474,36132,83605
CED136,134,111,249,207,207,412,9,17,24,4,3,4,23,24,49,25208,21422,46625,1622,1541,3166,640,8,647,306,24,330,177,29,207,177,98,279,628,606,1230,29139,24091,53226,42,61,110,0,0,0,3,0,3,40,17,65,10,8,14,15,0,17,108,93,202,3,3,5,0,0,0,12,17,32,10,27,38,4,0,8,34,45,79,339,183,520,486,319,804,41,54,89,8,17,22,14,4,22,57,72,128,820,1479,2302,2979,4436,7415,326,285,606,33806,30673,64477
CED137,9154,8382,17539,1947,2584,4535,539,497,1036,38,36,75,106,60,167,23860,16788,40650,971,2024,2996,453,8,464,478,45,520,492,136,626,323,199,527,1446,1689,3134,39813,32464,72276,1716,1824,3536,69,41,107,53,40,90,539,365,909,128,255,384,91,41,133,2596,2568,5164,62,57,120,12,12,32,96,126,222,25,78,104,32,26,59,233,305,538,315,223,541,3144,3101,6245,338,330,670,27,33,57,12,5,24,382,365,749,1503,1948,3449,2304,3959,6265,451,355,809,47598,42191,89789
CED138,32,20,51,261,194,458,15,3,15,10,3,8,35,30,69,21207,19848,41055,1194,1453,2642,667,27,698,335,46,378,546,270,816,306,166,467,945,1038,1984,25552,23089,48641,5,4,14,0,0,0,0,0,0,39,22,70,0,0,0,7,4,6,54,34,93,0,0,0,3,3,6,11,16,20,15,25,41,9,7,14,34,53,90,246,133,380,335,219,558,21,8,28,15,11,22,21,4,29,57,27,79,2173,2927,5096,2483,4085,6569,457,417,874,31061,30758,61819
CED139,21,11,28,194,84,279,13,5,14,3,0,8,72,69,140,23840,21128,44967,1949,1784,3728,874,30,906,295,40,334,242,55,299,469,158,625,1825,1576,3397,29796,24936,54731,0,3,3,0,0,0,0,0,0,8,3,14,0,0,3,0,0,0,12,7,15,0,0,0,0,0,0,21,11,33,3,3,7,3,0,3,29,20,44,233,92,332,278,120,395,3,3,4,5,3,10,27,3,29,32,13,46,2530,2384,4915,2243,3981,6225,476,388,857,35349,31814,67164
CED140,2141,1524,3667,281,376,653,23,7,30,3,3,8,28,31,59,20087,18146,38234,1260,1419,2681,563,15,575,253,13,269,156,50,203,199,103,300,620,623,1242,25614,22299,47915,492,370,861,10,6,17,4,10,12,976,614,1587,96,168,266,111,28,132,1697,1190,2883,4,6,8,0,0,0,6,9,16,20,33,50,0,0,5,33,49,82,292,116,407,2014,1355,3376,323,197,516,8,9,17,12,0,20,347,208,554,1611,2176,3787,2502,4132,6635,311,308,618,32399,30477,62881
CED141,141,95,237,346,350,692,0,0,0,0,3,6,29,17,50,23940,21392,45335,1399,1413,2816,600,9,616,317,30,349,229,33,258,163,83,243,445,452,898,27615,23876,51495,36,24,58,0,0,0,0,0,0,96,58,148,11,15,27,11,5,16,154,95,252,0,0,0,0,0,0,16,26,39,31,28,55,6,4,7,49,59,110,257,74,332,463,228,686,31,21,49,3,8,9,8,4,12,41,29,66,890,1478,2372,2619,4353,6968,255,238,493,31883,30200,62084
CED142,10348,8865,19213,6256,7338,13601,43,30,76,332,363,701,504,436,936,13590,8839,22433,913,1541,2456,147,3,146,1119,221,1339,2518,990,3500,767,382,1147,14266,12491,26761,50800,41502,92302,2001,1950,3957,35,25,54,111,127,240,145,83,228,66,74,145,251,172,419,2607,2435,5042,5,16,24,55,81,141,44,65,109,31,76,112,137,138,275,279,369,648,296,168,468,3183,2975,6154,360,299,663,40,47,89,30,14,44,432,360,792,2348,2169,4510,3226,4386,7616,547,462,1010,60541,51857,112396
CED143,234,217,445,5766,6257,12022,2075,1464,3538,12,5,14,144,103,244,18594,15836,34429,874,1501,2375,332,4,331,900,145,1048,824,233,1056,272,167,442,1621,1963,3589,31643,27895,59539,640,659,1297,440,461,899,3,0,3,51,39,92,20,35,57,15,9,16,1168,1197,2369,475,367,844,0,0,0,198,169,368,87,138,223,56,51,108,818,723,1545,577,289,869,2565,2215,4785,446,349,796,98,63,163,38,10,48,579,421,1001,2387,3068,5460,2162,3933,6094,299,285,587,39640,37819,77468
CED144,5726,5109,10838,607,1132,1736,3,4,5,27,34,57,226,33,259,23791,13952,37736,1369,1923,3289,692,10,706,280,31,305,203,32,230,306,140,449,849,916,1766,34067,23315,57379,1319,1507,2818,21,6,30,51,44,97,499,415,908,124,255,377,87,39,124,2090,2264,4356,0,0,0,4,7,8,47,40,83,22,62,83,11,10,25,84,116,198,282,164,443,2456,2542,5000,231,254,481,14,3,17,12,0,7,255,259,511,688,1279,1968,2046,2693,4745,598,360,957,40107,30455,70559
CED145,4236,4040,8279,3181,4296,7480,668,395,1062,13,14,27,330,235,568,15718,12525,28241,891,1573,2463,213,3,217,1315,275,1593,1201,397,1603,315,240,555,2964,3711,6676,31048,27702,58755,2956,3337,6295,69,36,98,11,6,15,217,165,386,91,128,218,137,77,210,3481,3750,7229,37,20,57,10,9,13,52,73,122,30,55,80,60,64,116,178,213,394,322,201,525,3979,4169,8145,322,284,603,21,25,46,17,16,32,366,319,688,2337,3161,5496,1725,3314,5039,352,310,668,39809,38977,78789
CED146,2403,2382,4790,449,680,1126,6,0,10,4,0,3,76,14,88,26841,19284,46128,1662,2120,3783,1080,16,1093,166,14,181,79,5,87,185,85,275,286,346,631,33243,24955,58191,579,616,1199,3,0,4,5,7,11,904,716,1616,110,302,414,22,11,35,1630,1646,3280,5,0,5,0,0,0,39,55,98,35,71,106,9,6,13,87,134,222,283,164,445,2003,1948,3947,236,276,512,9,7,13,9,0,12,255,287,533,669,1353,2021,1761,2719,4486,486,415,902,38410,31673,70082
CED147,549,346,892,249,298,540,6,0,10,9,3,9,29,37,66,24585,21105,45692,1569,1619,3187,690,14,702,234,23,257,148,26,175,214,114,332,537,569,1103,28825,24148,52969,40,48,95,0,0,0,0,0,0,258,129,389,37,33,67,35,0,36,374,219,590,0,0,0,0,0,0,12,14,19,9,31,42,8,9,12,29,45,74,242,112,357,649,381,1027,48,36,83,6,7,9,7,3,12,66,42,106,1040,1633,2677,2713,4274,6990,330,295,627,33618,30781,64394
CED194,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
CED197,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
