CED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED201,20,41,149,11,9,79,313,3,28,14,4,5,0,65,16,326,65,18,19,4,442,40,112,76,16,32,0,276,42,83,84,15,3,0,223,209,59,115,30,0,8,416,1521,72,421,17,14,6,2057,3373,58,409,3,25,5,3872,892,4,86,5,7,0,993,166,3,16,0,3,0,189,52,0,9,0,0,0,65,18,0,3,0,0,0,25,7,0,0,0,0,0,13,42,0,4,0,0,0,51,133,53,100,17,20,16,339,6532,841,1568,139,146,115,9338
CED202,23,96,247,16,54,180,621,16,83,39,32,4,0,185,296,816,243,82,28,24,1491,827,334,370,113,41,17,1702,849,169,455,70,32,6,1574,2908,172,672,41,52,18,3859,3136,34,491,11,36,16,3720,1131,14,160,9,28,10,1350,139,3,47,3,6,4,205,25,0,12,0,0,3,50,21,4,9,0,0,0,26,3,0,3,0,0,0,6,4,0,0,0,0,0,11,13,0,10,0,0,4,24,139,100,118,29,29,21,436,9519,1822,2884,412,316,291,15248
CED203,44,155,277,14,15,195,703,4,108,29,27,8,3,174,66,992,143,36,35,10,1280,240,322,248,60,19,3,896,402,186,155,20,15,9,781,1538,129,308,27,28,11,2041,4735,155,776,22,91,17,5800,4809,99,717,9,42,16,5696,2186,18,392,7,16,9,2627,1002,5,175,0,10,3,1198,429,6,65,4,4,0,508,178,3,52,3,0,0,233,69,0,9,0,0,0,80,167,3,33,0,3,0,204,269,179,173,30,34,31,723,16151,2372,3555,261,310,318,22965
CED204,13,94,234,13,43,182,585,6,66,28,23,6,7,139,157,689,263,45,45,21,1219,603,366,442,80,50,14,1547,618,172,413,98,46,7,1355,2331,97,670,70,52,17,3246,3077,37,641,13,53,17,3832,1147,9,225,5,18,4,1404,140,3,47,0,5,0,200,31,3,16,0,5,0,57,15,0,7,0,3,0,23,5,0,4,0,0,0,12,0,0,3,0,0,0,8,13,0,7,0,0,0,26,104,101,110,24,44,26,414,8278,1647,3122,371,360,289,14068
CED205,46,64,256,11,10,123,511,13,59,15,9,3,0,104,68,468,119,17,29,12,711,154,214,179,46,64,8,666,318,131,128,19,25,7,624,1526,106,305,28,51,15,2041,3639,112,675,15,107,22,4566,3405,51,459,8,71,16,4011,1332,7,197,8,28,3,1570,505,0,73,0,7,3,592,124,0,35,0,3,0,165,63,0,18,0,3,0,84,18,0,3,0,0,0,25,111,0,18,0,6,0,138,252,83,164,29,36,26,578,11578,1308,2644,184,437,232,16384
CED206,28,62,196,18,10,120,443,5,56,13,3,3,0,81,25,463,73,3,18,8,594,55,237,110,20,32,0,457,66,140,121,22,26,0,374,326,156,244,21,107,8,864,3518,176,945,26,274,27,4964,2258,89,405,11,100,11,2872,222,14,56,4,13,3,311,37,0,13,3,3,0,52,28,6,8,0,7,0,50,15,3,10,0,0,0,27,4,0,3,0,0,0,8,62,0,22,0,7,0,85,137,100,154,9,27,31,454,6782,1508,2378,143,627,206,11639
CED207,14,28,155,14,33,123,359,7,21,18,24,7,3,72,28,194,99,37,11,3,375,68,77,128,24,40,3,344,120,38,189,4,19,0,377,396,25,230,9,25,10,703,1531,53,505,16,48,8,2168,2101,22,425,7,15,8,2577,397,0,78,0,7,0,486,79,0,11,0,0,0,92,21,3,5,0,0,0,23,15,0,7,0,0,0,19,3,0,0,0,0,0,3,19,0,11,0,0,0,25,109,40,119,19,23,11,316,4905,504,1974,152,235,178,7937
CED208,49,79,345,22,21,144,672,6,59,20,29,3,4,120,88,625,186,58,36,10,1002,188,264,321,118,53,7,950,273,125,171,59,36,0,670,488,126,247,60,34,8,962,2056,104,520,28,54,9,2771,5199,82,758,19,74,13,6149,2586,13,440,15,48,7,3106,1107,3,191,3,22,6,1327,445,0,102,0,8,0,560,134,3,48,0,10,0,194,47,3,22,0,7,0,73,143,0,50,0,6,4,202,249,81,243,38,38,38,685,13043,1581,3664,447,453,256,19444
CED209,13,39,268,13,89,232,649,14,20,37,15,6,0,94,82,297,207,48,40,9,682,263,138,365,78,54,9,913,305,55,291,49,38,10,749,831,27,423,30,40,15,1366,2170,46,561,28,41,6,2859,2482,16,480,14,31,8,3024,643,0,133,0,4,4,789,155,0,22,0,3,0,176,38,0,19,0,0,0,54,12,0,15,0,0,0,30,10,0,12,0,0,0,22,16,0,23,0,3,0,45,89,45,136,38,55,20,382,7135,686,2984,315,404,311,11832
CED210,25,126,196,13,51,167,580,10,106,26,30,12,3,191,126,915,170,87,41,17,1362,653,357,362,117,50,12,1554,701,192,345,96,39,3,1372,2373,222,652,61,57,18,3387,3908,103,743,18,62,12,4844,2047,15,301,13,38,11,2432,343,8,80,0,9,3,443,96,0,24,0,3,0,125,19,0,5,0,0,0,34,16,0,9,0,0,0,19,4,0,0,0,3,0,8,18,0,8,0,0,0,27,198,132,125,21,54,24,563,10539,2192,3043,456,427,286,16934
CED211,11,40,199,19,10,134,414,14,40,6,24,7,3,94,36,374,109,34,8,3,571,67,126,153,119,16,4,483,66,85,115,21,8,6,298,435,61,244,32,13,3,790,3035,69,558,18,36,14,3731,4181,45,561,7,26,10,4837,1227,11,152,3,16,4,1413,301,0,40,4,0,0,347,84,0,23,0,3,0,105,24,0,11,3,0,0,44,9,0,0,0,0,0,9,55,0,12,0,4,0,73,181,72,135,26,21,16,456,9718,928,2319,308,166,201,13644
CED212,24,66,178,10,10,110,402,5,57,9,3,8,4,87,37,609,129,37,28,15,859,212,220,222,31,28,3,726,345,94,215,15,85,10,769,1374,88,422,25,75,18,2006,3950,122,692,18,39,18,4840,2625,24,403,0,29,10,3081,655,3,79,3,3,7,748,217,0,24,0,6,0,248,114,0,14,0,0,0,122,41,0,5,0,0,0,52,26,0,3,0,0,0,31,72,0,9,0,5,0,88,197,99,143,18,24,13,491,9888,1386,2552,172,351,202,14552
CED213,9,30,341,5,51,288,728,5,16,20,3,10,0,61,38,271,150,13,56,6,538,182,113,269,25,63,11,653,322,39,292,13,36,6,712,1289,53,443,16,159,12,1964,2746,46,576,8,74,17,3466,1915,3,322,7,27,11,2283,532,0,102,0,13,0,651,160,0,30,0,3,0,194,76,0,7,0,0,0,88,35,0,9,0,0,0,48,12,0,0,0,0,0,17,41,0,19,0,4,0,56,131,39,164,19,50,18,412,7505,614,2744,113,534,370,11881
CED214,37,106,233,29,12,171,589,16,100,30,13,4,3,166,89,718,135,42,33,4,1027,415,296,243,96,30,16,1088,720,157,233,41,41,12,1202,1625,127,429,71,76,8,2334,4502,117,938,43,171,29,5806,4202,57,629,11,61,10,4979,1908,9,269,4,15,4,2208,717,0,83,3,3,4,806,253,5,31,0,0,0,295,103,0,14,0,0,0,124,51,4,13,0,0,0,64,130,0,16,0,4,6,148,280,126,220,26,37,34,720,15034,1827,3516,388,491,289,21549
CED215,22,114,336,25,131,273,902,24,165,60,28,28,3,308,342,701,346,53,95,20,1559,1314,438,570,96,116,17,2549,1015,117,463,53,60,12,1720,1825,67,507,30,86,15,2533,1680,30,281,3,64,11,2070,689,9,98,4,12,3,810,69,3,16,0,4,0,91,13,0,3,0,0,0,14,7,0,3,0,0,0,12,3,0,3,0,0,0,7,0,0,0,0,0,0,3,6,0,9,0,4,0,30,102,76,156,28,73,12,449,7112,1719,2855,323,678,360,13053
CED216,23,46,289,11,18,152,539,7,40,16,11,3,3,77,24,465,68,26,7,5,596,57,136,93,63,17,0,365,92,63,83,18,4,0,269,533,46,155,24,11,3,777,1293,61,313,5,15,0,1689,2549,24,455,8,21,10,3068,1856,9,362,3,11,7,2247,1043,3,177,3,3,5,1235,682,0,105,0,4,3,795,512,0,101,0,0,3,616,335,0,49,0,3,3,387,738,0,156,0,10,0,905,187,50,113,20,21,14,409,9937,943,2521,201,142,212,13957
CED217,37,38,217,3,16,93,406,6,38,19,4,10,0,74,35,197,69,10,17,0,328,63,184,166,57,56,9,537,144,73,200,29,23,3,475,1454,87,481,38,51,10,2125,3892,65,806,16,121,26,4927,2604,19,374,14,49,20,3079,345,0,58,4,3,0,423,51,0,18,0,8,0,77,21,0,9,0,0,0,24,23,0,10,0,3,3,32,7,0,3,0,0,0,12,44,0,13,0,0,0,59,188,74,156,20,24,15,480,8917,774,2604,199,384,187,13056
CED218,49,59,353,31,13,195,694,12,95,19,15,0,3,142,50,742,105,79,21,16,1013,152,226,191,78,19,5,665,188,112,135,13,8,3,460,1291,59,287,23,17,7,1680,3678,58,551,13,22,13,4341,6534,61,808,8,35,8,7455,3841,6,487,0,29,7,4370,2051,3,321,0,6,8,2396,1053,0,140,0,6,0,1197,583,3,84,0,0,0,677,315,0,57,0,3,0,376,736,0,135,0,7,0,876,351,112,198,30,35,25,746,20894,1529,3864,294,225,293,27085
CED219,30,39,132,13,15,99,329,13,27,15,3,10,0,63,35,420,102,15,4,8,578,57,223,138,22,19,6,468,62,99,120,8,38,0,335,533,144,349,16,62,13,1123,3982,139,925,25,123,28,5221,4159,53,493,3,75,20,4806,297,8,68,0,4,3,388,47,0,19,0,3,0,71,24,3,10,0,0,0,36,18,0,16,0,3,3,38,7,3,0,0,3,0,12,69,0,8,0,6,3,84,222,73,147,9,39,21,518,9556,1242,2539,116,417,198,14069
CED220,22,40,251,6,13,160,497,11,38,20,7,5,0,84,37,342,119,42,34,9,571,87,145,140,45,43,8,470,145,52,102,21,19,3,340,569,58,237,23,38,8,937,2389,78,578,19,106,15,3186,3487,40,568,11,64,10,4182,1606,10,254,4,13,3,1888,606,0,92,3,3,0,709,264,0,44,0,3,0,307,82,0,26,0,0,0,111,29,0,3,0,3,0,40,86,0,28,0,6,0,117,232,74,168,18,36,22,547,9665,875,2614,189,391,244,13974
CED221,10,96,343,17,139,266,867,11,82,51,10,15,5,174,215,809,359,37,61,15,1498,1014,348,613,52,74,24,2120,854,215,496,13,50,10,1634,1718,111,550,8,230,17,2632,1903,25,391,3,90,11,2424,926,5,127,0,11,3,1080,73,0,24,0,9,0,118,18,3,7,0,3,0,28,6,0,6,0,3,0,15,3,4,5,0,0,0,11,0,3,4,0,0,0,5,16,0,18,0,4,0,41,95,119,134,18,63,25,452,6860,1809,3134,167,757,375,13102
CED222,26,41,206,12,10,113,405,12,34,21,20,3,0,88,37,371,81,20,19,7,534,162,151,149,60,66,6,598,237,61,118,16,45,4,472,893,63,279,23,136,10,1410,3230,59,702,12,96,18,4120,3466,39,464,17,60,18,4063,1203,3,150,0,10,4,1373,465,0,60,0,3,0,534,170,0,17,0,4,0,192,83,0,11,0,3,0,100,35,0,8,0,0,0,43,103,0,19,0,0,0,128,190,52,135,16,29,22,451,10313,879,2416,191,487,211,14506
CED223,14,77,188,10,13,104,416,9,56,17,24,6,3,113,32,551,82,51,16,5,740,33,184,115,49,17,3,396,44,118,103,23,9,5,307,274,133,172,37,61,8,684,2081,138,464,25,68,13,2786,3010,80,424,5,33,10,3558,1165,16,176,3,11,3,1382,313,7,54,0,5,5,381,114,5,23,0,0,0,138,52,0,11,0,0,0,64,22,0,4,0,0,0,25,76,0,27,0,0,0,99,114,102,115,25,21,19,399,7348,1468,1977,254,250,176,11481
CED224,29,17,297,15,30,184,575,8,16,9,17,0,3,54,38,124,72,33,6,0,278,128,28,137,50,3,0,355,197,40,123,32,8,0,394,464,13,172,24,18,3,700,1838,13,328,7,24,8,2209,4507,5,550,11,24,3,5100,2304,0,388,9,15,4,2716,1178,0,168,0,12,3,1364,680,0,104,0,3,0,795,419,0,63,3,6,0,488,282,0,35,0,0,0,324,587,0,99,0,3,3,691,222,26,146,32,16,22,472,12869,284,2688,238,173,253,16503
CED225,5,19,168,3,8,95,299,3,14,9,18,3,3,47,16,124,65,23,9,0,240,39,52,113,12,7,5,226,45,34,109,4,29,0,221,196,28,175,16,13,3,434,1924,31,446,11,28,5,2443,2958,16,331,7,21,6,3342,558,0,80,4,10,0,653,134,0,24,0,0,4,161,32,0,4,0,0,0,38,16,0,3,0,0,0,20,8,0,3,0,0,0,4,30,0,7,0,0,0,43,121,19,97,18,19,13,281,6090,327,1637,114,147,146,8468
CED226,49,32,230,7,9,109,437,15,31,11,4,3,0,53,34,233,93,12,15,8,397,91,137,179,23,35,4,467,190,72,212,17,33,3,525,1646,77,514,44,107,11,2392,7998,76,1127,10,142,23,9378,4771,22,437,6,43,10,5295,644,3,111,0,11,0,771,162,0,14,0,3,0,188,56,0,9,0,0,0,68,33,0,8,0,0,0,45,13,0,3,0,0,0,15,94,0,21,0,0,0,118,332,54,158,9,25,25,607,16138,735,3117,138,432,201,20757
CED227,29,152,550,36,245,364,1378,45,176,106,35,50,5,421,495,640,577,111,198,35,2057,1663,403,849,93,140,37,3181,857,130,523,22,72,12,1612,1468,82,437,9,54,6,2056,1246,21,237,20,44,8,1578,397,8,91,5,22,3,533,28,4,19,0,8,3,65,13,0,6,0,3,0,21,7,0,13,0,0,0,21,3,0,3,0,0,0,11,0,4,6,0,0,0,9,15,0,8,0,3,0,25,111,116,181,25,106,28,563,6377,1745,3614,347,939,512,13536
CED228,38,71,322,11,28,184,652,16,52,17,3,0,0,92,70,604,137,20,18,3,851,172,233,223,62,28,4,727,241,129,182,24,34,5,614,1237,92,450,27,94,15,1904,4339,114,985,29,179,29,5671,3921,45,506,14,61,19,4575,1298,5,181,0,16,7,1506,462,6,72,0,0,3,547,171,4,37,3,3,0,213,71,0,16,0,6,0,90,33,0,8,0,4,0,39,121,0,27,3,3,0,147,233,106,216,33,34,32,650,12428,1459,3370,220,503,311,18290
CED229,30,28,235,19,32,156,507,7,25,19,17,3,0,72,50,217,105,15,21,0,404,138,132,182,23,28,14,515,197,61,180,10,26,6,479,663,47,361,26,188,3,1284,4479,55,745,23,132,18,5455,3863,17,407,0,41,20,4345,367,4,97,3,8,3,483,95,0,17,0,4,0,117,31,0,8,0,0,0,41,25,0,9,0,0,0,29,14,0,3,0,0,0,16,62,0,16,0,0,0,83,197,39,128,15,38,20,441,10218,632,2511,149,523,244,14264
CED230,21,97,339,32,109,246,844,11,171,42,25,12,8,274,306,480,270,60,56,15,1192,597,273,457,63,97,15,1509,605,71,447,28,45,7,1209,1969,69,589,12,50,20,2706,3661,20,557,5,37,26,4311,1558,14,194,5,18,3,1799,107,9,36,0,3,0,156,29,4,13,0,0,0,46,19,0,10,0,0,0,20,11,0,7,0,0,0,18,0,0,4,0,0,0,4,16,0,14,0,3,0,31,159,75,168,10,61,25,505,9074,1293,3151,245,508,371,14637
CED231,108,383,647,37,51,250,1471,13,437,29,20,5,0,499,95,2605,161,106,47,33,3043,260,1173,277,172,48,15,1954,257,565,212,128,13,6,1186,1274,661,436,141,81,12,2615,4181,585,933,193,159,24,6072,10106,239,1363,91,167,36,12000,8835,67,1293,43,119,23,10381,5461,28,839,21,73,10,6444,2401,16,391,4,29,12,2862,1144,10,228,0,18,6,1402,556,0,143,0,11,3,705,788,0,179,0,20,9,993,608,380,378,83,67,58,1575,36089,7156,7509,1048,896,506,53203
CED232,52,113,437,13,39,229,888,12,108,20,20,0,0,168,61,991,114,54,7,6,1225,168,364,231,156,16,15,951,264,164,162,65,3,8,673,1414,87,346,39,13,10,1907,3887,80,653,34,39,12,4709,7963,53,999,12,37,23,9083,5933,8,809,9,27,18,6796,3461,4,514,3,25,6,4013,1757,0,252,3,11,6,2026,895,3,145,4,5,3,1050,481,0,87,0,4,3,575,952,0,158,3,12,8,1133,458,111,242,29,40,39,913,27769,2084,5164,442,272,377,36112
CED233,15,11,234,10,16,131,410,7,3,5,3,0,0,17,18,82,45,7,3,0,160,23,45,75,20,18,3,181,22,13,41,10,8,0,89,81,15,91,19,8,0,214,605,29,246,13,17,3,910,2458,12,395,7,27,9,2905,1601,3,222,4,12,5,1845,664,3,72,0,3,3,746,211,0,21,0,0,0,233,77,0,16,0,0,0,94,27,0,7,0,0,0,30,89,0,22,0,3,0,105,142,27,146,16,17,12,361,6050,235,1638,96,124,163,8314
CED234,21,101,377,32,220,321,1071,29,89,70,28,58,9,271,294,717,447,81,167,35,1739,1080,381,747,83,139,40,2467,1009,212,551,27,110,21,1931,1731,86,567,23,59,10,2473,1580,26,377,9,56,12,2063,585,17,152,4,16,0,775,66,0,20,3,0,0,98,15,0,12,0,0,0,25,6,0,7,0,3,0,13,0,0,6,0,0,0,8,3,0,5,0,0,0,7,8,0,23,0,3,0,32,116,99,166,17,108,29,521,6526,1725,3520,304,942,480,13498
CED235,43,28,201,6,10,119,400,8,18,3,5,0,0,39,29,164,71,7,13,3,278,62,116,110,27,26,7,341,50,50,104,18,5,0,224,431,66,222,30,40,3,790,4340,71,740,35,120,19,5325,2779,45,342,7,66,14,3247,402,3,80,0,14,3,499,87,3,29,0,4,3,126,46,0,14,3,0,0,61,23,3,5,5,3,0,40,8,0,5,0,0,0,15,61,0,20,0,0,0,78,176,44,138,7,24,27,410,8538,601,2069,152,329,188,11878
CED236,17,92,490,31,301,394,1335,22,94,83,9,26,3,240,310,678,497,71,108,21,1682,960,263,753,67,105,19,2164,848,128,502,14,56,8,1555,1465,120,494,17,44,7,2148,1231,22,342,12,31,12,1642,541,10,122,9,15,0,693,80,0,18,0,7,3,114,12,0,6,0,3,0,23,3,0,4,0,0,3,13,5,0,3,0,3,0,6,0,3,3,0,0,0,9,13,0,20,0,3,0,34,87,82,161,24,113,23,496,5601,1488,3501,252,811,495,12150
CED237,44,96,336,14,16,175,678,14,82,23,9,6,0,133,79,717,113,34,23,13,975,234,218,214,39,20,3,725,288,109,166,17,10,6,596,1265,93,334,24,47,6,1769,4387,114,920,15,107,13,5556,6255,49,852,13,47,19,7239,2770,10,411,3,15,13,3225,1131,4,193,3,18,9,1354,460,4,99,0,3,0,576,158,0,49,0,3,0,215,82,0,22,0,3,0,108,165,0,37,0,5,0,213,307,90,191,24,39,34,679,17644,1590,3953,202,359,302,24048
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,21,57,203,11,47,149,481,14,119,14,8,15,0,170,51,421,148,65,40,8,737,199,290,262,85,90,11,942,375,119,323,41,91,8,966,2293,304,858,94,467,25,4033,6123,121,1060,55,161,39,7554,3333,7,384,11,53,15,3801,269,3,58,0,15,0,345,57,0,11,0,6,0,76,14,0,3,0,0,0,17,8,0,0,0,0,0,12,3,0,3,0,0,0,8,23,0,3,0,0,0,28,189,104,111,19,40,22,487,12955,1547,3442,396,1028,279,19648
CED302,21,89,147,11,26,123,409,4,150,11,11,3,3,172,20,660,74,20,23,8,802,42,347,120,37,92,5,638,76,132,110,29,70,4,419,193,165,178,27,77,0,653,722,119,391,32,79,12,1358,4318,68,1152,41,113,27,5720,2120,9,408,12,31,7,2601,824,7,120,0,12,0,965,328,5,51,0,6,3,393,91,0,12,0,0,0,104,39,0,7,0,0,0,44,35,3,9,0,10,0,51,113,77,101,21,28,21,373,8953,1830,2895,252,566,215,14706
CED303,11,84,156,10,19,97,372,3,113,9,16,7,0,144,16,551,63,34,12,3,676,73,299,152,113,34,6,681,168,95,149,13,7,6,429,392,90,233,77,33,3,824,789,69,462,29,21,7,1371,3122,57,933,13,39,11,4179,2429,4,379,9,11,12,2847,492,0,96,0,3,0,597,147,0,24,0,0,0,179,56,0,20,0,0,0,70,29,0,9,0,0,0,40,35,0,4,0,0,0,45,129,83,110,19,25,28,385,7889,1433,2800,329,212,184,12852
CED304,44,123,274,16,44,141,637,4,188,8,9,3,4,215,80,762,128,58,18,8,1055,288,379,287,178,39,9,1178,274,91,251,20,28,4,670,1081,155,455,100,88,6,1883,3526,109,937,51,82,12,4725,7418,45,1326,25,73,27,8917,5312,14,1005,29,58,24,6453,2598,6,546,10,46,6,3206,1134,3,254,0,10,3,1412,561,3,124,0,14,4,700,315,0,73,0,3,0,395,429,0,134,0,7,4,576,257,103,198,43,49,42,685,23313,1980,6002,552,560,293,32700
CED305,54,136,361,36,1631,315,2537,17,169,37,29,226,7,476,153,438,226,49,215,10,1097,540,282,368,69,105,13,1377,749,123,472,80,81,23,1521,1739,107,716,39,111,19,2723,2743,66,912,12,100,22,3859,1922,8,488,10,51,11,2495,327,5,94,0,11,0,437,52,4,11,0,5,0,76,13,0,14,3,0,0,29,4,3,7,0,0,0,11,5,0,3,0,0,0,8,8,0,12,0,3,0,24,134,88,149,23,193,26,616,8470,1422,3863,360,2733,443,17298
CED306,27,132,297,8,183,236,879,8,142,29,16,46,0,244,132,563,243,60,66,21,1086,767,407,409,140,93,17,1828,886,147,471,48,93,12,1661,2080,163,643,59,190,23,3147,3251,99,920,24,199,22,4510,2665,20,631,44,93,24,3477,573,0,143,3,20,0,744,152,0,33,0,10,0,196,27,0,19,0,0,0,48,20,0,7,0,0,0,27,3,0,0,0,0,0,3,12,0,9,0,3,0,16,169,110,161,23,83,33,571,10766,1785,3992,434,1081,384,18437
CED307,14,42,125,7,17,78,275,0,44,12,4,3,0,62,11,257,38,19,29,3,358,38,169,94,22,55,5,379,84,76,118,9,11,5,306,293,121,208,6,406,6,1041,1829,115,649,27,101,12,2730,3543,36,743,31,53,17,4412,891,0,169,3,17,4,1088,245,0,59,0,3,0,313,104,0,12,0,0,0,117,41,0,3,0,0,0,44,10,0,5,0,0,0,17,7,0,0,0,3,0,9,84,58,77,13,27,21,277,7179,915,2318,147,727,149,11432
CED308,37,56,186,13,36,114,443,3,93,7,4,0,0,122,26,386,85,21,14,4,533,45,220,138,55,52,3,515,75,73,136,9,22,3,323,338,65,276,19,45,3,751,2686,135,895,46,169,33,3969,7392,46,1484,43,165,38,9167,3344,8,517,11,33,10,3914,975,0,204,0,7,6,1188,429,0,95,0,5,0,527,216,0,53,0,5,3,273,104,0,15,0,0,0,119,110,0,37,0,4,3,156,217,72,125,21,29,30,499,16000,1169,4249,242,585,260,22499
CED309,18,56,165,11,41,154,442,0,111,18,25,10,5,169,28,403,107,46,34,12,622,97,244,186,42,78,5,646,178,70,198,11,63,11,534,594,87,384,11,113,15,1211,2198,58,780,26,95,15,3169,3964,40,1082,19,74,19,5195,2417,0,413,3,29,9,2875,724,4,124,0,11,3,864,211,0,39,0,0,3,253,81,0,18,0,0,0,97,23,3,6,0,0,0,38,36,0,15,0,3,0,58,127,75,126,21,52,22,416,10688,1156,3666,201,593,270,16578
CED310,17,53,194,10,35,167,478,4,113,14,18,9,0,162,30,422,110,33,19,3,620,58,175,162,36,61,5,508,65,65,179,7,33,3,355,303,80,324,16,66,8,805,2151,103,812,16,93,18,3191,4115,28,1043,13,73,24,5287,2267,0,397,4,18,6,2696,548,0,97,0,5,0,652,195,0,40,0,0,0,240,55,0,22,0,0,0,73,29,0,11,0,0,0,44,24,0,15,0,3,0,45,122,56,116,11,43,34,382,9996,1102,3533,167,460,271,15528
