CED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED101,28,259,3251,13346,9122,2977,676,580,30239,55,242,698,1505,142,8,7,70,2725,7,338,825,2649,2160,277,21,141,6422,63,579,1523,4151,2300,288,28,217,9150,78,735,1250,272,29,3,3,109,2484,21,243,3445,1073,55,3,4,137,4971,15,538,3599,1103,50,5,3,120,5438,0,10,19,5,0,0,0,4,49,119,1526,8314,2449,144,14,11,367,12944,3,44,139,60,25,5,0,7,284,0,10,40,33,31,6,0,11,144,221,2415,13265,20041,11627,3292,715,1190,52765
CED102,41,240,3763,13219,6672,2321,645,648,27561,32,118,1517,1412,156,20,8,90,3355,9,149,444,1314,609,79,24,61,2687,42,269,1959,2727,761,103,29,152,6034,47,667,1650,289,57,15,8,99,2834,65,639,4133,572,33,4,7,156,5611,74,2241,10297,2024,97,14,7,384,15131,0,63,49,32,13,0,0,10,167,194,3610,16130,2920,200,31,25,651,23749,11,113,181,89,17,8,0,24,438,0,45,68,29,10,8,5,64,235,286,4277,22098,18980,7661,2464,712,1537,58015
CED103,42,193,2404,11967,10657,3646,997,520,30427,39,205,865,1878,134,11,6,73,3222,9,382,1914,2388,975,125,25,140,5953,52,586,2778,4267,1108,139,35,212,9182,40,603,778,250,33,8,3,76,1795,54,1342,6020,758,40,4,3,206,8425,54,2103,5022,1000,34,0,0,114,8327,0,5,14,6,0,0,0,0,30,149,4063,11829,2007,103,14,12,392,18579,7,26,57,37,0,3,0,5,146,0,31,86,52,27,16,5,44,260,249,4903,17164,18335,11895,3821,1050,1179,58587
CED104,30,319,1682,10941,18363,5978,1490,513,39324,3,203,507,443,69,7,4,37,1272,9,75,277,1897,396,29,7,29,2721,6,277,788,2336,464,40,5,65,3989,14,257,492,240,20,3,4,45,1075,77,197,475,50,4,0,0,31,825,13,79,201,37,0,0,0,3,331,3,21,13,9,4,0,0,4,47,107,551,1175,332,27,3,3,90,2285,4,38,61,35,16,3,4,12,175,3,20,38,34,31,8,4,40,178,156,1201,3741,13686,18901,6042,1511,721,45955
CED105,70,328,3870,13638,7902,2307,683,892,29689,55,214,410,701,82,7,0,94,1559,20,249,801,2672,1490,123,22,150,5516,77,455,1209,3372,1569,131,22,243,7081,154,837,2165,475,70,17,8,224,3948,74,298,3876,812,20,0,5,182,5272,42,188,2508,800,35,0,4,125,3710,6,20,49,32,8,4,4,11,133,273,1355,8597,2124,133,26,11,548,13063,4,33,115,98,27,10,3,17,313,7,32,59,41,37,6,3,47,225,422,2210,13855,19275,9666,2474,724,1744,50367
CED106,24,171,1262,9057,14920,6696,1417,407,33949,3,62,215,198,37,5,3,20,536,6,67,390,1212,252,26,6,43,2005,5,131,602,1402,289,35,12,59,2537,19,363,951,630,34,3,3,61,2071,54,475,3049,882,14,0,7,106,4590,99,1804,5828,2354,69,0,0,144,10298,0,3,0,0,0,0,0,0,3,169,2647,9824,3867,117,8,10,317,16968,0,14,18,6,4,3,0,0,49,0,27,25,18,18,8,4,22,122,203,3000,11727,14357,15346,6741,1440,809,53619
CED107,110,756,5712,22544,16628,3134,708,1193,50786,25,373,1824,818,68,3,6,143,3264,9,178,187,193,35,7,0,23,628,36,552,2010,1011,104,15,10,170,3898,35,396,852,189,22,3,12,86,1589,0,20,59,0,0,0,0,4,88,0,0,18,5,0,0,0,0,21,0,3,0,0,0,0,0,0,8,35,416,925,196,22,3,12,89,1703,35,115,146,297,172,34,14,60,881,7,96,90,137,74,17,10,140,566,223,1932,8884,24185,17002,3204,749,1656,57831
CED108,65,348,1890,22547,12638,2405,541,1101,41540,19,164,353,1199,180,17,3,86,2024,17,219,505,2498,925,45,4,115,4320,43,383,856,3694,1104,61,9,203,6341,13,367,166,61,3,0,0,44,662,6,32,432,22,0,0,3,28,525,6,48,883,69,4,0,3,28,1042,0,11,9,0,0,0,0,0,27,24,459,1482,155,11,0,5,106,2248,0,37,127,86,17,0,0,13,286,3,19,35,36,29,5,5,29,164,134,1256,4397,26517,13793,2477,557,1452,50580
CED109,24,179,1891,10790,10055,3437,694,466,27535,38,195,909,1333,63,13,3,87,2644,4,259,1213,3581,541,48,8,128,5787,42,454,2118,4914,611,56,14,220,8428,17,992,1233,344,35,3,5,76,2711,13,666,4807,960,19,0,3,162,6634,57,509,3351,923,16,0,0,106,4968,0,3,4,4,0,0,0,0,13,83,2176,9397,2232,71,3,13,350,14327,5,66,109,51,18,4,0,14,269,8,19,42,32,20,6,3,16,147,162,2890,13558,18024,10774,3506,725,1063,50704
CED110,152,815,5580,22505,13410,2410,508,994,46378,35,319,2490,1568,117,11,8,216,4765,4,132,743,1057,159,15,0,62,2181,43,453,3236,2624,275,28,10,279,6947,48,883,2278,822,60,8,6,213,4316,3,84,625,144,7,0,0,43,912,3,145,746,351,13,3,0,44,1308,0,5,0,3,0,0,0,3,18,59,1119,3660,1317,82,9,6,306,6547,104,368,465,121,31,3,8,80,1174,19,83,130,147,68,19,10,80,555,370,2840,13070,26716,13867,2474,534,1739,61604
CED111,41,288,3705,17194,11105,2743,585,683,36357,26,320,1463,950,86,16,3,83,2946,10,348,1599,2450,225,17,5,128,4794,41,668,3067,3399,311,34,12,214,7739,60,946,2771,855,111,22,7,182,4956,21,373,1985,418,19,5,3,122,2953,25,371,2210,1134,47,3,3,91,3891,0,13,6,3,0,0,0,0,27,111,1708,6972,2415,181,32,12,394,11821,18,110,180,77,27,5,3,17,443,3,30,102,109,27,8,8,129,408,215,2805,14022,23196,11651,2827,616,1435,56765
CED112,46,574,4009,18047,15920,3283,800,902,43577,18,400,2331,1527,76,12,12,241,4606,6,234,613,1454,183,8,5,79,2591,22,630,2944,2981,258,24,15,319,7194,3,316,1249,512,43,7,7,130,2275,0,47,369,73,0,3,0,23,512,9,68,464,109,3,0,0,18,672,0,11,9,3,4,0,3,6,31,12,444,2087,700,55,14,5,179,3496,33,124,137,85,40,3,0,46,472,11,41,51,45,19,5,4,76,246,132,1808,9228,21863,16291,3329,821,1512,54982
CED113,154,898,5022,19478,14437,3144,739,970,44839,27,327,1613,913,79,5,3,122,3086,8,141,902,787,85,8,4,68,1996,34,468,2515,1695,160,12,9,189,5079,32,638,1004,252,26,7,7,120,2091,5,158,371,41,8,3,0,14,593,0,225,659,49,5,0,3,19,964,0,7,4,5,0,3,0,0,16,42,1023,2037,344,47,9,7,157,3664,55,180,219,106,41,8,6,44,660,11,66,131,135,76,19,52,64,556,295,2626,9920,21764,14763,3192,814,1423,54799
CED114,81,595,5841,25193,15901,2423,494,1331,51859,21,491,2648,765,45,4,8,186,4168,7,113,186,124,18,0,3,18,466,29,596,2830,889,66,4,13,200,4633,22,387,1613,345,25,3,5,172,2571,0,15,68,5,0,0,0,3,84,0,3,22,0,0,0,0,0,31,0,5,3,3,0,0,0,0,11,22,406,1704,351,28,4,5,178,2698,88,193,205,158,55,5,3,62,773,10,27,74,123,67,15,16,34,367,223,1818,10655,26712,16121,2460,529,1802,60325
CED115,54,244,1861,13492,10596,2731,752,833,30568,34,178,260,629,95,15,5,52,1267,19,260,1234,2616,491,33,13,166,4819,46,432,1491,3246,583,45,15,213,6088,66,605,1289,411,30,12,5,87,2500,19,413,4478,474,8,0,7,216,5613,10,239,1938,628,8,0,0,92,2920,0,14,57,24,4,3,0,4,112,98,1276,7762,1536,50,12,14,399,11149,5,21,65,105,43,17,3,15,273,0,23,57,34,16,3,3,36,172,209,1997,11241,18409,11285,2810,788,1504,48247
CED116,66,721,5527,22154,15917,3007,603,1115,49112,14,224,1411,925,70,10,4,119,2781,3,162,595,767,82,9,6,37,1660,18,383,2003,1701,153,23,10,160,4440,29,302,1081,475,51,8,9,116,2074,0,9,74,29,4,0,0,4,123,6,65,106,30,0,0,0,10,215,0,3,8,7,0,0,0,0,19,33,381,1271,543,57,8,9,131,2431,67,298,612,158,41,10,0,80,1263,10,57,92,118,60,24,22,45,423,189,1840,9501,24676,16222,3063,644,1521,57667
CED117,16,199,2359,6227,3219,673,187,272,13148,28,473,4551,4393,1007,141,31,180,10801,22,380,2625,4268,1533,257,52,181,9317,48,855,7174,8664,2536,392,84,357,20121,287,2331,3623,695,124,28,21,218,7323,269,2088,5657,567,28,7,8,224,8847,246,1719,2971,641,21,5,3,128,5728,15,120,111,33,7,8,6,4,311,817,6252,12360,1943,181,47,39,572,22216,15,249,376,222,56,18,9,47,996,22,85,98,55,28,5,10,75,387,922,7643,22370,17105,6029,1135,331,1327,56867
CED118,46,305,2094,14280,15710,3308,635,813,37187,14,141,736,2015,1788,165,15,79,4941,7,198,763,2866,1795,361,63,123,6175,23,334,1501,4883,3582,527,76,200,11113,80,174,165,391,68,0,0,39,909,5,4,304,45,0,0,0,14,370,8,98,1723,127,5,0,0,63,2027,0,14,4,4,0,0,0,0,35,94,290,2194,569,75,3,0,118,3345,5,15,48,37,19,0,0,48,176,3,29,29,58,31,5,0,34,198,171,971,5867,19826,19417,3845,717,1206,52020
CED119,19,186,1368,13896,15644,4027,668,452,36256,12,75,431,600,154,12,0,21,1315,8,135,748,2581,408,53,7,80,4015,23,205,1178,3186,566,64,5,99,5327,4,384,596,274,23,4,0,60,1347,3,142,2519,240,8,0,0,62,2973,0,56,769,110,0,0,0,18,953,0,5,12,6,0,0,0,3,21,7,586,3890,627,31,4,0,142,5293,17,60,56,42,19,4,0,15,208,0,7,20,34,16,0,0,26,112,68,1042,6508,17779,16272,4098,676,737,47189
CED120,109,568,3222,16963,19300,4186,1002,876,46231,23,295,917,614,78,8,5,95,2048,0,39,219,290,87,15,3,26,670,23,335,1137,901,172,21,11,119,2718,3,161,377,49,9,3,0,29,635,0,26,66,5,0,0,0,4,106,0,0,0,0,0,0,0,0,4,0,4,6,3,0,0,0,0,16,8,192,452,60,10,3,5,33,758,36,140,83,50,28,8,5,31,381,8,15,40,63,51,13,15,21,225,179,1253,4928,18044,19559,4239,1034,1084,50315
CED121,84,695,5340,22524,16463,2768,569,977,49414,12,381,1658,1049,65,11,5,164,3343,3,145,452,302,43,0,3,26,965,11,530,2109,1350,102,11,7,190,4313,8,292,488,145,20,3,3,55,1012,0,13,48,39,0,0,0,3,101,0,0,10,6,0,0,0,0,29,0,8,5,3,3,0,0,0,23,8,313,554,198,21,7,4,64,1162,36,177,138,43,17,3,0,44,457,3,27,43,87,54,7,7,41,273,145,1744,8181,24204,16653,2789,583,1319,55614
CED122,26,126,1714,7346,5575,2031,659,362,17847,55,171,1403,1692,334,58,17,95,3828,13,249,906,2826,1243,173,33,124,5575,65,427,2312,4519,1577,238,51,220,9402,263,1360,3402,1178,137,40,22,333,6735,143,2708,9927,2304,82,27,9,468,15673,214,2776,7086,1844,71,27,5,340,12369,7,33,14,8,13,0,0,0,70,629,6874,20429,5334,295,104,36,1142,34843,7,105,175,103,47,12,8,14,467,5,42,57,46,29,12,3,63,252,738,7573,24683,17348,7521,2395,751,1804,62803
CED123,57,329,1795,19864,16104,3401,813,836,43198,28,215,836,1348,88,14,9,117,2654,13,201,691,3332,321,12,4,178,4761,42,417,1527,4679,408,26,15,295,7418,35,241,1065,160,3,3,3,72,1587,18,106,1184,105,0,0,0,51,1473,9,55,530,63,0,0,3,19,683,0,9,19,3,3,0,0,3,40,64,413,2806,336,11,3,7,148,3782,3,42,75,39,11,3,3,19,200,10,23,49,68,33,11,8,25,226,177,1227,6255,24990,16576,3436,845,1316,54820
CED124,130,744,5450,22452,14319,2608,551,1090,47346,14,300,1965,1364,61,13,0,157,3871,0,39,241,266,52,0,3,18,622,15,341,2203,1625,113,13,4,176,4489,32,441,1155,284,24,3,4,102,2038,7,34,268,66,7,0,0,17,399,0,23,275,91,9,0,0,14,412,0,0,7,4,0,0,0,0,14,43,500,1701,439,34,7,7,134,2867,89,440,530,152,30,9,6,105,1365,3,21,93,124,58,14,11,36,360,277,2049,9979,24793,14551,2649,575,1543,56417
CED125,55,248,1262,18814,16726,3421,834,792,42155,19,66,1159,1523,154,11,8,131,3071,8,275,1033,1494,359,16,3,105,3303,27,344,2194,3022,510,29,8,237,6373,28,129,552,227,7,0,0,47,990,0,15,263,53,0,0,0,10,342,3,81,543,162,0,0,0,16,810,0,3,11,0,3,0,0,3,20,28,228,1368,447,10,0,0,75,2166,0,8,28,27,15,6,3,6,95,4,19,32,15,33,4,0,12,119,120,843,4878,22331,17297,3466,847,1128,50901
CED126,52,359,1816,11123,13162,4597,1024,526,32655,35,244,493,265,76,10,3,87,1214,32,311,770,1695,345,38,25,98,3308,65,557,1263,1955,418,51,31,186,4522,59,721,1376,607,91,24,5,143,3029,44,1017,4233,545,14,3,0,162,6015,23,814,2535,554,8,3,3,76,4018,3,28,12,7,0,0,0,8,53,127,2572,8159,1710,109,36,8,385,13114,8,52,155,50,11,9,0,15,304,5,56,60,48,24,7,3,27,239,256,3601,11453,14892,13713,4699,1070,1145,50828
CED127,56,639,4552,19458,14584,3747,1002,736,44766,29,384,807,1062,77,7,7,89,2459,0,107,328,577,67,10,7,34,1131,29,491,1139,1641,142,19,14,120,3596,14,223,438,99,15,3,0,36,828,0,43,131,28,0,0,0,7,211,0,0,8,0,0,0,0,0,7,0,12,3,0,0,0,0,3,19,14,273,586,119,22,3,0,51,1069,21,60,53,29,20,7,3,24,209,7,32,60,56,47,18,6,36,279,126,1492,6384,21302,14814,3793,1025,970,49918
CED128,59,303,2137,17569,11571,2937,750,846,36175,16,205,745,686,92,10,3,70,1833,14,152,602,2309,929,145,18,103,4277,32,361,1352,2996,1021,155,21,174,6106,22,479,877,220,38,6,3,82,1730,8,190,2214,267,26,0,0,93,2793,17,241,2022,255,5,0,4,79,2619,0,15,30,3,3,0,0,3,53,41,921,5146,748,65,8,7,264,7202,4,69,44,104,55,11,7,20,311,3,31,60,40,30,9,3,38,216,141,1687,8732,21454,12748,3120,787,1340,50016
CED129,27,141,733,9425,20371,5873,1065,480,38110,0,62,434,446,44,0,0,29,1021,3,60,646,2813,1241,211,27,66,5062,4,120,1078,3260,1284,212,30,98,6080,20,161,594,360,13,0,5,58,1218,0,38,602,316,7,0,0,15,970,3,203,780,311,15,0,0,19,1333,3,3,3,0,3,0,0,4,18,27,408,1976,988,34,3,5,97,3537,0,0,0,3,4,0,0,3,15,0,17,18,9,27,12,0,23,111,60,692,3812,13681,21724,6100,1099,698,47861
CED130,124,974,5876,23444,15049,2911,656,1300,50339,18,350,1576,478,46,8,0,151,2626,0,109,286,82,12,0,0,20,516,26,455,1867,562,59,12,0,172,3144,30,513,927,183,30,3,6,100,1801,0,11,49,6,0,0,0,8,68,0,0,21,0,0,0,0,0,21,0,3,0,0,0,0,0,0,9,30,529,998,193,28,9,6,108,1891,63,162,130,288,73,4,6,52,780,10,47,91,199,83,18,20,48,501,243,2166,8958,24676,15288,2952,688,1673,56655
CED131,41,418,7058,20979,10010,2014,508,771,41795,15,478,2082,1101,70,15,5,117,3877,18,486,1879,2178,312,76,26,118,5089,28,961,3962,3278,379,86,36,228,8963,97,1423,1395,354,41,9,16,178,3511,22,391,1343,240,7,3,3,90,2104,45,360,810,539,34,0,3,45,1830,9,72,43,12,3,3,4,8,154,177,2254,3593,1139,81,18,25,322,7604,12,52,65,42,19,3,0,15,209,7,58,74,59,15,6,9,41,268,264,3741,14761,25496,10504,2124,573,1376,58846
CED132,23,124,1786,7262,7711,2846,525,275,20558,4,67,859,954,214,20,4,41,2175,11,279,1203,2735,499,64,6,80,4882,19,349,2066,3690,714,85,11,119,7053,77,1095,2800,973,74,11,8,125,5155,172,2077,6343,1562,63,7,9,179,10407,569,5671,9334,2863,85,8,15,346,18882,6,14,26,12,8,0,0,4,66,822,8859,18497,5403,232,26,26,652,34516,3,40,58,24,8,0,0,12,146,7,52,57,44,11,5,7,20,200,876,9426,22458,16424,8686,2964,570,1075,62469
CED133,226,1230,6699,24489,14144,2655,573,1255,51279,24,341,1504,797,49,12,5,114,2842,17,106,540,491,58,15,8,35,1259,41,444,2045,1287,108,23,13,144,4098,29,382,1340,464,49,9,10,148,2433,0,28,136,20,4,0,0,10,198,0,0,5,0,0,0,0,3,10,0,7,0,0,0,0,0,0,11,33,412,1487,481,52,9,10,159,2654,210,530,441,225,81,16,13,121,1626,5,51,90,118,42,14,10,46,381,505,2667,10767,26597,14430,2721,621,1726,60035
CED134,124,952,6151,22580,14985,2671,634,1496,49585,18,173,967,388,118,20,8,70,1752,0,14,87,31,12,0,0,9,157,18,191,1049,422,125,21,8,75,1910,59,743,1643,203,33,3,3,170,2863,3,15,38,3,0,0,0,0,62,3,25,27,8,0,0,0,5,64,0,3,3,0,3,0,0,0,11,64,783,1718,216,36,3,3,185,3002,72,186,118,127,78,14,8,94,706,15,39,101,159,86,26,24,47,500,296,2151,9139,23501,15305,2734,676,1903,55700
CED135,51,273,2849,11445,7209,2226,573,632,25260,66,393,827,814,95,13,4,89,2304,34,450,1537,3897,1333,130,22,158,7552,95,845,2364,4715,1427,139,28,246,9854,60,670,3790,590,38,6,6,206,5364,44,554,7663,1209,29,3,5,300,9806,161,1380,6672,1464,37,5,3,233,9956,0,14,19,13,0,0,0,6,53,267,2612,18151,3276,104,13,10,743,25174,3,24,151,74,18,4,0,11,283,8,51,91,44,37,14,4,81,332,421,3810,23603,19549,8795,2396,617,1717,60905
CED136,57,445,4185,21070,17484,2591,463,969,47257,6,307,2252,1429,116,5,3,146,4268,3,215,511,1111,298,15,5,42,2195,9,524,2757,2537,419,13,11,187,6466,9,382,458,112,19,10,4,75,1067,11,39,86,63,3,0,3,5,201,0,20,213,103,11,3,0,11,357,0,3,4,10,0,0,0,0,18,22,444,758,289,34,14,5,85,1640,35,127,134,98,35,3,6,128,566,6,70,214,59,38,6,4,124,519,125,1614,8046,24048,18003,2629,487,1496,56447
CED137,29,177,2368,9192,6790,2591,747,436,22323,23,119,816,580,116,23,8,44,1726,5,94,789,2168,605,117,46,85,3919,30,214,1604,2748,725,143,56,128,5646,142,841,3232,984,103,21,24,239,5585,30,551,5335,1547,76,10,8,220,7777,81,3771,11688,3641,165,45,5,425,19818,0,13,27,4,3,0,0,0,51,251,5180,20275,6172,352,76,35,889,33230,4,74,216,135,25,5,3,22,488,9,58,132,72,27,17,5,49,370,325,5699,24597,18314,7921,2833,840,1523,62053
CED138,160,909,4711,17832,12347,2328,521,882,39695,15,362,2488,3052,143,18,12,259,6351,14,271,1309,2122,191,23,4,108,4041,31,630,3800,5175,333,46,17,369,10394,52,511,1713,616,63,17,0,138,3114,0,118,1025,372,5,0,3,77,1607,0,71,472,235,7,0,0,29,806,3,16,7,5,3,0,0,0,33,58,716,3219,1221,69,18,8,249,5560,181,778,760,145,31,6,3,128,2036,14,74,173,113,54,18,14,69,528,441,3109,12667,24486,12838,2416,557,1696,58217
CED139,85,571,5485,23413,16210,2983,592,1366,50709,6,165,1081,346,48,12,3,83,1734,5,15,121,84,3,0,0,3,232,13,179,1194,430,53,12,3,88,1973,57,558,2208,307,25,0,9,167,3324,0,35,57,12,0,0,0,8,106,3,9,13,6,0,0,0,0,33,0,3,3,3,3,0,0,0,12,54,599,2276,329,27,4,11,173,3476,38,115,89,105,89,13,9,38,496,4,22,75,111,66,17,16,30,355,198,1486,9124,24391,16442,3029,635,1705,57001
CED140,73,712,5146,16614,12999,3248,604,795,40193,10,175,2055,2137,59,15,10,191,4647,18,241,903,1625,143,10,3,90,3021,26,417,2954,3764,204,23,10,275,7672,70,568,1573,1070,121,16,8,166,3582,4,55,621,267,10,3,0,38,1005,0,61,573,272,9,0,0,15,937,6,10,9,3,3,0,0,0,35,79,696,2782,1612,148,18,9,217,5559,24,189,241,81,11,7,0,21,575,9,57,74,42,35,4,3,56,275,212,2075,11189,22108,13394,3287,631,1369,54272
CED141,64,579,6257,22028,13653,2714,420,878,46586,7,374,1958,968,63,14,3,111,3496,10,133,577,814,105,9,6,55,1701,16,503,2535,1777,168,23,7,162,5192,26,487,862,239,14,6,4,80,1725,7,52,78,23,0,0,0,3,167,0,96,178,118,5,0,0,3,407,0,13,6,9,0,0,0,0,28,32,653,1125,388,24,5,3,92,2319,17,114,164,51,23,3,3,24,410,0,17,23,24,13,3,6,22,107,129,1867,10107,24266,13879,2743,442,1177,54618
CED142,7,100,325,728,409,107,29,89,1786,11,524,1959,1161,248,39,18,98,4049,126,1101,3960,5000,1977,369,149,424,13111,145,1617,5921,6153,2223,408,165,518,17155,204,962,759,247,36,13,26,147,2388,592,3043,3746,719,84,10,17,209,8421,2357,19110,22127,4910,316,55,91,1415,50384,4,12,11,3,0,0,0,0,29,3159,23125,26644,5883,429,79,142,1771,61223,31,131,109,75,18,5,7,42,419,23,119,135,56,21,10,10,141,516,3365,25090,33125,12893,3103,609,357,2556,81100
CED143,22,195,1533,7584,8573,3575,741,331,22563,46,102,465,904,256,24,3,43,1843,9,177,755,1778,477,69,18,60,3333,60,273,1220,2681,735,92,21,97,5176,100,1347,3042,1405,160,26,17,160,6256,94,2598,7588,1520,72,9,10,234,12123,162,2282,3875,1378,53,4,3,141,7897,0,25,43,30,11,0,0,3,105,360,6251,14541,4331,285,45,27,542,26380,10,43,85,40,10,3,3,29,220,3,29,52,40,16,11,6,28,188,450,6788,17437,14676,9619,3721,794,1036,54524
CED144,56,240,3154,12417,6633,2095,572,719,25889,38,209,1069,941,175,24,9,68,2533,21,347,1348,2642,1653,242,54,178,6493,63,557,2421,3577,1829,266,66,249,9029,97,1219,8006,759,87,14,17,387,10590,35,386,4658,569,28,6,3,170,5850,6,152,1422,305,29,0,0,68,1982,0,16,19,17,4,0,0,4,57,140,1778,14113,1645,138,22,17,623,18477,3,48,128,100,36,9,0,20,339,5,36,72,46,36,8,7,190,388,264,2654,19887,17783,8676,2396,661,1804,54119
CED145,11,81,607,2815,3734,1847,470,180,9747,9,84,1127,1668,454,80,9,74,3512,17,160,1671,3602,2028,349,39,170,8031,24,241,2802,5270,2477,431,48,248,11540,111,1298,3084,1155,185,39,19,222,6107,407,2824,8053,2099,186,25,12,369,13975,1010,4105,6399,2345,129,14,18,395,14413,0,14,36,30,12,3,3,4,96,1528,8242,17576,5624,506,79,52,990,34594,11,181,236,140,27,5,0,19,618,7,41,80,67,31,18,8,60,319,1582,8788,21297,13912,6778,2377,581,1500,56820
CED146,63,290,1091,14622,18774,3708,716,997,40259,19,72,763,956,47,4,0,59,1923,9,210,931,2232,615,36,8,135,4176,29,287,1698,3185,666,41,9,192,6104,91,187,173,113,5,3,3,43,616,37,65,279,69,3,0,0,41,499,0,7,0,0,0,0,0,0,12,0,14,16,6,3,0,0,3,44,127,269,474,192,11,3,9,87,1168,0,21,19,14,12,0,0,7,81,25,88,38,29,43,7,0,71,299,242,948,3323,18052,19498,3763,731,1356,47915
CED147,53,438,3070,21632,15926,3142,631,913,45809,13,271,1734,1250,64,11,4,124,3465,3,160,759,1081,177,18,3,78,2277,24,424,2495,2329,247,28,4,198,5745,41,448,918,237,43,5,7,91,1794,0,3,17,14,0,0,0,0,38,0,0,0,0,0,0,0,0,3,0,10,11,6,3,0,0,3,26,42,462,950,257,42,9,7,95,1857,28,141,233,46,15,8,5,49,532,0,22,93,78,44,7,7,34,285,142,1484,6848,24346,16276,3188,650,1288,54222
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
