CED_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED142,6248,8250,14496,5615,5537,11150,9,8,21,561,585,1149,0,0,3,15091,15074,30165,14,13,29,1879,2024,3905,57,81,146,70,70,141,191,184,380,90,77,169,284,321,608,635,863,1499,1076,1118,2192,28,40,70,89,97,185,952,991,1942,1429,1763,3190,66,50,109,28138,28905,57044,1621,1180,2798,1731,1128,2858,860,834,1693,26,35,66,89,106,191,375,290,667,494,435,921,46471,40964,87440,652,473,1123,202,212,412,47335,41650,88980,17284,14100,31388,103705,96474,200181
CED143,874,1372,2246,11414,13482,24895,0,0,5,374,459,837,4,3,8,16411,19006,35417,21,25,51,995,1142,2139,114,150,268,70,74,142,219,326,542,205,206,414,252,284,529,426,532,953,1441,1742,3182,33,40,69,42,68,107,1316,1751,3072,952,1211,2168,29,58,84,34321,40561,74885,595,531,1122,350,279,628,338,365,701,3,3,9,88,82,169,177,260,438,268,349,613,26931,25305,52236,282,239,517,103,204,303,27321,25741,53056,6981,7103,14078,71036,76296,147333
CED144,3838,4940,8775,2837,3309,6145,12,25,40,659,763,1429,9,6,13,19549,21295,40847,48,62,109,6970,7179,14145,184,259,437,125,96,220,59,63,119,538,518,1059,333,378,706,627,726,1352,1462,1629,3094,82,103,187,124,149,275,964,1186,2150,1734,1880,3609,46,58,98,36358,39677,76034,3011,2681,5693,21898,19006,40900,45,35,86,5,16,23,275,238,513,274,262,540,554,515,1068,14194,12994,27185,115,82,192,74,75,146,14382,13149,27530,7527,7191,14718,87610,87194,174806
CED145,749,1191,1940,6907,8561,15467,8,11,16,133,169,306,3,0,3,13375,15906,29283,15,13,22,1743,2123,3862,61,70,134,17,26,40,155,211,367,38,43,82,138,173,310,180,262,443,950,1009,1952,10,20,35,32,36,67,583,759,1339,589,798,1385,33,40,66,24964,30215,55180,354,322,672,311,256,573,8704,9514,18214,7,3,9,36,44,77,137,173,307,174,214,394,24524,23614,48134,355,258,607,127,216,343,25007,24082,49089,9582,10304,19886,69848,76100,145949
CED146,6034,6818,12850,5302,6155,11458,995,1106,2101,957,980,1938,14,3,20,24224,25575,49802,50,50,97,4059,4125,8178,423,482,908,493,544,1042,66,93,164,694,723,1415,364,397,763,1260,1400,2664,753,865,1612,61,75,137,317,353,669,656,752,1408,2809,3021,5827,74,83,155,43570,46790,90364,4140,4276,8418,10960,10799,21760,10,11,21,0,4,9,305,274,576,1448,1524,2975,1756,1802,3562,10370,8621,18997,97,68,166,61,59,115,10528,8746,19273,7311,7349,14664,84312,86593,170909
CED147,498,754,1255,15187,18045,33230,0,0,0,581,713,1294,89,90,173,18938,21040,39981,87,115,208,2279,2209,4488,384,464,847,110,139,249,314,391,706,47,50,101,153,180,328,657,771,1432,1796,2173,3975,193,244,436,103,122,224,2420,3124,5541,2048,2224,4274,52,84,133,45452,52173,97625,284,272,552,958,941,1907,52,56,113,26,17,46,38,37,71,148,243,395,212,297,508,20201,17696,37900,207,172,380,97,145,243,20507,18020,38524,5969,5832,11799,73932,78347,152280
CED194,100,107,211,785,549,1339,4,0,8,44,37,79,0,0,0,912,731,1643,0,3,3,43,38,83,21,11,31,58,24,81,11,13,32,15,7,17,26,25,48,34,43,75,134,104,238,9,13,26,21,19,46,143,146,292,147,138,281,8,5,9,2419,1912,4328,73,48,122,150,70,222,17,10,24,11,7,17,13,3,14,31,26,60,54,39,91,2021,1415,3434,33,27,57,19,26,46,2073,1463,3537,2461,1286,3744,7351,4939,12288
CED197,3,10,17,32,37,69,0,0,0,7,0,5,0,0,0,47,71,120,0,0,0,4,6,13,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,3,5,15,0,0,0,0,0,3,7,7,18,3,3,5,0,0,0,104,143,249,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,48,85,0,0,0,0,0,0,40,49,88,20,36,60,171,239,412
CED201,2587,3030,5614,5576,6891,12469,3,4,9,1480,1760,3235,84,82,167,13987,15763,29747,190,232,421,1803,1793,3600,120,147,267,238,254,488,310,402,717,360,355,714,396,462,851,1262,1383,2644,1414,1621,3032,153,191,351,177,195,377,1904,2496,4394,2144,2565,4711,152,173,320,31758,36770,68528,1976,1905,3882,830,849,1676,63,83,147,3,0,3,416,381,797,297,348,643,712,726,1444,23127,21096,44226,178,153,336,82,106,184,23393,21360,44751,5052,4923,9981,66363,69652,136018
CED202,475,710,1192,7622,9447,17071,0,0,0,638,748,1381,108,92,200,17855,20079,37939,445,617,1067,441,386,820,171,230,400,84,100,182,358,471,826,27,22,46,167,200,368,434,498,932,1880,2204,4090,219,273,490,109,172,279,4116,5403,9517,1326,1529,2853,35,44,80,36032,42518,78553,429,357,783,299,209,512,45,39,85,19,18,34,176,153,327,213,315,528,410,477,889,29522,27592,57117,257,229,487,96,173,275,29879,27999,57879,7333,7265,14596,74900,79575,154483
CED203,2018,2582,4606,2660,3573,6229,34,41,74,357,453,817,3,3,4,17686,20653,38344,50,101,153,7073,7556,14625,109,186,293,54,39,92,118,179,298,117,121,244,180,203,384,279,355,632,573,689,1257,77,111,193,34,47,77,798,1145,1944,1437,1722,3164,32,40,80,31691,37219,68905,2472,1832,4304,3748,3247,6990,132,154,283,10,19,26,723,520,1247,229,291,523,960,832,1795,28762,28968,57730,395,340,740,131,215,350,29290,29531,58820,8131,8135,16264,78431,83533,161964
CED204,638,806,1440,8643,10561,19203,0,0,0,1308,1458,2765,171,160,336,14838,16476,31318,137,164,306,302,268,574,140,184,324,92,111,203,252,296,554,46,46,93,139,148,290,549,675,1218,1543,1816,3363,128,196,321,103,126,223,4082,5470,9557,1485,1682,3167,31,35,73,34006,39873,73880,289,288,583,261,243,499,30,55,92,5,12,21,127,100,225,170,308,485,305,421,726,29234,27356,56586,251,223,472,113,172,285,29591,27753,57341,8256,7609,15867,73379,77047,150431
CED205,6230,6992,13218,3599,4448,8046,6,9,10,1161,1386,2546,14,13,27,14580,15813,30397,157,172,331,4619,4837,9456,127,183,312,153,176,329,186,230,414,541,593,1135,399,461,865,902,1085,1988,1204,1389,2588,86,114,199,176,188,363,1544,2168,3716,2229,2446,4672,59,49,105,31731,35759,67493,5122,4443,9560,7083,5462,12540,122,118,246,0,4,8,2087,1471,3556,367,387,755,2460,1866,4321,19184,16711,35895,177,129,306,88,82,170,19444,16926,36374,6860,6397,13253,79055,77956,157011
CED206,2089,2394,4484,3147,3866,7007,856,903,1755,438,479,912,5,6,11,27445,28778,56225,48,64,105,4418,4435,8851,227,245,474,228,273,505,122,151,269,612,607,1221,288,312,607,650,687,1335,681,786,1461,86,123,216,99,113,205,952,1234,2184,2257,2344,4596,39,51,93,42592,45445,88041,1899,1739,3638,14881,14439,29320,11,12,27,8,6,13,1499,1201,2698,183,208,394,1689,1410,3104,11984,10343,22326,115,95,212,54,63,117,12154,10504,22659,7245,6892,14137,82569,82835,165406
CED207,594,885,1477,7209,8738,15952,0,0,0,1772,1985,3759,129,125,251,12856,14281,27140,253,291,542,545,555,1104,202,247,447,179,198,378,402,478,883,21,25,50,255,301,558,770,915,1680,1513,1887,3399,165,207,368,418,488,914,2143,2934,5079,2626,2997,5628,155,187,344,31617,36857,68474,327,324,651,185,155,342,60,43,106,9,4,13,127,113,243,231,370,602,361,496,856,30516,27289,57807,313,243,557,109,212,318,30944,27739,58682,6120,6057,12175,70203,72559,142766
CED208,4468,5270,9743,4434,5760,10192,5,4,10,1366,1778,3144,5,12,16,13935,16175,30109,158,194,354,4661,4983,9637,88,124,213,88,86,174,231,351,584,169,196,371,364,487,854,579,742,1320,1286,1585,2878,132,234,365,87,116,199,2100,2963,5061,1744,2174,3921,65,85,150,31502,38041,69540,3270,2706,5978,1772,1436,3212,238,259,498,4,0,9,617,454,1070,316,334,647,936,787,1728,30406,28703,59117,219,197,412,102,131,232,30729,29033,59757,7009,6962,13972,79930,84500,164433
CED209,550,678,1224,7892,9815,17706,0,0,0,1310,1444,2756,35,38,80,16648,18413,35057,108,143,249,535,541,1078,166,206,373,34,39,75,555,657,1209,29,29,55,130,189,320,493,531,1020,2215,2439,4654,158,184,338,76,79,157,4116,5650,9764,1522,1810,3327,48,58,101,36066,42254,78323,515,313,826,513,328,843,33,43,69,6,5,12,168,149,316,171,208,374,348,356,699,29623,26877,56506,236,201,440,113,180,291,29967,27262,57231,6918,6596,13517,74915,77827,152740
CED210,628,892,1522,6909,8754,15666,0,0,0,1223,1453,2675,51,36,85,18590,21206,39799,101,129,226,1498,1504,2994,197,270,467,103,129,232,465,604,1070,26,21,45,164,219,383,365,445,811,1989,2402,4389,151,208,355,80,116,200,2858,3895,6754,1810,2139,3948,51,80,134,36626,43605,80233,541,427,966,1029,850,1877,42,32,71,4,7,7,235,202,439,167,225,396,407,431,840,25143,23497,48637,272,169,437,111,140,249,25529,23805,49328,7990,7079,15069,72793,77125,149914
CED211,2140,2642,4780,5644,7404,13052,3,0,3,2665,2979,5644,10,11,23,12958,15007,27957,358,457,817,1513,1628,3143,96,122,219,134,151,281,463,545,1005,146,125,268,374,422,796,819,998,1822,1340,1630,2971,223,311,532,254,333,589,2361,3362,5728,2392,2968,5359,178,232,408,31916,38701,70616,1655,1510,3163,846,710,1558,60,90,151,5,4,12,606,506,1112,311,380,693,926,899,1816,27132,25271,52410,292,228,518,100,161,263,27526,25662,53192,5688,5793,11489,70760,76001,146767
CED212,562,893,1454,8922,11385,20307,0,0,0,756,982,1740,5,4,9,13765,16061,29822,112,150,260,1217,1173,2390,177,218,397,216,247,462,233,300,536,98,92,184,200,231,435,544,643,1186,1777,2117,3890,78,127,210,83,74,156,1911,2708,4620,1714,2034,3746,68,90,155,31868,38629,70496,338,356,689,280,250,525,131,126,253,0,3,3,95,62,150,243,327,570,339,388,726,29846,27721,57566,264,239,500,129,216,348,30240,28177,58416,6919,6888,13808,70672,75708,146381
CED213,480,746,1228,10908,13472,24386,7,0,6,898,1099,1996,0,0,3,14612,16126,30739,115,153,267,993,877,1870,240,310,553,160,170,331,214,262,470,33,28,57,151,214,365,367,430,802,2025,2339,4368,134,170,303,49,57,103,2450,3328,5779,1469,1672,3147,53,57,111,34876,40770,75647,134,136,268,132,128,255,87,77,160,4,0,3,50,45,91,160,254,411,214,298,511,31452,28572,60026,244,201,442,114,221,333,31811,28988,60800,7317,7305,14625,75055,78445,153498
CED214,3873,4870,8745,3740,4857,8596,3,0,3,922,945,1865,0,0,3,18727,21181,39904,84,78,165,4623,4877,9501,173,192,367,112,110,220,225,305,532,292,280,567,334,372,703,567,583,1148,911,1112,2017,68,91,158,97,104,199,1162,1543,2706,1751,1962,3718,34,39,80,33815,38623,72445,2872,1779,4647,4933,3669,8608,68,89,156,3,0,3,677,500,1178,211,257,467,891,760,1647,27890,25442,53329,286,231,522,112,154,267,28291,25827,54121,7969,7536,15510,82718,83151,165873
CED215,439,588,1029,11005,12924,23930,0,0,0,744,860,1602,91,108,202,13670,15359,29032,34,58,93,401,379,779,244,320,564,94,99,192,250,289,534,29,26,56,151,162,305,489,600,1092,2208,2365,4570,166,226,392,118,166,282,2979,3841,6822,1331,1550,2880,44,61,105,34036,39393,73426,264,209,473,215,186,400,21,29,50,3,7,13,85,56,136,140,250,391,231,313,543,26521,23528,50049,234,222,457,79,136,217,26836,23887,50724,8646,7733,16382,70685,72339,143033
CED216,865,1312,2176,7561,9688,17254,0,0,4,407,483,892,7,3,8,14112,16956,31070,45,62,108,3034,3360,6397,58,74,134,28,41,70,233,320,551,96,97,200,170,192,365,152,202,350,1133,1272,2403,23,44,62,28,34,59,1823,2549,4380,839,1093,1936,53,55,103,29807,36516,66321,1386,1180,2566,379,340,718,4801,5182,9981,0,0,0,161,101,271,175,190,368,339,297,631,26201,25107,51309,217,179,399,102,179,283,26522,25467,51993,6531,6712,13237,70625,76996,147627
CED217,4935,5917,10854,4692,5625,10321,26,34,61,1096,1190,2290,91,70,158,30223,32461,62687,89,95,184,4662,4738,9402,411,509,922,416,444,859,232,281,512,912,945,1855,498,544,1043,1420,1578,2996,1019,1145,2168,83,135,218,298,336,632,1348,1678,3030,3575,3804,7381,68,68,134,51163,55683,106846,2707,2606,5313,4834,4597,9432,31,31,63,3,4,10,2085,1712,3795,236,287,526,2332,2000,4332,20656,18784,39448,179,122,302,82,133,218,20923,19042,39964,9287,8597,17887,96210,98479,194692
CED218,1608,2246,3855,6854,8618,15471,0,7,7,502,615,1120,0,5,6,13190,16001,29188,49,66,118,3690,4079,7767,95,124,217,44,43,84,182,288,468,109,111,219,207,211,417,228,335,571,1048,1158,2207,22,42,64,29,45,77,1674,2290,3958,867,1181,2049,39,59,102,28832,35271,64106,2715,2337,5051,811,734,1549,2753,3047,5802,0,0,0,178,138,316,210,218,429,384,358,742,28535,27978,56515,313,262,571,113,164,284,28958,28408,57365,7685,7784,15471,73754,80188,153942
CED219,4955,5394,10343,6063,7186,13246,10,7,14,1231,1420,2651,21,19,40,22341,23981,46323,119,121,244,2950,2918,5863,265,332,597,630,698,1333,216,225,438,643,703,1343,552,613,1164,2011,2168,4185,1659,2000,3658,112,164,278,454,487,938,1571,1943,3508,3686,3950,7628,73,99,169,44593,49025,93616,5239,4805,10040,9956,8856,18820,72,86,156,7,3,9,2898,2559,5451,372,380,756,3270,2946,6215,22955,20373,43335,210,163,374,97,112,213,23262,20653,43918,8578,8173,16759,99928,99939,199864
CED220,6336,7545,13876,4032,5140,9173,6,3,5,557,633,1190,3,5,8,16238,17973,34211,110,141,254,6011,6418,12425,177,231,411,121,111,227,165,189,353,212,221,438,221,237,462,491,529,1013,928,1212,2142,40,56,99,109,144,251,1307,1752,3066,1374,1625,3000,69,58,129,32174,36674,68852,2700,2232,4929,2035,1697,3734,1980,2033,4009,0,3,3,1525,1086,2615,255,285,534,1781,1367,3156,20937,18765,39699,182,159,338,88,98,184,21203,19019,40223,6256,6249,12507,74463,76814,151282
CED221,396,571,969,10281,12035,22314,0,0,0,836,954,1791,56,43,102,15390,16784,32175,73,97,162,269,243,511,265,346,614,67,94,156,598,696,1294,15,18,31,271,295,567,503,582,1088,2153,2317,4473,149,211,366,129,164,294,3415,4406,7825,1492,1717,3210,36,46,81,35994,41059,77049,306,286,595,166,110,283,28,38,70,8,3,8,99,81,185,145,235,378,255,321,579,24094,21388,45485,227,188,418,92,127,218,24417,21711,46126,7433,7083,14514,69002,71186,140183
CED222,3804,4649,8455,6375,7926,14302,0,0,3,699,768,1467,7,7,16,18071,20225,38290,90,152,248,2663,2762,5420,210,266,472,202,222,424,213,239,453,143,163,308,246,284,523,600,773,1372,1313,1566,2876,67,108,171,139,171,306,1524,2046,3571,1697,2026,3724,61,60,130,34321,39764,74084,2006,1845,3856,4137,3440,7580,258,291,555,0,0,6,792,603,1392,227,274,499,1017,874,1897,25122,22832,47948,178,154,330,101,183,285,25393,23168,48559,6849,6826,13671,77790,80861,158654
CED223,893,1227,2120,5889,7242,13128,0,3,6,820,1041,1865,122,131,255,16941,19297,36239,76,109,181,2516,2643,5157,75,112,187,71,65,133,283,339,621,115,126,240,189,217,409,425,532,957,1119,1303,2422,113,137,242,46,54,94,1707,2422,4127,1297,1600,2897,40,52,92,31835,37416,69251,838,740,1578,1343,1299,2649,83,92,174,0,3,4,155,140,293,184,280,464,337,418,758,27166,25117,52283,274,224,495,119,198,310,27558,25534,53093,5771,5913,11685,68661,72644,141301
CED224,2060,2852,4911,6204,7593,13790,4,3,3,969,1178,2149,3,6,11,14339,16908,31249,72,110,182,3036,3328,6363,37,56,94,25,44,65,217,314,531,112,135,244,247,299,541,401,507,908,988,1276,2262,65,86,146,35,39,75,1969,2825,4794,1125,1468,2594,31,37,64,29867,36214,66083,2037,1692,3725,926,768,1698,543,596,1138,0,6,6,185,157,339,219,264,480,400,418,821,26807,26411,53215,293,257,552,83,141,224,27190,26808,53996,6407,6616,13027,69428,75971,145399
CED225,1959,2182,4141,7417,8848,16262,3,3,3,1218,1424,2646,108,102,211,16863,18121,34990,178,219,396,1174,1230,2403,195,257,448,188,207,399,260,367,627,275,238,511,249,270,515,1012,1188,2204,1375,1687,3067,98,142,242,257,280,533,1932,2647,4580,2541,2891,5428,108,125,234,35454,40257,75709,1484,1381,2868,1830,1766,3598,98,107,199,4,3,3,562,498,1060,258,370,631,829,868,1693,29339,26115,55453,292,217,512,122,204,329,29756,26535,56289,6398,6064,12460,77806,79156,156965
CED226,2951,3450,6404,7063,8337,15400,3,3,3,2318,2455,4776,83,86,168,26740,29074,55812,154,178,335,2929,2891,5822,339,419,758,429,487,917,462,519,977,474,475,949,764,848,1613,1571,1820,3394,1539,1850,3393,144,205,348,208,235,440,1873,2255,4134,3607,3903,7508,123,161,282,50836,56194,107025,10200,9366,19567,8575,8195,16768,67,49,114,9,5,10,4277,3501,7779,418,505,921,4704,4011,8717,28080,24970,53048,236,178,411,112,150,264,28434,25289,53722,10561,9101,19655,116323,115662,231979
CED227,562,676,1238,7984,9271,17255,0,0,0,647,647,1299,157,155,312,13790,14783,28570,400,538,941,426,389,818,113,173,285,126,153,280,1918,2171,4087,29,23,52,225,209,439,620,740,1361,1791,1896,3682,210,299,513,199,251,447,6892,8332,15222,1222,1435,2659,64,71,131,36808,41553,78361,286,231,521,847,571,1414,18,18,35,21,19,40,236,201,435,96,139,236,348,353,703,22201,19338,41540,140,103,241,48,77,128,22391,19519,41914,7375,7034,14412,68643,69947,138592
CED228,6116,7613,13730,3067,3749,6812,24,22,50,928,1017,1944,3,4,4,27644,30613,58256,54,73,131,4148,4418,8560,177,239,416,130,122,251,146,242,392,364,377,742,300,324,619,640,753,1398,715,889,1599,45,53,101,79,97,179,1147,1558,2713,1834,2107,3939,35,34,70,41484,46695,88179,2535,1880,4409,3167,2223,5394,43,37,79,3,0,7,1499,1001,2498,190,189,379,1694,1198,2885,19071,17206,36271,176,138,316,67,96,161,19311,17438,36745,7534,7459,14991,81884,84532,166417
CED229,1509,1896,3402,9548,11440,20987,202,179,380,810,899,1708,101,110,209,29327,31171,60497,116,156,264,3077,3167,6245,283,310,594,342,392,743,281,346,623,298,297,594,282,324,605,1012,1105,2116,1881,2069,3948,160,206,361,167,193,363,2673,3492,6167,2686,2951,5640,36,53,84,53278,58858,112131,2640,2315,4953,3451,3368,6826,47,53,95,6,7,20,2173,1856,4026,302,387,685,2485,2248,4732,31375,28384,59757,243,210,450,128,152,278,31744,28748,60488,9033,8867,17904,104184,106345,210531
CED230,755,938,1697,10760,13025,23784,0,0,3,1152,1308,2455,98,127,233,16274,18278,34554,113,143,256,534,555,1087,345,432,776,235,243,477,258,316,570,80,79,162,361,424,782,740,871,1609,2451,2918,5372,250,359,607,230,285,509,3309,4334,7643,2203,2569,4779,66,75,139,39461,46344,85803,556,499,1060,464,442,902,35,39,72,3,3,3,419,343,761,187,339,524,604,680,1292,30975,28465,59442,296,249,543,94,169,266,31369,28885,60254,8144,8104,16252,81396,85928,167328
CED231,5206,7082,12288,3684,4488,8173,9,9,20,598,695,1292,9,4,8,14665,16965,31627,52,69,125,2140,2361,4496,62,89,149,39,50,96,194,285,483,278,344,625,318,403,724,541,754,1295,866,1005,1879,39,67,106,45,50,94,1126,1482,2610,1466,2004,3468,45,67,109,26187,31188,57378,3119,2384,5498,4208,4249,8461,325,349,679,11,4,13,160,144,297,337,361,700,503,503,1011,46619,47390,94009,582,453,1033,150,182,332,47352,48028,95382,14224,13672,27901,101128,107465,208593
CED232,1460,2144,3606,4587,5398,9987,4,6,6,362,408,770,0,3,8,11703,13757,25464,30,34,60,2529,2776,5311,73,99,172,35,45,79,185,267,449,80,72,149,182,231,411,274,339,615,742,858,1603,15,24,42,26,43,73,951,1237,2188,871,1209,2078,48,34,84,22703,26847,49546,2111,1593,3701,955,891,1841,7646,8255,15899,4,7,10,136,115,246,247,248,499,381,371,748,31659,30687,62351,404,329,733,154,230,387,32224,31249,63467,10955,10933,21884,78431,82272,160699
CED233,2139,2774,4908,4815,6035,10852,4,3,4,1528,1851,3379,9,6,21,14717,16390,31113,164,210,376,5096,5427,10525,80,119,194,80,74,152,403,492,899,396,405,800,437,489,931,849,910,1760,1207,1445,2652,97,112,213,93,109,200,1768,2427,4198,1841,2150,3995,59,73,132,33645,38730,72382,918,922,1836,1372,1300,2670,174,191,369,3,3,3,333,301,636,333,389,726,666,698,1364,22497,20725,43223,161,114,278,80,102,182,22737,20945,43682,5104,5219,10317,66759,70776,137535
CED234,403,547,956,9713,11003,20719,0,0,0,544,650,1194,102,83,188,17429,18689,36125,164,207,368,519,497,1017,138,198,343,116,148,258,206,280,488,38,22,57,138,177,316,739,813,1557,2672,2970,5639,162,249,412,92,93,187,4912,5910,10819,1239,1385,2620,45,40,81,38981,43414,82387,369,331,701,2019,1794,3811,9,15,28,9,12,21,523,429,951,114,208,321,649,646,1293,21462,18857,40318,157,124,278,72,100,173,21694,19078,40768,8022,7398,15423,72140,73227,145366
CED235,2671,3185,5856,3882,4708,8587,63,63,123,581,673,1256,100,121,223,22460,24666,47129,42,63,96,8625,8809,17430,174,215,390,120,141,258,158,169,327,457,423,878,225,269,499,663,777,1437,990,1066,2053,110,178,287,99,146,248,1071,1376,2440,3028,3198,6229,41,31,69,42870,47095,89957,3508,3027,6533,6797,6380,13178,32,21,50,0,7,6,2670,2264,4934,246,302,545,2913,2569,5489,17796,15783,33581,158,111,265,56,105,162,18011,15995,34008,6487,6414,12905,83288,84680,167966
CED236,301,420,719,7421,8796,16219,0,3,5,759,849,1607,75,87,160,14692,16425,31111,172,207,380,152,147,298,169,243,411,34,48,83,1177,1298,2478,14,12,26,117,136,258,342,441,784,3535,3686,7221,195,283,472,68,125,191,4841,5858,10695,1167,1237,2400,23,25,52,34962,39887,74853,143,125,269,130,110,236,22,31,52,13,20,28,38,39,81,145,190,332,192,248,436,22593,19517,42104,165,120,285,77,102,177,22831,19731,42566,7949,6689,14637,66534,67237,133772
CED237,1518,2003,3526,2774,3673,6442,82,79,160,367,463,830,3,3,6,21474,24522,45999,42,47,91,5190,5580,10773,145,199,345,100,87,184,167,195,357,163,142,305,176,220,398,261,346,600,581,707,1292,64,69,139,19,31,54,876,1290,2168,1024,1273,2296,35,27,62,33540,38952,72497,2730,2132,4859,8699,7348,16048,102,130,234,4,12,13,488,309,796,241,308,547,733,630,1360,27276,27287,54558,409,356,764,110,170,282,27791,27809,55604,7795,7731,15526,82916,86728,169649
CED294,77,76,156,216,206,416,0,0,3,29,32,62,3,0,3,508,440,947,3,4,11,44,42,90,10,8,14,12,9,20,10,16,23,8,0,8,22,12,27,30,38,69,64,56,122,7,3,9,11,10,19,66,58,125,82,73,149,0,0,0,1125,999,2129,66,35,99,137,113,247,10,6,15,3,0,4,13,6,19,13,20,35,24,28,54,1410,1106,2512,23,17,46,9,18,34,1441,1142,2591,1451,838,2289,4331,3238,7565
CED297,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,3,0,3,28,4,29
CED301,534,741,1281,11721,12928,24648,0,0,0,1719,1781,3496,99,95,192,14344,15754,30102,242,314,555,208,227,433,390,480,870,763,866,1626,1654,1846,3501,28,28,57,423,483,903,1244,1484,2726,2114,2290,4402,305,414,719,312,369,682,4222,4982,9210,2546,2758,5306,438,509,952,42774,47597,90374,521,439,961,325,285,606,23,46,69,18,25,42,99,86,186,227,400,633,347,512,853,24274,21505,45781,265,220,484,96,144,244,24639,21879,46511,8163,7499,15659,77326,78993,156319
CED302,1304,1714,3017,9035,10478,19509,3,0,3,1675,1905,3584,159,188,356,16635,18778,35416,59,80,141,1770,1801,3568,280,331,606,252,249,498,543,669,1213,44,42,85,371,415,788,1386,1648,3039,2027,2311,4345,168,209,377,310,370,686,2914,4084,6994,2104,2401,4502,130,145,277,39871,46110,85984,1337,1311,2648,997,972,1964,89,90,172,9,9,13,426,353,782,194,286,483,634,651,1279,22165,19975,42134,252,187,430,118,158,278,22531,20317,42850,5976,5740,11715,72732,76897,149636
CED303,504,805,1307,12150,14177,26325,0,3,4,1934,2194,4125,39,39,76,14736,16345,31081,111,119,234,511,562,1066,317,389,710,349,369,719,741,941,1685,18,9,26,326,366,696,886,1018,1902,2379,2547,4923,190,252,441,173,243,415,3960,4959,8927,2033,2290,4321,219,233,449,41070,47069,88137,310,322,633,214,200,406,57,52,106,12,10,22,149,148,301,180,302,478,339,458,800,23444,20349,43798,260,203,464,115,156,268,23818,20714,44527,5684,5415,11102,71985,75022,147010
