CED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED101,13346,2496,1839,23,28,17731,10683,3332,2741,30,33,16821,3060,1582,5083,151,47,9923,1043,900,1660,0,0,3604,960,323,801,47,26,2152,73,118,179,0,0,378,103,65,67,16,0,255,117,31,60,3,0,214,5364,3020,7853,215,76,16526,151,69,142,4,0,367,692,236,376,9,11,1320,30239,9150,12944,284,144,52765
CED102,12902,1705,2809,73,13,17511,8971,2067,5694,36,29,16790,2968,1253,11361,196,70,15861,264,288,820,3,4,1376,1170,342,1782,65,27,3388,85,84,147,0,5,322,140,46,182,26,9,398,120,30,92,3,6,256,4746,2052,14387,300,122,21602,157,49,159,6,8,375,789,171,695,19,59,1734,27561,6034,23749,438,235,58015
CED103,13378,2190,2277,22,36,17904,11029,2780,3805,14,42,17675,3030,2224,9326,78,63,14725,523,735,741,0,0,2000,1321,481,1397,22,25,3243,42,159,188,0,12,407,213,212,104,7,11,542,120,40,70,0,0,228,5258,3852,11824,97,113,21149,166,135,234,4,19,563,598,215,433,5,44,1301,30427,9182,18579,146,260,58587
CED104,16567,1108,503,69,34,18281,17486,1251,369,23,33,19157,2947,692,554,28,37,4253,79,203,61,0,0,344,1108,143,108,12,20,1389,46,78,205,0,6,333,111,30,10,25,6,177,131,12,15,3,3,164,4414,1159,944,69,69,6667,240,390,362,3,3,996,617,85,105,13,41,853,39324,3989,2285,175,178,45955
CED105,11392,1209,1374,46,14,14033,9386,2339,2557,60,36,14375,3575,1457,5416,123,58,10623,1580,1004,1787,7,13,4392,1853,465,831,45,35,3228,101,182,224,0,0,506,427,90,163,16,7,699,192,28,63,6,7,293,7715,3226,8488,187,120,19734,165,56,102,3,3,327,1025,255,546,14,52,1891,29689,7081,13063,313,225,50367
CED106,15242,1264,3641,4,24,20176,14125,593,4195,4,17,18927,2660,388,6567,24,21,9660,29,10,275,0,0,313,971,113,1097,10,19,2210,52,26,234,0,9,322,99,17,145,5,6,274,101,15,74,0,5,199,3912,569,8392,42,58,12971,163,36,391,0,3,588,504,81,347,0,20,951,33949,2537,16968,49,122,53619
CED107,19369,683,183,367,116,20717,17816,331,99,239,93,18586,6696,1757,853,76,46,9422,1481,475,227,0,0,2182,2860,263,123,58,41,3340,144,91,64,0,67,370,443,33,22,43,23,572,336,32,25,17,12,421,11962,2656,1315,193,185,16309,282,55,26,14,28,407,1362,171,82,57,142,1824,50786,3898,1703,881,566,57831
CED108,10177,531,107,122,14,10948,16664,2027,222,35,34,18987,6920,1813,1029,47,46,9859,3908,1234,588,4,7,5737,1876,316,110,24,26,2350,130,84,34,0,4,248,214,53,20,34,8,331,169,18,18,0,3,208,13222,3515,1786,112,89,18723,245,61,25,5,3,345,1223,213,104,7,29,1584,41540,6341,2248,286,164,50580
CED109,12748,3399,2999,83,27,19250,11073,2383,3252,23,35,16766,2062,1354,5824,87,36,9363,119,411,582,0,3,1120,655,296,828,29,22,1841,29,82,121,0,0,234,71,161,31,26,0,282,82,25,70,5,0,183,3023,2330,7457,149,62,13016,115,73,240,0,0,430,574,239,386,19,20,1234,27535,8428,14327,269,147,50704
CED110,20259,1978,1356,734,160,24489,14429,938,574,46,99,16097,5430,2035,2706,50,80,10298,1200,638,631,0,3,2476,2734,499,510,64,63,3873,254,203,104,3,3,572,290,80,76,182,34,666,268,33,52,14,13,381,10181,3485,4086,309,198,18266,372,231,208,11,14,839,1135,305,321,74,87,1918,46378,6947,6547,1174,555,61604
CED111,15435,1711,2012,184,104,19449,13662,1439,1679,34,49,16859,3256,2027,5025,99,53,10459,1362,1397,1347,7,4,4113,1366,519,901,36,22,2844,68,112,122,3,0,300,114,51,96,40,7,306,131,48,83,10,6,273,6291,4146,7573,189,98,18293,151,205,167,14,35,566,814,245,397,19,123,1601,36357,7739,11821,443,408,56765
CED112,14464,2209,901,157,40,17777,17894,961,320,66,30,19269,6566,1773,1259,48,42,9684,721,773,350,3,3,1846,2162,331,220,33,20,2762,100,176,89,0,4,372,234,62,36,127,19,482,174,47,26,3,3,251,9952,3159,1986,209,94,15396,194,493,109,4,10,816,1071,368,174,38,74,1725,43577,7194,3496,472,246,54982
CED113,18226,1130,439,329,160,20286,16994,1045,530,90,132,18792,3462,1621,1839,52,38,7015,950,259,126,3,3,1336,2591,460,392,50,61,3550,129,130,58,0,3,325,719,82,81,58,61,993,327,34,16,15,21,415,8176,2590,2514,175,181,13632,290,109,35,14,19,465,1145,213,154,52,68,1626,44839,5079,3664,660,556,54799
CED114,20479,791,334,372,95,22067,17378,428,131,56,74,18076,5608,2326,1422,55,46,9457,1121,224,119,0,15,1490,3483,372,244,56,43,4200,225,111,90,0,9,441,1000,71,123,123,32,1345,472,28,35,14,3,554,11913,3130,2035,254,151,17487,493,74,19,29,11,628,1590,204,182,62,36,2078,51859,4633,2698,773,367,60325
CED115,12073,905,1322,43,9,14353,10011,1474,1884,64,21,13455,3779,1370,5459,99,54,10762,1425,1460,992,9,6,3896,1523,320,624,19,24,2517,101,148,121,3,0,382,360,69,145,5,9,587,148,30,89,3,3,267,7338,3393,7426,143,100,18407,187,69,71,3,0,329,959,247,441,19,40,1698,30568,6088,11149,273,172,48247
CED116,22768,1366,564,834,153,25679,14674,497,179,55,79,15484,5287,1328,804,39,37,7488,1018,434,231,4,6,1689,2728,273,228,52,36,3325,207,121,79,0,8,419,496,23,26,169,43,755,273,32,20,12,6,349,10010,2215,1386,274,133,14019,352,210,159,18,16,744,1313,153,141,81,47,1738,49112,4440,2431,1263,423,57667
CED117,5643,5762,2402,96,44,13945,4534,7579,4091,119,48,16378,1735,4491,11668,504,130,18533,113,449,1100,0,10,1676,601,1128,1754,185,63,3726,66,72,255,0,3,400,31,70,118,21,11,258,49,57,132,14,0,252,2591,6280,15024,725,218,24836,70,97,100,0,4,276,306,406,597,46,79,1428,13148,20121,22216,996,387,56867
CED118,10254,1655,157,12,14,12090,17473,5432,772,24,53,23750,5823,2311,1624,40,63,9862,778,851,408,0,0,2040,1388,400,164,24,17,1994,80,107,47,0,0,238,198,57,22,14,5,299,117,40,20,3,0,181,8392,3765,2283,83,88,14621,157,66,14,0,0,236,917,198,121,48,35,1318,37187,11113,3345,176,198,52020
CED119,14183,1455,1001,36,15,16691,17530,2025,1438,30,27,21055,2389,977,1899,46,21,5340,230,385,301,0,0,914,713,211,267,5,10,1201,47,50,88,0,3,186,403,51,10,69,5,543,79,11,11,3,0,109,3860,1686,2584,124,35,8291,111,38,130,0,3,277,564,127,141,10,26,878,36256,5327,5293,208,112,47189
CED120,15495,744,105,132,69,16541,21398,419,59,62,47,21986,4722,735,353,29,32,5869,713,167,101,0,0,981,1890,148,60,36,19,2153,99,96,19,4,0,226,328,19,4,80,24,454,246,22,8,8,3,286,8007,1182,546,150,82,9962,270,245,25,5,7,544,1062,133,29,31,22,1279,46231,2718,758,381,225,50315
CED121,17138,1042,218,187,57,18641,19498,332,66,22,57,19980,6883,1420,432,40,57,8831,1317,543,181,3,0,2041,2366,176,69,24,17,2657,121,166,47,3,4,347,400,55,14,123,25,617,239,32,12,8,3,284,11328,2389,752,200,103,14775,319,326,66,3,3,715,1132,219,60,38,45,1502,49414,4313,1162,457,273,55614
CED122,8627,2621,4619,52,27,15938,5860,3218,5981,67,47,15175,1680,1618,15882,237,73,19482,217,984,3220,0,3,4428,693,445,2806,84,36,4062,65,41,312,4,0,423,75,128,353,8,3,572,63,33,186,3,0,284,2795,3260,22756,330,114,29266,113,54,279,3,0,443,444,248,1212,19,63,1982,17847,9402,34843,467,252,62803
CED123,12412,1106,260,101,27,13904,19207,1793,482,17,43,21539,7061,2662,2009,47,80,11861,1092,917,533,3,0,2538,1816,371,183,12,37,2409,95,128,115,0,3,340,209,39,23,4,6,286,149,27,21,0,3,203,10422,4146,2876,64,131,17640,191,60,22,0,3,276,970,314,137,19,29,1469,43198,7418,3782,200,226,54820
CED124,22314,1823,552,795,121,25608,14863,351,176,90,72,15555,4697,1176,1322,98,57,7351,578,221,290,3,5,1099,2484,266,217,60,28,3051,143,133,93,0,5,377,261,45,29,200,19,552,302,23,24,13,9,366,8475,1864,1974,373,116,12796,409,239,36,11,13,715,1279,211,130,97,39,1746,47346,4489,2867,1365,360,56417
CED125,11010,823,289,26,23,12166,19595,1399,320,23,27,21364,6398,1665,1016,27,34,9134,2031,1677,170,0,6,3884,1561,278,82,7,9,1932,96,112,39,0,0,244,173,29,19,3,3,219,141,21,8,0,4,177,10400,3775,1328,34,52,15595,218,132,138,0,8,500,926,248,82,8,15,1281,42155,6373,2166,95,119,50901
CED126,13700,1698,3093,118,42,18652,14375,1028,3267,35,31,18741,2326,474,4411,66,61,7339,123,275,183,0,0,587,1108,199,968,35,43,2354,30,100,112,0,0,243,70,71,58,23,9,236,90,27,64,3,6,197,3751,1147,5796,127,129,10950,164,450,510,3,8,1124,659,205,454,20,27,1367,32655,4522,13114,304,239,50828
CED127,16665,863,131,47,65,17766,19475,531,89,32,58,20184,4589,1158,519,30,47,6342,630,370,97,0,3,1095,1788,195,87,12,30,2106,116,128,53,3,4,305,234,45,12,59,18,373,164,20,9,3,6,209,7525,1918,772,111,110,10437,241,157,27,0,0,425,867,123,51,19,40,1108,44766,3596,1069,209,279,49918
CED128,13345,979,528,89,19,14951,13998,1890,1186,58,29,17163,4964,1574,3560,62,85,10249,517,830,998,0,0,2349,1674,307,320,32,25,2357,70,136,176,4,0,393,303,68,81,48,12,505,148,34,47,4,3,235,7666,2967,5181,151,135,16092,186,82,39,4,0,309,985,196,259,21,38,1496,36175,6106,7202,311,216,50016
CED129,13709,1280,763,3,17,15772,18637,2474,716,3,23,21855,3865,1601,1267,3,25,6765,98,126,31,0,4,257,891,253,164,0,14,1318,32,68,68,0,3,169,127,70,12,0,7,217,74,19,12,0,7,113,5076,2142,1558,7,52,8835,130,82,377,0,0,589,560,108,122,3,19,811,38110,6080,3537,15,111,47861
CED130,20062,384,126,271,149,20992,15800,171,56,97,98,16223,6291,1708,951,93,62,9094,1099,302,296,105,13,1810,3473,204,169,41,53,3943,246,97,113,4,34,495,945,41,42,88,30,1139,561,37,21,12,14,645,12611,2381,1584,347,197,17129,422,33,11,11,15,496,1441,172,108,49,46,1810,50339,3144,1891,780,501,56655
CED131,14679,1869,820,38,37,17448,16233,1544,837,19,30,18669,6052,2931,3128,94,79,12289,648,1253,1469,10,17,3393,2555,706,754,24,42,4074,107,179,117,0,8,415,241,90,75,6,7,418,149,50,53,0,0,259,9746,5206,5603,129,153,20841,216,95,45,0,8,370,923,249,292,13,41,1514,41795,8963,7604,209,268,58846
CED132,9626,2403,6105,12,36,18178,7819,2201,6921,6,26,16973,1799,1618,16140,72,55,19678,31,104,1082,0,3,1226,671,469,2671,30,21,3863,22,27,198,0,0,246,48,32,173,8,30,295,79,28,153,0,4,264,2648,2287,20416,111,115,25570,112,30,371,3,3,508,350,138,704,12,25,1237,20558,7053,34516,146,200,62469
CED133,21948,1069,384,903,117,24429,16704,439,170,181,74,17566,5367,1359,1215,60,45,8045,752,285,201,0,6,1246,3690,422,353,97,57,4622,283,211,86,4,3,586,396,53,34,229,26,736,350,52,24,23,4,449,10845,2382,1905,421,137,15687,353,55,38,27,13,486,1424,144,155,101,42,1874,51279,4098,2654,1626,381,60035
CED134,18876,304,262,309,133,19880,14955,187,95,76,114,15433,4603,808,1171,34,39,6651,1753,153,445,8,21,2378,3953,161,263,56,56,4484,751,66,182,0,12,1016,1792,69,210,81,43,2204,716,28,45,17,12,817,13569,1287,2318,193,189,17557,456,54,134,27,15,680,1735,78,197,99,53,2155,49585,1910,3002,706,500,55700
CED135,9458,1416,1834,22,29,12754,8415,3234,4784,57,51,16543,3619,2653,13404,148,110,19938,1136,1238,1983,3,5,4362,1352,525,1635,31,28,3578,81,187,351,0,6,626,223,224,134,7,12,601,102,53,98,3,3,258,6526,4873,17602,193,170,29364,146,73,209,0,4,429,713,260,748,9,77,1808,25260,9854,25174,283,332,60905
CED136,16418,1700,267,240,181,18812,18112,794,108,55,48,19112,6913,2383,768,37,42,10149,1559,542,219,3,6,2329,2013,373,117,20,16,2542,66,136,31,0,6,234,754,98,22,73,22,960,142,33,16,8,7,201,11450,3567,1171,141,94,16421,206,203,20,0,63,492,1070,200,74,125,136,1611,47257,6466,1640,566,519,56447
CED137,10650,1491,4635,49,44,16868,7356,1897,8046,98,53,17445,2414,1361,15511,227,125,19632,153,289,855,0,11,1313,885,270,2405,74,39,3670,51,35,191,0,13,297,83,93,349,6,16,548,94,34,140,4,6,281,3682,2087,19448,321,214,25744,99,28,176,3,10,315,531,143,937,22,53,1683,22323,5646,33230,488,370,62053
CED138,16655,3349,1504,1322,168,23000,13513,1842,621,77,88,16153,3963,2542,1955,45,52,8557,465,717,381,0,3,1575,3143,930,612,143,74,4906,97,143,45,3,0,292,261,85,61,295,21,727,256,72,44,15,9,401,8192,4505,3106,499,154,16454,318,256,71,16,47,706,1019,441,259,122,68,1901,39695,10394,5560,2036,528,58217
CED139,19860,453,386,167,118,20995,16807,157,162,78,82,17285,5373,788,1883,76,30,8156,1618,91,316,0,3,2029,3529,159,244,49,41,4021,171,68,147,0,9,393,924,35,54,64,22,1095,481,24,42,6,7,555,12094,1163,2682,202,111,16251,366,97,67,8,5,542,1578,99,179,35,30,1926,50709,1973,3476,496,355,57001
CED140,15195,2839,1182,123,43,19390,16019,1065,769,39,28,17921,5123,1733,2204,288,86,9435,518,638,492,3,3,1651,1741,374,341,60,30,2546,59,117,105,0,8,290,225,39,27,19,12,327,169,44,33,9,3,260,7831,2948,3200,385,139,14505,194,492,187,5,5,885,944,328,222,23,56,1578,40193,7672,5559,575,275,54272
CED141,18934,1826,472,239,22,21492,17957,665,228,36,16,18896,4940,1305,777,36,33,7085,1189,626,435,3,0,2255,1966,350,144,19,4,2489,46,64,59,3,0,173,198,40,15,52,4,311,145,17,12,10,0,178,8478,2401,1443,120,46,12484,185,113,77,0,0,376,1041,187,101,13,19,1357,46586,5192,2319,410,107,54618
CED142,716,3544,6770,40,34,11105,489,4632,11122,45,51,16336,239,4874,28519,193,152,33975,68,1558,4806,0,16,6452,108,1597,5644,68,62,7479,11,127,1014,11,14,1177,30,80,767,10,25,916,19,95,328,3,3,443,473,8325,41084,283,281,50450,11,105,398,6,0,530,90,549,1851,43,141,2669,1786,17155,61223,419,516,81100
CED143,9919,1890,5498,24,30,17354,9373,1629,5657,17,36,16712,1784,924,11250,79,45,14085,73,108,373,0,0,546,780,360,2312,51,35,3537,22,57,204,3,0,286,43,29,90,6,0,173,65,30,131,0,3,233,2761,1503,14365,138,90,18857,92,50,234,5,3,382,416,113,633,31,30,1220,22563,5176,26380,220,188,54524
CED144,11060,1920,2176,41,19,15218,8612,3242,3301,37,45,15242,2821,1729,9552,169,76,14341,605,1058,993,5,6,2668,1296,453,1178,45,36,3008,99,121,159,0,6,387,247,94,210,8,10,567,151,72,106,9,3,335,5218,3527,12200,232,131,21303,143,65,150,3,3,361,854,263,650,19,189,1984,25889,9029,18477,339,388,54119
CED145,5049,4122,6864,118,71,16232,3360,4036,5898,78,59,13427,660,2164,15857,280,63,19027,4,25,451,0,4,484,317,712,3648,102,33,4814,8,26,129,0,0,169,35,32,180,8,6,263,41,60,226,4,0,342,1065,3027,20498,398,103,25094,54,78,250,0,18,402,219,283,1087,24,62,1669,9747,11540,34594,618,319,56820
CED146,11036,785,21,19,23,11895,18436,2026,32,6,47,20549,4903,1587,112,21,38,6665,2371,1045,784,3,20,4221,1496,249,33,6,18,1800,105,75,57,0,15,252,358,51,25,11,11,456,175,18,13,0,15,223,9400,3033,1022,46,106,13604,231,58,14,0,55,359,1158,192,78,7,69,1508,40259,6104,1168,81,299,47915
CED147,18078,1622,195,324,85,20317,17451,975,176,32,49,18679,4485,1578,799,24,34,6928,2128,668,360,5,4,3162,1840,362,144,28,24,2400,120,115,42,4,3,277,191,38,16,54,13,314,151,26,17,3,9,204,8925,2790,1375,118,82,13291,253,132,15,3,33,436,1098,221,95,53,37,1498,45809,5745,1857,532,285,54222
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,14053,1612,238,112,18,16026,17878,1681,224,51,19,19851,4821,1354,318,17,21,6532,461,231,151,0,0,841,1250,270,26,12,9,1568,53,50,39,3,0,139,68,18,4,49,3,146,91,21,7,0,3,115,6742,1939,541,81,40,9338,164,423,101,0,0,686,739,225,51,17,8,1038,39570,5869,1159,261,85,46946
CED202,17490,1329,192,251,80,19342,19513,988,88,158,79,20822,6400,2401,629,51,32,9519,1139,516,156,0,6,1822,2331,373,127,33,22,2884,154,171,79,0,10,412,193,55,21,31,16,316,226,47,10,4,6,291,10439,3565,1018,125,97,15248,312,91,8,10,12,429,1202,247,65,24,58,1594,48951,6218,1370,574,322,57439
CED203,15010,2873,608,37,36,18560,10804,4251,1534,59,41,16686,5003,6104,4850,130,71,16151,659,1006,700,0,0,2372,1782,1117,566,65,18,3555,74,97,88,0,3,261,161,96,45,5,6,310,191,72,42,3,3,318,7874,8490,6286,211,97,22965,200,109,42,0,10,358,1110,452,261,7,31,1861,34998,16172,8733,318,212,60427
CED204,18995,653,87,141,76,19958,19747,322,77,51,90,20283,6413,1537,255,23,47,8278,1046,517,82,0,6,1647,2694,308,59,37,23,3122,242,101,36,0,0,371,231,29,39,60,5,360,241,29,11,8,5,289,10857,2519,480,136,78,14068,289,22,11,0,4,332,1354,185,44,28,35,1651,51243,3701,699,353,289,56291
CED205,16691,1576,669,56,19,19013,12168,1931,963,55,17,15134,6020,2717,2769,44,37,11578,631,423,235,12,4,1308,1787,502,333,13,10,2644,62,50,71,0,0,184,234,64,67,68,3,437,146,42,34,4,0,232,8878,3801,3505,142,57,16384,191,178,102,6,4,485,1047,340,193,27,26,1645,38983,7833,5434,283,129,52659
CED206,15208,1101,124,104,16,16549,17791,1892,201,43,22,19959,4161,2175,398,22,22,6782,1018,284,176,40,3,1508,1826,420,93,11,18,2378,70,33,34,0,0,143,375,90,42,114,3,627,147,31,10,12,0,206,7602,3041,755,190,55,11639,221,111,28,0,3,360,1303,229,71,28,39,1673,42128,6369,1185,371,128,50179
CED207,15625,880,47,136,37,16721,22592,723,49,26,45,23438,3924,888,56,10,27,4905,352,146,3,0,0,504,1769,156,12,4,27,1974,73,65,8,0,4,152,149,11,3,63,5,235,152,16,3,0,0,178,6418,1289,80,80,68,7937,277,175,32,3,4,495,998,133,6,17,22,1174,45916,3208,213,259,184,49773
CED208,15404,2914,1566,13,32,19927,11371,3055,1693,13,48,16179,5125,4012,3826,18,61,13043,507,585,483,0,5,1581,1948,985,694,12,26,3664,66,164,219,0,0,447,197,119,126,0,19,453,136,54,64,0,0,256,7971,5917,5414,35,113,19444,262,295,140,0,0,701,866,321,247,0,35,1470,35877,12501,9055,56,225,57713
CED209,18931,1225,80,148,69,20456,19745,708,63,88,49,20655,5281,1619,165,48,24,7135,425,209,41,0,0,686,2480,401,39,38,19,2984,182,109,18,4,3,315,238,37,11,106,9,404,247,39,11,4,6,311,8855,2426,294,197,71,11832,364,106,15,8,3,503,1075,164,32,21,15,1303,48963,4631,486,460,207,54750
CED210,17825,1158,360,84,48,19474,17187,937,270,21,35,18449,7053,2335,1079,28,45,10539,1345,712,129,0,3,2192,2437,411,173,14,12,3043,222,190,46,0,0,456,261,56,28,69,9,427,202,43,20,15,4,286,11517,3747,1469,125,77,16934,309,48,13,14,4,391,1357,217,94,13,21,1701,48196,6102,2207,255,185,56949
CED211,16810,2088,166,3,17,19093,16646,2365,421,12,33,19479,6130,2650,898,19,25,9718,477,383,72,0,3,928,1716,488,99,3,15,2319,113,117,78,0,3,308,113,47,3,0,3,166,146,38,5,0,0,201,8693,3722,1150,20,45,13644,242,160,40,0,3,439,878,242,48,0,28,1193,43272,8576,1829,41,129,53847
CED212,14544,1753,901,139,21,17362,18605,1554,565,20,22,20760,5940,2564,1350,15,20,9888,781,367,226,0,3,1386,1790,507,232,17,14,2552,94,61,15,0,0,172,129,54,26,140,4,351,131,42,22,5,0,202,8861,3598,1870,175,39,14552,291,457,73,0,0,830,1057,266,159,22,8,1518,43361,7634,3580,361,85,55020
CED213,19516,1710,208,253,62,21748,19606,929,55,25,51,20669,5731,1547,189,13,21,7505,343,261,9,0,0,614,2363,291,48,21,17,2744,56,60,3,0,0,113,387,40,4,96,8,534,317,37,13,9,3,370,9192,2235,260,142,54,11881,414,294,10,5,11,731,1444,237,52,34,17,1788,50175,5412,581,466,194,56821
CED214,14634,2645,679,64,35,18055,13373,4370,1220,42,49,19050,5972,4166,4759,88,47,15034,458,721,643,0,8,1827,2033,806,602,40,33,3516,115,61,206,3,0,388,251,101,110,24,5,491,184,53,39,3,3,289,9014,5916,6360,158,102,21549,202,64,39,3,10,326,1156,361,330,33,34,1922,38380,13358,8639,296,231,60896
CED215,20388,478,310,306,84,21567,17247,174,132,52,70,17668,5467,706,881,25,35,7112,1112,331,271,0,8,1719,2568,117,101,27,41,2855,196,74,53,3,4,323,531,35,22,77,17,678,305,20,29,5,7,360,10185,1278,1348,136,110,13053,300,60,13,8,8,380,1428,106,96,36,112,1780,49548,2094,1898,535,381,54441
CED216,14613,4423,1487,43,47,20625,12049,3825,1396,63,71,17403,3148,3070,3570,106,40,9937,159,362,422,0,0,943,1102,840,507,47,20,2521,18,44,130,0,0,201,59,28,48,3,3,142,104,63,41,0,3,212,4599,4404,4729,155,75,13957,150,161,177,0,0,489,652,327,249,7,9,1245,32063,13145,8035,268,202,53716
CED217,13389,1170,68,33,14,14678,27262,2205,98,6,45,29620,6825,1858,202,12,26,8917,471,198,106,0,3,774,2196,358,31,13,7,2604,99,62,31,0,0,199,237,67,5,71,0,384,153,31,3,0,0,187,9981,2567,378,93,38,13056,249,103,11,0,0,368,1534,213,29,3,7,1792,52421,6255,587,141,107,59516
CED218,10090,4544,3192,27,39,17895,7595,3691,4108,35,43,15471,2241,3776,14650,166,55,20894,94,231,1202,0,4,1529,809,980,2013,47,25,3864,19,81,183,3,6,294,39,42,129,3,3,225,72,80,120,3,8,293,3273,5193,18304,218,97,27085,130,115,163,3,7,417,450,313,683,11,21,1472,21533,13856,26454,295,197,62343
CED219,11889,1303,88,30,8,13319,28659,2438,103,25,27,31248,7737,1532,239,33,21,9556,902,200,108,32,3,1242,2197,293,38,3,5,2539,71,25,14,0,0,116,280,31,9,89,5,417,173,21,6,3,0,198,11360,2105,403,159,37,14069,258,108,23,0,0,389,1535,195,33,20,21,1811,53700,6157,651,227,94,60831
CED220,15871,2136,839,36,25,18911,13281,2978,1217,29,30,17534,4580,2929,2074,38,39,9665,344,357,170,0,0,875,1648,647,293,11,16,2614,85,34,60,0,7,189,238,73,41,41,10,391,164,44,27,3,3,244,7052,4083,2663,93,78,13974,173,76,134,0,9,384,955,270,216,11,23,1482,37335,9544,5068,168,171,52285
CED221,19088,544,195,185,128,20143,16984,257,100,62,113,17509,5118,1195,499,25,29,6860,1195,439,170,0,5,1809,2659,288,121,39,31,3134,81,65,21,0,0,167,605,40,23,64,11,757,313,33,16,10,5,375,9965,2064,854,132,79,13102,342,52,64,5,5,468,1380,166,78,70,22,1711,47757,3076,1291,458,354,52937
CED222,11981,3343,1177,155,37,16694,16537,4581,1543,23,49,22727,3984,3689,2570,37,34,10313,342,269,258,0,0,879,1332,706,341,26,14,2416,58,83,49,0,0,191,182,53,19,229,3,487,100,65,37,9,3,211,5998,4860,3285,299,57,14506,167,136,121,3,3,433,845,399,210,20,21,1489,35528,13319,6344,497,165,55853
CED223,16774,1594,514,13,36,18924,16266,2011,514,16,30,18839,3858,2075,1374,18,25,7348,629,575,253,0,16,1468,1307,437,208,14,11,1977,59,95,105,0,0,254,175,62,13,0,0,250,110,45,25,0,0,176,6138,3289,1970,31,55,11481,183,95,40,0,0,315,833,220,80,0,24,1161,40196,7206,3116,61,143,50718
CED224,13659,3996,1906,32,39,19626,9859,2788,2053,22,32,14755,2746,2924,7087,62,56,12869,22,42,220,0,3,284,930,693,1021,24,18,2688,37,88,110,0,0,238,63,33,68,3,3,173,115,61,68,0,3,253,3912,3845,8565,97,80,16503,152,78,168,0,10,404,529,209,409,8,12,1172,28117,10912,13102,155,179,52464
CED225,13674,980,132,25,30,14832,25563,833,61,8,31,26502,5164,822,81,14,15,6090,237,68,22,0,0,327,1467,152,13,7,7,1637,39,38,30,0,3,114,92,17,11,30,4,147,111,19,8,3,0,146,7117,1113,161,45,31,8468,199,144,89,0,3,432,893,113,39,0,18,1073,47443,3181,486,84,112,51300
