CED_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
CED203,2991,481,729,942,1092,981,553,206,9472,0,0,0,0,0,0,3,0,3,12,18,1405,1067,3711,673,978,1159,1316,1162,662,304,12439,1269,585,567,98,101,74,49,42,26,84,2890,1205,868,1196,144,169,210,186,165,99,80,4333,91,103,188,39,38,71,40,46,21,31,671,10,6,11,0,3,0,4,0,0,3,33,1311,977,1388,185,216,275,232,210,123,118,5038,4,0,4,0,0,0,0,0,0,7,13,2574,1569,1960,285,312,348,277,255,148,208,7939,1780,239,107,17,16,10,13,3,6,55,2252,2189,286,235,33,43,40,34,26,8,72,2962,376,98,138,26,24,38,43,32,20,40,842,23,0,3,0,0,0,0,0,0,3,40,2595,381,375,55,63,80,75,57,32,121,3837,7,0,0,0,0,0,0,0,0,4,8,4381,623,482,74,83,88,87,66,43,184,6103,1566,46,36,5,0,6,12,3,4,45,1722,2768,72,47,10
CED204,446,73,67,96,115,126,58,42,1177,0,0,0,0,0,0,0,0,0,76,77,233,143,557,104,90,131,129,143,72,136,1734,493,222,180,29,20,13,7,15,3,43,1021,114,152,299,46,47,38,28,24,15,19,776,0,7,51,11,8,14,12,11,4,5,124,0,0,0,0,0,0,0,0,0,0,3,117,160,350,58,49,53,41,35,19,25,899,0,0,0,0,0,0,0,0,0,54,54,613,383,530,88,69,66,53,50,23,117,1985,1170,141,98,3,10,10,12,4,3,54,1509,183,96,98,15,13,15,7,4,8,3,441,12,10,45,5,5,12,8,10,6,7,118,3,3,4,0,0,0,0,0,0,0,10,196,110,147,18,16,31,16,16,15,7,570,0,0,0,0,0,0,0,0,0,50,48,1369,248,245,20,31,39,24,18,12,118,2131,1600,58,35,3,3,7,5,3,4,56,1784,235,26,10,3
CED205,4730,729,1249,1248,1126,1038,591,327,14454,0,0,3,0,0,0,0,0,0,7,17,2304,2015,5051,793,1320,1297,1184,1096,624,401,16075,962,250,243,38,52,31,30,28,10,46,1689,2717,2109,2829,398,481,410,377,358,177,116,9974,208,286,467,124,239,245,150,133,88,75,2018,9,15,22,3,0,10,0,4,0,3,60,2940,2408,3317,524,725,665,528,489,264,198,12052,3,0,0,0,0,0,0,0,0,4,14,3902,2661,3560,558,774,695,557,522,276,252,13758,1520,258,196,28,27,22,20,11,7,44,2125,4502,1239,1132,160,199,129,92,81,49,111,7681,891,334,456,117,162,148,113,96,65,111,2495,36,6,10,3,3,5,0,0,0,5,67,5422,1583,1598,278,369,281,204,173,112,222,10241,4,0,0,0,0,0,0,0,0,7,8,6948,1836,1789,306,399,306,223,182,120,280,12379,2066,129,60,4,6,5,3,3,0,50,2331,4927,379,181,37
CED206,2865,512,493,726,632,529,337,199,8914,0,0,0,0,0,0,0,0,0,97,106,1831,1306,3056,563,544,785,685,560,353,346,10033,680,197,163,27,39,27,11,20,8,54,1226,2678,1427,1608,189,228,232,167,160,88,141,6910,363,321,391,99,90,171,96,95,73,50,1744,22,17,13,0,0,0,0,0,0,0,65,3059,1771,2015,285,319,399,262,254,163,192,8724,3,0,3,0,0,0,0,0,0,39,50,3746,1964,2185,312,359,428,277,275,167,286,9993,1669,163,100,18,10,8,3,4,0,72,2047,5403,746,592,85,71,83,66,49,25,161,7283,1044,280,310,80,62,143,64,75,72,66,2196,46,9,3,0,3,0,3,0,0,8,76,6492,1033,909,169,142,224,137,122,96,237,9556,6,3,3,0,0,0,0,0,0,30,42,8169,1203,1010,190,144,233,139,126,99,336,11640,1914,68,25,3,3,3,8,3,0,79,2117,5165,230,146,33
CED207,537,82,124,80,81,68,34,28,1354,0,0,0,0,0,0,0,0,0,0,0,546,290,675,116,170,117,110,90,52,63,2230,956,256,217,24,26,27,22,11,3,48,1597,274,282,415,43,56,50,36,21,13,16,1204,9,25,82,17,14,23,9,14,13,6,207,3,0,0,0,0,0,0,0,0,0,5,285,305,498,64,72,73,46,37,26,13,1420,0,0,0,0,0,0,0,0,0,3,3,1241,562,715,84,98,98,71,50,33,72,3024,2386,220,183,30,12,7,10,3,0,78,2942,550,149,146,13,24,17,9,3,0,11,928,32,20,80,14,10,11,14,4,7,7,211,3,0,0,0,0,0,0,0,0,0,7,596,167,228,25,37,29,19,10,8,24,1144,0,0,0,0,0,0,0,0,0,0,4,2980,392,418,57,53,40,33,17,7,99,4086,3088,92,56,10,10,8,4,7,5,102,3376,686,41,27,3
CED208,4666,801,904,1170,1398,1454,831,397,14675,0,0,0,0,0,5,0,0,0,8,9,1715,2205,5069,893,1016,1304,1524,1563,928,465,16667,1074,342,273,51,42,54,37,29,38,44,1981,2048,1922,1786,269,340,312,308,312,181,103,7572,61,124,268,72,76,108,130,165,107,57,1164,4,5,13,0,0,0,0,0,0,0,35,2109,2052,2064,338,422,421,439,473,293,157,8770,0,3,0,0,0,0,0,0,0,0,0,3187,2401,2339,387,460,469,473,507,324,205,10752,1638,255,160,31,18,23,15,13,9,36,2200,2967,776,616,112,108,97,82,87,40,85,4954,358,226,382,73,99,102,110,120,51,114,1657,20,3,8,0,0,0,0,0,0,3,35,3343,1013,1002,188,207,200,194,208,92,196,6642,4,0,0,0,0,0,0,0,0,10,12,4981,1264,1166,215,225,226,203,226,102,243,8856,1818,82,44,10,4,4,9,6,0,37,2015,3122,242,123,14
CED209,527,104,112,136,130,160,72,49,1471,0,0,0,0,0,0,0,0,0,0,10,357,217,757,154,164,201,177,196,94,87,2396,756,299,291,67,29,48,29,26,8,58,1617,188,211,401,60,79,57,38,36,15,29,1107,6,3,32,6,8,6,3,3,3,0,77,0,0,0,0,0,0,0,0,0,0,3,190,214,435,65,82,64,46,38,20,29,1188,4,0,0,0,0,0,0,0,0,9,13,950,518,722,136,116,117,71,68,28,95,2814,1436,223,207,34,20,13,22,11,7,55,2021,317,135,179,17,21,13,13,5,8,12,722,13,14,22,0,5,8,6,5,4,3,80,0,0,0,0,0,0,0,0,0,0,3,329,151,195,21,26,23,23,15,12,13,803,0,0,0,0,0,0,0,0,0,4,3,1762,370,400,57,46,38,36,24,20,73,2830,2017,76,61,9,10,9,8,6,3,74,2277,426,30,23,3
CED210,802,138,165,203,163,185,127,49,2244,0,0,3,0,0,0,0,0,0,80,86,543,297,1006,199,222,242,203,231,152,177,3281,584,215,201,50,38,32,19,19,17,29,1196,327,205,424,55,56,51,34,48,18,28,1242,17,27,60,15,20,33,20,28,19,14,245,7,0,12,0,0,0,0,0,0,0,16,346,239,488,69,80,90,49,74,39,38,1509,3,0,0,0,0,0,0,0,0,70,67,934,446,690,115,121,118,66,91,53,132,2771,1529,139,160,14,9,12,13,3,9,49,1941,653,141,142,23,17,18,20,11,10,27,1052,88,21,56,9,19,22,8,15,6,14,266,12,0,3,0,0,0,0,0,0,6,20,756,159,194,29,34,40,27,31,22,47,1336,4,0,0,0,0,0,0,0,0,43,45,2283,299,358,45,49,55,40,31,27,141,3322,2423,59,41,4,11,10,0,0,0,72,2617,1016,53,36,0
CED211,2551,370,477,479,497,451,228,128,7044,0,0,0,0,0,0,0,0,0,3,7,1250,1414,2832,450,541,539,534,504,250,163,8476,1156,350,309,61,54,30,24,34,11,43,2083,1264,1322,1586,222,226,208,166,151,75,58,5263,47,97,263,62,87,85,68,49,40,39,826,3,5,12,0,0,0,0,0,0,0,24,1315,1419,1862,283,308,293,232,205,110,93,6120,0,0,5,0,0,0,0,0,0,0,3,2469,1772,2173,347,363,323,259,238,124,138,8209,1810,266,165,18,23,19,18,9,8,59,2382,1572,511,506,65,63,59,41,32,15,40,2905,244,127,211,40,61,77,65,75,34,42,970,6,3,3,0,0,0,0,0,0,0,18,1821,637,719,104,119,144,107,109,43,80,3885,0,0,0,0,0,0,0,0,0,0,0,3629,902,887,123,143,156,119,117,46,135,6269,2095,96,55,8,10,11,6,4,3,45,2331,1761,158,86,14
CED212,465,74,85,103,86,71,43,35,1314,3,0,0,0,0,0,0,0,0,6,5,722,346,776,156,154,166,138,118,67,90,2742,1305,433,417,108,80,77,56,31,9,67,2593,409,342,434,80,59,58,59,31,25,23,1510,6,14,39,3,5,8,9,13,6,7,117,0,3,3,0,0,0,0,0,0,0,11,417,360,476,80,66,67,71,40,32,27,1633,3,3,0,0,0,0,0,0,0,0,11,1725,795,893,189,151,139,125,80,39,103,4235,2717,451,401,65,54,43,33,23,5,91,3888,714,191,195,33,21,14,26,12,6,13,1232,37,25,37,4,3,9,5,7,0,4,127,4,0,0,0,0,0,0,0,0,0,10,750,220,230,34,26,23,36,16,6,26,1372,0,0,0,0,0,0,0,0,0,0,5,3476,669,632,106,76,67,64,44,11,114,5266,3513,168,102,13,10,15,9,9,4,81,3924,888,63,46,13
CED213,181,31,34,31,44,35,19,15,515,0,0,0,0,0,0,0,0,0,0,0,378,165,364,82,70,62,66,56,32,47,1318,931,303,310,58,50,38,23,14,16,53,1790,176,134,157,22,25,25,18,12,8,9,591,8,3,9,4,0,6,3,0,3,5,38,0,3,0,0,0,0,0,0,0,0,3,185,140,171,29,26,29,21,12,16,20,636,4,0,0,0,0,0,0,0,0,0,4,1112,441,484,88,71,65,45,32,31,73,2432,2363,338,317,38,27,18,14,10,10,103,3228,336,77,75,11,10,0,21,3,3,23,559,12,3,8,0,0,0,0,7,0,4,33,0,0,0,0,0,0,0,0,0,0,3,349,83,83,16,10,3,23,5,4,25,604,3,0,0,0,0,0,0,0,0,0,5,2718,416,398,49,37,28,31,17,13,129,3835,3230,122,71,15,4,3,5,8,0,124,3601,607,25,22,4
CED214,3216,558,937,1139,922,856,428,289,10383,0,4,0,3,0,3,0,3,0,9,22,1828,1266,3974,794,1199,1362,1124,1007,495,392,13441,1426,792,660,144,103,81,76,53,25,70,3435,2014,955,1336,189,287,235,198,164,68,101,5538,253,130,257,52,117,111,54,52,29,42,1089,19,6,12,0,3,0,0,0,0,0,48,2287,1093,1604,241,407,340,246,212,97,146,6674,0,0,3,0,0,0,0,0,0,3,5,3718,1884,2259,391,511,426,321,268,119,220,10115,2037,298,195,41,39,23,28,18,7,67,2759,2758,340,303,51,52,36,40,29,9,86,3700,861,129,163,31,56,61,43,33,26,55,1461,29,0,3,0,0,0,0,0,0,3,41,3643,466,470,85,106,99,83,63,38,143,5199,3,0,0,0,0,0,0,0,0,5,9,5683,767,666,131,149,126,109,73,44,213,7968,2039,94,49,14,12,20,11,9,3,41,2296,2937,99,67,12
CED215,325,38,69,86,90,91,36,43,895,0,0,0,0,0,0,0,0,0,90,90,232,145,440,59,101,94,112,115,52,156,1498,421,120,121,21,18,25,22,9,6,35,801,98,112,257,22,49,34,35,26,15,30,679,7,17,15,3,11,0,4,3,3,0,63,0,0,0,0,0,0,0,0,0,0,3,101,125,271,30,60,35,43,27,21,32,745,4,0,0,0,0,0,0,0,0,87,88,530,242,390,57,79,59,59,44,29,149,1630,1032,111,122,14,11,17,16,5,3,57,1394,233,83,89,11,11,8,15,13,3,18,491,21,10,24,7,3,5,6,11,0,3,84,3,0,0,0,0,0,0,0,0,0,8,254,100,113,15,11,11,14,22,5,26,584,3,0,0,0,0,0,0,0,0,45,48,1291,209,232,32,28,31,30,28,10,128,2025,2022,66,60,14,6,10,5,8,3,88,2272,433,29,23,3
CED216,1182,239,260,318,340,304,154,75,3711,0,0,0,0,0,0,0,0,0,5,10,960,651,1631,396,417,443,441,410,202,106,5668,1407,727,675,136,133,113,127,114,75,74,3585,971,680,741,134,140,157,165,159,78,54,3269,9,30,56,19,24,43,45,53,30,17,323,4,3,0,0,0,0,0,3,0,0,9,982,707,801,154,163,195,213,211,102,67,3605,3,0,0,0,0,0,0,0,0,0,6,2392,1436,1479,295,300,310,333,332,177,146,7193,2897,670,492,110,86,63,55,66,33,66,4542,1822,362,291,62,59,50,56,64,26,42,2830,78,37,113,26,33,28,34,35,26,22,428,13,3,0,0,0,0,0,0,0,5,20,1914,404,403,87,94,71,97,101,49,60,3272,0,0,0,0,0,0,0,0,0,0,0,4808,1072,892,197,178,141,151,166,85,130,7821,2946,174,99,14,19,15,16,14,10,50,3356,1852,80,48,14
CED217,3365,509,515,539,463,430,253,229,10012,0,4,3,0,0,0,0,0,0,110,114,2990,1854,3716,591,594,618,527,491,281,401,12058,1299,357,357,58,60,42,40,17,4,68,2317,4046,2241,2446,280,267,214,200,154,79,161,10083,457,284,358,65,47,63,64,56,30,47,1476,36,27,19,0,3,4,0,0,0,5,91,4536,2547,2828,344,313,282,264,212,116,211,11649,9,0,0,0,0,0,0,0,0,82,91,5843,2909,3184,404,375,330,303,232,119,360,14061,1917,232,263,38,36,20,17,9,11,93,2639,4846,982,913,101,100,88,54,71,23,135,7309,1254,227,211,39,43,49,40,40,42,88,2026,43,8,6,0,0,0,0,0,0,3,70,6148,1214,1132,136,142,139,97,111,67,224,9405,7,3,0,0,0,0,0,0,0,60,76,8072,1450,1398,179,174,156,115,119,73,383,12114,2183,109,61,14,8,3,6,10,3,75,2470,4581,336,196,25
CED218,2655,540,737,837,1043,1098,581,201,9395,3,0,0,0,0,0,0,0,0,4,6,1794,1278,3682,925,1145,1301,1470,1600,840,317,14361,1399,572,552,136,119,104,97,109,64,83,3231,1149,783,1060,166,199,196,222,239,103,68,4175,26,31,65,14,23,23,53,57,25,13,329,0,7,3,0,0,0,0,0,0,0,18,1181,823,1129,183,221,225,272,298,127,76,4525,0,0,0,0,0,0,0,0,0,0,3,2579,1391,1689,318,335,323,370,407,185,162,7762,2011,290,174,33,19,28,33,27,13,52,2683,1493,297,202,47,34,26,45,40,24,53,2271,104,44,101,23,19,29,31,27,29,36,430,10,0,3,0,0,0,0,0,0,0,12,1606,339,310,73,54,59,79,63,53,89,2721,3,0,0,0,0,0,0,0,0,4,7,3617,634,480,101,76,84,110,88,67,147,5414,2161,95,52,14,7,16,8,7,9,46,2428,1623,101,51,6
CED219,5333,817,949,883,689,592,312,245,13980,0,4,3,0,0,0,0,3,0,16,22,3299,2566,5841,917,1089,961,749,646,341,337,16742,1663,547,526,74,91,67,38,39,20,66,3121,3079,2937,4406,463,436,330,228,199,92,139,12315,178,348,558,102,141,142,70,57,49,30,1670,44,27,40,0,3,7,3,0,0,3,135,3304,3310,5003,576,585,475,300,251,139,173,14120,3,4,0,0,0,0,0,0,0,7,12,4964,3865,5527,648,681,544,341,293,160,245,17258,2763,494,381,40,52,25,24,16,12,84,3885,4410,1408,1357,127,132,101,74,42,24,120,7783,634,368,377,69,86,82,59,46,48,69,1838,42,13,10,0,0,0,4,0,0,8,80,5088,1788,1742,194,222,184,132,90,72,200,9706,4,0,0,0,0,0,0,0,0,5,13,7852,2282,2121,238,270,209,156,112,87,293,13603,3299,231,108,18,18,17,10,4,3,79,3792,4395,424,240,37
CED220,3673,505,685,877,835,730,412,269,10616,0,0,0,0,3,0,0,0,0,12,21,2032,1459,4033,602,784,957,899,804,456,332,12351,1173,493,392,75,68,55,48,32,20,45,2398,2474,1302,1672,217,239,236,189,168,93,107,6703,417,247,345,64,72,100,95,72,40,52,1491,25,10,11,0,0,5,4,0,0,3,55,2911,1560,2028,278,310,343,286,243,129,159,8248,0,0,0,0,0,0,0,0,0,4,4,4083,2054,2421,349,381,395,334,271,149,206,10649,1925,293,182,20,28,17,21,11,5,51,2561,3413,599,463,63,51,65,25,32,28,95,4842,1189,240,289,70,70,84,60,78,43,106,2222,26,7,0,0,0,0,0,0,0,9,40,4626,844,748,137,123,148,91,110,68,205,7105,0,0,0,0,0,0,0,0,0,0,7,6558,1143,940,153,161,163,109,125,73,253,9677,2017,111,50,4,3,3,4,4,3,38,2240,3531,171,74,12
CED221,291,39,66,65,77,78,43,31,768,0,0,0,0,0,0,0,0,0,6,6,213,117,379,64,87,80,99,100,52,62,1248,468,129,110,28,15,7,8,8,5,32,824,93,127,252,28,47,19,29,17,9,17,646,3,3,12,8,5,0,3,8,0,5,51,0,0,4,0,0,0,0,0,0,0,9,96,130,263,39,54,23,31,27,13,21,704,0,0,0,0,0,0,0,0,0,10,11,568,262,378,66,70,32,43,33,22,66,1538,1089,135,94,17,8,8,9,3,3,58,1421,192,57,62,10,11,9,3,7,0,20,369,15,8,18,3,3,0,0,0,4,3,51,0,3,0,0,0,0,0,0,0,0,8,205,66,79,17,11,8,3,11,5,21,426,6,0,0,0,0,0,0,0,0,9,23,1301,204,176,32,21,13,11,14,9,91,1870,1725,65,32,3,4,3,0,5,0,65,1900,337,24,26,9
CED222,2275,330,482,495,405,382,178,137,6647,0,0,5,0,0,0,0,0,0,6,10,1850,1167,2694,450,621,602,495,434,213,199,8740,1367,538,549,125,109,93,64,57,35,60,2997,2034,1297,1381,177,212,164,145,118,48,81,5655,229,187,232,44,89,91,66,45,25,24,1029,21,20,7,0,0,3,0,4,0,4,66,2289,1508,1626,219,305,254,211,161,68,105,6751,0,0,0,0,0,0,0,0,0,3,9,3651,2042,2169,354,414,351,273,215,105,178,9755,2466,453,374,46,59,54,31,22,17,80,3598,2968,540,473,59,61,59,40,34,17,78,4341,626,158,139,47,69,55,37,37,28,57,1267,24,9,3,0,0,0,0,0,0,0,41,3621,711,622,107,130,111,83,70,48,138,5649,3,0,0,0,0,0,0,0,0,8,13,6092,1163,998,153,190,163,113,95,61,229,9258,2677,160,98,13,6,12,7,7,3,68,3051,2599,156,92,12
CED223,1064,238,251,292,257,278,141,70,3414,0,0,0,0,0,0,0,0,0,4,11,864,572,1355,322,327,373,323,316,155,105,4719,1041,438,409,66,51,36,30,31,14,54,2176,794,691,777,128,141,110,87,73,37,31,2878,25,46,64,14,9,27,14,26,10,6,248,0,4,3,0,0,0,0,0,0,0,14,823,747,843,145,155,136,101,100,50,39,3139,0,0,0,0,0,0,0,0,0,3,4,1865,1187,1254,211,199,172,134,135,67,95,5316,1796,286,185,45,30,16,17,15,4,38,2441,1227,287,210,33,29,22,27,17,21,46,1904,108,37,60,15,14,13,22,11,14,16,309,3,0,0,0,0,0,0,0,0,0,4,1333,321,274,47,42,35,46,32,33,61,2216,0,0,0,0,0,0,0,0,0,0,6,3131,609,458,89,72,47,66,51,39,104,4658,2170,85,52,10,9,11,0,0,0,50,2390,1571,80,45,10
CED224,1784,314,422,547,579,610,336,183,6395,0,0,0,0,0,0,0,0,0,0,3,1383,1094,2228,456,602,704,704,754,403,232,8559,1200,365,344,80,70,49,53,47,25,53,2287,1482,808,925,139,167,200,180,190,110,72,4282,29,55,133,43,55,62,113,101,41,46,680,9,9,3,0,0,3,0,0,0,3,27,1520,876,1062,183,226,271,293,292,156,119,4988,0,0,0,0,0,0,0,0,0,7,11,2728,1238,1409,259,293,315,346,338,180,179,7283,2056,312,159,38,29,19,23,30,4,55,2727,2333,418,329,65,66,70,61,48,24,42,3467,226,92,252,50,65,61,72,69,31,42,959,9,5,0,0,0,0,0,0,0,0,18,2570,519,584,114,126,138,136,114,54,92,4444,3,0,0,0,0,0,0,0,0,3,4,4628,828,747,149,162,150,156,143,59,143,7174,2092,116,57,9,12,7,12,3,5,45,2360,2248,117,65,11
CED225,1421,176,234,222,176,158,117,66,3640,0,0,3,0,0,0,0,0,0,3,9,1149,749,1661,226,291,261,208,184,136,101,4957,1525,460,421,97,74,57,47,30,10,63,2777,1102,1095,1371,172,169,147,95,108,48,50,4364,38,67,93,20,27,21,17,25,16,13,332,4,4,13,0,0,3,0,0,0,0,27,1146,1160,1475,202,196,174,113,130,61,61,4721,0,0,0,0,0,0,0,0,0,5,10,2669,1617,1896,301,267,233,160,159,71,123,7504,3155,474,402,52,33,25,21,14,9,91,4279,1744,560,523,60,45,38,38,21,12,36,3074,123,63,82,8,17,30,9,9,10,18,367,8,5,0,0,0,0,0,0,0,3,19,1878,627,600,72,59,67,44,30,17,60,3464,0,0,0,0,0,0,0,0,0,5,9,5032,1100,1001,124,96,95,66,46,28,149,7747,3255,157,95,10,9,11,3,10,4,69,3617,1565,144,67,9
CED226,9381,1237,1377,1369,1346,1238,687,375,21592,4,3,3,0,0,0,0,0,0,116,123,2323,3763,10292,1445,1669,1599,1504,1378,789,605,25356,1577,762,913,175,179,120,91,80,38,80,4027,2935,4557,5630,640,598,573,426,414,186,166,16137,105,209,570,75,89,105,95,83,72,37,1438,23,28,29,0,0,3,6,0,0,4,108,3063,4792,6232,715,697,684,530,497,258,215,17684,5,9,7,0,0,0,0,0,0,54,76,4654,5568,7152,892,872,804,620,579,298,346,21788,2538,503,587,102,113,55,41,33,17,100,4098,3294,1319,1386,140,182,138,83,95,35,111,6779,317,166,361,58,59,85,69,96,62,90,1369,31,9,11,0,0,0,0,0,0,6,63,3650,1495,1766,205,238,223,153,187,93,207,8208,0,5,0,0,0,0,0,0,0,27,32,6186,2002,2356,301,351,276,197,219,115,333,12340,2792,183,160,38,27,28,20,22,8,76,3353,2946,359,302,66
CED227,494,98,156,156,155,172,116,125,1666,0,0,0,0,0,0,0,0,3,5,13,202,151,612,138,186,194,170,197,133,153,2137,238,89,67,12,9,18,8,10,0,24,482,157,162,336,50,43,45,34,32,20,29,906,34,28,79,24,21,20,7,14,8,20,262,3,4,0,0,0,0,0,0,0,3,9,189,188,418,71,67,67,48,45,34,50,1180,4,0,0,0,0,0,0,0,0,0,3,429,279,490,84,79,84,60,59,35,75,1665,646,63,36,11,10,17,4,5,4,37,838,257,99,98,20,16,24,6,4,4,29,564,70,24,63,23,28,17,7,10,10,17,272,0,0,0,0,0,0,0,0,0,0,3,331,121,165,49,44,41,16,17,18,44,834,3,0,0,0,0,0,0,0,0,0,8,978,191,200,54,51,54,23,22,19,80,1681,949,24,24,4,6,9,3,3,0,35,1052,336,39,24,3
