CED_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED135,195,256,375,456,1913,2587,1059,1821,107,8767,640,1259,1392,1476,5938,8422,1974,2298,272,23671,196,562,781,755,2270,2634,976,1131,193,9490,223,1165,1396,1215,1502,950,410,473,165,7499,359,1008,1226,1110,4207,2830,821,718,127,12404,211,1521,1350,901,1364,1012,343,410,125,7222,112,346,569,521,1484,1060,504,703,134,5424,160,1152,1420,921,1566,1052,403,393,175,7242,61,121,138,108,351,349,73,103,586,1883,2159,7382,8642,7464,20586,20890,6562,8049,1883,83605
CED136,170,229,237,428,986,1237,804,1846,58,5998,453,736,1041,1102,1754,1939,905,1322,60,9315,308,499,568,730,2657,2911,1506,1983,162,11321,368,1368,1312,1496,1319,841,499,443,146,7793,363,870,1119,1182,2209,1387,545,497,71,8245,271,1920,1162,1038,1007,567,329,349,73,6717,236,361,367,424,1234,1136,988,1461,95,6304,262,1755,1049,1023,1253,1178,482,587,167,7751,44,73,45,62,169,143,65,132,309,1036,2477,7802,6903,7481,12588,11339,6119,8621,1145,64477
CED137,319,391,606,719,2110,3740,1715,4035,133,13766,835,1828,2130,2081,5492,8588,2896,4386,262,28492,185,512,998,706,1687,2216,914,1243,174,8621,231,1443,1541,1073,1137,1030,367,454,135,7402,375,1151,1601,1251,3506,2882,945,934,155,12794,228,1627,1497,890,1358,1338,510,766,117,8323,61,188,357,280,604,542,248,401,68,2749,123,942,1437,626,907,777,280,381,167,5634,58,162,164,119,305,330,99,162,615,2012,2406,8238,10322,7739,17105,21441,7970,12762,1822,89789
CED138,196,419,476,708,1020,1500,811,2388,95,7613,524,1363,1637,1991,1976,2123,915,1666,124,12314,272,657,722,1081,1838,2130,859,1488,183,9237,352,1626,1458,1967,1155,657,345,433,148,8137,229,1040,1061,1317,1687,870,355,428,71,7051,241,1750,988,1127,955,616,321,504,122,6616,117,256,295,393,522,446,271,674,51,3025,224,1758,1053,1076,1032,714,287,466,178,6796,59,116,65,86,99,101,28,97,378,1033,2214,8983,7743,9741,10280,9159,4199,8147,1346,61819
CED139,302,485,501,670,1109,1997,1220,4776,195,11250,513,685,1058,1199,2107,2163,1132,1815,95,10770,245,490,521,678,2366,2427,1199,1613,185,9716,356,1256,1127,1412,1420,809,404,710,146,7633,297,828,944,1219,2055,1122,502,496,72,7537,234,1664,822,937,962,623,440,507,103,6296,173,247,310,323,860,784,627,1193,98,4606,273,1570,934,1098,1596,1338,597,682,219,8308,66,83,56,59,118,123,61,119,349,1040,2463,7313,6271,7594,12590,11379,6185,11912,1463,67164
CED140,234,287,379,492,1138,1818,1004,2326,68,7736,581,1148,1608,1566,2406,3070,1229,2045,118,13786,221,493,570,757,1807,2598,1016,1488,134,9091,323,1426,1209,1407,1263,821,489,436,111,7489,337,1102,1269,1259,2205,1557,546,515,83,8861,208,1697,972,856,876,760,321,559,75,6319,81,226,220,245,670,523,304,531,57,2864,191,1374,741,709,862,846,372,448,100,5645,57,84,61,58,157,188,55,106,313,1085,2241,7842,7032,7356,11385,12176,5325,8460,1059,62881
CED141,175,205,239,402,968,1301,890,1947,45,6172,547,1024,1547,1467,2132,2554,1131,1739,89,12222,288,466,544,758,2278,2822,1179,1467,129,9929,342,1386,1293,1485,1255,753,437,354,99,7410,349,986,1394,1387,2219,1356,592,479,72,8838,239,1909,1080,939,932,590,328,393,78,6496,139,268,259,283,831,827,526,815,52,4007,221,1374,798,789,1025,1019,364,456,99,6148,45,60,33,66,142,148,45,86,252,869,2340,7675,7195,7579,11796,11358,5502,7734,913,62084
CED142,483,413,683,741,2806,4717,2910,5998,126,18876,1135,2299,2349,2320,6826,11627,5530,9620,365,42075,197,505,1531,599,1402,2015,1006,1662,166,9071,338,1935,3358,1377,1436,1345,721,874,260,11635,394,923,1155,887,3335,3093,1206,1394,120,12506,245,1253,1624,842,1412,1413,675,935,132,8537,46,171,331,178,300,267,157,234,34,1711,143,876,2461,522,627,554,245,343,120,5893,64,137,196,114,236,361,128,280,586,2088,3042,8509,13685,7580,18376,25388,12571,21336,1899,112396
CED143,400,542,713,1031,1573,3720,2245,5909,123,16255,885,2051,2357,2295,3078,6387,3271,6376,198,26884,150,379,479,507,1018,1674,776,1132,98,6228,227,1605,1244,955,805,702,409,413,99,6466,262,1239,1356,1133,1809,1942,859,991,84,9683,196,1253,864,623,796,1067,556,943,65,6367,31,135,137,137,347,235,134,211,27,1404,98,675,506,329,391,399,158,230,48,2827,45,118,83,94,113,248,91,247,315,1353,2296,7996,7743,7108,9936,16376,8504,16454,1054,77468
CED144,157,234,317,428,1357,1838,852,1531,125,6842,401,1054,1151,1251,3274,3815,1221,1677,192,14039,179,641,913,944,2132,2396,917,1097,291,9522,206,1258,1426,1182,1377,927,401,534,186,7500,310,955,1115,1067,2880,2068,653,559,150,9759,211,1688,1409,978,1234,929,332,423,138,7343,112,421,639,656,1295,1186,506,808,190,5822,171,1339,1523,977,1705,1169,452,462,223,8017,54,117,153,90,243,241,64,83,677,1727,1800,7704,8649,7581,15497,14574,5403,7171,2186,70559
CED145,378,486,686,872,1587,3816,2282,6147,152,16411,874,2242,2334,2533,3584,7530,3837,8890,254,32084,105,276,431,400,669,1224,569,1000,67,4743,187,1346,1300,951,739,706,368,493,105,6196,274,1043,1044,900,1578,1806,802,1043,77,8567,160,935,708,668,769,1197,612,1011,78,6141,26,109,161,100,128,171,94,129,16,929,35,422,564,269,254,344,158,219,50,2313,49,127,99,85,106,244,67,279,340,1403,2090,6991,7327,6788,9413,17037,8784,19205,1144,78789
CED146,126,243,252,366,1336,1748,774,1627,107,6583,325,668,849,1021,2880,3258,914,1213,154,11286,175,478,547,723,2491,2828,1136,1401,264,10045,189,1012,1010,1135,1373,930,393,529,183,6756,326,907,1169,1165,3639,2557,660,666,153,11251,169,1641,1112,847,1140,866,323,382,134,6615,182,386,480,714,2389,1655,777,1255,196,8032,180,1165,916,917,1933,1382,498,575,252,7824,67,109,73,100,334,265,79,108,561,1704,1744,6607,6412,6981,17519,15494,5562,7766,1996,70082
CED147,192,263,305,442,1031,1439,837,2039,54,6603,470,846,1165,1251,1874,2026,933,1496,87,10146,304,500,604,792,2529,3025,1399,1611,169,10932,352,1313,1401,1588,1433,960,497,445,102,8092,349,959,1161,1306,2255,1339,533,522,62,8490,227,1889,1147,1062,1075,634,293,474,74,6874,200,328,307,326,1199,900,733,1198,88,5276,269,1496,953,975,1137,981,411,603,122,6945,45,71,69,73,172,155,65,75,311,1038,2408,7659,7111,7818,12711,11452,5711,8466,1073,64394
CED194,15,12,23,11,38,75,22,80,3,274,44,57,61,52,113,159,52,95,6,649,18,38,36,44,92,115,42,68,24,480,9,60,70,78,54,50,38,60,10,430,12,28,25,29,76,43,20,29,4,261,17,24,32,30,39,39,15,14,12,224,8,20,25,32,73,51,37,80,12,339,23,60,98,91,90,96,46,45,36,582,5,3,6,5,9,10,9,3,47,103,148,298,377,371,584,638,279,475,158,3331
CED197,0,0,0,0,0,0,0,0,0,3,3,0,3,0,6,0,0,4,0,22,10,0,0,0,6,3,0,3,0,18,9,3,4,0,3,0,0,0,0,16,6,0,0,3,3,3,0,0,0,21,5,3,0,3,3,4,0,0,0,17,7,0,0,0,4,4,0,0,0,10,6,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,3,0,3,5,43,4,9,10,22,12,4,7,4,130
CED201,172,277,310,494,1415,2048,1198,2327,68,8312,510,1041,1299,1520,3130,3589,1521,1793,101,14506,233,482,610,770,2384,2907,1152,1456,165,10162,266,1549,1179,1301,1080,748,349,320,72,6856,347,1144,1410,1472,2819,2161,749,646,97,10834,213,2317,1106,954,1118,904,396,488,112,7616,93,228,232,341,1109,807,379,492,51,3735,172,1292,703,693,1129,784,324,339,91,5522,47,74,65,63,171,150,66,88,322,1057,2054,8403,6911,7603,14348,14104,6140,7942,1088,68598
CED202,251,373,365,586,1113,1587,1095,2613,96,8083,610,1210,1607,1948,2370,2561,1415,1885,119,13721,292,583,549,797,2274,2830,1268,1605,189,10388,458,1765,1390,1575,1165,850,426,507,146,8284,371,1031,1227,1351,2154,1402,620,497,85,8726,285,2237,1001,854,864,622,371,442,113,6781,150,228,259,332,817,808,564,1034,84,4270,276,1752,914,904,1156,871,520,522,155,7070,66,81,54,88,148,154,62,113,345,1116,2769,9251,7362,8427,12057,11684,6344,9229,1323,68436
CED203,284,263,466,761,1688,2240,1449,2611,97,9853,776,1961,2355,2882,4346,5638,2726,3553,214,24456,176,487,704,795,1953,2253,891,1060,154,8477,289,1805,1421,1391,1225,841,440,461,167,8032,316,996,1225,1281,2686,1989,804,662,102,10068,207,1921,1151,829,1023,826,361,479,143,6941,81,233,315,302,763,653,316,364,67,3093,151,1287,1176,760,1051,705,272,321,151,5876,68,85,72,87,203,186,81,125,390,1285,2349,9038,8883,9084,14935,15317,7351,9643,1481,78078
CED204,253,393,465,658,1054,1531,1066,2486,110,8005,721,1225,1681,2129,2430,2470,1296,1875,97,13920,292,618,583,796,2088,2370,1134,1430,153,9467,465,1621,1245,1527,1099,883,421,473,116,7847,355,979,1080,1242,1896,1132,558,476,79,7803,232,2089,981,821,877,514,376,396,91,6381,138,248,229,276,689,710,487,839,77,3698,307,1808,975,992,1395,1072,533,464,152,7696,65,100,75,80,122,120,49,89,306,1002,2835,9076,7308,8528,11640,10812,5910,8532,1176,65812
CED205,136,284,340,485,1432,1868,875,1724,90,7233,395,1280,1160,1442,3341,3931,1414,1617,189,14759,172,507,649,685,2351,2324,829,881,208,8608,196,1363,1213,1176,1004,621,247,336,141,6307,244,907,989,1027,2459,1807,589,512,91,8611,197,1888,1026,791,950,722,301,389,109,6360,104,271,400,462,1507,972,439,484,116,4750,148,1321,1318,905,1761,860,339,331,203,7183,37,122,98,99,208,178,45,79,471,1339,1632,7939,7200,7071,15002,13277,5081,6345,1613,65151
CED206,147,224,261,394,1265,1595,771,1742,100,6493,329,741,803,976,2278,2391,888,1087,146,9643,198,594,624,813,2475,2757,1015,1129,262,9873,231,1360,1212,1377,1304,872,411,513,199,7485,322,928,1164,1250,2916,1985,643,584,158,9956,205,2293,1211,952,1149,705,350,398,135,7402,167,400,600,654,1724,1451,714,960,176,6839,210,1469,1078,927,1579,1171,437,471,196,7552,52,112,91,81,239,178,41,79,561,1438,1863,8129,7040,7431,14936,13093,5276,6973,1931,66675
CED207,309,320,390,606,1221,1908,1264,2570,74,8669,564,1048,1344,1473,1925,2304,1212,1683,108,11673,363,646,724,955,2788,3924,1662,2135,217,13411,365,1796,1369,1489,1116,778,452,468,121,7955,357,1277,1389,1493,2255,1626,744,574,78,9789,235,1919,1011,891,963,739,417,488,98,6770,127,236,228,300,1045,852,520,720,98,4123,242,1656,846,797,1368,1023,467,498,136,7023,55,90,60,62,154,177,65,116,371,1151,2623,8984,7358,8052,12840,13334,6814,9253,1296,70554
CED208,199,355,542,668,1494,2502,1292,2698,88,9845,732,2093,2010,2380,4376,5750,2324,2993,208,22859,147,510,709,667,1626,1932,763,871,98,7328,287,2114,1372,1056,889,624,285,283,115,7020,310,1200,1288,1217,2473,2005,691,573,93,9839,218,2291,1216,836,887,851,373,483,102,7267,42,248,268,196,545,460,193,219,31,2205,116,1428,1065,581,696,516,178,205,111,4907,35,112,98,66,175,191,49,94,363,1196,2095,10348,8574,7668,13168,14841,6150,8424,1208,72477
CED209,327,509,528,735,1205,1903,1223,3254,104,9779,745,1490,2030,2125,2553,2989,1605,2205,111,15846,342,657,650,848,2055,2901,1309,1663,165,10586,454,1894,1413,1528,1163,938,443,512,136,8470,371,1263,1396,1316,1705,1143,504,510,84,8297,294,2308,1111,882,864,675,344,510,82,7062,121,243,233,275,555,658,413,814,65,3366,286,1878,896,895,1012,837,338,556,143,6845,55,105,77,98,125,166,61,115,337,1138,2989,10343,8332,8693,11231,12212,6244,10132,1224,71401
CED210,227,268,309,465,989,1375,870,1964,72,6547,515,973,1343,1562,2144,2365,1218,1624,97,11838,265,588,533,747,2242,2720,1146,1388,154,9790,408,1742,1492,1632,1172,986,430,487,143,8496,337,860,1054,1072,1983,1351,530,519,65,7765,260,1988,1027,911,918,599,331,432,105,6559,176,286,296,326,993,1030,567,845,93,4615,253,1764,978,990,1309,1158,388,542,162,7557,65,83,45,80,156,183,41,91,368,1113,2513,8552,7078,7789,11904,11758,5531,7898,1257,64284
CED211,216,329,387,586,1361,2209,1324,2633,78,9117,697,1676,1942,2234,3673,4704,2131,2603,143,19808,217,488,560,696,2000,2399,1004,1187,129,8687,280,1650,1236,1280,1001,703,403,386,101,7028,309,1120,1366,1382,2564,1990,744,660,84,10228,201,2056,983,769,938,830,393,502,72,6737,65,188,204,241,696,512,299,322,35,2562,106,1340,744,551,872,640,249,266,114,4884,34,84,48,51,170,151,50,98,312,1006,2133,8932,7472,7796,13281,14137,6601,8654,1070,70071
CED212,203,239,341,581,1270,1816,1191,2692,76,8412,520,1111,1395,1711,2078,2600,1285,1989,104,12796,287,549,598,855,2274,3253,1453,1598,182,11052,371,1638,1259,1531,1155,855,422,492,120,7846,342,1116,1281,1359,2087,1540,671,578,85,9061,241,2121,1085,864,1030,893,479,593,108,7403,98,223,196,272,845,769,495,582,73,3551,170,1341,754,789,1067,851,429,451,106,5955,45,92,72,56,145,165,55,103,353,1079,2279,8420,6979,8010,11954,12750,6469,9076,1212,67140
CED213,282,475,493,751,1116,1844,1106,2964,134,9163,543,1129,1287,1580,1536,1880,961,1560,105,10583,373,715,732,1124,2453,3587,1550,2056,223,12815,407,1664,1345,1493,1072,737,500,516,129,7852,334,1305,1309,1322,1567,1204,491,447,95,8065,288,2072,1119,950,892,745,369,565,120,7115,130,230,236,295,668,736,485,767,62,3598,294,1651,875,976,1039,999,417,625,141,7015,72,97,79,62,125,138,61,111,347,1084,2727,9340,7467,8550,10458,11863,5930,9603,1349,67294
CED214,304,268,447,694,1640,2527,1598,3020,87,10591,825,1405,1818,2220,3806,4850,2382,3138,153,20591,213,471,681,716,2100,2322,1003,1248,146,8897,261,1512,1338,1311,1144,947,487,540,137,7679,406,834,1162,1228,2965,2291,879,769,108,10631,175,1734,1104,789,1026,834,419,534,104,6721,134,284,417,490,1303,1068,481,649,133,4967,171,1322,1402,891,1458,974,325,391,144,7081,43,108,88,84,236,260,86,119,468,1495,2523,7945,8460,8413,15678,16066,7662,10408,1479,78644
CED215,280,433,389,608,899,1348,822,2928,121,7824,461,768,1095,1321,1493,1546,901,1308,83,8980,404,548,512,682,2019,2263,1041,1705,152,9335,400,1316,1206,1411,929,628,378,417,126,6806,374,885,1049,1100,1587,1026,412,367,58,6847,244,1776,854,743,779,443,293,348,84,5558,219,238,215,245,770,656,647,1023,77,4086,358,1676,908,993,1071,854,508,669,183,7212,83,95,56,58,122,108,74,104,331,1028,2809,7739,6275,7152,9664,8870,5082,8868,1219,57676
CED216,312,520,710,1017,1418,3198,1923,5436,126,14654,768,2159,2608,2806,3030,5432,2678,4586,174,24225,135,429,424,512,931,1367,536,913,74,5315,224,2042,1068,952,627,602,291,342,89,6236,271,1452,1414,1290,1620,1593,700,760,105,9208,193,1904,972,714,715,902,430,851,89,6763,33,141,134,126,247,200,108,155,18,1166,78,841,419,314,311,277,124,162,45,2572,50,123,88,61,90,174,51,145,274,1048,2061,9608,7840,7784,8981,13745,6837,13341,992,71187
CED217,199,235,309,506,1606,2128,1029,1877,113,7999,460,715,1033,1308,2951,3155,1073,1290,149,12148,284,563,598,880,3129,3411,1409,1573,255,12096,353,1557,1439,1771,1660,1202,436,576,183,9182,477,1003,1343,1573,3819,2843,904,754,185,12886,288,2585,1325,1137,1399,980,391,479,136,8715,268,463,551,776,2547,2231,1123,1575,228,9758,261,1710,1103,1171,2284,1728,601,688,230,9768,72,120,89,101,312,293,83,119,622,1806,2655,8950,7783,9215,19706,17966,7054,8931,2104,84360
CED218,335,518,645,924,1736,3384,2183,5118,119,14955,885,2358,2522,2864,4731,7695,3975,6524,209,31775,100,370,475,451,1062,1309,675,906,65,5417,222,1849,1204,987,796,674,350,453,95,6634,295,1234,1208,1071,2421,2232,844,885,100,10302,209,1724,1081,774,953,1053,554,895,97,7344,26,137,141,119,222,179,91,132,23,1064,69,788,649,324,363,293,115,169,47,2812,28,118,97,98,169,230,65,194,376,1380,2178,9107,8027,7619,12457,17050,8854,15272,1129,81684
CED219,205,242,265,432,1716,2005,1035,1834,110,7846,440,747,966,1372,3109,3033,1054,1141,155,12023,288,679,681,1116,3990,4062,1795,1665,303,14582,359,1634,1635,2085,2013,1026,479,641,219,10102,383,970,1209,1518,3895,2603,926,707,132,12340,314,2484,1302,1148,1569,997,443,515,131,8908,218,449,468,835,3168,2119,1170,1308,190,9930,277,1779,1323,1432,3027,1862,742,666,264,11387,74,136,82,92,298,234,73,101,599,1697,2551,9129,7931,10037,22790,17944,7727,8581,2108,88803
CED220,176,268,387,528,1379,2025,1249,2302,89,8408,504,1220,1440,1635,3133,4207,1627,1986,134,15880,201,555,661,772,2227,2297,951,1088,172,8930,223,1523,1224,1182,993,745,301,407,117,6718,288,956,1180,1245,2559,1999,695,589,101,9609,187,2157,1166,863,992,850,367,534,107,7217,74,299,378,338,1342,905,383,446,88,4252,154,1335,1105,855,1689,946,352,365,147,6938,32,84,73,77,217,179,40,81,423,1204,1843,8393,7617,7491,14530,14154,5957,7783,1375,69157
CED221,362,491,489,718,1015,1705,1136,3532,151,9590,491,787,1262,1593,1742,1823,964,1408,94,10169,337,548,583,786,1973,2505,1273,1638,161,9810,467,1338,1143,1448,1122,810,510,537,136,7505,282,827,1027,1198,1617,1048,478,440,62,6983,236,1528,809,923,798,540,372,429,87,5723,194,222,277,346,926,830,509,1005,93,4399,367,1722,932,982,1220,1165,506,531,168,7586,86,78,54,73,121,141,58,125,332,1060,2814,7539,6585,8061,10525,10567,5807,9651,1280,62829
CED222,246,271,374,580,1550,2330,1496,2793,107,9751,604,1085,1443,1682,2966,3730,1716,2150,141,15508,219,535,561,854,2480,3074,1300,1492,167,10681,316,1563,1272,1442,1181,900,461,427,130,7699,355,1140,1367,1415,2907,2253,840,729,109,11116,260,2134,1117,927,1140,959,466,634,120,7759,131,260,312,333,1564,1092,566,638,105,5003,193,1336,837,802,1632,1071,417,453,132,6868,46,67,81,74,220,203,73,136,447,1342,2377,8390,7362,8115,15640,15613,7332,9447,1461,75735
CED223,250,312,478,701,1240,2238,1495,3284,77,10072,823,1824,2306,2609,3346,4628,2300,3295,140,21270,202,486,540,666,1657,2528,963,1254,119,8416,271,1770,1225,1079,854,796,421,398,109,6918,359,1310,1488,1507,2277,1803,733,668,97,10248,159,1968,866,739,641,648,379,550,68,6007,62,165,192,178,429,407,217,298,24,1982,110,1094,546,464,569,454,203,255,87,3786,40,88,58,82,131,152,51,90,296,986,2282,9010,7694,8027,11151,13647,6770,10083,1017,69680
CED224,299,575,684,953,1435,2785,1703,4661,108,13196,824,2537,2564,2877,3864,6271,3084,5804,234,28056,106,363,371,362,793,1004,463,656,52,4164,219,2076,1019,771,575,547,290,299,76,5881,261,1426,1309,1105,1719,1650,702,763,92,9022,177,2014,1012,725,722,773,375,702,90,6589,25,137,118,93,147,168,77,100,17,872,72,829,533,258,267,185,90,125,50,2410,44,130,91,100,99,190,59,136,315,1175,2023,10088,7700,7244,9620,13564,6841,13247,1034,71365
CED225,249,306,380,605,1515,2222,1443,3238,110,10068,590,1286,1620,1895,2857,3418,1599,2283,115,15669,317,633,693,965,2795,3707,1618,2072,202,13002,350,1857,1367,1541,1211,927,423,425,86,8185,379,1361,1663,1681,2887,2187,895,712,107,11861,274,2445,1187,931,1041,902,423,630,114,7936,135,213,255,400,1141,953,551,736,70,4452,203,1558,762,802,1205,950,399,500,95,6481,45,93,81,67,169,194,58,96,361,1164,2541,9738,8009,8889,14809,15451,7414,10692,1270,78807
CED226,264,323,387,610,2106,3062,1424,2757,124,11068,614,1112,1386,1686,4774,5904,1683,1925,233,19322,293,643,768,930,3599,3738,1581,1693,278,13526,424,1787,1871,2095,2280,1556,597,905,226,11744,550,1229,1626,1738,4765,3700,1123,1028,157,15913,314,2664,1585,1338,1708,1264,475,664,154,10169,300,522,739,998,2845,2433,1314,1791,283,11234,256,1857,1432,1218,2305,1521,609,691,216,10113,74,137,96,128,302,331,89,152,656,1966,3082,10276,9896,10738,24685,23504,8907,11617,2336,105043
CED227,363,554,459,805,1067,2092,1161,4435,217,11154,433,539,971,1232,1644,1605,883,1249,82,8629,223,464,416,573,1729,2025,851,1126,152,7560,429,1097,1060,1371,1014,708,292,400,130,6502,231,754,823,1019,1487,1063,349,349,65,6136,210,1670,778,793,954,521,341,378,83,5740,184,237,227,224,759,781,461,970,91,3933,290,1721,922,1015,1441,1312,507,663,200,8069,75,79,34,86,114,128,30,86,369,996,2434,7115,5689,7117,10212,10235,4871,9651,1393,58717
CED228,217,291,399,548,1458,2176,1230,2812,110,9237,605,1157,1510,1808,3284,4329,1737,2528,166,17120,213,550,682,635,2197,2331,912,1176,196,8886,271,1565,1344,1260,1148,941,457,478,165,7627,327,1095,1311,1263,2827,2222,745,709,127,10627,191,2160,1174,885,1080,851,376,548,129,7394,126,361,446,461,1330,1105,454,588,144,5010,185,1343,1392,894,1590,1133,362,404,210,7509,91,106,122,104,234,226,69,142,533,1629,2231,8630,8382,7863,15140,15299,6328,9379,1775,75035
CED229,336,343,460,687,1865,2690,1535,3459,127,11513,759,1164,1720,1930,3300,3580,1548,2081,158,16240,415,740,784,1052,3787,4820,2104,2498,278,16471,539,1998,1810,2103,1986,1409,834,816,191,11685,603,1482,1905,2074,3968,2815,1048,975,161,15038,350,2725,1561,1297,1487,1068,515,640,177,9832,228,318,463,622,1788,1718,1059,1715,174,8097,290,1869,1095,1053,1746,1514,664,776,205,9207,84,121,86,111,252,261,80,149,480,1626,3600,10770,9898,10932,20181,19871,9377,13118,1955,99701
CED230,306,563,489,696,1143,1745,1104,3590,138,9776,549,907,1300,1424,1781,1883,981,1385,119,10323,345,663,648,941,2555,3285,1487,2000,206,12143,457,1521,1519,1613,1190,713,400,393,160,7965,330,1172,1214,1371,2018,1357,533,540,95,8631,268,1977,1004,935,1038,737,406,501,124,6997,207,273,299,396,1057,1112,840,1272,108,5567,374,1985,1125,1106,1454,1222,696,825,174,8950,84,85,68,77,151,134,56,119,446,1220,2916,9145,7665,8555,12392,12194,6498,10623,1576,71572
CED231,406,465,645,823,2229,3809,2339,4886,122,15721,1309,2927,2641,3358,6946,11741,5471,7951,364,42708,191,503,1027,598,1378,1738,875,1212,126,7643,406,2623,2418,1638,1377,1123,648,704,233,11163,380,1149,1160,1127,3026,2734,1131,1100,134,11941,227,1895,1379,900,1237,1131,595,753,134,8252,56,198,255,208,352,318,125,199,58,1765,135,1270,1534,559,652,480,200,261,141,5241,59,131,100,114,263,329,101,219,441,1762,3179,11160,11153,9327,17461,23395,11484,17295,1746,106199
CED232,448,435,654,947,2074,3984,2535,5738,117,16937,1016,2314,2425,3150,5292,8645,4206,6948,256,34246,140,354,547,473,1239,1701,814,1199,85,6549,249,1549,1345,1175,1046,1005,546,564,124,7595,294,993,1015,1048,2703,2575,1097,1060,89,10875,171,1204,872,787,1091,1254,680,964,74,7094,32,133,139,146,230,234,103,153,23,1185,74,655,714,341,388,370,172,230,61,3019,56,120,85,95,211,268,99,209,403,1543,2473,7754,7780,8163,14282,20045,10238,17066,1235,89039
CED233,220,448,514,709,1447,2520,1389,3249,106,10605,563,1602,1704,1900,3024,4283,1840,2634,184,17730,149,471,510,626,1468,1937,703,1125,111,7103,189,1619,1117,934,748,593,286,305,100,5886,269,1316,1458,1362,2000,1670,624,614,94,9397,202,2267,1102,823,856,893,406,630,105,7280,38,160,154,162,336,360,158,258,28,1657,116,1119,528,459,500,444,171,250,57,3645,38,93,56,70,140,173,46,93,339,1053,1790,9087,7137,7048,10531,12876,5615,9153,1105,64351
CED234,352,504,455,722,1111,1777,1128,4324,212,10588,457,616,1044,1337,1565,1673,953,1190,95,8927,266,459,446,602,1889,2275,1067,1295,137,8423,344,1141,1080,1309,979,690,302,415,142,6403,274,844,909,1058,1427,997,400,408,62,6382,274,1714,722,886,786,527,337,425,115,5781,214,237,260,306,814,828,542,964,90,4249,427,1688,939,1132,1660,1449,826,795,216,9130,91,82,35,60,96,106,41,98,401,1011,2709,7284,5888,7410,10317,10331,5592,9897,1472,60900
CED235,174,213,303,447,1530,1898,976,1928,93,7566,504,965,1227,1436,2931,3209,1205,1466,164,13110,229,602,674,862,2860,3242,1274,1383,230,11365,367,1530,1438,1626,1579,991,385,480,157,8547,394,1089,1386,1442,3140,2198,690,603,138,11082,254,2534,1334,1075,1259,838,382,500,144,8321,169,318,441,613,1710,1391,675,875,166,6353,218,1547,1098,964,1799,1245,451,511,207,8041,51,110,58,85,245,174,60,76,472,1340,2362,8905,7957,8553,17057,15183,6109,7815,1778,75723
CED236,362,596,548,702,892,1646,1094,4687,198,10714,475,678,1168,1347,1266,1519,803,1191,71,8514,307,548,514,713,1711,1976,849,1103,143,7855,419,1215,1080,1303,866,727,297,341,124,6367,260,778,884,937,1213,796,319,348,59,5593,224,1751,783,728,684,476,247,374,94,5370,216,211,231,273,628,755,704,1033,93,4141,346,1911,928,1086,1352,1147,671,755,166,8368,79,58,41,59,91,132,32,115,352,957,2682,7743,6160,7153,8711,9161,5024,9952,1291,57866
CED237,262,284,427,667,1799,2444,1569,2827,124,10392,903,1835,2221,2948,4916,6375,2999,3821,223,26239,234,549,768,785,2138,2551,1088,1307,202,9635,312,1739,1564,1497,1324,886,536,553,162,8569,350,1013,1292,1445,3102,2366,945,744,108,11348,208,1931,1161,879,1156,806,414,478,100,7135,89,245,379,390,773,733,310,456,84,3470,132,1229,1242,744,968,719,308,355,159,5855,57,88,74,86,208,211,63,134,450,1374,2549,8911,9123,9448,16384,17092,8224,10676,1608,84018
