CED_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
CED101,38,2167,644,420,1837,1,1598,2.8
CED102,35,2167,637,462,1730,1.1,1601,2.8
CED103,36,2207,724,462,2104,1,1817,2.7
CED104,41,2500,793,532,2460,0.8,2256,3
CED105,32,1950,462,390,1285,1.1,1222,3.2
CED106,40,2800,893,550,2706,0.9,2341,2.9
CED107,40,1560,607,250,1531,0.8,1207,2.5
CED108,33,1960,596,350,1575,1,1477,3.2
CED109,41,2500,812,450,2215,0.9,1805,2.6
CED110,47,1517,526,290,1257,0.8,1000,2.3
CED111,39,2000,600,330,1801,0.9,1372,2.5
CED112,41,1733,592,340,1542,0.8,1268,2.6
CED113,43,1733,709,255,1743,0.8,1349,2.4
CED114,42,1300,613,200,1442,0.8,1149,2.4
CED115,36,1733,452,334,1275,1.1,1212,3.2
CED116,49,1517,535,280,1278,0.7,1038,2.3
CED117,36,2600,997,485,2592,1,2093,2.4
CED118,34,2200,747,410,2052,0.9,1941,3.1
CED119,38,2383,828,445,2300,0.9,2088,2.9
CED120,38,2000,714,325,1901,0.8,1628,2.8
CED121,40,1733,589,290,1547,0.8,1294,2.6
CED122,34,2520,777,530,2235,1.1,1794,2.5
CED123,34,2000,723,365,1836,0.8,1612,2.8
CED124,50,1517,493,260,1203,0.8,967,2.3
CED125,34,1950,669,360,1709,0.9,1573,3
CED126,42,2700,847,550,2374,0.9,2056,2.8
CED127,41,1950,707,355,1889,0.8,1556,2.6
CED128,35,2000,527,390,1509,1,1412,3.1
CED129,38,2500,821,550,2400,0.9,2268,3.1
CED130,42,1365,571,230,1363,0.8,1089,2.4
CED131,37,1800,670,340,1820,0.8,1398,2.4
CED132,37,2700,1165,560,2998,1,2352,2.4
CED133,46,1387,509,260,1243,0.8,998,2.4
CED134,40,1300,604,190,1420,0.8,1143,2.4
CED135,33,2000,642,410,1725,1.1,1596,2.8
CED136,40,1680,587,300,1480,0.8,1236,2.5
CED137,34,2300,760,520,2108,1.1,1898,2.7
CED138,47,1733,564,350,1363,0.8,1099,2.4
CED139,40,1300,606,220,1437,0.8,1147,2.4
CED140,44,1900,629,355,1668,0.8,1304,2.5
CED141,43,1733,600,325,1573,0.8,1262,2.5
CED142,32,2500,933,571,2498,1.2,1933,2.1
CED143,39,2970,1113,580,2989,1,2384,2.5
CED144,34,2000,490,380,1391,1.1,1281,3
CED145,37,3000,1242,610,3231,1,2380,2.3
CED146,33,2080,566,380,1635,1,1572,3.4
CED147,41,1800,582,330,1555,0.8,1303,2.6
CED194,39,0,405,0,0,0,0,0
CED197,58,0,540,0,0,0,0,0
CED201,39,1750,665,360,1830,0.8,1590,2.8
CED202,40,1408,593,250,1507,0.8,1191,2.4
CED203,36,1950,660,340,1815,0.9,1443,2.5
CED204,41,1400,604,250,1470,0.8,1188,2.4
CED205,37,1733,521,325,1461,0.9,1303,2.8
CED206,35,1600,486,320,1428,0.9,1331,3.1
CED207,39,1733,662,330,1731,0.8,1472,2.7
CED208,35,2000,554,380,1832,0.9,1428,2.6
CED209,40,1625,651,300,1720,0.8,1388,2.5
CED210,40,1495,572,270,1458,0.8,1154,2.4
CED211,39,1900,680,350,1895,0.8,1522,2.6
