CED_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED204,142,39,71,5,264,145,16,56,10,231,93,32,185,7,321,50,15,281,5,357,694,137,427,26,1285,393,152,810,30,1381,2305,355,854,76,3592,1398,674,823,76,2969,1788,1135,742,87,3750,1615,1432,537,62,3646,948,1389,364,39,2743,931,1348,234,38,2546,1749,2477,294,39,4550,949,1761,87,15,2821,546,1015,32,5,1589,271,660,46,0,975,557,1103,48,11,1718,984,1827,669,36,3518,365,143,138,14,655,15913,15712,6690,589,38905
CED205,516,238,315,53,1113,191,84,109,21,401,166,116,216,30,531,113,118,226,14,473,826,326,370,44,1571,415,424,502,44,1386,1983,729,623,81,3419,1168,1087,632,104,2985,1374,1594,736,130,3834,1179,1529,513,99,3318,694,1475,395,70,2635,690,1400,301,46,2441,1234,2789,428,89,4539,754,1923,177,34,2889,395,1247,77,23,1745,252,898,69,3,1221,468,1947,103,14,2532,818,2253,610,45,3734,281,182,118,26,615,13520,20366,6524,978,41392
CED206,332,238,177,18,769,156,83,91,17,345,125,172,274,24,588,69,119,300,3,488,759,551,450,28,1790,384,645,635,42,1706,1802,989,731,56,3579,897,1423,816,80,3219,983,2031,855,95,3971,904,1919,631,66,3523,580,1743,442,45,2812,638,1666,368,50,2723,1167,3095,477,62,4805,633,2076,235,37,2982,303,1300,87,16,1700,175,892,61,3,1124,232,1490,88,9,1819,669,2641,769,32,4109,333,328,187,20,862,11143,23394,7677,698,42909
CED207,177,41,81,0,306,112,29,31,6,173,105,42,153,8,303,59,32,182,0,277,500,76,319,9,905,369,144,566,14,1096,1677,280,574,38,2571,1168,575,713,51,2513,1376,1126,695,47,3246,1237,1478,551,54,3323,821,1568,434,29,2851,922,1584,321,27,2858,1971,3132,441,65,5614,1104,2337,170,34,3638,597,1271,59,7,1932,284,818,40,6,1150,421,1465,59,8,1953,785,2200,663,31,3680,351,245,134,9,744,14033,18451,6185,451,39117
CED208,623,170,325,93,1217,196,53,108,30,388,159,92,194,33,479,101,61,165,13,347,717,157,274,35,1183,382,260,427,43,1106,1573,415,444,61,2490,969,671,490,98,2227,1333,1055,599,117,3099,1133,1085,454,92,2763,667,1059,390,78,2195,696,1165,335,65,2266,1511,2598,529,90,4721,995,2092,224,53,3358,648,1543,88,28,2314,428,1313,114,23,1870,849,3449,134,26,4459,912,2119,536,40,3606,227,132,93,15,461,14117,19499,5912,1017,40547
CED209,188,51,63,10,307,121,36,45,3,212,111,36,117,15,279,58,23,163,6,248,601,87,305,16,1013,402,143,558,16,1115,1943,302,569,35,2854,1351,503,585,60,2501,1761,1028,643,54,3484,1555,1337,439,66,3393,904,1420,334,29,2694,1010,1572,233,38,2858,1997,3065,303,35,5403,1173,2239,97,20,3525,610,1392,41,11,2052,327,838,49,3,1223,699,1659,50,12,2412,1019,2228,557,21,3822,309,171,106,12,605,16135,18139,5256,463,39990
CED210,198,53,110,12,373,119,31,70,9,224,99,55,237,8,403,69,33,294,13,399,837,141,543,27,1554,389,209,879,25,1507,2303,414,865,63,3636,1317,627,858,74,2876,1524,1070,832,84,3508,1370,1290,604,75,3334,771,1311,391,39,2516,884,1307,297,35,2521,1634,2465,381,64,4538,972,1655,125,21,2773,485,1018,45,14,1555,267,616,56,4,946,542,1255,61,9,1864,958,1816,609,32,3422,410,200,201,17,828,15154,15559,7458,617,38781
CED211,359,98,155,14,618,132,34,61,12,237,104,62,154,17,338,47,49,153,11,257,508,147,251,24,929,299,207,380,37,925,1417,370,504,46,2334,1072,586,589,56,2301,1367,982,673,92,3119,1218,1145,517,53,2925,761,1143,400,49,2356,860,1358,327,44,2590,1656,2960,462,82,5162,1188,2464,232,34,3923,743,1726,99,15,2581,447,1205,89,6,1750,720,2544,74,14,3346,790,1874,585,28,3277,240,149,99,14,498,13927,19108,5784,634,39456
CED212,192,61,111,9,367,98,26,56,4,176,76,47,179,7,310,54,18,232,3,311,538,77,405,25,1048,310,143,703,19,1174,1739,256,756,51,2809,1201,493,816,73,2582,1430,924,872,69,3288,1242,1163,637,82,3126,813,1294,491,46,2644,876,1306,327,42,2556,1805,2692,459,48,5012,1143,2029,169,28,3377,589,1325,73,17,2000,312,882,74,3,1274,645,1788,53,11,2503,929,1971,796,24,3717,355,193,169,15,733,14363,16687,7370,586,39009
CED213,267,54,68,4,394,156,22,51,5,233,116,34,144,5,301,76,20,264,0,359,791,93,378,13,1274,430,150,745,17,1341,2620,302,708,28,3660,1589,582,718,72,2959,1977,1055,714,55,3802,1717,1384,473,46,3627,949,1403,386,26,2753,1070,1484,260,27,2839,1811,2670,319,32,4827,1054,1913,103,17,3092,517,1112,43,4,1681,303,654,45,0,1007,696,1353,46,7,2100,1147,2163,684,15,4017,550,223,146,20,943,17834,16667,6292,409,41202
CED214,304,136,165,26,630,149,42,86,8,286,130,109,236,22,500,69,83,228,6,391,721,232,368,65,1399,303,304,563,54,1223,1642,482,621,108,2846,842,790,697,105,2434,1065,1080,796,139,3080,980,1238,554,126,2903,749,1199,454,77,2475,843,1199,362,77,2481,1849,2416,493,106,4868,1404,2046,209,70,3728,946,1617,101,32,2696,690,1218,114,19,2042,1227,2814,90,30,4163,1000,1918,607,54,3582,328,209,166,22,728,15245,19142,6909,1151,42444
CED215,224,52,71,8,350,171,21,52,11,248,120,52,191,15,369,71,21,320,3,415,886,142,508,26,1554,524,165,813,18,1521,2759,417,743,37,3958,1518,662,674,74,2937,1788,1085,644,64,3587,1591,1215,390,43,3237,879,1143,251,19,2293,957,1116,209,22,2305,1631,1997,209,38,3876,837,1336,84,17,2275,490,744,16,0,1249,279,503,46,0,831,514,934,40,3,1493,1172,1966,543,28,3709,463,163,162,11,796,16872,13732,5957,439,37003
CED216,213,81,176,13,476,109,33,43,15,197,72,25,113,16,225,38,17,115,12,183,349,54,195,19,618,222,102,292,13,634,938,186,314,48,1482,673,239,405,51,1365,1003,487,472,57,2018,983,576,363,48,1974,636,657,332,27,1658,728,746,249,28,1756,1623,1891,465,69,4051,1176,1859,156,35,3232,789,1653,74,21,2533,730,1926,215,10,2876,2050,6935,188,15,9181,886,2653,562,17,4118,253,209,76,11,552,13464,20340,4813,518,39137
CED217,374,207,269,24,869,129,83,91,10,320,118,140,326,15,594,67,81,399,4,559,659,325,585,36,1598,356,451,905,33,1742,1818,759,947,56,3578,897,1334,988,75,3289,1216,2152,1010,98,4472,1080,2520,793,86,4485,784,2367,551,46,3753,895,2301,414,58,3673,1734,4503,529,89,6853,969,3024,237,41,4271,500,1741,105,16,2363,243,1019,68,8,1343,316,1474,63,9,1862,756,2763,765,24,4312,335,360,235,14,937,13256,27603,9268,746,50870
CED218,314,78,166,42,598,110,34,70,25,233,76,40,116,20,253,46,17,93,14,176,359,67,167,29,617,222,83,211,32,547,828,157,243,66,1295,589,264,320,83,1263,953,409,347,111,1827,1007,489,305,99,1906,759,571,261,52,1646,898,603,223,62,1788,2162,1424,381,139,4111,1712,1213,159,93,3176,1216,1113,78,46,2455,1011,1382,196,19,2606,2891,5831,196,39,8952,1225,2042,450,33,3750,188,156,77,15,436,16559,15976,4076,1033,37648
CED219,432,204,214,10,854,149,65,90,11,314,121,150,268,18,552,74,90,337,8,502,634,337,486,22,1480,386,547,863,34,1824,1892,940,859,58,3753,1040,1623,947,73,3682,1278,2564,956,103,4899,1337,2885,768,89,5092,910,2799,570,65,4347,953,2520,401,69,3943,2040,4819,543,91,7493,984,2818,237,37,4075,399,1438,105,22,1968,203,796,52,6,1059,246,1136,61,8,1451,839,2908,727,46,4514,343,293,202,13,851,14249,28929,8686,779,52644
CED220,395,154,210,29,793,179,54,57,10,302,135,117,216,30,491,82,71,214,17,385,760,220,306,32,1324,352,324,487,28,1183,1835,538,567,55,2993,993,864,655,93,2609,1156,1308,699,123,3285,977,1386,608,117,3079,629,1301,483,59,2472,687,1427,371,46,2535,1369,2826,507,97,4804,843,2287,199,39,3371,481,1565,95,32,2170,353,1101,74,16,1543,560,2335,64,22,2985,783,2080,597,42,3501,289,196,138,13,644,12866,20162,6546,896,40463
CED221,184,33,63,7,285,145,27,65,0,236,103,34,171,15,318,66,28,285,0,373,795,103,429,19,1338,434,177,647,18,1272,2491,325,667,49,3535,1533,594,646,59,2835,1837,1065,620,68,3589,1641,1373,436,56,3500,1024,1242,270,20,2557,1061,1223,191,17,2493,1801,2182,230,32,4237,949,1561,79,16,2610,471,803,13,5,1292,196,464,32,0,692,445,671,30,3,1150,1156,1867,530,27,3581,427,157,146,10,736,16741,13932,5553,417,36645
CED222,266,125,155,13,565,107,54,55,5,229,102,86,168,10,361,63,58,191,4,310,524,157,338,35,1051,328,263,564,27,1183,1597,496,612,42,2752,907,713,746,71,2434,1200,1215,765,93,3272,1121,1540,592,63,3311,772,1399,515,51,2738,832,1560,371,55,2827,1798,3262,502,75,5638,1240,2483,178,32,3932,688,1603,87,18,2397,419,1165,91,12,1690,669,2277,75,9,3035,826,2196,626,28,3674,272,208,124,24,626,13738,20863,6757,667,42019
CED223,191,84,89,11,373,109,25,54,7,202,76,31,128,24,262,47,30,157,5,238,391,73,241,26,730,220,135,360,32,751,1170,227,432,54,1882,887,361,509,69,1835,1206,714,589,73,2576,1048,866,483,65,2453,710,1012,429,40,2186,834,1122,319,48,2314,1692,2808,474,64,5042,1240,2406,192,38,3874,788,1832,96,17,2738,521,1399,91,7,2015,990,3686,99,16,4793,805,2154,621,30,3619,212,194,106,15,526,13136,19164,5472,635,38407
CED224,272,145,304,66,787,121,45,87,31,276,85,60,122,30,300,45,44,107,14,209,266,82,145,25,517,218,159,235,24,634,625,191,241,55,1110,601,294,316,69,1287,820,521,404,92,1842,891,535,320,99,1847,590,546,272,58,1463,713,672,251,39,1672,1647,1515,472,105,3740,1330,1442,194,58,3020,894,1191,79,22,2193,658,1465,216,12,2359,2132,6948,203,26,9306,880,2633,444,25,3985,208,188,61,13,477,12986,18683,4472,873,37027
CED225,235,96,103,9,443,107,23,38,8,176,95,56,115,10,275,59,30,151,0,247,420,123,269,16,836,287,181,492,21,980,1386,341,535,29,2295,935,606,594,42,2178,1203,1268,657,46,3176,1097,1615,544,51,3303,780,1709,401,34,2922,918,1949,338,43,3249,1907,4046,485,56,6486,1146,2986,189,28,4345,629,1816,89,20,2554,342,1283,61,11,1696,612,2309,61,8,2999,699,2481,575,34,3788,228,244,107,4,593,13090,23176,5815,462,42545
CED226,593,220,286,25,1128,154,104,100,12,367,126,178,290,9,605,91,126,366,13,588,575,414,524,28,1547,374,571,928,32,1908,1633,969,899,55,3557,1148,1693,1060,73,3977,1426,2561,1070,84,5142,1464,2972,752,100,5288,1084,2953,583,77,4696,1183,2807,447,60,4499,2448,5675,579,115,8816,1399,3580,270,44,5301,797,2268,100,30,3198,441,1528,56,11,2034,574,2333,83,21,3004,1020,3103,770,40,4928,296,335,220,15,865,16827,34385,9400,831,61445
CED227,238,85,62,4,397,170,55,45,5,276,119,81,171,5,369,65,29,269,3,375,828,168,457,28,1473,437,216,690,25,1370,2622,442,716,62,3844,1455,772,709,76,3012,1715,1225,563,73,3570,1680,1379,360,65,3488,790,1198,244,23,2256,1021,1190,145,24,2382,1516,1957,162,37,3676,731,1182,59,12,1982,374,625,15,8,1026,148,331,28,0,502,367,581,33,8,992,1047,1903,501,26,3473,527,181,186,8,904,15861,13591,5436,491,35382
CED228,360,162,259,27,804,174,59,99,25,347,136,135,308,25,597,77,100,277,11,468,869,262,391,56,1573,378,360,585,52,1367,1964,640,652,83,3332,987,905,738,121,2754,1206,1296,790,150,3443,1062,1382,647,111,3198,696,1250,523,88,2561,734,1244,353,70,2396,1541,2558,491,109,4696,1026,1985,246,63,3327,580,1388,97,25,2088,441,1145,99,19,1694,756,2885,125,39,3802,886,2157,690,60,3797,389,249,195,27,859,14234,20142,7570,1164,43109
CED229,355,127,147,12,638,110,51,63,6,237,129,100,228,13,472,67,47,276,3,391,629,224,478,14,1348,364,358,888,21,1633,1789,603,901,53,3343,1170,1093,951,58,3268,1560,1919,931,72,4484,1573,2319,752,65,4708,1032,2568,582,52,4231,1158,2719,407,44,4330,2510,5313,554,72,8444,1536,3548,260,40,5379,817,2089,104,19,3026,432,1359,91,6,1885,620,2188,69,10,2890,986,3098,804,33,4919,358,363,179,16,919,17194,30088,8671,601,56560
CED230,258,88,101,12,458,167,35,63,8,267,133,68,229,6,431,79,39,320,5,439,925,156,515,34,1633,489,214,945,21,1666,2799,418,864,59,4144,1640,877,837,60,3415,1798,1560,801,68,4234,1567,1860,544,55,4024,991,1717,378,22,3103,1110,1760,260,34,3162,1863,2840,304,49,5054,1005,1897,133,19,3057,503,974,49,10,1541,265,550,43,6,869,506,1042,44,3,1586,1133,2163,727,29,4044,485,223,184,12,895,17712,18474,7338,499,44028
CED231,703,94,262,450,1509,162,35,126,88,413,188,86,361,99,736,113,34,290,42,472,487,181,362,122,1151,327,172,419,97,1013,872,256,414,173,1714,771,332,425,186,1720,1114,439,465,234,2255,1239,475,312,193,2207,1024,563,254,121,1967,1214,484,197,105,2008,2855,1295,334,199,4690,2394,1034,135,135,3700,1826,883,48,83,2843,1388,888,149,46,2468,3467,2990,122,63,6641,1662,1228,446,60,3403,172,110,176,31,487,21985,11591,5297,2525,41399
CED232,264,80,120,78,543,89,26,48,25,196,74,38,116,33,263,55,21,132,11,218,329,60,169,37,594,212,89,253,35,588,708,149,293,62,1213,580,212,309,72,1172,897,411,368,123,1802,1079,456,276,108,1917,872,432,222,76,1608,1081,503,256,73,1917,2741,1232,362,143,4480,2348,1027,115,94,3580,1652,861,59,48,2611,1408,1010,204,36,2656,3621,4043,137,64,7866,1590,1469,434,34,3524,216,138,64,19,436,19812,12254,3935,1185,37185
CED233,417,144,245,30,840,205,62,61,14,341,111,79,122,18,319,55,66,125,10,249,626,120,177,27,948,337,190,305,29,858,1511,366,360,39,2274,1026,574,428,49,2075,1248,873,505,55,2680,1091,1029,416,55,2585,664,1099,312,27,2101,748,1200,262,33,2236,1309,2557,357,51,4274,910,2176,196,25,3300,600,1622,104,17,2342,455,1367,99,9,1936,960,3738,136,19,4846,842,2489,507,26,3861,292,208,77,11,590,13402,19942,4792,532,38676
CED234,256,91,82,7,441,170,44,39,8,250,117,77,171,10,370,78,41,249,3,370,907,187,463,21,1580,454,230,740,18,1439,2718,415,762,46,3945,1396,697,749,55,2898,1790,1198,654,50,3689,1598,1392,472,42,3507,874,1276,276,30,2459,999,1310,193,24,2526,1592,2215,221,32,4060,864,1360,88,11,2321,381,766,28,6,1171,164,388,31,0,581,398,718,35,4,1151,1041,2011,547,30,3637,485,214,189,20,914,16285,14619,5985,429,37315
CED235,459,166,179,19,822,137,78,70,10,287,117,124,190,10,440,85,81,201,7,377,892,338,393,35,1655,357,436,607,37,1442,2196,805,698,79,3772,1043,1201,725,80,3053,1152,1847,774,82,3854,1209,1954,668,83,3914,726,1939,491,53,3213,793,1851,368,62,3080,1474,3682,495,78,5725,898,2533,225,36,3686,451,1627,91,18,2189,235,966,65,6,1269,331,1763,71,7,2168,766,2596,665,29,4059,327,287,167,11,789,13651,24251,7135,744,45780
CED236,202,73,53,4,331,147,35,47,7,241,137,52,154,6,347,70,24,239,4,336,852,134,394,27,1410,495,168,673,23,1359,2517,365,671,41,3593,1428,683,652,70,2830,1681,1184,538,47,3447,1442,1272,395,49,3159,794,1202,225,22,2243,967,1113,148,27,2259,1477,1927,210,25,3635,823,1258,67,17,2162,389,676,30,0,1100,204,361,47,0,611,448,655,27,9,1132,945,1835,481,22,3281,449,139,165,15,767,15466,13146,5207,426,34248
CED237,286,125,127,29,561,134,40,60,16,248,108,74,171,30,381,71,68,168,10,317,765,208,290,51,1305,325,306,420,28,1081,1780,487,520,72,2863,849,735,660,133,2369,1108,1129,713,132,3083,1154,1209,505,117,2978,783,1215,413,93,2504,911,1201,312,93,2518,2105,2575,497,134,5310,1652,2012,193,89,3938,1009,1588,67,45,2704,671,1081,73,23,1848,1122,2408,76,25,3634,1027,1911,565,52,3545,319,180,124,27,642,16176,18542,5944,1187,41841
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,150,45,110,9,315,90,25,60,7,188,90,40,198,13,338,54,29,331,8,425,563,127,544,31,1252,411,181,1078,17,1690,2056,400,1049,67,3574,1173,768,1019,85,3052,1398,1379,989,80,3843,1301,1649,701,57,3716,888,1512,504,45,2958,966,1563,355,49,2929,1799,2889,377,74,5134,985,1878,158,29,3052,528,1115,43,14,1703,228,606,52,3,888,311,849,51,11,1219,959,2002,620,23,3612,228,191,145,16,576,14186,17259,8384,641,40468
CED302,240,72,106,11,431,91,26,31,13,160,85,42,123,14,266,43,23,167,7,237,428,75,259,35,797,276,135,456,30,900,1542,267,525,55,2387,977,434,620,68,2099,1273,771,739,79,2863,1100,1001,601,66,2766,755,981,431,51,2213,826,1234,390,52,2509,1696,2825,530,84,5139,1274,2487,261,58,4076,856,1925,89,27,2896,560,1433,111,13,2110,941,3361,104,12,4424,909,2147,496,25,3586,206,137,99,9,450,14074,19373,6137,723,40308
CED303,213,26,69,5,311,111,19,39,4,177,86,28,128,9,247,74,15,177,3,266,599,61,331,21,1011,474,116,583,12,1180,2238,215,628,47,3124,1308,398,699,53,2461,1583,844,775,50,3263,1399,1116,582,51,3154,921,1216,459,39,2633,992,1382,336,42,2745,1960,3038,448,45,5496,1215,2472,208,27,3927,701,1611,80,10,2404,404,1181,84,4,1670,742,2188,71,12,3012,1002,2160,499,20,3671,285,165,107,9,568,16302,18243,6310,463,41327
CED304,207,80,123,40,449,71,18,46,24,158,75,31,75,31,206,54,19,94,4,173,284,50,138,49,520,224,82,246,55,601,726,161,273,69,1228,715,241,316,92,1365,1012,357,424,142,1930,1192,466,372,105,2132,890,529,295,92,1811,1082,555,260,88,1980,2465,1339,468,154,4420,1917,1226,183,77,3399,1330,1139,70,55,2588,1097,1346,180,30,2653,2621,4923,161,53,7757,1410,1596,362,25,3393,136,86,58,8,286,17509,14233,4132,1195,37066
CED305,184,69,82,10,341,134,21,52,4,216,114,32,165,13,323,67,31,265,3,367,634,99,454,19,1207,352,132,730,24,1240,1857,278,683,54,2875,1011,458,658,72,2205,1281,809,592,42,2724,1243,1028,444,55,2765,772,1107,350,38,2268,919,1217,247,31,2417,1788,2602,346,49,4779,1122,1924,120,30,3189,705,1217,37,20,1969,401,881,73,4,1364,829,1605,56,13,2505,1475,2724,473,28,4699,394,176,145,11,724,15281,16406,5974,516,38181
CED306,203,67,82,15,366,122,31,51,9,207,102,54,191,10,354,57,13,246,6,326,633,87,423,24,1163,376,140,764,13,1295,1826,278,726,46,2882,1105,498,715,65,2384,1476,890,663,50,3084,1472,1078,467,56,3077,901,1153,324,43,2422,1048,1266,234,41,2589,1945,2570,332,51,4900,1217,1989,123,34,3359,786,1290,41,13,2128,401,808,60,8,1280,739,1601,51,12,2404,1610,2936,467,19,5035,371,168,145,13,708,16392,16932,6116,526,39960
CED307,137,40,79,8,262,90,11,42,0,143,79,21,112,9,223,48,23,164,4,239,482,79,269,17,851,307,121,494,22,945,1503,210,618,40,2379,1085,457,662,49,2249,1356,867,749,69,3041,1248,1213,576,70,3106,837,1448,479,34,2805,961,1492,331,37,2821,1953,3414,448,53,5867,1283,2753,169,35,4231,734,1885,52,10,2680,422,1324,60,9,1806,679,2530,56,5,3271,891,2177,474,17,3563,157,157,87,13,422,14254,20220,5926,504,40904
CED308,276,85,155,19,549,124,33,50,11,218,109,41,141,8,303,80,34,226,6,342,687,141,410,22,1269,427,219,826,20,1482,2280,355,917,45,3588,1329,693,953,60,3034,1726,1202,976,73,3973,1632,1565,720,82,3998,1076,1492,530,44,3144,1231,1584,370,47,3227,2239,3067,477,62,5849,1257,2201,166,29,3659,714,1402,64,16,2197,420,957,89,3,1473,862,1824,83,11,2785,1083,2173,593,32,3871,321,172,119,11,629,17883,19238,7865,591,45576
CED309,219,54,92,15,384,125,26,57,5,214,129,40,158,11,345,76,26,205,0,312,701,96,373,17,1191,490,178,665,18,1347,2434,324,797,46,3594,1599,631,809,56,3093,2015,1132,806,77,4038,1841,1467,576,54,3940,1091,1365,402,39,2904,1129,1402,260,30,2823,1949,2670,347,39,4999,1118,1831,106,20,3069,592,1181,47,6,1820,377,730,50,4,1159,713,1367,35,4,2121,1234,2177,508,21,3944,282,157,121,8,565,18111,16860,6401,471,41850
CED310,192,51,80,5,328,128,27,50,3,210,101,30,130,8,271,73,23,197,7,290,751,78,375,18,1225,504,143,681,21,1350,2697,260,743,31,3723,1635,532,721,54,2935,1946,970,767,64,3742,1661,1252,540,57,3508,941,1215,370,33,2557,998,1176,242,27,2447,1723,2352,301,35,4415,1018,1650,102,16,2782,486,1006,41,12,1543,327,638,40,3,1012,659,1182,39,6,1885,1119,1979,507,26,3623,298,133,107,12,551,17246,14696,6028,435,38404
CED311,263,84,114,8,469,182,53,68,7,308,130,62,204,4,405,77,28,267,0,372,799,168,483,31,1478,448,196,673,26,1344,2120,402,698,58,3280,1092,587,619,61,2362,1342,985,482,55,2865,1290,1164,373,45,2867,794,1126,265,24,2208,925,1238,204,19,2391,1857,2715,233,30,4841,1150,1874,119,23,3159,744,1136,39,13,1933,509,935,50,4,1501,938,1776,53,14,2790,1413,2662,473,25,4584,401,227,138,18,780,16453,17422,5563,487,39925
CED312,194,86,140,5,429,84,22,69,7,182,80,54,200,15,351,62,35,304,4,407,578,122,510,27,1239,367,217,981,22,1583,2019,417,962,42,3436,1110,755,905,77,2849,1347,1352,1042,83,3825,1367,1811,687,91,3947,978,1729,482,57,3251,1020,1842,374,33,3271,2073,3421,473,76,6047,1021,2416,211,31,3676,548,1493,70,14,2123,245,838,62,3,1153,373,1385,45,8,1817,914,2232,605,26,3776,246,194,168,14,626,14634,20428,8285,639,43990
CED313,151,59,127,27,369,82,24,42,12,166,67,26,108,20,217,48,17,122,10,198,273,92,233,46,641,220,88,342,37,688,868,188,338,67,1455,680,286,475,84,1525,997,483,562,128,2171,1062,577,464,117,2219,865,646,417,80,2001,941,730,316,83,2070,2340,1807,503,152,4801,1859,1727,183,94,3865,1265,1497,66,44,2872,985,1491,131,21,2627,1990,4386,116,34,6525,1165,1663,411,45,3287,139,93,56,14,300,15988,15893,5009,1114,37999
CED314,159,52,86,4,298,115,29,49,4,203,86,30,157,10,285,50,23,221,6,298,557,115,373,20,1064,360,163,725,21,1262,2260,336,777,40,3408,1307,596,747,73,2719,1521,1039,766,78,3401,1481,1302,565,79,3425,919,1304,405,37,2667,1009,1349,253,38,2656,1950,2603,275,64,4900,1145,1890,117,25,3167,649,1109,43,3,1804,333,694,44,4,1071,604,1283,36,5,1927,1080,1870,478,22,3443,286,118,105,16,519,15863,15885,6214,552,38516
CED315,155,60,115,15,347,81,27,69,16,186,89,34,221,13,360,62,16,332,10,412,518,119,505,40,1177,317,175,907,38,1435,1553,319,883,68,2826,1043,553,879,86,2562,1341,945,902,87,3277,1341,1210,632,86,3268,957,1291,465,58,2779,1020,1298,335,42,2698,2107,2628,450,72,5252,1332,2092,160,43,3632,707,1288,56,14,2070,376,794,51,5,1232,548,1240,37,4,1828,1534,2340,604,28,4512,245,175,138,15,569,15323,16604,7754,740,40423
CED316,235,51,87,3,385,189,21,51,4,262,168,56,211,9,441,89,32,328,0,453,1218,138,504,25,1887,695,212,949,22,1878,4417,483,1006,63,5963,1899,735,955,96,3683,2119,1182,792,78,4176,1683,1315,490,54,3541,884,1084,288,22,2277,886,982,195,20,2086,1385,1736,218,26,3367,636,1088,62,4,1791,294,636,23,10,968,188,351,35,0,570,375,565,29,5,972,1196,1569,486,28,3273,515,133,174,26,847,19080,12367,6872,492,38809
